year,month,month2,Region,GID_0,NAME_0,GID_1,NAME_1,predChange
2018,1,1,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9113
2018,2,2,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.7685
2018,3,3,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9021
2018,4,4,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.8718
2018,5,5,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.7864
2018,6,6,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.8916
2018,7,7,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.1120
2018,8,8,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.1628
2018,9,9,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0968
2018,10,10,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9443
2018,11,11,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9441
2018,12,12,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9440
2019,1,13,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9470
2019,2,14,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 0.9402
2019,3,15,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0679
2019,4,16,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.1690
2019,5,17,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.2151
2019,6,18,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.3913
2019,7,19,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.5144
2019,8,20,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.5536
2019,9,21,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.3653
2019,10,22,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.3867
2019,11,23,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.2102
2019,12,24,Northern,DZA,Algeria,DZA.2_1,Aïn Defla, 1.0283
2018,1,1,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9109
2018,2,2,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.7731
2018,3,3,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9040
2018,4,4,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.8629
2018,5,5,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.7884
2018,6,6,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.8924
2018,7,7,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0948
2018,8,8,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.1625
2018,9,9,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0726
2018,10,10,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9332
2018,11,11,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9443
2018,12,12,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9420
2019,1,13,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9514
2019,2,14,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 0.9197
2019,3,15,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0368
2019,4,16,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.1143
2019,5,17,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.0969
2019,6,18,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.2036
2019,7,19,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.3201
2019,8,20,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.4239
2019,9,21,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.2092
2019,10,22,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.2488
2019,11,23,Northern,DZA,Algeria,DZA.3_1,Aïn Témouchent, 1.1224
