ADM1_id,ADM1,GID_old,sum_1,max_1,mean_1,sum_2,max_2,mean_2,sum_3,max_3,mean_3,sum_4,max_4,mean_4,sum_5,max_5,mean_5,sum_6,max_6,mean_6,sum_7,max_7,mean_7,sum_8,max_8,mean_8,sum_9,max_9,mean_9,sum_10,max_10,mean_10,sum_11,max_11,mean_11,sum_12,max_12,mean_12
1,Central,BWA.1_1,75584.203125,35.6399993896484,0.102666035294533,200856.90625,50.2099990844727,0.272823959589005,255196.984375,48.1399993896484,0.346634089946747,198580.234375,68.6600036621094,0.269731551408768,140120.734375,58.2599983215332,0.190326005220413,134899,62.4099998474121,0.183233335614204,104689.8671875,75.0500030517578,0.142200261354446,123620.296875,60.0299987792969,0.167913466691971,171090.796875,48.0699996948242,0.232392653822899,221814.921875,89.0599975585938,0.301291227340698,261801.171875,79.9800033569336,0.355604559183121,194639.296875,70.75,0.264378577470779
2,Chobe,BWA.2_1,9083.205078125,11.0299997329712,0.0879171639680862,27157.140625,13.1599998474121,0.262856423854828,32274.1015625,10.1800003051758,0.312383949756622,25285.603515625,48.8699989318848,0.244741648435593,17369.419921875,17.3799991607666,0.168120190501213,16225.904296875,18.2199993133545,0.157051995396614,12590.8056640625,45.2999992370605,0.121867544949055,15254.935546875,51.189998626709,0.14765390753746,34890.64453125,267.75,0.337709695100784,31757.58203125,48.8400001525879,0.307384520769119,32185.095703125,55.8300018310547,0.311522454023361,20846.685546875,10.3400001525879,0.201776951551437
3,Francistown,BWA.3_1,4172.99658203125,49.189998626709,8.97078132629395,4506.18798828125,54.6100006103516,9.68704986572266,4277.57373046875,45.9700012207031,9.19559288024902,4823.7294921875,57.5999984741211,10.3696756362915,5003.75341796875,56.5999984741211,10.7566766738892,5427.30126953125,56.9900016784668,11.6671867370605,5086.97509765625,56.060001373291,10.9355802536011,4951.330078125,52.0499992370605,10.6439809799194,4153.04443359375,46.2099990844727,8.92788887023926,4262.37841796875,49.4799995422363,9.16292667388916,4975.232421875,63.7599983215332,10.6953649520874,4890.77490234375,74.5999984741211,10.51380443573
4,Gaborone,BWA.4_1,15490.4736328125,74.3099975585938,10.7213983535767,15440.787109375,67.6500015258789,10.6870088577271,16555.052734375,78.4499969482422,11.4582242965698,18098.138671875,78.9400024414063,12.5262384414673,17507.759765625,72.9400024414063,12.1176195144653,18920.193359375,73.9700012207031,13.0952053070068,19354.61328125,78.25,13.3958797454834,20511.984375,72.6500015258789,14.1969299316406,15608.2880859375,51.8800010681152,10.8029413223267,15116.4775390625,55.4500007629395,10.4625453948975,16917.916015625,57.1800003051758,11.7093725204468,16737.052734375,54.5699996948242,11.5841913223267
5,Ghanzi,BWA.5_1,39030.59375,15.8900003433228,0.0675799399614334,161231.71875,13.0200004577637,0.279166370630264,215989.53125,179.970001220703,0.373977363109589,139574.34375,14.2399997711182,0.241667479276657,94744.015625,17.3099994659424,0.1640455275774,102100.765625,18.5599994659424,0.176783457398415,64577.14453125,19.9799995422363,0.11181278526783,80693.6953125,136.190002441406,0.139717951416969,180199.46875,727.080017089844,0.312008291482925,166169.75,526.390014648438,0.287716388702393,186710.578125,19.2600002288818,0.32328200340271,134200.21875,42.5900001525879,0.232362389564514
6,Jwaneng,BWA.6_1,426.040893554688,21.0400009155273,5.90300703048706,422.104309082031,14.960000038147,5.84846353530884,436.002899169922,17.4500007629395,6.04103517532349,497.394653320313,19.2099990844727,6.8916482925415,494.082275390625,17.1599998474121,6.84575366973877,517.787292480469,19.0599994659424,7.17419862747192,611.332885742188,19.2600002288818,8.47031879425049,626.881713867188,18.9099998474121,8.68575572967529,485.027496337891,14.8500003814697,6.72029542922974,552.650207519531,20.8600006103516,7.6572413444519,554.070129394531,18.3899993896484,7.67691516876221,555.389892578125,21,7.69520092010498
7,Kgalagadi,BWA.7_1,30426.384765625,21.7199993133545,0.056245245039463,159414.125,21.3700008392334,0.294687867164612,208585.9375,28.6499996185303,0.385585308074951,144302.84375,29.3099994659424,0.266753643751144,98793.5546875,299.119995117188,0.182626605033875,110788.6796875,34.0699996948242,0.20480041205883,70357.53125,34.7200012207031,0.130060687661171,77001.2734375,31.0499992370605,0.142342090606689,154398.34375,383.619995117188,0.285415858030319,171051.40625,710.099975585938,0.316200166940689,187874.984375,959.049987792969,0.347299695014954,123738.28125,18.1299991607666,0.228738635778427
8,Kgatleng,BWA.8_1,8347.685546875,18.6599998474121,0.209515959024429,14251.5126953125,21.7299995422363,0.357694268226624,18797.427734375,18.7800006866455,0.471790790557861,14090.5234375,19.7399997711182,0.3536536693573,11718.88671875,19.9200000762939,0.294128686189651,11734.8798828125,28.6000003814697,0.294530093669891,9440.18359375,22.5699996948242,0.23693622648716,10519.7373046875,20.0400009155273,0.264031618833542,12914.9072265625,17.2999992370605,0.32414722442627,15026.4736328125,15.5299997329712,0.377144783735275,14623.4775390625,17.8899993896484,0.367030113935471,13487.1484375,20.2399997711182,0.338509738445282
9,Kweneng,BWA.9_1,23934.26171875,25.5499992370605,0.126906469464302,55393.91015625,22.0699996948242,0.293714731931686,78265.1796875,20.4699993133545,0.414984911680222,53873.23046875,30.1900005340576,0.285651654005051,39738.671875,28.1000003814697,0.210706070065498,42133.91015625,26.0699996948242,0.223406329751015,30742.697265625,27.2900009155273,0.163006782531738,34983.15625,27.8899993896484,0.185490936040878,56746.58203125,109.73999786377,0.300886988639832,58358.234375,18.3400001525879,0.309432446956635,62629.45703125,20.5799999237061,0.332079708576202,51203.21875,24.8799991607666,0.271494448184967
10,Lobatse,BWA.10_1,666.478393554688,15.1300001144409,5.43071556091309,652.275024414063,12.3299999237061,5.31498146057129,696.838562011719,15.6800003051758,5.67810153961182,803.701049804688,18.0499992370605,6.54885721206665,771.985412597656,16.7299995422363,6.29042625427246,854.002502441406,17.9400005340576,6.95873212814331,847.713073730469,19.0400009155273,6.90748357772827,916.872985839844,19.3099994659424,7.47102451324463,718.107849121094,14.8999996185303,5.85141181945801,641.67236328125,14.0200004577637,5.22858667373657,735.6865234375,17,5.9946494102478,632.577697753906,13.4899997711182,5.15447998046875
