GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
AGO.1_1,1.0,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578,207.40700483091788,163.0,0,971,8414917,0.2728412358970578
AGO.2_1,2.0,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176,209.3809111453736,164.0,0,984,9913558,0.059102902374670176
AGO.3_1,3.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0,255.94498051586567,224.0,0,810,22068600,0.0
AGO.4_1,4.0,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673,196.00145331234103,174.0,0,681,1618384,0.30185945423810673
AGO.5_1,5.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0,667.4422222771584,662.0,0,1640,161992232,0.0
AGO.6_1,6.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0,171.65834898805514,147.0,0,681,4842997,0.0
AGO.7_1,7.0,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286,183.90133649591755,161.0,0,629,12095007,0.03191974464204286
AGO.8_1,8.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0,369.18482979694517,340.0,0,1117,34781272,0.0
AGO.9_1,9.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0,118.06575963718821,100.0,0,532,4686030,0.0
AGO.10_1,10.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0,221.19747921243786,192.0,0,706,21042295,0.0
AGO.11_1,11.0,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294,17.12824106517169,9.0,0,139,48884,1.6201309893140294
AGO.12_1,12.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0,299.5760921559248,272.0,0,967,38202842,0.0
AGO.13_1,13.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0,352.39298677728806,322.0,0,1103,32620314,0.0
AGO.14_1,14.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0,307.51519380958734,276.0,0,1036,29964588,0.0
AGO.15_1,15.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0,524.1504158415842,503.0,0,1317,125730581,0.0
AGO.16_1,16.0,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103,381.3018708940303,358.0,0,1095,26698757,0.29049897470950103
AGO.17_1,17.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0,315.9986593340447,258.0,0,1174,23098870,0.0
AGO.18_1,18.0,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593,243.29219685628743,225.5,0,658,10401228,0.7429420505200593
