GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0,887.6913970007892,885.0,885,1333,1124705,0.0
BEN.2_1,2.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0,1108.0649087221097,1109.0,885,1109,1092552,0.0
BEN.3_1,3.0,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993,773.0985915492959,772.0,772,850,109780,0.6993006993006993
BEN.4_1,4.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0,885.1764227642276,885.0,723,1202,1088767,0.0
BEN.5_1,5.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0,1201.014598540146,1202.0,818,1202,822695,0.0
BEN.6_1,6.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0,1108.5633528265107,1109.0,885,1109,568693,0.0
BEN.7_1,7.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0,853.9680000000003,850.0,736,1202,106746,0.0
BEN.8_1,8.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0,772.0,772.0,772,772,1544,0.0
BEN.9_1,9.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0,847.8333333333335,850.0,772,850,61044,0.0
BEN.10_1,10.0,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872,818.0,818.0,818,818,50716,1.5873015873015872
