GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BWA.1_1,1.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0,197.861376132832,178.0,0,675,36416782,0.0
BWA.2_1,2.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0,338.2309567101242,324.0,70,749,8742932,0.0
BWA.3_1,3.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0,2.1709401709401708,1.0,0,12,254,0.0
BWA.4_1,4.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0,2.9756756756756766,2.0,0,35,1101,0.0
BWA.5_1,5.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0,557.540911640274,527.0,137,1173,80520616,0.0
BWA.6_1,6.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0,49.0625,49.5,45,53,785,0.0
BWA.7_1,7.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0,548.9567965579188,518.0,142,1297,74255739,0.0
BWA.8_1,8.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0,99.12471154810876,97.0,6,243,987976,0.0
BWA.9_1,9.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0,199.19882742798882,167.0,0,767,9377484,0.0
BWA.10_1,10.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0,0.2333333333333333,0.0,0,1,7,0.0
