GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BWA.1_1,1.0,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286,132.02070422535212,132.0,71,306,937347,3.4801522566612286
BWA.2_1,2.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0,114.42760617760618,114.0,114,189,118547,0.0
BWA.3_1,3.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0,130.0,130.0,130,130,520,0.0
BWA.4_1,4.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0,70.0,70.0,70,70,1120,0.0
BWA.5_1,5.0,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606,305.97223744292234,306.0,154,306,1675198,5.325955386477606
BWA.6_1,6.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0,168.0,168.0,168,168,168,0.0
BWA.7_1,7.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0,127.26126292466765,127.0,127,306,689247,0.0
BWA.8_1,8.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0,72.45771144278606,71.0,71,134,29128,0.0
BWA.9_1,9.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0,154.06951871657753,154.0,132,306,288110,0.0
BWA.10_1,10.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0,101.0,101.0,101,101,202,0.0
