GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
CIV.1_1,1.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0,184.0,184.0,184,184,17480,0.0
CIV.2_1,2.0,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583,227.5732924021489,231.0,184,280,296528,0.306044376434583
CIV.3_1,3.0,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094,232.26029411764702,184.0,184,286,157937,0.2932551319648094
CIV.4_1,4.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0,302.11089108910886,300.0,228,407,305132,0.0
CIV.5_1,5.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0,204.36499321573947,184.0,184,255,150617,0.0
CIV.6_1,6.0,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008,246.50203417412533,255.0,184,286,302951,0.08130081300813008
CIV.7_1,7.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0,185.2959830866808,184.0,184,286,175290,0.0
CIV.8_1,8.0,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845,279.79099225897255,280.0,230,280,397583,0.5598320503848845
CIV.9_1,9.0,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675,230.84303350970018,230.0,215,300,261776,1.0471204188481675
CIV.10_1,10.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0,358.74791666666664,360.0,215,407,688796,0.0
CIV.11_1,11.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0,217.24693251533745,215.0,215,360,283290,0.0
CIV.12_1,12.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0,298.27333781061117,300.0,215,360,444129,0.0
CIV.13_1,13.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0,254.75,255.0,230,255,25475,0.0
CIV.14_1,14.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0,281.15286270150085,281.0,215,382,505794,0.0
