GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
CMR.1_1,1.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0,1219.654611811546,1226.0,637,1232,3676039,0.0
CMR.2_1,2.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0,950.0386637797712,952.0,637,1226,3071475,0.0
CMR.3_1,3.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0,952.8448915803868,952.0,810,1383,4877613,0.0
CMR.4_1,4.0,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347,1223.8239436619715,1226.0,723,1226,1911613,4.464831804281347
CMR.5_1,5.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0,641.1714285714286,637.0,637,952,605907,0.0
CMR.6_1,6.0,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247,665.1817073170731,664.0,637,723,545449,0.12180267965895247
CMR.7_1,7.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0,1223.5938795027096,1226.0,723,1226,3838414,0.0
CMR.8_1,8.0,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588,641.6107692307693,637.0,637,952,417047,0.15360983102918588
CMR.9_1,9.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0,666.4080068143097,664.0,637,1067,782363,0.0
CMR.10_1,10.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0,950.9420289855072,952.0,810,1030,2099680,0.0
