GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
EGY.1_1,1.0,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484,6.323238696109359,3.0,0,44,30067,5.804278922345484
EGY.2_1,2.0,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135,502.9186868911525,437.0,0,1703,67836690,0.06223605245610135
EGY.3_1,3.0,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273,63.51445907565195,30.0,0,446,983966,0.04516420414220273
EGY.4_1,4.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0,82.18779582960215,44.0,0,664,642462,0.0
EGY.5_1,5.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0,3.027951452739978,1.0,0,24,8233,0.0
EGY.6_1,6.0,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144,61.76311188811189,26.0,0,539,211971,0.9809578765147144
EGY.7_1,7.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0,49.50753051155543,34.0,0,240,381307,0.0
EGY.8_1,8.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0,398.5915079922349,300.0,0,1800,19300598,0.0
EGY.9_1,9.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0,4.661213360599864,0.0,0,61,13676,0.0
EGY.10_1,10.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0,378.93261189173563,299.0,0,1235,15722293,0.0
EGY.11_1,11.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0,35.15645037189023,18.0,0,241,137075,0.0
EGY.12_1,12.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0,0.6233097231165486,0.0,0,35,968,0.0
EGY.13_1,13.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0,27.243718592964825,6.0,0,203,21686,0.0
EGY.14_1,14.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0,1666.1662958721454,1113.0,0,6035,913678944,0.0
