GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
EGY.1_1,1.0,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913,763987.2459255437,15800.857718521997,16.24616128294842,649459527.2373236,2424131531.32175,30.21772597316913
EGY.2_1,2.0,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891,280433.1729973081,12003.718122016311,15.19551992609287,7840685.417656357,12058626.438884247,99.96657390276891
EGY.3_1,3.0,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903,222324.15972924104,15120.216632534704,5.129641524708604,495092084.3447088,1113399391.9240394,64.39135381114903
EGY.4_1,4.0,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906,63912.01867306209,13311.568728030801,45.09634053442913,6987129.710421492,97210180.40172744,78.83089770354906
EGY.5_1,5.0,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823,267906.11929098144,17791.059345385467,52.28855611800334,142885887.09694627,539830830.3713276,18.056120374135823
EGY.6_1,6.0,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601,81070.00467513097,10211.515826625942,9.076237602760171,15024193.969489874,76854364.43202415,69.69309462915601
EGY.7_1,7.0,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904,146987.05592873873,15770.578416237167,13.711356493026061,41378703.01263741,125232971.6512854,87.81987133666904
EGY.8_1,8.0,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096,787182.054993733,13963.226171993589,104.23319753942448,673349933.9745339,1109926697.5411632,96.84584927186096
EGY.9_1,9.0,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132,378401.1639384951,23735.50311127198,366.4620079809802,300261186.50638664,644795583.3511956,35.96392333709132
EGY.10_1,10.0,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528,293224.5106562569,15620.59408859961,37.56226797595113,223167681.64315936,692009845.1487662,93.87172163074528
