GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GHA.1_1,1.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0,92.83632210555024,76.0,0,505,2723075,0.0
GHA.2_1,2.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0,123.75430349860486,89.0,0,614,5765713,0.0
GHA.3_1,3.0,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398,52.5417290913898,40.0,0,315,596191,0.03523918597480398
GHA.4_1,4.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0,97.84709928915386,66.0,0,440,2133556,0.0
GHA.5_1,5.0,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024,27.080184331797234,23.0,0,137,117528,0.1150747986191024
GHA.6_1,6.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0,117.46966016469506,104.0,0,421,9671747,0.0
GHA.7_1,7.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0,60.32735076082716,53.0,0,242,618476,0.0
GHA.8_1,8.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0,113.27663742820248,112.0,0,406,2544080,0.0
GHA.9_1,9.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0,87.53604497354496,74.0,0,351,2117672,0.0
GHA.10_1,10.0,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874,158.60484429065744,150.0,0,597,4583680,0.01729804532087874
