GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GHA.1_1,1.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0,431.9005947323705,426.0,426,852,508347,0.0
GHA.2_1,2.0,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306,785.5211038961038,786.0,426,1150,1451643,0.5382131324004306
GHA.3_1,3.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0,847.4118942731277,852.0,426,852,384725,0.0
GHA.4_1,4.0,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185,512.0752688172042,510.0,421,852,428607,4.123711340206185
GHA.5_1,5.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0,437.9768786127168,421.0,421,510,75770,0.0
GHA.6_1,6.0,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144,714.2926829268292,712.0,547,1150,2342880,0.2129601460298144
GHA.7_1,7.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0,827.0095693779904,828.0,712,1058,345690,0.0
GHA.8_1,8.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0,719.8503325942349,718.0,712,1101,649305,0.0
GHA.9_1,9.0,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475,550.543710021322,547.0,421,804,516410,2.6970954356846475
GHA.10_1,10.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0,696.0276100086281,691.0,426,1150,806696,0.0
