GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GHA.1_1,1.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0,246.93797790994046,247.0,223,263,290646,0.0
GHA.2_1,2.0,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306,241.9967532467533,241.0,241,382,447210,0.5382131324004306
GHA.3_1,3.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0,262.81718061674013,263.0,247,263,119319,0.0
GHA.4_1,4.0,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185,223.1027479091996,223.0,122,263,186737,4.123711340206185
GHA.5_1,5.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0,141.26589595375722,122.0,122,223,24439,0.0
GHA.6_1,6.0,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144,379.8353658536585,382.0,241,388,1245860,0.2129601460298144
GHA.7_1,7.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0,338.93062200956933,340.0,284,382,141673,0.0
GHA.8_1,8.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0,288.8869179600887,284.0,284,382,260576,0.0
GHA.9_1,9.0,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475,247.8475479744137,247.0,122,382,232481,2.6970954356846475
GHA.10_1,10.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0,255.68679896462467,256.0,184,286,296341,0.0
