GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
KEN.1_1,1.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0,118.50126262626264,96.0,16,427,1501648,0.0
KEN.2_1,2.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0,50.84099066762384,32.0,0,331,141643,0.0
KEN.3_1,3.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0,58.49437125748503,24.0,0,410,244214,0.0
KEN.4_1,4.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0,28.64563567362429,24.0,0,128,60385,0.0
KEN.5_1,5.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0,79.3385083713851,70.0,12,307,260627,0.0
KEN.6_1,6.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0,77.78804347826087,69.0,25,274,257634,0.0
KEN.7_1,7.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0,255.6273386342376,235.0,0,763,13116750,0.0
KEN.8_1,8.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0,68.39930682232762,62.5,7,284,374965,0.0
KEN.9_1,9.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0,339.8322864532599,294.0,20,957,10117147,0.0
KEN.10_1,10.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0,152.05668582077962,145.0,0,515,3916372,0.0
