GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
KEN.1_1,1.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0,249.0,249.0,249,249,126243,0.0
KEN.2_1,2.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0,248.54545454545453,249.0,199,249,27340,0.0
KEN.3_1,3.0,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535,217.3448275862069,215.0,215,249,31515,11.585365853658535
KEN.4_1,4.0,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381,217.04878048780486,215.0,199,273,17798,2.380952380952381
KEN.5_1,5.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0,249.0,249.0,249,249,32370,0.0
KEN.6_1,6.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0,289.64179104477614,296.0,154,296,38812,0.0
KEN.7_1,7.0,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747,273.77777777777777,275.0,211,296,4928,99.12237932715747
KEN.8_1,8.0,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802,199.0,199.0,199,199,36218,18.01801801801802
KEN.9_1,9.0,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705,295.30318602261053,296.0,211,296,287330,18.23529411764705
KEN.10_1,10.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0,249.414800389484,249.0,154,351,256149,0.0
KEN.11_1,11.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0,217.5,215.0,199,249,25230,0.0
KEN.12_1,12.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0,248.19354838709685,249.0,199,249,30776,0.0
KEN.13_1,13.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0,155.99193548387098,154.0,124,296,19343,0.0
KEN.14_1,14.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0,211.0,211.0,211,211,125967,0.0
KEN.15_1,15.0,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589,156.25396825396825,154.0,154,296,9844,7.352941176470589
KEN.16_1,16.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0,199.0,199.0,199,199,12338,0.0
KEN.17_1,17.0,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6,201.6548672566372,199.0,199,249,22787,9.6
KEN.18_1,18.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0,295.1666666666667,296.0,211,296,421498,0.0
KEN.19_1,19.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0,212.2290076335878,211.0,211,362,83406,0.0
KEN.20_1,20.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0,248.25503355704697,249.0,154,296,110970,0.0
KEN.21_1,21.0,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808,211.0,211.0,211,211,61190,6.451612903225808
KEN.22_1,22.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0,295.3391608391608,296.0,154,296,84467,0.0
KEN.23_1,23.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0,295.2815789473684,296.0,211,296,112207,0.0
KEN.24_1,24.0,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242,434.0,434.0,434,434,868,99.83457402812242
