GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
KEN.1_1,1.0,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464,3525.5264238488207,1682.7336875886567,16.533652053479354,1112457.2585534027,28919893.25483188,35.389098928796464
KEN.2_1,2.0,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734,4079.519376317556,1690.2788597097315,9.241624935257953,983358.169741529,7971380.861324504,29.71223021582734
KEN.3_1,3.0,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828,7415.1984859816885,1657.8632982254376,24.890731032340287,1062343.3296733028,7785958.4102807725,74.94033412887828
KEN.4_1,4.0,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893,6463.3735886143295,1632.9756394810174,7.765753924522933,447299.651082311,7103247.573887149,47.93936522974893
KEN.5_1,5.0,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147,2432.2747688001405,1668.9353301438643,24.518795899727174,165060.77664550548,6389585.817637969,19.85967053081147
KEN.6_1,6.0,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836,7242.170549183405,1690.2885497080279,6.287134047741232,1002490.4669590672,12340658.61580852,48.72103520914836
KEN.7_1,7.0,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545,9984.622391659665,1684.8223881547613,0.4522666963993263,10320876.523172947,92247926.27654362,82.01654501216545
KEN.8_1,8.0,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758,7130.835199430042,1650.5777976494473,18.19798662744637,725398.9292775645,12614447.467791745,67.70719240598758
KEN.9_1,9.0,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154,7514.06327746433,1687.3995975833245,2.8881006716912885,41426369.28933285,107436076.741185,52.042664520024154
KEN.10_1,10.0,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861,9811.085503214712,1700.038977435868,1.3623877002260962,2169233.0379186417,55520932.86269206,78.02756746262861
