GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
LBY.1_1,1.0,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693,520840.5815601786,17730.343693629948,187.79404066008664,47057391.61667123,145835362.83685,99.72139580700693
LBY.2_1,2.0,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978,98198.20519039307,13641.446047309817,79.81550669460898,21479654.70040412,52045048.75090834,94.85386930769978
LBY.3_1,3.0,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379,73542.96587458694,13327.63796254834,21.37353138200785,3835965.912011167,48244185.61372903,99.36395280064379
LBY.4_1,4.0,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321,70809.6945671453,11899.910295970625,13.567085772619937,14330223.157345604,48646260.16762882,66.79555340744321
LBY.5_1,5.0,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633,400037.6403116715,13217.061419336967,93.57128702730162,28048140.9319682,59205570.76612738,99.8892024824633
LBY.6_1,6.0,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359,83032.68423070485,12924.426790268908,33.87664502792145,2209381.6229430404,19014484.68883141,99.95604024333359
LBY.7_1,7.0,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892,57204.456565660206,10822.790677964991,109.27539002119158,5239570.731449033,11383686.85656638,98.36038559775892
LBY.8_1,8.0,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031,35830.357923574644,10960.694145742986,7.943768447425902,1839816.8084376,39628375.86347356,88.81246206757031
LBY.9_1,9.0,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616,2227530.6673626318,25411.638119874395,12.580600335828164,221732166.5719165,826413877.5915363,99.84095205840616
LBY.10_1,10.0,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892,56677.54128984718,8846.112397377594,37.44610836146664,4990127.234676054,38087307.746777296,91.21338912133892
