GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
MAR.1_1,2108644.9106099997,948490.5071019998,0.449810445718
MAR.2_1,2267663.37275,914181.089668,0.403137917494
MAR.3_1,1961742.60775,1403451.6783900002,0.715410713335
MAR.4_1,2187426.60509,914105.442917,0.41789079496
MAR.5_1,4448524.701309999,4330682.318050001,0.973509783316
MAR.6_1,412321.535013,175707.605797,0.426142199416
MAR.7_1,12802.541727200001,1839.30474854,0.143667155143
MAR.8_1,3841505.50261,1435275.9413700001,0.373623294408
MAR.9_1,2522774.7986600003,1224708.6660200001,0.485460956194
MAR.10_1,2170538.57515,1330396.8934700002,0.612934001128
MAR.11_1,2833128.92395,2160805.4065799997,0.7626922263629999
MAR.12_1,3751695.2792800004,1555758.1256799998,0.414681366654
MAR.13_1,1674928.5213199996,594031.3053710001,0.3546606901780001
MAR.14_1,3189453.06065,1949711.46802,0.611299627536
MAR.15_1,1753962.71973,383938.3622590001,0.218897675498
