GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MOZ.1_1,1.0,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744,228.5670794633643,227.0,0,807,21262224,0.12454369765943744
MOZ.2_1,2.0,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583,296.36506860741537,283.0,0,788,28423781,0.027101965934913583
MOZ.3_1,3.0,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999,190.13883748462658,172.0,0,653,16542269,0.05284501476213999
MOZ.4_1,4.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0,182.76771036928693,171.0,0,573,14120085,0.0
MOZ.5_1,5.0,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464,13.417877094972065,0.0,0,136,12009,1.323042998897464
MOZ.6_1,6.0,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808,129.5076491844247,123.0,0,389,3834851,0.08772817761581808
MOZ.7_1,7.0,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345,107.41423448392591,99.0,0,410,10153975,0.05392146497219345
MOZ.8_1,8.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0,314.51870285603763,291.0,0,870,48784996,0.0
MOZ.9_1,9.0,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138,157.35967503692763,141.0,0,627,13210030,0.241233021592138
MOZ.10_1,10.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0,266.3020570073202,223.0,0,996,32559421,0.0
