GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
MOZ.1_1,2149071.54409,326949.18626399996,0.15213508697
MOZ.2_1,1507898.6608799999,375832.500374,0.249242545354
MOZ.3_1,1480128.76331,115684.43948499998,0.07815836186189999
MOZ.4_1,2275628.0035399995,321982.162729,0.141491562869
MOZ.6_1,805099.673861,270165.69556799997,0.335568010197
MOZ.5_1,2453271.2179499995,2364252.8456099997,0.963714418655
MOZ.7_1,5825433.1556,798577.3572,0.137084631455
MOZ.8_1,2094476.68955,135366.196298,0.0646300801405
MOZ.9_1,2274694.6743,385567.848145,0.169503121672
MOZ.10_1,3337856.6472,214628.764045,0.0643013726264
MOZ.11_1,5604129.77534,394634.806583,0.070418570305
