GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NAM.1_1,1.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0,137.06148560597086,137.0,137,222,1156936,0.0
NAM.2_1,2.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0,89.04821540388228,89.0,89,173,284420,0.0
NAM.3_1,3.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0,221.80149147727272,222.0,89,222,1249186,0.0
NAM.4_1,4.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0,282.2953020134228,283.0,114,399,672992,0.0
NAM.5_1,5.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0,191.1127659574468,191.0,89,257,359292,0.0
NAM.6_1,6.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0,173.0203615938213,173.0,89,320,985697,0.0
NAM.7_1,7.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0,356.0,356.0,356,356,187968,0.0
NAM.8_1,8.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0,256.44831618334894,257.0,159,257,1096573,0.0
NAM.9_1,9.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0,282.6679245283019,283.0,173,283,374535,0.0
NAM.10_1,10.0,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752,228.12880562060886,228.0,228,283,97411,0.9280742459396752
NAM.11_1,11.0,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043,266.9162363740677,267.0,159,356,465235,8.695652173913043
NAM.12_1,12.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0,159.08748806112703,159.0,89,267,832823,0.0
NAM.13_1,13.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0,181.46251768033943,182.0,114,237,128294,0.0
