GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NGA.1_1,1.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0,1067.0,1067.0,1067,1067,235807,0.0
NGA.2_1,2.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0,736.3378628783197,723.0,723,1226,1192131,0.0
NGA.3_1,3.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0,1067.0,1067.0,1067,1067,333971,0.0
NGA.4_1,4.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0,1067.0,1067.0,1067,1067,227271,0.0
NGA.5_1,5.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0,1135.5025728987994,1141.0,723,1187,2647992,0.0
NGA.6_1,6.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0,1065.1234042553192,1067.0,1004,1067,500608,0.0
NGA.7_1,7.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0,729.7496617050067,723.0,723,1067,1078570,0.0
NGA.8_1,8.0,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013,1136.505904288378,1141.0,723,1599,3657276,5.906432748538013
NGA.9_1,9.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0,1063.113545816733,1067.0,664,1067,1067366,0.0
NGA.10_1,10.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0,1005.7375796178343,1004.0,1004,1067,789504,0.0
