GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
NGA.1_1,4075864.29156,1364647.7362099998,0.334811867764
NGA.2_1,4545536.400780002,743362.284245,0.163536757536
NGA.3_1,5899653.441990001,980035.767647,0.166117514746
NGA.4_1,5889278.211009999,4398427.084589999,0.7468533370299999
NGA.5_1,7042475.567619999,870949.4195589998,0.123670918159
NGA.6_1,2525530.97103,458097.703796,0.181386690185
NGA.7_1,6193961.873289999,951078.730347,0.153549335595
NGA.8_1,6432925.17632,1149150.43634,0.17863575354000003
NGA.9_1,4155875.31196,658265.964622,0.158394060266
NGA.10_1,6111757.52869,2087893.38519,0.34161914562
NGA.11_1,3104808.44357,374489.5418089999,0.120615989236
NGA.12_1,4581567.77584,1720277.49067,0.375477909492
NGA.13_1,3490383.38465,1179156.2247,0.33783000168000005
NGA.14_1,4670812.972359999,1204803.8809,0.257943079295
NGA.15_1,4452198.168959999,2331699.7511400003,0.523718770516
NGA.16_1,3576002.2066800003,532983.1107029999,0.149044402072
NGA.17_1,5836879.972559999,2813250.9117400004,0.481978544182
NGA.18_1,6258830.709919999,937464.2398450001,0.149782648436
NGA.19_1,8959024.89556,2538793.73985,0.283378355284
NGA.20_1,14260850.928300004,6028206.17082,0.422710131473
NGA.21_1,8463157.15614,1866070.1480300003,0.220493382505
NGA.22_1,4819427.088899999,602997.281528,0.125118042125
NGA.23_1,4827934.16426,989951.962727,0.205046698867
NGA.24_1,3426085.21923,1120626.3941,0.327086549923
NGA.25_1,13564541.602000002,12832560.8575,0.946037192706
NGA.26_1,2705208.32655,482611.9549029999,0.178401031139
NGA.27_1,6058400.58949,1210145.9453400006,0.199746769377
NGA.28_1,5695188.290389999,2887223.01343,0.506958306945
NGA.29_1,5037280.2041,1450871.76421,0.288026813166
NGA.30_1,5093119.33534,2108054.3952900004,0.413902415493
NGA.31_1,8461533.376389999,4361530.93065,0.515453965214
NGA.32_1,4633009.26672,994215.318554,0.214593854948
NGA.33_1,7518695.756929997,2028565.2217400002,0.269802807205
NGA.34_1,5447939.190180001,1061090.40901,0.194769135992
NGA.35_1,3294801.59977,342225.34379500005,0.103868270496
NGA.36_1,3599924.0357699995,468555.248985,0.130156982294
NGA.37_1,4828009.08714,654993.696609,0.135665381897
