GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
SEN.1_1,1.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0,159.03703703703704,159.0,159,160,4294,0.0
SEN.2_1,2.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0,241.925,246.0,160,246,58062,0.0
SEN.3_1,3.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0,246.0272727272728,245.0,245,358,81189,0.0
SEN.4_1,4.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0,352.24680073126143,358.0,209,358,192679,0.0
SEN.5_1,5.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0,334.81060606060606,358.0,225,358,88390,0.0
SEN.6_1,6.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0,324.6814268142681,325.0,262,325,263966,0.0
SEN.7_1,7.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0,331.8436578171092,332.0,267,332,224990,0.0
SEN.8_1,8.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0,209.11764705882354,209.0,160,246,248850,0.0
SEN.9_1,9.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0,215.1047970479705,215.0,209,371,291467,0.0
SEN.10_1,10.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0,217.0383064516129,215.0,209,371,215302,0.0
