GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
TZA.1_1,1.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0,265.8754766070067,253.0,0,944,11854324,0.0
TZA.2_1,2.0,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104,21.57389033942559,6.0,0,121,41314,0.8799171842650104
TZA.3_1,3.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0,155.5740218075494,151.0,0,477,7661865,0.0
TZA.4_1,4.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0,166.68637209503618,98.0,0,737,3851622,0.0
TZA.5_1,5.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0,219.24837982857545,169.0,0,934,9438862,0.0
TZA.6_1,6.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0,198.23608064591403,172.0,0,628,8495209,0.0
TZA.7_1,7.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0,292.74223629348967,281.0,0,744,16920794,0.0
TZA.8_1,8.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0,248.5473639749645,193.0,0,940,12945838,0.0
TZA.9_1,9.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0,119.91424324673643,108.0,0,442,1855553,0.0
TZA.10_1,10.0,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876,522.0499312277788,518.0,43,1189,40232300,0.17357512953367876
