GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
TZA.1_1,2056678.85658,654290.944744,0.318129854182
TZA.2_1,6443626.47947,6158726.486630001,0.955785768504
TZA.3_1,2411093.49071,308140.210843,0.127801021416
TZA.4_1,2379031.63032,260487.449722,0.109493058605
TZA.5_1,1028012.0984,198895.764707,0.193476093342
TZA.6_1,2811715.02377,239138.496725,0.0850507589508
TZA.7_1,706211.586071,82563.03343389997,0.116909769058
TZA.8_1,2520640.3915500008,427281.258442,0.16951297768399998
TZA.9_1,1848154.8461900002,246234.82659299998,0.133232790045
TZA.10_1,915207.8071450001,89671.02760270002,0.0979788709216
TZA.11_1,1785758.94875,70995.6268375,0.0397565566658
TZA.12_1,2061689.77539,253400.87691500003,0.122909314456
TZA.13_1,3289949.26535,839551.365953,0.255186721204
TZA.14_1,2624667.67914,428793.29350900004,0.163370508547
TZA.15_1,1377750.35829,223298.17488099998,0.162074481445
TZA.16_1,3315041.18383,942245.2421449998,0.28423334429200003
TZA.17_1,741546.4742919998,108661.611227,0.14653378445499998
TZA.18_1,223475.71223499998,52527.463714599995,0.235047751674
TZA.19_1,202096.56914300003,38608.039306599996,0.191037579066
TZA.20_1,1291770.85708,235238.338782,0.182105314958
TZA.21_1,1262114.9183400006,141096.72838800002,0.111793883693
TZA.22_1,1602635.56771,287941.686409,0.179667600177
TZA.23_1,1779138.5144099998,258228.202557,0.145142269961
TZA.24_1,1998472.85741,82315.495337,0.0411891985582
TZA.25_1,1617853.1128200002,96442.6233089,0.0596114829861
TZA.26_1,2832962.86555,283674.002329,0.100133328883
TZA.27_1,2402645.7081000004,321253.985366,0.133708429954
TZA.28_1,227388.18707800002,63747.5934296,0.280346988332
TZA.29_1,128183.058694,9458.85139465,0.0737917435504
TZA.30_1,783271.3994759999,721007.334412,0.920507674472
