GID_1,total_pop_SUM,urban_pop_SUM,prp_urban_pop
ZMB.1_1,2162745.2343200003,618493.337128,0.285976049011
ZMB.2_1,2514801.81569,1157123.1682800006,0.4601249931750001
ZMB.3_1,2082788.60675,150374.51150299993,0.0721986432112
ZMB.4_1,1568204.39005,116682.17538700002,0.0744049539252
ZMB.5_1,2909740.7467900007,2141115.7427,0.7358441624269999
ZMB.6_1,1000780.07256,87346.10611379996,0.087278022923
ZMB.7_1,1019751.59038,62781.26436809999,0.06156525271480001
ZMB.8_1,1542876.52694,94671.5484505,0.0613604178931
ZMB.9_1,2104814.1225400004,228108.379922,0.108374595875
ZMB.10_1,1074847.9397,64715.42558409999,0.0602089125297
