GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1_1,1.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0,567.8181818181819,567.0,567,585,12492,0.0
ZWE.2_1,2.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0,548.4222222222222,541.0,541,775,24679,0.0
ZWE.3_1,3.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0,919.1431818181818,920.0,775,1152,1617692,0.0
ZWE.4_1,4.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0,1049.4374090247452,1054.0,641,1138,1441927,0.0
ZWE.5_1,5.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0,777.0878634639697,775.0,641,1138,1229353,0.0
ZWE.6_1,6.0,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265,644.4339826839828,641.0,627,1054,1786371,1.3874066168623265
ZWE.7_1,7.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0,577.5436408977556,574.0,574,1008,1621165,0.0
ZWE.8_1,8.0,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699,476.061555075594,472.0,472,1079,1763332,0.5103411227504699
ZWE.9_1,9.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0,584.0624315443592,585.0,441,848,1599747,0.0
ZWE.10_1,10.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0,843.0327198364007,848.0,472,848,2061215,0.0
