GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1,269.3340159,269.2579012,268.3531222,271.5937066,57637.4794,0,276.3604239,276.1124047,274.9307758,279.4496574,59141.13071,0,279.2711872,279.3492516,274.2254969,285.308139,59764.03406,0,288.0746889,288.6886046,282.4578387,291.4105451,61647.98342,0,293.8007841,293.9431792,292.1756869,294.9453621,62873.36779,0,295.088185,295.1104751,294.4481938,295.5970287,63148.87159,0,295.359288,295.3634288,295.0443762,295.7466548,63206.88763,0,295.4541509,295.4367333,294.9897485,295.9497217,63227.18829,0,296.167904,296.1566612,295.6749051,296.6939655,63379.93145,0,295.1616937,295.3053398,293.8701519,295.6892399,63164.60244,0,283.6865323,283.8347785,280.3100603,286.2137924,60708.91791,0,276.5735617,276.5179872,274.5342369,278.4639693,59186.7422,0
BEN.2_1,2,271.2951373,271.514786,269.0179156,273.7684481,45306.28792,0,279.1585557,279.2543241,276.1781657,282.2172317,46619.47881,0,285.7133465,286.2169374,279.6163471,289.7622497,47714.12887,0,292.2692734,292.6198815,289.1890552,294.2397013,48808.96866,0,294.868858,294.9049526,294.1719203,295.5660385,49243.09929,0,295.2205635,295.2066334,294.8141955,295.7146877,49301.8341,0,295.1932846,295.1693438,294.3195888,295.8518678,49297.27854,0,295.02176,294.9638402,294.0168126,295.8259565,49268.63391,0,295.6784359,295.6382836,294.5501991,296.5047295,49378.29879,0,295.4318538,295.3687466,294.2954804,296.6548442,49337.11959,0,286.4811288,286.5084305,282.3271739,291.4839141,47842.34851,0,277.735393,277.9617613,275.251372,280.6385166,46381.81064,0
BEN.3_1,3,294.8136072,294.8751617,293.0814484,296.4752624,7665.153787,0,297.1786538,297.222806,296.430259,297.9651747,7726.644998,0,297.1597668,297.1747224,296.6070965,297.7073913,7726.153937,0,297.3732073,297.3994382,296.8913406,297.823093,7731.703391,0,297.0452992,297.100587,296.640129,297.2739388,7723.17778,0,296.3727606,296.4331855,295.9830559,296.561953,7705.691776,0,295.7711963,295.8249019,295.3914353,295.9823049,7690.051103,0,295.2803636,295.2942449,294.8988061,295.5843629,7677.289453,0,296.1787217,296.2291958,295.7900068,296.3613275,7700.646764,0,296.8594558,296.9221392,296.4616764,297.1107516,7718.345851,0,297.3911354,297.4853785,296.9374298,297.6491881,7732.16952,0,296.4347935,296.5116706,295.296693,297.4767814,7707.30463,0
BEN.4_1,4,274.0472011,273.834663,270.3728626,278.7378264,58372.05384,0,283.9061863,283.4375161,278.4770551,290.3201162,60472.01768,0,289.4944988,289.7394453,282.8979057,293.5785772,61662.32825,0,293.3719355,293.5336268,290.1636954,295.4748702,62488.22227,0,295.2028415,295.2153665,294.2205754,295.7593857,62878.20523,0,295.1461585,295.143471,294.5793038,295.6064418,62866.13177,0,295.0107038,295.0408246,294.5073325,295.4158685,62837.27991,0,294.8550177,294.8643778,294.3653332,295.2248161,62804.11877,0,295.3536167,295.3506857,294.888691,295.8161847,62910.32036,0,295.1161461,295.1063983,294.5120465,295.7554964,62859.73912,0,288.8849897,288.3660532,285.3476782,293.5088323,61532.5028,0,280.3769261,280.115985,277.9236113,284.5219294,59720.28527,0
BEN.5_1,5,284.6001966,284.4427209,277.3271771,290.7548293,32444.42242,0,293.1762614,293.3940348,289.9209018,295.4178658,33422.0938,0,294.6943417,294.6827255,293.1171116,295.9597405,33595.15496,0,295.9325515,295.9395323,295.1188137,296.5244694,33736.31087,0,296.0227403,296.0379163,295.4031841,296.4923702,33746.59239,0,295.7621896,295.7766574,295.3091333,296.0775973,33716.88961,0,295.2853905,295.3039158,294.8798983,295.5595921,33662.53451,0,295.1234368,295.1391393,294.789434,295.3642761,33644.07179,0,295.6159696,295.6376866,295.2235863,295.970743,33700.22053,0,296.1046793,296.1347824,295.5715413,296.5456793,33755.93344,0,294.9181307,295.0567002,293.1778919,296.3392815,33620.6669,0,288.6281588,288.6598363,282.9612553,293.3106662,32903.6101,0
BEN.6_1,6,274.9415486,273.9303072,272.3699921,281.18105,25019.68093,0,285.516797,284.6315857,281.3984397,291.802562,25982.02853,0,291.6693176,291.5463381,289.3479405,294.1578914,26541.9079,0,294.7458978,294.7889607,293.6943577,295.7635642,26821.8767,0,295.6006973,295.6622192,295.0710188,295.9045742,26899.66346,0,295.4061427,295.4073879,295.0697396,295.7357581,26881.95899,0,294.9705488,294.9842226,294.6551696,295.2782988,26842.31994,0,294.7238485,294.7307928,294.324809,295.1734163,26819.87021,0,295.1864669,295.1958697,294.8924109,295.5634923,26861.96849,0,295.2549293,295.1928651,294.8409684,295.934969,26868.19857,0,290.9121261,290.6747279,288.2259457,294.1454358,26473.00348,0,280.9641685,280.1770251,278.4176256,286.5317642,25567.73933,0
BEN.7_1,7,292.3828741,292.3995303,290.9283022,293.8262315,4970.508859,0,295.9265578,295.9171546,295.2282496,296.7038228,5030.751483,0,296.2903025,296.2419487,295.7925938,296.8620439,5036.935143,0,296.7683594,296.6629084,296.4739607,297.2142246,5045.062109,0,296.5847767,296.5036476,296.3293655,297.0391942,5041.941204,0,296.0175844,295.9568032,295.7768641,296.4171562,5032.298935,0,295.4599894,295.3750928,295.2234464,295.8329197,5022.81982,0,295.0909856,295.0513542,294.8477571,295.3808507,5016.546755,0,295.8908011,295.8324359,295.6558733,296.2684585,5030.14362,0,296.5193513,296.4498266,296.27188,296.9206552,5040.828973,0,296.7281311,296.6879314,296.1771953,297.3435045,5044.378229,0,294.6270759,294.6133429,293.5058465,295.7911175,5008.66029,0
BEN.8_1,8,296.4752624,296.4752624,296.4752624,296.4752624,296.4752624,,297.9651747,297.9651747,297.9651747,297.9651747,297.9651747,,297.7073913,297.7073913,297.7073913,297.7073913,297.7073913,,297.823093,297.823093,297.823093,297.823093,297.823093,,297.2739388,297.2739388,297.2739388,297.2739388,297.2739388,,296.5213901,296.5213901,296.5213901,296.5213901,296.5213901,,295.9823049,295.9823049,295.9823049,295.9823049,295.9823049,,295.5843629,295.5843629,295.5843629,295.5843629,295.5843629,,296.3039844,296.3039844,296.3039844,296.3039844,296.3039844,,296.9897326,296.9897326,296.9897326,296.9897326,296.9897326,,297.6491881,297.6491881,297.6491881,297.6491881,297.6491881,,297.4767814,297.4767814,297.4767814,297.4767814,297.4767814,
BEN.9_1,9,294.8171562,294.7068626,293.8850319,296.0656909,4127.440187,6.666666667,297.0990976,297.0257015,296.6339885,297.683353,4159.387367,6.666666667,297.0974355,297.0781546,296.8011188,297.4919596,4159.364097,6.666666667,297.3730812,297.356094,297.1980979,297.6042087,4163.223137,6.666666667,297.0882528,297.0816502,296.9181483,297.2670567,4159.235539,6.666666667,296.4565294,296.4569392,296.310815,296.5845993,4150.391412,6.666666667,295.8279575,295.8128627,295.6901962,295.9805745,4141.591405,6.666666667,295.3382151,295.3515743,295.2669955,295.4255787,4134.735012,6.666666667,296.2912991,296.2900744,296.1689003,296.4263206,4148.078188,6.666666667,297.0078856,296.9900355,296.8228602,297.2009273,4158.110399,6.666666667,297.5223164,297.5027811,297.2696827,297.7697546,4165.31243,6.666666667,296.4711859,296.4028481,295.9067977,297.266295,4150.596603,6.666666667
BEN.10_1,10,294.9265348,295.1834604,293.3776598,296.1308552,2949.265348,16.66666667,297.3490359,297.4895949,296.6607443,297.8134025,2973.490359,16.66666667,297.3222824,297.4206039,296.886368,297.5896931,2973.222824,16.66666667,297.503384,297.5552073,297.1665398,297.7196276,2975.03384,16.66666667,297.1241549,297.1434981,296.9118991,297.2732917,2971.241549,16.66666667,296.4210651,296.4162661,296.2527357,296.5548443,2964.210651,16.66666667,295.8141454,295.8335536,295.6050681,295.9438461,2958.141454,16.66666667,295.3823648,295.4035749,295.1754154,295.5186706,2953.823648,16.66666667,296.1872555,296.1776177,296.0352275,296.3182642,2961.872555,16.66666667,296.8275763,296.8262349,296.6523863,296.9586607,2968.275763,16.66666667,297.379344,297.4372206,297.0150911,297.5872061,2973.79344,16.66666667,296.4782855,296.7312087,295.3534819,297.1803805,2964.782855,16.66666667
