GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1,1.27524213,1.18117725,0,4.997137611,272.9018159,0,1.275448047,1.180630102,0,4.993536384,272.9458821,0,1.282459021,1.181242851,0,5.028135849,274.4462305,0,1.297888466,1.183434758,0,5.093878472,277.7481317,0,1.318056899,1.186032091,0,5.190804049,282.0641763,0,1.349601736,1.190140396,0,5.33375017,288.8147715,0,1.359901742,1.193159446,0,5.377868174,291.0189727,0,1.365191249,1.194293672,0,5.404906795,292.1509273,0,1.395741485,1.19727378,0,5.556119694,298.6886778,0,1.375801526,1.19559011,0,5.46786624,294.4215266,0,1.330452914,1.189866237,0,5.258566247,284.7169236,0,1.290886624,1.184315098,0,5.070835393,276.2497375,0
BEN.2_1,2,2.273395639,2.337549458,0,5.766303899,379.6570717,0,2.306520158,2.375876935,0,5.766598523,385.1888664,0,2.36822908,2.432363042,0,5.78163887,395.4942563,0,2.478562981,2.663306734,0,5.820782265,413.9200178,0,2.582391613,2.900968918,0,5.86485435,431.2593994,0,2.681602681,3.066903853,0,5.913300138,447.8276477,0,2.69281377,3.050953198,0,5.93027906,449.6998996,0,2.693926157,3.036321937,0,5.944171121,449.8856681,0,2.833794882,3.323673743,0,6.00049244,473.2437453,0,2.773108587,3.235137149,0,5.953874039,463.109134,0,2.534961429,2.712277665,0,5.864747538,423.3385587,0,2.331807872,2.384782753,0,5.794398928,389.4119147,0
BEN.3_1,3,2.440428372,2.476365581,1.448680791,3.912082318,63.45113768,0,2.233841551,2.239748232,1.324218455,3.793088081,58.07988034,0,2.348706713,2.348066471,1.384325241,3.905531357,61.06637453,0,2.79517227,2.814106232,1.616634528,4.151202839,72.67447901,0,3.010640693,3.010552705,1.71286679,4.247712065,78.27665801,0,2.939184558,2.932661862,1.70971475,4.283209669,76.41879851,0,2.682611319,2.647592318,1.593034212,4.168545455,69.74789431,0,2.452931744,2.424659031,1.471247563,3.996968315,63.77622535,0,2.613974429,2.570459144,1.571057134,4.087497596,67.96333515,0,2.982100622,2.949797084,1.758976968,4.296338823,77.53461618,0,3.13483389,3.167070837,1.857949224,4.392366248,81.50568115,0,2.912770011,2.963489828,1.729840109,4.250321782,75.73202028,0
BEN.4_1,4,1.957733822,1.766227206,1.055588998,5.065818108,416.997304,0,2.014413539,1.869825293,1.058001771,5.084359344,429.0700838,0,2.179206875,2.066332911,1.17569991,5.116513576,464.1710643,0,2.445128893,2.353264186,1.422654908,5.185119665,520.8124542,0,2.657959467,2.567485491,1.700527531,5.254770488,566.1453664,0,2.776056922,2.655308948,1.997245411,5.345360375,591.3001244,0,2.755586732,2.628257978,1.983603105,5.356828377,586.939974,0,2.644610163,2.507990914,1.895755624,5.373646009,563.3019647,0,3.03658423,2.92919885,2.378544966,5.488780436,646.792441,0,3.083706946,2.993752909,2.327231002,5.417472453,656.8295795,0,2.663645084,2.541890375,1.820943788,5.243545536,567.356403,0,2.137416054,1.993888576,1.260868475,5.106124285,455.2696194,0
BEN.5_1,5,2.231910727,1.941802102,1.507819381,5.130135175,254.4378229,0,2.287926446,1.976000386,1.551672273,5.154634305,260.8236148,0,2.535992023,2.253362923,1.734615511,5.273980662,289.1030906,0,2.915805334,2.674711792,2.06792838,5.443525829,332.401808,0,3.103493947,2.878912847,2.274407147,5.518497731,353.7983099,0,3.005321212,2.764017845,2.212122204,5.470528796,342.6066182,0,2.767411814,2.521160896,2.00915025,5.356618351,315.4849469,0,2.670503063,2.408072493,1.908390285,5.345256282,304.4373491,0,2.889764719,2.637191026,2.123082587,5.429155929,329.4331779,0,3.130941993,2.927618486,2.29423381,5.544242182,356.9273872,0,3.01141842,2.779688933,2.148189254,5.471702649,343.3016999,0,2.535953774,2.261527031,1.746676562,5.265107255,289.0987302,0
BEN.6_1,6,2.139931382,1.794037137,1.670585048,5.165264459,194.7337557,0,2.265195389,1.958191257,1.806583867,5.205661705,206.1327804,0,2.500159154,2.256243019,2.042461087,5.260218981,227.5144831,0,2.791863531,2.641891975,2.203785309,5.347918356,254.0595813,0,2.931289356,2.769084079,2.275495683,5.421030042,266.7473314,0,2.914681053,2.681015021,2.332676863,5.479666954,265.2359758,0,2.843998281,2.625157742,2.331324229,5.478452707,258.8038435,0,2.721554162,2.485878338,2.240550353,5.471720974,247.6614288,0,3.009848401,2.803820751,2.42681475,5.597355648,273.8962045,0,3.143050549,2.962276377,2.421269195,5.565044202,286.0176,0,2.828855913,2.684622002,2.270908286,5.385317832,257.4258881,0,2.325830709,2.075399494,1.826160402,5.219482491,211.6505945,0
BEN.7_1,7,2.391288444,2.497513652,1.335456346,3.530430267,40.65190354,0,2.288454354,2.384068306,1.273405736,3.392219854,38.90372402,0,2.428480852,2.488138811,1.449442668,3.519038979,41.28417448,0,2.748171605,2.854110779,1.746462995,3.77036099,46.71891729,0,3.035357274,3.142697473,2.025125442,4.023512435,51.60107365,0,3.023486781,3.149159846,2.093908321,4.07385091,51.39927527,0,2.830256546,2.905576557,1.897287312,3.842237892,48.11436128,0,2.617305278,2.67699904,1.662997622,3.632114794,44.49418973,0,2.777107324,2.885863211,1.833523819,3.823893724,47.2108245,0,3.174822511,3.325156809,2.256775794,4.229326938,53.97198268,0,3.222092316,3.341535478,2.272177373,4.289292719,54.77556937,0,2.815444747,2.86672946,1.774803658,3.948774795,47.8625607,0
BEN.8_1,8,2.48847233,2.48847233,2.48847233,2.48847233,2.48847233,,2.453732273,2.453732273,2.453732273,2.453732273,2.453732273,,2.494035365,2.494035365,2.494035365,2.494035365,2.494035365,,2.614148158,2.614148158,2.614148158,2.614148158,2.614148158,,2.668749942,2.668749942,2.668749942,2.668749942,2.668749942,,2.649163986,2.649163986,2.649163986,2.649163986,2.649163986,,2.584484485,2.584484485,2.584484485,2.584484485,2.584484485,,2.51962578,2.51962578,2.51962578,2.51962578,2.51962578,,2.568226381,2.568226381,2.568226381,2.568226381,2.568226381,,2.668370476,2.668370476,2.668370476,2.668370476,2.668370476,,2.694158574,2.694158574,2.694158574,2.694158574,2.694158574,,2.629763819,2.629763819,2.629763819,2.629763819,2.629763819,
BEN.9_1,9,2.737352856,2.663124492,2.011306385,3.965991395,38.32293999,6.666666667,2.542257093,2.442511696,1.851493122,3.819342925,35.5915993,6.666666667,2.674199179,2.589415795,1.994699008,3.933415083,37.4387885,6.666666667,3.00865923,2.939467857,2.284048887,4.165350532,42.12122923,6.666666667,3.24763566,3.204547428,2.558081465,4.385974377,45.46689924,6.666666667,3.282883503,3.24636528,2.60870674,4.428902224,45.96036904,6.666666667,3.065616229,3.013523309,2.343390057,4.212260251,42.9186272,6.666666667,2.832655396,2.755341313,2.111603058,4.025721669,39.65717554,6.666666667,2.97472573,2.872968365,2.309327469,4.186579389,41.64616022,6.666666667,3.339877899,3.303924884,2.683750453,4.493324278,46.75829058,6.666666667,3.487518222,3.486417729,2.818059036,4.602739994,48.8252551,6.666666667,3.223487128,3.189317761,2.524948784,4.365431341,45.1288198,6.666666667
BEN.10_1,10,2.408656707,2.228087172,1.793545923,3.682366187,24.08656707,16.66666667,2.280512829,2.066539483,1.611934567,3.644163949,22.80512829,16.66666667,2.38126947,2.164540713,1.719336205,3.738614105,23.8126947,16.66666667,2.776063718,2.623550283,2.176847085,4.001768257,27.76063718,16.66666667,2.990129628,2.863646627,2.440913634,4.089451425,29.90129628,16.66666667,2.939129425,2.822704281,2.357337045,4.070791578,29.39129425,16.66666667,2.650245498,2.494109833,2.028878819,3.893245295,26.50245498,16.66666667,2.439049451,2.274846639,1.81587677,3.740270132,24.39049451,16.66666667,2.606021601,2.43303514,1.996491918,3.852947091,26.06021601,16.66666667,2.941839473,2.779406699,2.379311224,4.073349161,29.41839473,16.66666667,3.067813179,2.929966365,2.53833375,4.133724637,30.67813179,16.66666667,2.839340818,2.717792691,2.266038468,3.989822804,28.39340818,16.66666667
