GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1,1.406504698,1.37267682,1.109113872,1.892226534,300.9920055,0,1.386542893,1.343553336,1.104266355,1.894731408,296.7201791,0,1.40963961,1.36664234,1.144266887,1.902353592,301.6628766,0,1.496603081,1.455995812,1.222152883,1.916550984,320.2730593,0,1.614773774,1.592961586,1.329716203,2.035486001,345.5615876,0,1.848929621,1.850428813,1.481077965,2.227415582,395.6709388,0,2.037583944,2.057343815,1.551423281,2.257551917,436.0429641,0,2.177238634,2.199985938,1.59094661,2.377879776,465.9290676,0,2.371525509,2.428646487,1.744811592,2.60850617,507.5064589,0,2.111106874,2.129153186,1.655639721,2.384451421,451.776871,0,1.757671639,1.73783642,1.416400507,2.057389284,376.1417308,0,1.505112455,1.468251443,1.197848532,1.903804187,322.0940653,0
BEN.2_1,2,1.302667003,1.303157935,0.085380277,1.871048809,217.5453894,0,1.314998512,1.318603288,0.086459627,1.873243438,219.6047515,0,1.348491277,1.361237243,0.087937308,1.878919427,225.1980432,0,1.421120531,1.466089735,0.09057786,1.889303771,237.3271286,0,1.514973989,1.589299526,0.092550243,1.919983717,253.0006562,0,1.650474044,1.752792406,0.09379021,2.07563688,275.6291653,0,1.725807397,1.822604313,0.093173439,2.229546221,288.2098353,0,1.790838108,1.888731061,0.092659463,2.375141069,299.069964,0,1.925907332,2.006977975,0.09604528,2.580925903,321.6265244,0,1.814321715,1.917447951,0.095287166,2.346209471,302.9917264,0,1.554847271,1.663546314,0.090706354,1.983454157,259.6594943,0,1.357683111,1.386752944,0.086768012,1.875943778,226.7330795,0
BEN.3_1,3,1.558880958,1.717887121,0.001550446,3.8810338,40.53090491,0,1.551749392,1.713798875,0.001548725,3.871700517,40.3454842,0,1.556935431,1.719490372,0.001550446,3.874235912,40.4803212,0,1.574321021,1.73759703,0.001560771,3.890388384,40.93234655,0,1.5827567,1.743054054,0.001565933,3.897686133,41.15167421,0,1.580270436,1.741472631,0.001564213,3.896877909,41.08703133,0,1.570307338,1.729708431,0.001560771,3.888215091,40.8279908,0,1.561604797,1.719678573,0.001555609,3.881484967,40.60172471,0,1.567603498,1.727584202,0.00155905,3.884817005,40.75769095,0,1.58229812,1.742037479,0.001565933,3.89886399,41.13975113,0,1.587487433,1.745681688,0.001565933,3.905368091,41.27467326,0,1.577751179,1.737142737,0.001560771,3.897762158,41.02153066,0
BEN.4_1,4,0.880966614,0.86834838,0,1.979521111,187.6458888,0,0.882501423,0.868636564,0,1.979518463,187.9728031,0,0.890683029,0.868786276,0,1.979960104,189.7154853,0,0.906089451,0.869700994,0,1.982320414,192.997053,0,0.921374767,0.871661705,0,2.042516999,196.2528253,0,0.93686765,0.871624976,0,2.15443533,199.5528094,0,0.937209035,0.871551568,0,2.146841362,199.6255244,0,0.934952426,0.869882504,0,2.126448742,199.1448667,0,0.959702586,0.871932115,0,2.323054512,204.4166509,0,0.954771382,0.872375605,0,2.270449498,203.3663044,0,0.923330593,0.871600291,0,2.087536611,196.6694163,0,0.892269421,0.868962584,0,1.980373799,190.0533866,0
BEN.5_1,5,0.774234711,0.602127282,0,1.875864437,88.26275706,0,0.776429711,0.602726149,0,1.875658415,88.51298709,0,0.787033688,0.607373573,0,1.886428591,89.72184041,0,0.802682194,0.614578503,0,1.95259723,91.50577016,0,0.811681278,0.619956513,0,2.014478758,92.53166564,0,0.807758943,0.616866299,0,1.990919907,92.08451951,0,0.796787589,0.611150103,0,1.913481154,90.8337851,0,0.792691855,0.609230862,0,1.893181154,90.3668715,0,0.803076841,0.614232204,0,1.95709736,91.55075989,0,0.814326688,0.620120183,0,2.030596477,92.83324244,0,0.807988629,0.617473662,0,1.988612434,92.11070374,0,0.787124201,0.607809136,0,1.890008728,89.73215888,0
BEN.6_1,6,0.445970557,0.045268609,0,1.763988718,40.58332073,0,0.454123445,0.045398388,0,1.76842061,41.32523349,0,0.467945897,0.045563463,0,1.771974809,42.5830766,0,0.488484348,0.045729623,0,1.842439825,44.4520757,0,0.509373202,0.045848799,0,1.956415958,46.35296137,0,0.525081725,0.045967175,0,2.049599884,47.782437,0,0.524524964,0.045888916,0,2.045997272,47.7317717,0,0.521131066,0.045857552,0,2.001985356,47.42292696,0,0.549744062,0.046044402,0,2.161160111,50.02670962,0,0.54803131,0.04605899,0,2.172800811,49.87084924,0,0.504671517,0.04579171,0,1.906553792,45.92510804,0,0.46007582,0.045423739,0,1.770141072,41.86689961,0
BEN.7_1,7,1.742290066,1.853607954,0.15306298,1.936419166,29.61893113,0,1.732633498,1.846426371,0.152994767,1.936082674,29.45476946,0,1.742772664,1.851570715,0.153685926,1.944094102,29.62713529,0,1.769373289,1.87301467,0.154860057,1.956156768,30.07934592,0,1.792061305,1.893479419,0.155599778,2.003991996,30.46504218,0,1.789091124,1.89211153,0.155593374,1.983849562,30.41454911,0,1.773473006,1.873643746,0.154999657,1.96271985,30.1490411,0,1.756469027,1.859224848,0.154407467,1.950845555,29.85997346,0,1.769173025,1.871216496,0.154999872,1.957998446,30.07594142,0,1.800302701,1.903118435,0.156035646,2.010528479,30.60514592,0,1.805580398,1.906814988,0.155887131,2.030764262,30.69486677,0,1.776226838,1.88600606,0.154246158,1.969908268,30.19585625,0
BEN.8_1,8,3.332984765,3.332984765,3.332984765,3.332984765,3.332984765,,3.323031828,3.323031828,3.323031828,3.323031828,3.323031828,,3.352942759,3.352942759,3.352942759,3.352942759,3.352942759,,3.4271575,3.4271575,3.4271575,3.4271575,3.4271575,,3.451311243,3.451311243,3.451311243,3.451311243,3.451311243,,3.44452831,3.44452831,3.44452831,3.44452831,3.44452831,,3.395384005,3.395384005,3.395384005,3.395384005,3.395384005,,3.354862437,3.354862437,3.354862437,3.354862437,3.354862437,,3.3841953,3.3841953,3.3841953,3.3841953,3.3841953,,3.447530665,3.447530665,3.447530665,3.447530665,3.447530665,,3.463662418,3.463662418,3.463662418,3.463662418,3.463662418,,3.422842873,3.422842873,3.422842873,3.422842873,3.422842873,
BEN.9_1,9,2.495521454,2.487783475,0.773606221,3.919436071,34.93730036,6.666666667,2.482372759,2.450869761,0.762980655,3.915329056,34.75321862,6.666666667,2.491505945,2.47407066,0.770174072,3.91750923,34.88108323,6.666666667,2.512784409,2.526747132,0.790185811,3.926169667,35.17898172,6.666666667,2.530702251,2.578173885,0.796635846,3.930322542,35.42983151,6.666666667,2.533085117,2.583398949,0.802590908,3.930448814,35.46319164,6.666666667,2.516766977,2.536909136,0.794264129,3.926377066,35.23473768,6.666666667,2.5016786,2.497915107,0.781723254,3.919921988,35.0235004,6.666666667,2.512466234,2.531274933,0.787831704,3.922219683,35.17452728,6.666666667,2.538100772,2.601965554,0.804113559,3.931478267,35.53341081,6.666666667,2.547946333,2.628358204,0.8115208,3.935832731,35.67124866,6.666666667,2.529288141,2.574083846,0.799133986,3.930494096,35.41003398,6.666666667
BEN.10_1,10,2.2217729,1.962367652,0.309682593,3.771625531,22.217729,16.66666667,2.21759016,1.959291722,0.309378525,3.762721968,22.1759016,16.66666667,2.223675046,1.960150018,0.309682593,3.772560833,22.23675046,16.66666667,2.240864249,1.966006476,0.310290729,3.800998928,22.40864249,16.66666667,2.248245111,1.967621568,0.310293647,3.816585669,22.48245111,16.66666667,2.246539721,1.96681961,0.310141613,3.814504617,22.46539721,16.66666667,2.234789395,1.963816058,0.309834627,3.790667248,22.34789395,16.66666667,2.225220384,1.962726553,0.309682593,3.773170348,22.25220384,16.66666667,2.231929472,1.963666433,0.309834627,3.786235665,22.31929472,16.66666667,2.245925557,1.967401892,0.310293647,3.811832111,22.45925557,16.66666667,2.251215416,1.969947255,0.310293647,3.821638968,22.51215416,16.66666667,2.241376129,1.966957806,0.310138695,3.802826086,22.41376129,16.66666667
