GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1,1.29E-08,1.29E-08,1.29E-08,1.29E-08,2.76E-06,0,6.07E-06,6.13E-06,2.90E-06,1.04E-05,0.001299131,0,8.60E-07,7.33E-07,2.58E-08,3.47E-06,0.000183969,0,5.60E-06,4.86E-06,4.44E-07,1.83E-05,0.001198036,0,2.29E-05,2.19E-05,9.33E-06,5.37E-05,0.004903666,0,4.70E-05,4.60E-05,2.19E-05,9.70E-05,0.010066572,0,9.68E-05,9.37E-05,4.55E-05,0.000202538,0.020711554,0,0.000155576,0.000153532,0.000112406,0.000273202,0.033293265,0,0.000139833,0.000142716,7.02E-05,0.000243285,0.029924188,0,4.82E-05,4.53E-05,1.49E-05,0.000112302,0.010321429,0,5.51E-08,2.68E-08,1.46E-08,6.33E-07,1.18E-05,0,1.57E-08,1.29E-08,1.29E-08,2.58E-08,3.36E-06,0
BEN.2_1,2,1.29E-08,1.29E-08,1.29E-08,1.29E-08,2.16E-06,0,1.01E-05,8.95E-06,4.28E-06,2.14E-05,0.00169082,0,6.49E-06,4.74E-06,1.01E-06,2.16E-05,0.001084615,0,1.84E-05,1.68E-05,4.35E-06,4.28E-05,0.003075235,0,4.99E-05,4.86E-05,1.77E-05,0.000111595,0.008334693,0,8.41E-05,7.68E-05,3.06E-05,0.000198225,0.014039115,0,0.000138284,0.000136135,6.16E-05,0.000236111,0.023093396,0,0.000189178,0.00019001,0.000113125,0.000292482,0.031592707,0,0.000211973,0.000214136,0.000130801,0.00031358,0.035399465,0,0.000104138,0.000104488,3.94E-05,0.000209429,0.017391036,0,1.55E-06,6.01E-07,4.20E-08,1.13E-05,0.000259635,0,1.39E-08,1.29E-08,1.29E-08,2.56E-08,2.32E-06,0
BEN.3_1,3,9.26E-06,9.16E-06,4.76E-06,1.55E-05,0.000240763,0,3.64E-05,3.68E-05,2.19E-05,4.92E-05,0.000947329,0,4.04E-05,4.08E-05,2.18E-05,6.08E-05,0.001050806,0,6.60E-05,6.58E-05,3.53E-05,8.41E-05,0.001716665,0,0.00015155,0.000151489,9.12E-05,0.000195099,0.003940291,0,0.000163571,0.000164949,9.49E-05,0.000207168,0.004252858,0,0.000115788,0.000116183,6.24E-05,0.000157371,0.003010497,0,0.000113764,0.000115757,6.28E-05,0.000149747,0.002957867,0,0.000179372,0.000177936,0.000110005,0.000242527,0.00466368,0,0.000155669,0.000149158,0.000110196,0.000230527,0.004047402,0,8.28E-05,8.06E-05,5.32E-05,0.000133458,0.00215401,0,3.46E-05,3.43E-05,2.04E-05,5.53E-05,0.000899072,0
BEN.4_1,4,1.49E-08,1.29E-08,1.29E-08,7.41E-08,3.17E-06,0,9.91E-06,7.32E-06,4.18E-06,2.31E-05,0.002110442,0,1.03E-05,9.85E-06,1.47E-06,2.70E-05,0.002201541,0,2.51E-05,1.97E-05,5.67E-06,7.87E-05,0.005346675,0,6.15E-05,6.20E-05,2.78E-05,0.000107504,0.013097668,0,0.000118951,0.000118403,6.07E-05,0.000204185,0.025336552,0,0.000186543,0.000186596,0.000121223,0.000278372,0.039733554,0,0.000221513,0.000216494,0.000168812,0.000325599,0.04718217,0,0.000230015,0.000229485,0.000140234,0.000316332,0.048993178,0,0.000126355,0.000127898,6.21E-05,0.000190234,0.026913705,0,2.92E-06,6.99E-07,1.29E-08,2.20E-05,0.00062266,0,3.64E-08,2.39E-08,1.29E-08,2.62E-07,7.75E-06,0
BEN.5_1,5,2.78E-07,1.66E-07,1.41E-08,9.15E-07,3.17E-05,0,2.24E-05,2.11E-05,1.70E-05,3.90E-05,0.002555698,0,3.39E-05,3.24E-05,2.25E-05,5.53E-05,0.003869571,0,5.86E-05,5.62E-05,4.30E-05,8.42E-05,0.00667713,0,9.31E-05,9.28E-05,5.68E-05,0.00015248,0.010612202,0,0.00015975,0.000156195,0.000127601,0.000215473,0.018211536,0,0.000182407,0.000181991,0.000110444,0.000264725,0.020794396,0,0.000215224,0.000213797,0.000153494,0.000307582,0.024535571,0,0.000204047,0.000199455,0.000153198,0.000286429,0.023261359,0,0.000143972,0.000142715,0.000105021,0.000196757,0.016412808,0,2.37E-05,2.29E-05,1.21E-05,4.63E-05,0.002697253,0,1.64E-06,1.09E-06,6.49E-08,9.29E-06,0.000186676,0
BEN.6_1,6,1.36E-08,1.29E-08,1.29E-08,2.58E-08,1.24E-06,0,1.77E-05,1.82E-05,7.30E-06,2.97E-05,0.001612475,0,2.41E-05,2.42E-05,9.72E-06,3.74E-05,0.002189,0,4.77E-05,4.37E-05,1.70E-05,8.40E-05,0.004339693,0,8.21E-05,8.29E-05,5.09E-05,0.00011293,0.007468249,0,0.000172968,0.00017396,0.000114807,0.000229365,0.015740078,0,0.000213003,0.000219794,0.000140765,0.00028139,0.019383271,0,0.000226445,0.000229593,0.000156388,0.000280962,0.020606494,0,0.000222997,0.000226984,0.000147457,0.000287879,0.020292723,0,0.000140924,0.000139574,0.000110495,0.000181974,0.012824125,0,7.96E-06,7.34E-06,6.78E-07,1.77E-05,0.000724406,0,5.54E-08,1.29E-08,1.29E-08,2.54E-07,5.04E-06,0
BEN.7_1,7,3.68E-06,2.79E-06,1.08E-06,8.76E-06,6.25E-05,0,2.99E-05,2.93E-05,2.20E-05,3.98E-05,0.000508382,0,3.46E-05,3.43E-05,2.71E-05,4.45E-05,0.000588872,0,6.59E-05,6.48E-05,4.98E-05,8.30E-05,0.001120458,0,0.000137718,0.000132532,0.000107474,0.000190294,0.002341213,0,0.000153272,0.000152547,0.00012743,0.000189526,0.002605628,0,0.000155939,0.000153233,0.000135909,0.000184044,0.002650956,0,0.000166056,0.000168213,0.000134406,0.000200857,0.002822948,0,0.000211096,0.000213292,0.000166657,0.000255163,0.003588639,0,0.000171952,0.000169258,0.000144001,0.000221031,0.002923184,0,6.80E-05,6.82E-05,4.71E-05,9.97E-05,0.001155279,0,1.70E-05,1.56E-05,6.84E-06,3.06E-05,0.000288672,0
BEN.8_1,8,8.77961E-06,8.77961E-06,8.77961E-06,8.77961E-06,8.77961E-06,,3.12988E-05,3.12988E-05,3.12988E-05,3.12988E-05,3.12988E-05,,4.13315E-05,4.13315E-05,4.13315E-05,4.13315E-05,4.13315E-05,,5.51743E-05,5.51743E-05,5.51743E-05,5.51743E-05,5.51743E-05,,0.00012385,0.00012385,0.00012385,0.00012385,0.00012385,,0.000137781,0.000137781,0.000137781,0.000137781,0.000137781,,8.5067E-05,8.5067E-05,8.5067E-05,8.5067E-05,8.5067E-05,,8.05746E-05,8.05746E-05,8.05746E-05,8.05746E-05,8.05746E-05,,0.00013586,0.00013586,0.00013586,0.00013586,0.00013586,,0.000110422,0.000110422,0.000110422,0.000110422,0.000110422,,5.32291E-05,5.32291E-05,5.32291E-05,5.32291E-05,5.32291E-05,,2.54024E-05,2.54024E-05,2.54024E-05,2.54024E-05,2.54024E-05,
BEN.9_1,9,1.08E-05,1.09E-05,7.48E-06,1.29E-05,0.000151631,6.666666667,3.89E-05,3.84E-05,3.36E-05,4.48E-05,0.000544252,6.666666667,3.95E-05,4.02E-05,3.56E-05,4.27E-05,0.000552681,6.666666667,6.84E-05,6.99E-05,5.33E-05,8.33E-05,0.000957693,6.666666667,0.000162469,0.000165382,0.000126263,0.000203724,0.00227457,6.666666667,0.00017401,0.000175481,0.000145063,0.000203524,0.002436144,6.666666667,0.000126039,0.000133717,7.63E-05,0.000168272,0.001764549,6.666666667,0.000131292,0.000140169,7.47E-05,0.00018205,0.001838091,6.666666667,0.000206615,0.000211222,0.000135771,0.000264164,0.002892616,6.666666667,0.00019973,0.000207096,0.000141114,0.000230173,0.002796226,6.666666667,9.94E-05,9.93E-05,7.48E-05,0.000121564,0.001391892,6.666666667,4.16E-05,4.28E-05,3.33E-05,4.94E-05,0.000582102,6.666666667
BEN.10_1,10,1.17E-05,1.24E-05,4.04E-06,1.66E-05,0.000117009,16.66666667,4.07E-05,3.91E-05,2.83E-05,5.27E-05,0.000406572,16.66666667,5.02E-05,4.73E-05,3.05E-05,6.66E-05,0.000501638,16.66666667,7.11E-05,7.14E-05,5.66E-05,8.21E-05,0.000710719,16.66666667,0.000162386,0.000155127,0.000142143,0.000186583,0.001623857,16.66666667,0.000177204,0.000173192,0.000147058,0.000213136,0.001772037,16.66666667,0.000117296,0.000117263,0.000102543,0.000130028,0.001172956,16.66666667,0.000117495,0.000116754,0.000105013,0.000132052,0.001174955,16.66666667,0.000187003,0.000184219,0.000161666,0.000220323,0.001870028,16.66666667,0.000142193,0.000133451,0.000117291,0.000175784,0.001421933,16.66666667,7.84E-05,8.03E-05,5.57E-05,9.90E-05,0.000784096,16.66666667,3.43E-05,3.62E-05,1.94E-05,4.71E-05,0.000343033,16.66666667
