GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BWA.1_1,1,27.02183151,27.13481712,24.78876877,28.38014984,33047.69922,0,22.81820679,22.78283882,20.80758858,25.03270531,27906.66797,0,22.97967339,22.98453522,21.19432259,25.06835556,28104.14063,0,21.71323586,21.79446793,19.66192055,23.60468102,26555.28711,0,19.53278351,19.42780304,17.46520042,21.50256729,23888.59375,0,16.53702736,16.36045074,14.71273232,18.67150307,20224.78516,0,15.24328899,15.17212582,13.07302761,17.30586815,18642.54297,0,21.22436142,21.03311729,19.39196396,23.70549011,25957.39453,0,24.32942581,24.20552635,22.76519394,26.51169586,29754.88672,0,24.43107796,24.16160393,22.16784096,27.3292675,29879.20898,0,26.34316635,26.18602371,23.90594673,28.70829773,32217.69141,0,27.27490425,27.32544708,25.09625816,29.06520462,33357.20703,0
BWA.2_1,2,26.11778831,26.08686256,25.3022747,27.10079193,4753.4375,0,22.21902847,22.34321594,21.22950935,22.65313148,4043.863037,0,22.94150352,23.07415962,22.13374138,23.46403694,4175.353516,0,22.02019119,22.0855217,21.14038849,22.68730927,4007.674805,0,20.98389244,21.11584854,19.71268463,21.64081383,3819.068359,0,18.38125992,18.52689743,17.16795349,19.00714111,3345.38916,0,17.62759972,17.76160049,16.41121674,18.35671616,3208.223145,0,23.60786247,23.70677376,22.26294518,24.17646027,4296.630859,0,26.45706367,26.56184196,25.16419411,26.98251534,4815.185547,0,27.24992752,27.41750717,25.80494118,27.92505455,4959.486816,0,28.36897469,28.53256607,26.80078125,29.10717583,5163.15332,0,27.57794189,27.6223793,26.01774406,28.5368824,5019.185547,0
BWA.3_1,3,26.0673008,26.0673008,26.0673008,26.0673008,26.0673008,,21.7514992,21.7514992,21.7514992,21.7514992,21.7514992,,22.6637993,22.6637993,22.6637993,22.6637993,22.6637993,,21.218399,21.218399,21.218399,21.218399,21.218399,,19.2926006,19.2926006,19.2926006,19.2926006,19.2926006,,16.0294991,16.0294991,16.0294991,16.0294991,16.0294991,,14.5746002,14.5746002,14.5746002,14.5746002,14.5746002,,21.2401009,21.2401009,21.2401009,21.2401009,21.2401009,,24.5375996,24.5375996,24.5375996,24.5375996,24.5375996,,23.3857002,23.3857002,23.3857002,23.3857002,23.3857002,,25.5443993,25.5443993,25.5443993,25.5443993,25.5443993,,26.4974003,26.4974003,26.4974003,26.4974003,26.4974003,
BWA.4_1,4,27.92370224,27.92370224,27.83909416,28.00831032,55.84740448,0,24.52438545,24.52438545,24.45359039,24.59518051,49.0487709,0,22.71679497,22.71679497,22.65765381,22.77593613,45.43358994,0,20.71634674,20.71634674,20.68535233,20.74733925,41.43269348,0,17.47605515,17.47605515,17.40922356,17.54288483,34.95211029,0,14.48504829,14.48504829,14.39825153,14.5718441,28.97009659,0,13.59429932,13.59429932,13.48534584,13.70325375,27.18859863,0,19.10641098,19.10641098,19.01140785,19.20141602,38.21282196,0,22.75463486,22.75463486,22.6301384,22.87912941,45.50926971,0,23.93037796,23.93037796,23.84049034,24.02026749,47.86075592,0,26.45687866,26.45687866,26.38689995,26.52685738,52.91375732,0,28.14678001,28.14678001,28.11003304,28.18352699,56.29356003,0
BWA.5_1,5,27.95182037,27.95011711,26.73686218,28.66583443,26414.4707,0,24.8113575,24.93127632,23.22293091,26.36135292,23446.73242,0,23.51386642,23.66426659,22.50274086,24.50522804,22220.60352,0,22.2865715,22.21338272,20.63937187,23.39549828,21060.81055,0,19.74922943,19.78787041,18.58543396,20.98741722,18663.02148,0,16.22314072,16.1674118,15.25691605,17.4006691,15330.86816,0,14.47951889,14.5027504,13.22834873,15.7348032,13683.14551,0,20.10474968,20.4443264,17.20166397,21.61530685,18998.98828,0,23.33000183,23.58942413,21.12988281,24.48274612,22046.85156,0,25.02687263,25.18562126,23.7274704,25.92482376,23650.39453,0,27.67267227,27.75272369,26.34712982,28.43797684,26150.67578,0,28.51904106,28.5331459,27.17591858,29.24212837,26950.49414,0
BWA.6_1,6,26.8537998,26.8537998,26.8537998,26.8537998,26.8537998,,23.9183006,23.9183006,23.9183006,23.9183006,23.9183006,,22.6362991,22.6362991,22.6362991,22.6362991,22.6362991,,20.5181999,20.5181999,20.5181999,20.5181999,20.5181999,,17.0459003,17.0459003,17.0459003,17.0459003,17.0459003,,14.0312996,14.0312996,14.0312996,14.0312996,14.0312996,,12.6358004,12.6358004,12.6358004,12.6358004,12.6358004,,18.1005001,18.1005001,18.1005001,18.1005001,18.1005001,,21.4964008,21.4964008,21.4964008,21.4964008,21.4964008,,23.3262005,23.3262005,23.3262005,23.3262005,23.3262005,,25.7949009,25.7949009,25.7949009,25.7949009,25.7949009,,27.4561996,27.4561996,27.4561996,27.4561996,27.4561996,
BWA.7_1,7,28.88248825,28.97199631,27.55758667,29.78578949,25070,0,26.87645721,27.00960922,24.80680656,28.15907669,23328.76563,0,25.14444542,25.01710892,23.22186661,26.58450127,21825.37891,0,22.24363708,22.40672684,20.03814125,22.87835693,19307.47656,0,18.51068687,18.72795486,16.26740456,19.37708855,16067.27539,0,14.91347027,15.11094666,13.26347446,15.80290794,12944.89258,0,13.71371269,13.71961403,12.40109539,14.23842812,11903.50293,0,16.31838226,16.48171043,13.12421608,18.99801636,14164.35547,0,20.47768402,20.68315887,18.05452347,22.54277229,17774.62891,0,24.32568359,24.33601189,23.47749519,24.91460991,21114.69336,0,27.03978729,27.06830978,26.12814713,27.45379448,23470.53516,0,28.99160194,29.06600189,28.18531609,29.55473709,25164.71094,0
BWA.8_1,8,28.12145805,28.21360779,27.24086189,28.62077904,1799.773315,0,24.73027039,24.77108383,23.73521423,25.29520607,1582.737305,0,23.20755577,23.15795898,22.53822517,23.99496841,1485.283569,0,21.15215492,21.07970428,20.50634003,22.07312202,1353.737915,0,17.94015121,17.85338974,17.33065987,18.70941162,1148.169678,0,14.97490311,14.87714767,14.3493681,15.66335201,958.3937988,0,14.18159008,14.14205742,13.34192276,14.90727615,907.6217651,0,20.0580368,20.04390717,19.25262833,20.71872711,1283.714355,0,23.54052353,23.5139637,22.80046272,24.12817764,1506.593506,0,24.27529907,24.36198425,23.40899467,24.82885361,1553.619141,0,26.52024841,26.57668495,25.74051476,26.87520599,1697.295898,0,28.11950302,28.18566322,27.29963875,28.48064613,1799.648193,0
BWA.9_1,9,27.51346397,27.59931946,26.186903,28.14397621,8804.308594,0,24.44409561,24.43363953,22.91332245,25.89130783,7822.110352,0,23.05632401,23.05314255,21.60705185,24.00138283,7378.023438,0,21.23669815,21.3454628,19.57725716,22.54040909,6795.743164,0,18.02280807,18.05103683,16.47587013,19.34140778,5767.298828,0,14.8993988,14.91327477,13.74355507,15.80627632,4767.807617,0,13.25559044,13.28873253,12.13202095,13.96269608,4241.789063,0,19.1793766,19.11572647,18.09171486,20.4820385,6137.400391,0,22.55199623,22.51793861,21.37528801,23.6517601,7216.638672,0,24.06766701,24.19166565,22.62660789,25.00853539,7701.65332,0,26.42493248,26.54255676,25.05081558,27.25099564,8455.978516,0,27.82501221,27.85997009,26.68367004,28.64496803,8904.003906,0
BWA.10_1,10,26.1793995,26.1793995,26.1793995,26.1793995,26.1793995,,22.7830009,22.7830009,22.7830009,22.7830009,22.7830009,,21.5869007,21.5869007,21.5869007,21.5869007,21.5869007,,19.2889996,19.2889996,19.2889996,19.2889996,19.2889996,,16.0389996,16.0389996,16.0389996,16.0389996,16.0389996,,13.4324999,13.4324999,13.4324999,13.4324999,13.4324999,,12.2953997,12.2953997,12.2953997,12.2953997,12.2953997,,17.2143002,17.2143002,17.2143002,17.2143002,17.2143002,,20.9044991,20.9044991,20.9044991,20.9044991,20.9044991,,22.3453999,22.3453999,22.3453999,22.3453999,22.3453999,,24.7985001,24.7985001,24.7985001,24.7985001,24.7985001,,26.5340996,26.5340996,26.5340996,26.5340996,26.5340996,
