GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
CIV.1_1,1.0,296.7932448242968,296.78681368319536,296.4555526674364,297.08759419328516,4748.691917188748,0.0,297.2248159640372,297.1955045933911,296.93244837945184,297.5603855681201,4755.597055424595,0.0,297.01976669639214,296.9863722099757,296.83247266704984,297.297820084969,4752.316267142274,0.0,297.093993840222,297.0849129180142,296.95023876254385,297.300794674301,4753.503901443552,0.0,296.76311335284413,296.75469388860864,296.62357720339884,296.92025849229765,4748.209813645506,0.0,295.97412905514716,295.96825978665856,295.82173749443945,296.11616138903213,4735.586064882355,0.0,295.41805125541873,295.41197081436894,295.2696883949737,295.58525097477934,4726.6888200867,0.0,294.90357804113046,294.8756116944163,294.7253580435131,295.1515927021448,4718.457248658087,0.0,295.7806985899449,295.7716078756653,295.6384436196912,295.9444534714814,4732.491177439119,0.0,296.4421608616364,296.4431021244384,296.30092026080416,296.5752618362893,4743.074573786183,0.0,296.9971028841485,296.9906459312632,296.8570265855272,297.1535681824353,4751.953646146376,0.0,297.1033077535778,297.11368931327826,296.9212597596378,297.31194531276407,4753.6529240572445,0.0
CIV.2_1,2.0,295.3540414745878,295.48456743076025,293.4710422629753,296.9546846647428,64977.889124409325,1.7857142857142856,295.94135820244,296.05961995963014,294.51559525489864,297.22798685288035,65107.0988045368,1.7857142857142856,296.1247435306368,296.0987722483733,295.4147841207825,297.02202552106087,65147.4435767401,1.7857142857142856,296.4182245524006,296.3768273083076,295.86784749961816,297.2527752918235,65212.00940152813,1.7857142857142856,296.17384732663504,296.11788601417436,295.7072950463331,296.9529969497663,65158.2464118597,1.7857142857142856,295.4705524036013,295.43602970284314,294.9644554379871,296.14411169865383,65003.521528792284,1.7857142857142856,294.81409581726774,294.77043912231443,294.40214774331326,295.4720775239433,64859.101079798915,1.7857142857142856,294.43316290842097,294.37867283587667,294.0054019915418,295.1196879935679,64775.295839852624,1.7857142857142856,295.47144043293235,295.4416523178578,295.1193218206105,296.03126322474344,65003.716895245125,1.7857142857142856,295.9619080435678,295.9357036493268,295.5116685086589,296.64730411037965,65111.61976958492,1.7857142857142856,296.39104630875096,296.35052475428034,295.90597814831403,297.10352804124415,65206.030187925215,1.7857142857142856,296.0910703871075,296.0926654117828,294.8697228431782,297.23960577794946,65140.03548516365,1.7857142857142856
CIV.3_1,3.0,294.32297480687197,295.1888251832833,288.7962595577825,297.3714329199129,32669.850203562797,4.310344827586206,295.9445842421082,296.30109082950594,293.2860177251713,297.7202037495605,32849.84885087401,4.310344827586206,296.49276620243734,296.5362586878641,295.58624631752605,297.4747984682157,32910.69704847054,4.310344827586206,296.6658115745153,296.7431502593376,295.807574024571,297.4909713091066,32929.9050847712,4.310344827586206,296.3890077772937,296.3910180240733,295.66802371835814,297.17454616124087,32899.179863279605,4.310344827586206,295.66222379889086,295.6536529235187,294.98463765197636,296.4228606433108,32818.50684167689,4.310344827586206,295.11897056086326,295.07511164025834,294.559391520146,295.8060141769648,32758.20573225582,4.310344827586206,294.5680929394356,294.52412036255345,293.9843624447877,295.28794911296563,32697.05831627736,4.310344827586206,295.51778487123,295.4559600442873,295.0689287253544,296.0881531535683,32802.47412070653,4.310344827586206,296.2179563066289,296.1518004331905,295.76755410560014,296.77585047492994,32880.193150035804,4.310344827586206,296.7115178843032,296.6372884203518,296.2249607835954,297.34895438087267,32934.97848515765,4.310344827586206,295.49761653752967,295.90611564373495,292.49196180319365,297.54652150173195,32800.23543566579,4.310344827586206
CIV.4_1,4.0,276.60520022984105,276.47585535668065,275.3142449518529,280.34836288524065,48682.51524045202,0.0,283.81156656978936,283.53687496566533,281.93766817424245,287.38911910150773,49950.83571628294,0.0,291.5930935674541,291.87257921781367,288.4369662613852,293.7668913771203,51320.384467871925,0.0,293.93452246138753,293.9135645489193,292.90293976351296,295.17382014255816,51732.47595320421,0.0,294.77109264994937,294.75012364189604,294.2498800807545,295.2755016217555,51879.712306391084,0.0,294.8987485104273,294.90451546939863,294.59430763811804,295.19946405879716,51902.179737835206,0.0,294.62173105273223,294.62006212517065,294.14810611484023,295.15634977793417,51853.42466528087,0.0,294.35605885985444,294.37154013062656,293.91512409193854,294.78523391253066,51806.666359334384,0.0,294.8505383698491,294.85483073205484,294.35430929157445,295.42786415951036,51893.694753093434,0.0,294.7278368847725,294.6860258198198,294.2302393986895,295.3198805595652,51872.09929171996,0.0,291.6986029127424,291.55854381647265,289.891456354703,294.4249794273534,51338.95411264265,0.0,281.25138504728875,280.8902124059424,279.7281937981359,285.19094330349856,49500.24376832282,0.0
CIV.5_1,5.0,294.3637244714377,294.1800241250212,291.964810179675,297.25118512279226,37384.193007872585,0.0,295.2811602686298,295.064201593239,293.9480407800268,297.5028409285398,37500.707354115984,0.0,295.8495718689323,295.6648837479456,295.2249642873836,297.3299557836072,37572.8956273544,0.0,296.29166767070683,296.1510459336749,295.86478540904426,297.4327466101935,37629.041794179764,0.0,296.06457761630764,295.93687975306824,295.70187688315775,297.10906517439525,37600.20135727107,0.0,295.3116764133875,295.16120713171415,294.88248870162164,296.3808559554272,37504.58290450022,0.0,294.7340489085076,294.59852483362016,294.35590088642164,295.70439534035967,37431.22421138046,0.0,294.27747338012506,294.16242992913976,293.9142938663759,295.25826185017286,37373.23911927588,0.0,295.33377690744663,295.2475192396878,295.04267798482346,296.07322356079004,37507.38966724572,0.0,295.9254942003268,295.8155877475127,295.59236836119044,296.75944368837935,37582.53776344151,0.0,296.3751198655283,296.24732797762465,296.0121398425563,297.3103423622073,37639.64022292209,0.0,295.60127957983434,295.42183656327177,294.263367261178,297.58608771723306,37541.36250663895,0.0
CIV.6_1,6.0,290.6118355893887,291.21771696134493,283.20779651693766,294.5457163123772,62481.54465171858,0.0,293.7024994083161,293.8549355016935,290.3943380618324,295.77200966732823,63146.03737278795,0.0,295.69092666138545,295.6589257264602,295.07988142768903,296.36706574770795,63573.54923219788,0.0,296.12678483560006,296.10555674783745,295.5701144385418,296.74192642797334,63667.258739654026,0.0,295.94413959944563,295.9480397255269,295.4263084640823,296.42615763943536,63627.99001388081,0.0,295.2636117204632,295.2503659754791,294.85292227448025,295.70673463660097,63481.67651989957,0.0,294.85041669613895,294.85846519880937,294.57977646838486,295.111158168418,63392.83958966987,0.0,294.37430026710257,294.37913316680647,294.0994698674152,294.68790850332306,63290.474557427064,0.0,295.3988407006861,295.4058645777665,295.1527879307086,295.6594759949396,63510.75075064753,0.0,296.0094830363483,296.0082319731831,295.67597064438615,296.3050410727933,63642.038852814876,0.0,296.4002640809164,296.4098854493103,295.81916479964667,296.79410479257695,63726.05677739702,0.0,293.1603601524764,293.2849240017032,289.7563659647745,295.7732851916383,63029.47743278241,0.0
CIV.7_1,7.0,295.4656983262031,295.61673995092167,293.01593625404155,297.12796370513735,45501.71754223528,3.1446540880503147,296.29520811773887,296.39176434596783,294.5929845005793,297.4874760208442,45629.46205013178,3.1446540880503147,296.5532207139792,296.58626069533784,295.5948213797773,297.2304937887451,45669.19598995279,3.1446540880503147,296.81936986207904,296.86183856800073,296.13062416425254,297.31150073272295,45710.182958760175,3.1446540880503147,296.5308209278072,296.53897546071005,295.99406928089724,297.0584796833166,45665.74642288232,3.1446540880503147,295.79687701285,295.78618551467065,295.24657944893767,296.36181122928474,45552.719059978896,3.1446540880503147,295.20779690707946,295.2021817526639,294.67930392236894,295.68238218455934,45462.00072369023,3.1446540880503147,294.65745952528977,294.6345547790021,294.23023283228366,295.2127101552972,45377.24876689463,3.1446540880503147,295.6190466226654,295.6138446871508,295.27576699536075,296.05070052786135,45525.33317989047,3.1446540880503147,296.33284221597637,296.33886292411495,295.89307530286607,296.75613556066105,45635.25770126036,3.1446540880503147,296.8319379349958,296.8171709619178,296.35361078490104,297.23736378813754,45712.11844198935,3.1446540880503147,296.3198602885535,296.40219911285647,294.581682822023,297.5073000004881,45633.25848443724,3.1446540880503147
CIV.8_1,8.0,290.32742332490534,291.3402611576252,281.80191113978117,294.47382539499336,72001.20098457651,0.0,292.6303206253725,293.0716828016143,288.08551804934905,295.1476782121887,72572.31951509239,0.0,295.0399774931021,295.1912283714096,293.54109202138176,295.71865072320537,73169.91441828932,0.0,295.4497832130774,295.542031736931,294.0991960044807,296.107441561995,73271.54623684319,0.0,295.29161454413963,295.3997462651177,293.9074546492529,295.90380833644934,73232.32040694662,0.0,294.75905888990764,294.8926940921193,293.4401287753448,295.2673197384378,73100.24660469707,0.0,294.31240421542185,294.45052313421934,292.95628181987263,294.90092912977934,72989.47624542461,0.0,293.8802712678373,293.99433091631715,292.5115992637086,294.40944144311436,72882.30727442366,0.0,294.8567350608812,294.9856957863052,293.3906336577992,295.42905524929404,73124.47029509852,0.0,295.30070633955813,295.4427375627376,293.811451695937,295.99577312764774,73234.5751722104,0.0,295.5778172360577,295.76887506152207,293.9678093839001,296.3587243465453,73303.29867454231,0.0,292.9858992034592,293.72503865940047,286.7467202635816,295.5684996884922,72660.50300245789,0.0
CIV.9_1,9.0,290.0481031651757,290.5751437583025,283.9972648156804,293.4925742819807,55979.283910878905,0.0,292.60660276210126,292.9479089323846,289.10713210049704,294.4969704081565,56473.07433308555,0.0,295.1412742248784,295.1821853926985,294.43212019627015,295.59605972434014,56962.26592540152,0.0,295.76021361391093,295.7845505016691,295.2334055752594,296.08746971772626,57081.72122748481,0.0,295.58883945391653,295.64553916700487,294.9050040843164,295.9527147465304,57048.64601460589,0.0,294.9202797913199,294.9361139572645,294.5114696748072,295.2309125602325,56919.61399972474,0.0,294.59909620195845,294.5952578489677,294.3767619221378,295.0721099462373,56857.62556697798,0.0,294.19894344739606,294.1817151140522,293.96280062099447,294.81896123366425,56780.39608534744,0.0,295.2180468906758,295.220064404349,294.96339383591436,295.6666774142437,56977.08304990044,0.0,295.73021013346136,295.7444670230965,295.3826710511365,296.2357405452384,57075.930555758045,0.0,296.0494864058544,296.07757454658014,295.62152968268936,296.50105969119187,57137.5508763299,0.0,292.96480157241194,293.13882310311465,289.5813154790965,295.1514390749371,56542.20670347551,0.0
CIV.10_1,10.0,276.7528410478253,276.76989426203795,274.2431077267173,280.24860298047423,90221.42618159106,0.0,284.48691111689334,284.39336937450423,281.8200772046956,286.7656688650078,92742.73302410722,0.0,292.09619288254885,292.3107663074128,287.51930561679023,294.38693148726895,95223.35887971094,0.0,294.160077149894,294.1952185748506,292.1314894872773,295.41790937138813,95896.18515086544,0.0,294.70707605955613,294.75469070010536,293.56690574343435,295.4665408299672,96074.50679541528,0.0,295.00663213762573,295.0111332210538,294.6301531181525,295.3934496426864,96172.16207686599,0.0,294.97427573174406,294.9932380577858,294.4489187499817,295.4704857171685,96161.61388854856,0.0,294.6899915517792,294.72818417990504,294.11701250761365,295.2708582545339,96068.93724587996,0.0,295.26743128489005,295.2740468546173,294.69519094444286,295.83783158405976,96257.18259887416,0.0,295.3610138666201,295.3761691713303,294.59913819762716,296.24885765356026,96287.69052051817,0.0,292.4759637125358,292.5191955967533,289.42284680212043,295.2960763589425,95347.16417028668,0.0,281.24762627551297,281.06783878768744,278.75594603868524,285.2199284687101,91686.72616581725,0.0
