GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
EGY.1_1,1.0,2.7569470262789928e-05,2.8781986601433974e-05,1.143918130998174e-05,3.4135991466472356e-05,0.0007995146376209082,3.333333333333333,3.550207289399251e-05,3.6983890441019375e-05,1.7571171651139122e-05,4.057338710024827e-05,0.0010295601139257828,3.333333333333333,4.341117216690963e-06,4.311791146552011e-06,2.5607177887581047e-06,6.26416465301504e-06,0.00012589239928403797,3.333333333333333,4.085501854068417e-06,4.198774739185202e-06,2.191851142208481e-06,6.178701288921244e-06,0.00011847955376798408,3.333333333333333,3.358238868775302e-06,3.5357264278349785e-06,1.726687305304902e-06,4.930929099525988e-06,9.738892719448376e-05,3.333333333333333,1.3426744912311131e-06,1.2935664976382244e-06,5.818310481565348e-07,2.20610303935722e-06,3.893756024570229e-05,3.333333333333333,5.481458840577974e-07,4.677015412924897e-07,1.5497519360634508e-07,1.3802248991352643e-06,1.5896230637676128e-05,3.333333333333333,7.887388598700644e-07,7.301675257315317e-07,4.0251671092640646e-07,1.718723281848541e-06,2.287342693623186e-05,3.333333333333333,1.7091886112163082e-06,1.6823803251841952e-06,8.789694396164922e-07,2.7350256996002743e-06,4.956646972527294e-05,3.333333333333333,1.927491497294233e-06,1.7445204228582374e-06,8.765051805371398e-07,3.2550448828251987e-06,5.589725342153275e-05,3.333333333333333,2.559700334892025e-05,2.7569457213842083e-05,1.0530425861636644e-05,3.7436347407087485e-05,0.0007423130971186874,3.333333333333333,1.6669011185690882e-05,1.423119148382136e-05,7.185383724682747e-06,3.0392178590528887e-05,0.00048340132438503554,3.333333333333333
EGY.2_1,2.0,2.223417911109312e-06,1.8772974060965915e-06,2.801120787553661e-07,8.659231621569988e-06,0.001967724851331741,0.7847533632286996,7.806696766009499e-07,3.407664668369504e-07,5.421010862427521e-20,1.0256166804885772e-05,0.0006908926637918405,0.7847533632286996,1.4302228294174284e-07,5.421010862427521e-20,5.421010862427521e-20,7.909933673775662e-06,0.00012657472040344242,0.7847533632286996,8.570066317231526e-08,5.421010862427521e-20,5.421010862427521e-20,5.25095848122213e-06,7.584508690749901e-05,0.7847533632286996,5.0262333296125604e-08,5.421010862427521e-20,5.421010862427521e-20,2.551882275999394e-06,4.4482164967071164e-05,0.7847533632286996,1.067174476588843e-08,5.421010862427521e-20,5.421010862427521e-20,1.0053814576211715e-06,9.444494117811259e-06,0.7847533632286996,1.3011038423808618e-08,5.421010862427521e-20,5.421010862427521e-20,9.62776495533084e-07,1.1514769005070626e-05,0.7847533632286996,2.8023412536575888e-08,5.421010862427521e-20,5.421010862427521e-20,1.8324715086336842e-06,2.4800720094869658e-05,0.7847533632286996,2.7487063897166902e-08,5.421010862427521e-20,5.421010862427521e-20,2.429359672775064e-06,2.432605154899271e-05,0.7847533632286996,6.191204784554328e-07,3.4096846266100614e-07,5.421010862427521e-20,4.580994759666983e-06,0.000547921623433058,0.7847533632286996,2.088039751909885e-06,1.6258888854208009e-06,1.8370686284475468e-08,1.0318602257567163e-05,0.0018479151804402484,0.7847533632286996,2.1663161176024016e-06,1.5928595328178257e-06,5.421010862427521e-20,1.0529876919102844e-05,0.0019171897640781253,0.7847533632286996
EGY.3_1,3.0,1.7344002574176266e-05,9.695444895814446e-06,4.6627874989875225e-06,4.0691473450332095e-05,0.0016650242471209216,1.0309278350515465,1.69399021625621e-05,1.229225613955988e-05,4.207715918714284e-06,3.736625799494259e-05,0.0016262306076059616,1.0309278350515465,4.9109424930662335e-06,4.770908454024919e-06,1.6549440322148237e-06,9.293910891147124e-06,0.0004714504793343584,1.0309278350515465,5.3106835599526935e-06,5.271820993447577e-06,1.479163677171273e-06,1.0202394492300847e-05,0.0005098256217554585,1.0309278350515465,2.6883848123145697e-06,2.61261384579731e-06,5.350452661192264e-07,7.201226302543988e-06,0.0002580849419821987,1.0309278350515465,2.0391804009675098e-06,1.6740461854054225e-06,5.775437038988679e-07,5.3722489913173065e-06,0.00019576131849288097,1.0309278350515465,3.0851769946502413e-06,2.903099771308623e-06,3.6287636894412477e-07,8.303412983899813e-06,0.0002961769914864231,1.0309278350515465,3.758516938703621e-06,3.945206385850203e-06,6.48434987862672e-07,9.250992720931759e-06,0.00036081762611554763,1.0309278350515465,5.8415804206568645e-06,5.601539412504914e-06,1.035002464194206e-06,1.3319669305644494e-05,0.000560791720383059,1.0309278350515465,3.368803269004717e-06,3.33978387504659e-06,1.0338636131796544e-06,6.1819595842436535e-06,0.0003234051138244528,1.0309278350515465,1.7494929802585788e-05,1.175421079268336e-05,4.311881412986666e-06,4.584327213568974e-05,0.0016795132610482356,1.0309278350515465,1.730806524197139e-05,7.19871703901774e-06,2.83184801979404e-06,5.473650351913318e-05,0.0016615742632292536,1.0309278350515465
EGY.4_1,4.0,5.548990703870207e-06,5.8895362912627544e-06,2.0903407102104307e-06,7.55455354634589e-06,0.00028299852589738056,0.0,4.893308473815901e-06,3.3730093608545015e-06,1.2387010211204882e-06,1.310769207248949e-05,0.00024955873216461093,0.0,6.417597835754864e-07,5.751062555409989e-07,2.095528505441434e-07,1.219610639370495e-06,3.2729748962349826e-05,0.0,3.4059891628905863e-07,2.2926833590196108e-07,1.4882522603077094e-07,8.905393204587571e-07,1.7370544730741988e-05,0.0,5.2627590386896925e-08,5.22745751931237e-08,5.421010862427521e-20,1.2679580964733428e-07,2.684007109731743e-06,0.0,2.828528864448484e-08,2.4546714480115423e-08,5.421010862427521e-20,1.3980790435700093e-07,1.4425497208687268e-06,0.0,1.5547243106674276e-07,7.812521937810012e-08,1.2582355263056032e-08,7.20849083160237e-07,7.92909398440388e-06,0.0,6.051052798840234e-07,3.142458634106254e-07,1.4505938802602983e-08,1.926485613044419e-06,3.086036927408519e-05,0.0,7.020069850937173e-07,4.346790713964838e-07,4.6506988154278896e-08,2.39238203117091e-06,3.580235623977958e-05,0.0,5.020064061755574e-07,4.384242086469924e-07,6.987273019943375e-08,1.1299431693853949e-06,2.560232671495343e-05,0.0,3.563737363411273e-06,3.3746165718269552e-06,1.1614495229716983e-06,7.056233903484495e-06,0.00018175060553397493,0.0,6.298965150988461e-06,5.09194009397762e-06,1.993876719843203e-06,1.2521266395581693e-05,0.00032124722270041164,0.0
EGY.5_1,5.0,2.7061744504549123e-05,2.6236392737830688e-05,1.9303791407929944e-05,3.4558241177462424e-05,0.00048711140108188415,0.0,3.345539743230183e-05,3.3580636199065096e-05,2.7130034896430522e-05,4.083132512686424e-05,0.000602197153781433,0.0,3.3271934804494545e-06,3.2332223922250517e-06,2.271523102187034e-06,5.052019946592277e-06,5.9889482648090184e-05,0.0,3.6506024411546937e-06,3.6239578560243797e-06,1.6903685211188775e-06,5.642201141899178e-06,6.571084394078449e-05,0.0,1.6876710503574189e-06,1.5456644975883996e-06,7.722524088254019e-07,3.397191212196412e-06,3.037807890643353e-05,0.0,9.741837864893214e-07,9.754170201323382e-07,6.326005090790422e-07,1.3874966130275416e-06,1.7535308156807784e-05,0.0,5.821488223879321e-07,5.287333386292656e-07,1.6397993081089516e-07,1.3205438513097782e-06,1.0478678802982775e-05,0.0,7.897707544318387e-07,8.039891100770762e-07,4.832569972857034e-07,1.1304045468562192e-06,1.4215873579773099e-05,0.0,2.0917865622708407e-06,2.1378984303286517e-06,9.599551169140995e-07,3.2165895789115717e-06,3.7652158120875156e-05,0.0,1.311224090400158e-06,1.2837723698305657e-06,8.409077866246494e-07,2.1634120014845267e-06,2.3602033627202845e-05,0.0,1.6731061863348496e-05,1.6564047392971962e-05,1.1300318236365096e-05,2.4692145036286888e-05,0.00030115911354027284,0.0,1.8570212167526007e-05,1.861380561467624e-05,9.566449298493648e-06,2.9050711419461933e-05,0.00033426381901546814,0.0
EGY.6_1,6.0,1.9035502468131813e-05,2.1658970562363505e-05,7.232604636664482e-06,3.723206969386783e-05,0.00041878105429889986,8.333333333333332,1.8311301813070207e-05,1.8685633245438625e-05,8.152170448198195e-06,2.822184377724071e-05,0.0004028486398875447,8.333333333333332,7.443444187648558e-06,7.0419840634443035e-06,4.927448087643596e-06,1.1283208529554942e-05,0.0001637557721282683,8.333333333333332,8.529664954580472e-06,7.909717806176269e-06,5.695603286883325e-06,1.260949055766626e-05,0.0001876526290007704,8.333333333333332,6.3663059396799345e-06,6.085447185806148e-06,3.870895953603544e-06,9.565480004416052e-06,0.00014005873067295859,8.333333333333332,3.8428771284919e-06,3.2887341308286675e-06,2.1029090726297403e-06,6.1751714013878925e-06,8.45432968268218e-05,8.333333333333332,4.248660882929124e-06,3.6066833644645623e-06,1.7067989056938069e-06,9.522082105279813e-06,9.347053942444073e-05,8.333333333333332,4.488413799926413e-06,3.3947073319515067e-06,1.2931280329166938e-06,9.490451986833437e-06,9.874510359838109e-05,8.333333333333332,6.989151159881302e-06,5.661937779775928e-06,1.0747747830030044e-06,1.34976049113248e-05,0.00015376132551738866,8.333333333333332,5.2343824214709926e-06,4.8926043145453085e-06,3.137104633463194e-06,8.410476697348976e-06,0.00011515641327236184,8.333333333333332,2.8102102742707923e-05,3.2045497930571994e-05,9.909085494261604e-06,4.719973247688783e-05,0.0006182462603395743,8.333333333333332,2.327345344615715e-05,2.497136657349829e-05,4.841544318623666e-06,6.113481016990156e-05,0.0005120159758154573,8.333333333333332
EGY.7_1,7.0,9.652816015856852e-06,1.0230827469356558e-05,4.276092774746524e-06,1.5344799532404273e-05,0.0004536823527452722,0.0,9.588028793193248e-06,9.35936819271192e-06,2.980548294902055e-06,2.452130567617082e-05,0.00045063735328008253,0.0,4.810925946667109e-06,5.176494780501706e-06,1.3851419109902998e-06,8.058963567415712e-06,0.0002261135194933541,0.0,5.287557293191607e-06,5.590675899968537e-06,9.724446322051754e-07,9.313093452723557e-06,0.00024851519278000554,0.0,2.7979108955133902e-06,2.8488754077918837e-06,7.395250672911158e-07,5.2444982736632144e-06,0.00013150181208912938,0.0,2.141145647688219e-06,2.162169678420469e-06,1.0453047374610874e-07,5.015440422603318e-06,0.00010063384544134632,0.0,1.5489216905414334e-06,1.519653150911654e-06,1.3801990530958745e-08,3.847955391509777e-06,7.279931945544737e-05,0.0,1.8319049806573815e-06,1.7999462128395488e-06,1.0521590714598936e-07,5.259197848194598e-06,8.609953409089692e-05,0.0,4.8359303633439935e-06,4.444597417300735e-06,7.017799864512659e-07,1.1831603691049765e-05,0.00022728872707716757,0.0,3.763192440469288e-06,3.721245874895082e-06,8.956690613997135e-07,8.296399442443079e-06,0.00017687004470205652,0.0,1.0139161051648123e-05,1.0488733911794978e-05,3.3804847253020562e-06,1.8200042209990506e-05,0.0004765405694274618,0.0,5.059407603955985e-06,5.169929140533954e-06,1.2576385142426095e-06,9.80756889082172e-06,0.0002377921573859313,0.0
EGY.8_1,8.0,6.749235560857252e-06,6.716855598437758e-06,4.0693519497480915e-06,1.0336907054275173e-05,0.002078764552744034,0.0,2.9197497719141095e-06,2.0755655254748283e-06,8.142466059783905e-07,2.147875506834187e-05,0.0008992829297495457,0.0,6.824072712746505e-07,4.236063344491128e-07,3.004718763950169e-08,2.8192955793246004e-06,0.00021018143955259242,0.0,8.587090074000702e-07,6.287986262716113e-07,5.421010862427521e-20,3.351684994193776e-06,0.00026448237427922157,0.0,1.0457159135379775e-07,5.421010862427521e-20,5.421010862427521e-20,8.111537431363994e-07,3.220805013696971e-05,0.0,7.430649608449509e-08,5.421010862427521e-20,5.421010862427521e-20,1.0045989520258687e-06,2.2886400794024485e-05,0.0,3.024542955507425e-07,3.3204810881468604e-09,5.421010862427521e-20,2.932316220820668e-06,9.31559230296287e-05,0.0,9.132028390318351e-07,1.146572969340152e-07,5.421010862427521e-20,7.095834864563e-06,0.00028126647442180535,0.0,1.9509576844825317e-06,1.1585080297894885e-06,6.245390127326379e-09,9.388565625876776e-06,0.0006008949668206197,0.0,9.389992113325329e-07,7.722454777654351e-07,1.2904728934049186e-08,3.5102203012026117e-06,0.00028921175709042013,0.0,3.9191251579497916e-06,3.882505304270714e-06,9.224664557323385e-07,9.10355145714554e-06,0.0012070905486485355,0.0,3.9666108048859135e-06,3.8081735140431335e-06,1.126691617091651e-06,9.98914114126728e-06,0.0012217161279048615,0.0
EGY.9_1,9.0,1.241574141957746e-05,1.2633091059281467e-05,5.125825320985959e-06,2.0338589941008768e-05,0.00022348334555239433,0.0,1.9663633785808653e-05,2.381403447857245e-05,4.696294299150608e-06,2.8531518329447914e-05,0.00035394540814455585,0.0,2.02352666632939e-06,2.0906608722419652e-06,1.5829825824424905e-06,2.4785776843965438e-06,3.642347999392902e-05,0.0,1.68783841973722e-06,1.4595420761525806e-06,9.897324794504293e-07,3.182057092352744e-06,3.0381091555269963e-05,0.0,6.718955163065925e-07,6.091776378125857e-07,4.5339294225921886e-07,1.3431771965132295e-06,1.2094119293518665e-05,0.0,5.317515649605651e-07,4.985831050554743e-07,2.9167806910200417e-07,9.223057781666596e-07,9.571528169290171e-06,0.0,5.643455126974807e-07,2.1835254383630838e-07,8.518609600055316e-08,2.2456822892266025e-06,1.0158219228554652e-05,0.0,9.975989529371596e-07,7.027501340120086e-07,3.7621735261052313e-07,2.720385836303544e-06,1.7956781152868873e-05,0.0,1.633573629912776e-06,1.274199420385216e-06,5.165332554535496e-07,4.104378217219658e-06,2.940432533842997e-05,0.0,1.2209651999971457e-06,1.125073703360633e-06,8.099180800098905e-07,2.0421030487129035e-06,2.1977373599948622e-05,0.0,9.686682652190274e-06,1.082859464469588e-05,4.334591958672326e-06,1.4184861701086613e-05,0.00017436028773942493,0.0,7.142465034956972e-06,7.715835500805754e-06,2.669471519773447e-06,1.030716385167982e-05,0.00012856437062922554,0.0
EGY.10_1,10.0,3.6305390661147482e-06,3.5565373700332765e-06,5.509820531434184e-07,6.793648049635675e-06,0.0009802455478509825,0.0,1.428755728456447e-06,1.0169404568710787e-06,4.035022554696993e-07,7.869383171634077e-06,0.00038576404668324064,0.0,1.3380046107339747e-07,1.3013096744928928e-07,5.421010862427521e-20,5.743034161610383e-07,3.612612448981732e-05,0.0,4.676849817612917e-08,5.948687452590554e-09,5.421010862427521e-20,2.464813486914259e-07,1.2627494507554872e-05,0.0,8.777417783490953e-09,5.421010862427521e-20,5.421010862427521e-20,1.5598543044433152e-07,2.3699028015425566e-06,0.0,2.1474518264901665e-09,5.421010862427521e-20,5.421010862427521e-20,2.580945786809837e-08,5.798119931523449e-07,0.0,2.905308695380624e-09,5.421010862427521e-20,5.421010862427521e-20,4.484478898183321e-08,7.844333477527685e-07,0.0,1.1276082639114287e-08,5.421010862427521e-20,5.421010862427521e-20,3.160962439652577e-07,3.0445423125608574e-06,0.0,6.688210993864161e-08,1.688693919614739e-09,5.421010862427521e-20,9.591957480418012e-07,1.805816968343324e-05,0.0,1.0604711008759293e-07,1.0781160590388403e-08,5.421010862427521e-20,1.5266991276899029e-06,2.8632719723650093e-05,0.0,1.569187246063903e-06,1.3829885710119308e-06,3.7747567614114047e-07,4.958854712675321e-06,0.00042368055643725387,0.0,2.6416818618969103e-06,1.7549932465874764e-06,7.588422234958053e-07,9.266130573231173e-06,0.0007132541027121657,0.0
