GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
EGY.1_1,1.0,2.61141958763168e-06,1.8397593959107448e-06,1.7971183635469623e-06,7.790384851918976e-06,7.57311680413187e-05,3.333333333333333,8.422185291297678e-07,6.872835040328949e-07,-6.938893903907227e-18,1.8397593959107448e-06,2.442433734476327e-05,3.333333333333333,2.324624602978889e-08,-6.938893903907227e-18,-6.938893903907227e-18,6.741411350581668e-07,6.741411348638777e-07,3.333333333333333,2.324624602978889e-08,-6.938893903907227e-18,-6.938893903907227e-18,6.741411350581668e-07,6.741411348638777e-07,3.333333333333333,7.381512363098692e-08,-6.938893903907227e-18,-6.938893903907227e-18,8.422092617970249e-07,2.140638585298621e-06,3.333333333333333,2.324624602978889e-08,-6.938893903907227e-18,-6.938893903907227e-18,6.741411350581668e-07,6.741411348638777e-07,3.333333333333333,2.324624602978889e-08,-6.938893903907227e-18,-6.938893903907227e-18,6.741411350581668e-07,6.741411348638777e-07,3.333333333333333,2.324624602978889e-08,-6.938893903907227e-18,-6.938893903907227e-18,6.741411350581668e-07,6.741411348638777e-07,3.333333333333333,2.324624602978889e-08,-6.938893903907227e-18,-6.938893903907227e-18,6.741411350581668e-07,6.741411348638777e-07,3.333333333333333,5.0780134462585496e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.4726238996092683e-06,1.4726238994149797e-06,3.333333333333333,2.2291559841509232e-06,1.8397593959107448e-06,-6.938893903907227e-18,5.519278187746113e-06,6.464552354037677e-05,3.333333333333333,1.192760102718284e-06,9.013942315077145e-07,-6.938893903907227e-18,7.790384851918976e-06,3.4590042978830245e-05,3.333333333333333
EGY.2_1,2.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.140921104957897e-15,0.7847533632286996,1.6079062267324794e-07,-6.938893903907227e-18,-6.938893903907227e-18,3.120214228020784e-06,0.00014229970106582443,0.7847533632286996,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.140921104957897e-15,0.7847533632286996,2.730051991923059e-08,-6.938893903907227e-18,-6.938893903907227e-18,3.3177471298361666e-06,2.4160960128519074e-05,0.7847533632286996,1.9981878119262428e-08,-6.938893903907227e-18,-6.938893903907227e-18,2.706822908014983e-06,1.7683962135547252e-05,0.7847533632286996,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.140921104957897e-15,0.7847533632286996,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.140921104957897e-15,0.7847533632286996,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.140921104957897e-15,0.7847533632286996,5.843200714320457e-09,-6.938893903907227e-18,-6.938893903907227e-18,1.589740496140784e-06,5.171232632173604e-06,0.7847533632286996,3.917220926256342e-09,-6.938893903907227e-18,-6.938893903907227e-18,1.001217746423596e-06,3.4667405197368622e-06,0.7847533632286996,2.742981154030972e-07,-6.938893903907227e-18,-6.938893903907227e-18,4.296464813625494e-06,0.00024275383213174102,0.7847533632286996,1.89220714921471e-09,-6.938893903907227e-18,-6.938893903907227e-18,6.846161636947413e-07,1.6746033270550185e-06,0.7847533632286996
EGY.3_1,3.0,1.5279091736201672e-06,1.7810798807237685e-06,-6.938893903907227e-18,6.99625646803203e-06,0.00014667928066753604,1.0309278350515465,5.854079911412036e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.8397593959107448e-06,5.6199167149555544e-05,1.0309278350515465,4.353764110821192e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.6855386917394105e-06,4.179613546388344e-06,1.0309278350515465,3.4174700172899142e-09,-6.938893903907227e-18,-6.938893903907227e-18,2.757796673128344e-07,3.2807712165983183e-07,1.0309278350515465,3.4174700172899142e-09,-6.938893903907227e-18,-6.938893903907227e-18,2.757796673128344e-07,3.2807712165983183e-07,1.0309278350515465,3.4174700172899142e-09,-6.938893903907227e-18,-6.938893903907227e-18,2.757796673128344e-07,3.2807712165983183e-07,1.0309278350515465,3.4174700172899142e-09,-6.938893903907227e-18,-6.938893903907227e-18,2.757796673128344e-07,3.2807712165983183e-07,1.0309278350515465,3.4174700172899142e-09,-6.938893903907227e-18,-6.938893903907227e-18,2.757796673128344e-07,3.2807712165983183e-07,1.0309278350515465,3.4174700172899142e-09,-6.938893903907227e-18,-6.938893903907227e-18,2.757796673128344e-07,3.2807712165983183e-07,1.0309278350515465,3.4174700172899142e-09,-6.938893903907227e-18,-6.938893903907227e-18,2.757796673128344e-07,3.2807712165983183e-07,1.0309278350515465,1.5538056020878653e-06,1.7706021336052127e-06,-6.938893903907227e-18,6.99625646803203e-06,0.00014916533780043507,1.0309278350515465,1.5520265620176227e-06,1.0141548217893929e-06,-6.938893903907227e-18,9.059866690579394e-06,0.00014899454995369188,1.0309278350515465
EGY.4_1,4.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.538835890992686e-16,0.0,5.193737774109983e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.387331611643413e-06,2.6488062647960913e-06,0.0
EGY.5_1,5.0,1.8379804083069104e-06,1.8397593959107448e-06,1.817847487136e-06,1.8397593959107448e-06,3.3083647349524376e-05,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,5.826377493779282e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.8121271640208241e-06,1.0487479488802707e-05,0.0,3.598562721934901e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.705213391078148e-06,6.477412899482821e-06,0.0
EGY.6_1,6.0,2.8441722071101104e-06,3.2486229752854773e-06,1.3811438100493182e-07,4.39195797906073e-06,6.257178855642244e-05,8.333333333333332,1.5929833157978658e-06,1.8397593959107448e-06,1.3811438100493182e-07,1.8397593959107448e-06,3.5045632947553054e-05,8.333333333333332,1.8459506380359523e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,4.0610914036790945e-06,8.333333333333332,6.059979585139032e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,1.3331955087305869e-06,8.333333333333332,6.059979585139032e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,1.3331955087305869e-06,8.333333333333332,6.059979585139032e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,1.3331955087305869e-06,8.333333333333332,6.059979585139032e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,1.3331955087305869e-06,8.333333333333332,6.059979585139032e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,1.3331955087305869e-06,8.333333333333332,6.059979585139032e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,1.3331955087305869e-06,8.333333333333332,6.059979585139032e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.3147915288616856e-06,1.3331955087305869e-06,8.333333333333332,3.1597598316873718e-06,3.6307178279952796e-06,1.8397593959107448e-06,4.862479797730591e-06,6.951471629712217e-05,8.333333333333332,3.4042656794414552e-06,3.6214354327497804e-06,1.8397593959107448e-06,6.101375062180905e-06,7.489384494771199e-05,8.333333333333332
EGY.7_1,7.0,4.010968852920219e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.640046361816439e-06,1.885155360872504e-06,0.0,4.296452028496481e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.8397593959107448e-06,2.0193324533933467e-05,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.261280134836397e-16,0.0,6.778538102853011e-10,-6.938893903907227e-18,-6.938893903907227e-18,2.3697786703788118e-08,3.1859129083409147e-08,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.261280134836397e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.261280134836397e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.261280134836397e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.261280134836397e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.261280134836397e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-3.261280134836397e-16,0.0,3.114302269607521e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.8397593959107448e-06,1.4637220667155347e-05,0.0,6.778538102853011e-10,-6.938893903907227e-18,-6.938893903907227e-18,2.3697786703788118e-08,3.1859129083409147e-08,0.0
EGY.8_1,8.0,9.02564493990286e-08,-6.938893903907227e-18,-6.938893903907227e-18,1.8397593959107448e-06,2.779898641490081e-05,0.0,2.685182587507128e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.8397593959107448e-06,8.270362369521956e-05,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-2.1371793224034267e-15,0.0,1.4672822511085502e-07,-6.938893903907227e-18,-6.938893903907227e-18,3.2225069756815312e-06,4.519229333414335e-05,0.0,1.426055323333731e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.8397593959107448e-06,4.3922503958678917e-05,0.0
EGY.9_1,9.0,2.119450361809048e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.8282289062983688e-06,3.8150106512562864e-06,0.0,1.6998019858218527e-07,-6.938893903907227e-18,-6.938893903907227e-18,1.187289790123891e-06,3.059643574479335e-06,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.249000902703301e-16,0.0
EGY.10_1,10.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,9.587881560921083e-09,-6.938893903907227e-18,-6.938893903907227e-18,8.802381684886869e-07,2.5887280214486918e-06,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-6.938893903907227e-18,-1.873501354054952e-15,0.0
