GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
KEN.1_1,1.0,-0.001339248020236959,-0.0012467298397557235,-0.002762903295525637,-0.0005543931991796565,-0.11383608172014152,0.0,-0.0010743571658503727,-0.000992540794055403,-0.0028492506507730147,-0.0004097477024770897,-0.0913203590972817,0.0,-0.0028307560512913625,-0.0027648687028557065,-0.004133356082625694,-0.0020262188144804074,-0.24061426435976585,0.0,-0.003267724522137438,-0.0032682386499009466,-0.003931790514286895,-0.0028017631530328872,-0.2777565843816822,0.0,-0.003856179080412024,-0.003851688346035218,-0.004439606011596687,-0.0032210293356421233,-0.3277752218350221,0.0,-0.0033682509335582447,-0.003378715487957741,-0.003752263869852868,-0.002918441885980707,-0.28630132935245084,0.0,-0.0033170843577036827,-0.0033337489553364372,-0.003751260738033849,-0.002835582020109837,-0.281952170404813,0.0,-0.0031225700657068604,-0.003174757384630503,-0.003856856707729171,-0.002326188971249153,-0.26541845558508315,0.0,-0.0034484268228006593,-0.003494586989348302,-0.004423033630176263,-0.0023525043939556967,-0.2931162799380561,0.0,-0.002711974062646445,-0.002739747478580665,-0.004125498642614664,-0.0012421041199398679,-0.23051779532494784,0.0,-0.0021657127174867976,-0.002046107559695799,-0.003988144596053152,-0.0009701590007732824,-0.1840855809863778,0.0,-0.002306111834351956,-0.0022150433008169953,-0.00370512319146712,-0.0013191917172499625,-0.19601950591991624,0.0
KEN.2_1,2.0,-0.003515835803547084,-0.0034819610631341103,-0.0039891094297332935,-0.002902572500682432,-0.06328504446384751,0.0,-0.0027296765793267392,-0.002712793938398089,-0.003388673461886411,-0.0018211302977173601,-0.04913417842788129,0.0,-0.003702467212869717,-0.0036890162732441893,-0.0042169811617715075,-0.003155432569883157,-0.0666444098316549,0.0,-0.0034926893074762448,-0.0034656746085181536,-0.003870550940349926,-0.0032072570210982523,-0.06286840753457243,0.0,-0.0037435936035558007,-0.0037412770878056953,-0.00421301030953697,-0.003371972662678471,-0.06738468486400441,0.0,-0.003487735476188756,-0.003489962189832531,-0.003938492961074818,-0.003005961254103286,-0.0627792385713976,0.0,-0.0029450191810658595,-0.0029355903395829287,-0.003704693264453682,-0.0021237218824914344,-0.05301034525918547,0.0,-0.0032576231545172326,-0.003292740405744245,-0.003841044920021085,-0.002322211545868965,-0.0586372167813102,0.0,-0.00345652090783315,-0.003419401975652912,-0.004480979783322453,-0.0021935696933798967,-0.0622173763409967,0.0,-0.0033674113662699487,-0.0032501857223848967,-0.0044729638106078716,-0.0021917439251905703,-0.06061340459285909,0.0,-0.0032846386775114487,-0.0030797591718401416,-0.004843410613119828,-0.0019041769851775028,-0.059123496195206085,0.0,-0.0036233015237976452,-0.0035579176534405303,-0.004364127899585099,-0.002888886577001278,-0.0652194274283576,0.0
KEN.3_1,3.0,-0.002546891731144087,-0.0024005925449005648,-0.0038045817691411228,-0.0011774857581614828,-0.0789536436654667,0.0,-0.0020838584135855647,-0.0017630580651402234,-0.003760290418331153,-0.0008758401483916077,-0.06459961082115251,0.0,-0.002853939763825352,-0.002870221358117737,-0.003404864763821881,-0.002065934046374133,-0.08847213267858592,0.0,-0.002462197977185553,-0.0024494666933763077,-0.002725220508978457,-0.0022262687817631217,-0.07632813729275212,0.0,-0.0028088359377330136,-0.002798515632919427,-0.003038881062197049,-0.0026859600861240352,-0.08707391406972342,0.0,-0.002718076348014743,-0.00270627246722973,-0.002872058106086368,-0.0026308218946881267,-0.08426036678845701,0.0,-0.002733617406584141,-0.002712713845052876,-0.002937534854127784,-0.002594177060993973,-0.08474213960410835,0.0,-0.0029697414090116264,-0.002955309638831648,-0.0032255313336893693,-0.002766737805426237,-0.09206198367936044,0.0,-0.0033692940213693088,-0.003396890202088078,-0.0037674900448259156,-0.0029778162938474003,-0.10444811466244856,0.0,-0.0031562340387922628,-0.0031305359209999628,-0.003525469525862889,-0.0028397654282322268,-0.09784325520256017,0.0,-0.0031662307272999684,-0.0032930875646925988,-0.003734634299285556,-0.002438584399452371,-0.09815315254629904,0.0,-0.002869387299194515,-0.002882839130685658,-0.003557916334766186,-0.0018758102881502,-0.08895100627502996,0.0
KEN.4_1,4.0,-0.003120203768794125,-0.002766423966833713,-0.004869096585092776,-0.002174814569512684,-0.04680305653191188,0.0,-0.002936742396492207,-0.002418132178024061,-0.0053689592721376045,-0.001813373139399945,-0.04405113594738309,0.0,-0.003339940332753264,-0.003347971854637827,-0.004395031598991541,-0.002775803634342161,-0.05009910499129897,0.0,-0.002959822619644217,-0.0029657223872349143,-0.0038041409114849423,-0.0023928856298750857,-0.04439733929466326,0.0,-0.0033892567923780857,-0.0033935621096118905,-0.0043971037462544335,-0.00274997020333512,-0.050838851885671284,0.0,-0.003255480006770394,-0.003250828117262579,-0.004173601662968342,-0.002697715095881923,-0.048832200101555916,0.0,-0.0032066171335408274,-0.0031163818967318013,-0.0044503614437730685,-0.0026444993073595872,-0.04809925700311241,0.0,-0.003308084633547161,-0.003254205333075949,-0.004457060176525254,-0.0028926025747335244,-0.049621269503207416,0.0,-0.003732929715418172,-0.0037715125671716455,-0.004918427228755386,-0.0031717473372894264,-0.055993945731272574,0.0,-0.003687835281420275,-0.0037134580435510133,-0.004860966386738624,-0.00308427531034828,-0.055317529221304125,0.0,-0.003716329011005635,-0.003751781237439192,-0.004742329113016111,-0.003114332910021393,-0.055744935165084525,0.0,-0.0034776363330238608,-0.003479630907288609,-0.004571401146301618,-0.002939545457244122,-0.05216454499535792,0.0
KEN.5_1,5.0,-0.002400823942107193,-0.002301567879086118,-0.003530568184392542,-0.0014321517489485395,-0.062421422494787035,0.0,-0.001812400270034832,-0.0016584533803809768,-0.002976695797619092,-0.0010333722134758592,-0.047122407020905616,0.0,-0.003777100980665132,-0.00382478509492662,-0.004466387943194597,-0.0029863491285045717,-0.09820462549729343,0.0,-0.0036728499381603243,-0.003635558165672481,-0.004390639057214218,-0.002944426424594913,-0.0954940983921684,0.0,-0.003850556680532425,-0.0038464406340798993,-0.00440971646763755,-0.0032304905765355315,-0.10011447369384303,0.0,-0.0035060901902096552,-0.0034419179313454305,-0.004061083973867103,-0.002996876014693809,-0.09115834494545104,0.0,-0.003663815242110083,-0.0035161814074736626,-0.004423440493967785,-0.003114782993594951,-0.09525919629486217,0.0,-0.003817453431095732,-0.0037079392042965436,-0.0044831173732213705,-0.003360992329910449,-0.09925378920848904,0.0,-0.003889356708848143,-0.003924658453777539,-0.004219334533152696,-0.003432921116473548,-0.1011232744300517,0.0,-0.0036638837459566117,-0.0036482188718052265,-0.00445338732184579,-0.0029111599180210745,-0.09526097739487192,0.0,-0.003215857682581848,-0.003245846575972945,-0.004166388242991113,-0.0022515535230226954,-0.08361229974712804,0.0,-0.002739425940664766,-0.002763992147689961,-0.003775932176035628,-0.0016435507736195258,-0.07122507445728392,0.0
KEN.6_1,6.0,-0.002314193511405377,-0.0019999128521589137,-0.004253481943487592,-0.0010834891476608553,-0.053226450762323685,0.0,-0.0016161491239880044,-0.0012175687828384235,-0.003989295551024068,-0.0005250755155662407,-0.0371714298517241,0.0,-0.0029635713848663,-0.0028282326252061733,-0.0036741062804904936,-0.0024987449285768892,-0.06816214185192489,0.0,-0.003093600742727288,-0.003082921140702268,-0.0033647252070239555,-0.0029259974265461127,-0.07115281708272762,0.0,-0.003373290499909671,-0.0033568683990341736,-0.0037443670418296727,-0.0031638850648900018,-0.07758568149792243,0.0,-0.002393456085184137,-0.002314746202880571,-0.002968584266089051,-0.0019970397106233912,-0.055049489959235136,0.0,-0.001850417044818625,-0.0016497027400522784,-0.002942752673339306,-0.0011921435131740314,-0.042559592030828375,0.0,-0.0016913931113339538,-0.0013285544467980766,-0.003292228677574776,-0.0008900864353534069,-0.03890204156068094,0.0,-0.0020097723552247385,-0.0015772572819332301,-0.003872947631521448,-0.0010198788510909502,-0.046224764170168985,0.0,-0.0022182727832033354,-0.0018817528557176773,-0.0038510654067555475,-0.0013201864160282926,-0.05102027401367672,0.0,-0.002972358731171967,-0.002780974227711153,-0.0035999625547955896,-0.0024993715572616264,-0.06836425081695524,0.0,-0.0032281617850892642,-0.0032009195704520363,-0.0037432855359829866,-0.0027249330115356693,-0.07424772105705306,0.0
KEN.7_1,7.0,-6.810371107671534e-05,-4.004480728888005e-05,-0.0005723825025728647,-2.438568526930437e-05,-0.02465354340977096,0.0,-0.00014870258372616377,-9.95393760960864e-05,-0.0005704604459924515,-4.6465166510997586e-05,-0.05383033530887129,0.0,-0.0019232119836033671,-0.0018954303368720735,-0.003323022309192707,-0.0009758600592358953,-0.6962027380644188,0.0,-0.002694831895359161,-0.0026794206492241385,-0.00355868218419654,-0.0020599553760109264,-0.9755291461200166,0.0,-0.0024084934446866662,-0.002397027369074909,-0.004205712782868444,-0.0013472031027833527,-0.8718746269765731,0.0,-0.0010793338691339569,-0.0007388857086588795,-0.003645379498865417,-0.0002662058251830234,-0.3907188606264924,0.0,-0.0006694155247344187,-0.00034475630829273,-0.0032994195151610788,-0.00014940875122776556,-0.2423284199538596,0.0,-0.0005569773910640281,-0.0003383402332689206,-0.0025878802512833057,-0.00014398407416795994,-0.2016258155651781,0.0,-0.0006385859700983021,-0.00044045513156001963,-0.002288056317254449,-0.00022778393620891078,-0.23116812117558536,0.0,-0.0008270338620707726,-0.0005650852856327697,-0.0024028904402220823,-0.00028738728835661,-0.2993862580696197,0.0,-0.0015619483537350454,-0.0013393299813701054,-0.0035778442427041156,-0.0007017425385843791,-0.5654253040520865,0.0,-0.002181033021154424,-0.002156318235725664,-0.003617057489769305,-0.000870716798043329,-0.7895339536579015,0.0
KEN.8_1,8.0,-0.003835029566524211,-0.0036486418139151772,-0.0053374795156213035,-0.002504910008253781,-0.13806106439487162,0.0,-0.0035086750954071355,-0.00306954249430293,-0.005633082469573629,-0.001884240899742839,-0.12631230343465688,0.0,-0.003944589491113507,-0.0038562741029521405,-0.004702866200857445,-0.003094050535111275,-0.14200522168008625,0.0,-0.0036486691910594922,-0.003550584542056357,-0.004381964316154772,-0.0031393073554226497,-0.1313520908781417,0.0,-0.00406939433639204,-0.003971758579228796,-0.004689813543937726,-0.003564168540895722,-0.14649819611011342,0.0,-0.003882585377088508,-0.0037728618658288975,-0.004603405933064972,-0.00340047477369444,-0.13977307357518629,0.0,-0.003652275590374814,-0.0033752844827734593,-0.005423285734354476,-0.002504604740336893,-0.1314819212534933,0.0,-0.0034590712407801386,-0.0033191057093919733,-0.0045809720576173605,-0.002518155668568109,-0.124526564668085,0.0,-0.004029718568844987,-0.004006259451474071,-0.0051384262359211435,-0.002861358852733662,-0.14506986847841954,0.0,-0.004067571085146824,-0.00397613295694599,-0.0052378973344638,-0.00294257786752474,-0.14643255906528568,0.0,-0.004236222076001256,-0.004211459461920085,-0.004960559068964073,-0.0035447953432721905,-0.15250399473604526,0.0,-0.004157501105007528,-0.004075133800169621,-0.004905554684923223,-0.003538837647443978,-0.14967003978027102,0.0
KEN.9_1,9.0,-0.00016260134851503368,-0.00012004679863989142,-0.0021557861401926845,-2.7974649789836528e-05,-0.03430888453667212,0.0,-0.0001611720509545545,-0.00014113160703925568,-0.0011219547488694275,-5.191894418520835e-05,-0.03400730275141098,0.0,-0.00286784095018668,-0.0028325673004702357,-0.003486722027494971,-0.0020772612532683216,-0.6051144404893894,0.0,-0.0030371631888285143,-0.0029937312959825817,-0.003568485586889603,-0.002423299333089082,-0.6408414328428165,0.0,-0.0025645343027423323,-0.002595266379720566,-0.0037232304593804843,-0.0018439295562163453,-0.5411167378786321,0.0,-0.0011013928228918658,-0.0009959825168174966,-0.0031108865617276546,-0.00046636396025872813,-0.2323938856301837,0.0,-0.0005552329989135412,-0.0004904914859200012,-0.0021459504876340948,-0.00021868920994628973,-0.1171541627707572,0.0,-0.000401984686907802,-0.00034545913321776223,-0.0019794855226253827,-0.00015882850581969504,-0.08481876893754622,0.0,-0.0003635838348227346,-0.0003041844721994417,-0.002104120741061534,-0.00016312166030549397,-0.07671618914759701,0.0,-0.0004983094196663739,-0.00045610998514290373,-0.002061789212732745,-0.00023915477384613246,-0.10514328754960486,0.0,-0.002002353070853021,-0.001969564692586631,-0.002846939511735614,-0.001274290844975343,-0.4224964979499875,0.0,-0.002902117120746077,-0.0028511404913287852,-0.0036702685885058725,-0.0017671965693865726,-0.6123467124774223,0.0
KEN.10_1,10.0,-0.0021648365928315844,-0.002154251642623989,-0.004014290156925271,-0.0004929631388971113,-0.3853409135240221,0.0,-0.0008450130382783443,-0.0005792370786783671,-0.004416357893399885,-7.394856656152516e-05,-0.15041232081354527,0.0,-0.003147364302710461,-0.0032142998114862483,-0.0036582506444743975,-0.002302804121560149,-0.5602308458824621,0.0,-0.002976582390127909,-0.0030020346067916315,-0.003466840781395009,-0.002513389562883337,-0.5298316654427678,0.0,-0.003112375863524744,-0.003120164199094049,-0.0034536515298775896,-0.0026905619359048863,-0.5540029037074045,0.0,-0.002224516935855061,-0.0022141325193893342,-0.0029584074881373987,-0.001255175712885932,-0.3959640145822008,0.0,-0.0014906308899349562,-0.0014439631921669993,-0.002819792317619473,-0.000698644367125076,-0.2653322984084222,0.0,-0.0013179994142634116,-0.0011944815072157265,-0.0030557221996174327,-0.0005068950931251901,-0.2346038957388872,0.0,-0.0012309498751691382,-0.0010907082437436966,-0.00366217261786218,-0.0004912503033642087,-0.2191090777801066,0.0,-0.0014352246459148849,-0.0013610882222329429,-0.003268308498897745,-0.00082706036716741,-0.2554699869728495,0.0,-0.002290564989287772,-0.002330393136423411,-0.003906696460542731,-0.000960351765644559,-0.4077205680932234,0.0,-0.002620463892725642,-0.002826298352928271,-0.003511618763314814,-0.0009588591667721293,-0.4664425729051643,0.0
