GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
LBY.1_1,1.0,278.1694611891461,278.2446148659748,276.7203262497503,280.8592210123241,193327.77552645653,0.5722460658082975,275.92605952380796,275.53211554481203,274.8329005196999,280.8179567970272,191768.61136904656,0.5722460658082975,274.17465599426055,273.87304768591684,272.0430147011417,280.13783548767486,190551.3859160111,0.5722460658082975,276.2910687434,275.9103252519548,273.2755572017604,283.9555378602228,192022.29277666297,0.5722460658082975,280.3051005332419,279.98863504537024,277.2965997077662,287.68276988417443,194812.0448706032,0.5722460658082975,283.85862594152627,283.5030346233187,280.70671484056334,290.6687468474152,197281.74502936078,0.5722460658082975,286.4519926614886,286.2666514142653,282.61550905283366,293.1487693770765,199084.1348997345,0.5722460658082975,288.3778165992464,288.0567742752627,285.5876417588405,293.7700145528873,200422.58253647614,0.5722460658082975,287.16076006000674,287.04501214987016,283.872272894938,292.0191537114701,199576.7282417047,0.5722460658082975,285.33367533219933,285.3523673329054,283.01443442304287,289.9421854472543,198306.9043558785,0.5722460658082975,281.75458273489687,281.76193546799936,279.28949133671256,286.1338518185612,195819.4350007533,0.5722460658082975,279.8327744246384,280.1035897233072,278.2753702128278,282.3301309493184,194483.7782251236,0.5722460658082975
LBY.2_1,2.0,278.8167336200333,278.65007628531725,278.19575621899503,280.94887565481537,19238.3546197823,0.0,277.4523850083725,277.2449702878349,276.41290103637107,280.51812960774424,19144.214565577706,0.0,275.6552158900016,275.20099686710483,274.6522853893011,279.9684308212064,19020.20989641011,0.0,277.6135320791625,276.97233652110486,276.4170924323864,282.9808401553558,19155.333713462216,0.0,280.6899386313348,280.1628960107139,279.67088866444897,285.64573609674864,19367.605765562104,0.0,284.88418595824936,284.33251487437235,283.71845430428533,289.40519252047335,19657.00883111921,0.0,286.83899972479327,286.04927366349864,285.4392285446902,291.8176619703648,19791.890981010736,0.0,289.39076826342193,289.01964423346493,288.42457831443636,292.8310477209013,19967.963010176114,0.0,288.4373041208602,288.1235291240637,287.52699244893444,291.63575125538415,19902.17398433935,0.0,285.90879131983905,285.7931880377096,284.6092074283902,288.15198873662416,19727.70660106889,0.0,282.7647478426791,282.6467776178335,281.70728757999825,285.25953030122776,19510.767601144857,0.0,280.72203135893244,280.6897967637591,279.96867181821807,282.88123430199363,19369.820163766337,0.0
LBY.3_1,3.0,274.1927718136078,273.8903359665766,272.4499126752532,278.1076757842819,196322.0246185432,0.0,274.39885014043665,274.257679387409,271.782583553414,278.8694761548915,196469.57670055266,0.0,272.23410305837797,272.0620771019027,270.29395208176544,275.8231908513129,194919.61778979868,0.0,275.44841004614653,275.4140782510847,272.969831144279,279.1834596528031,197221.0615930409,0.0,277.99102207420157,277.9708879021905,274.6700953318021,283.30608804257014,199041.57180512827,0.0,281.9586131631989,282.08800638617566,278.36747181615397,286.3376884507121,201882.3670248504,0.0,280.9321701838709,281.1451637738224,277.24738106690586,285.4841241761439,201147.4338516516,0.0,286.5143762626699,286.53977056234726,283.53276778270214,290.761903240848,205144.2934040716,0.0,283.30146273973776,283.1702524313116,281.02295845579533,287.3327332635061,202843.84732165225,0.0,283.6841646225668,283.57056795807057,281.71744365303886,286.53434331699475,203117.86186975785,0.0,279.7221103287461,279.714540485645,277.47810664441744,283.20689412516367,200281.0309953821,0.0,275.8717054550361,275.7618145626983,274.5435336643129,279.0814147724405,197524.1411058058,0.0
LBY.4_1,4.0,278.5528574791355,278.45552652715105,277.7309748045743,280.2919567424588,4178.292862187033,0.0,278.88387576161807,278.82019896011155,278.1917459664965,280.3518358481197,4183.2581364242715,0.0,277.0506789924948,276.63958840847874,275.8757752475957,279.82731524943085,4155.760184887422,0.0,279.7737079315587,279.2959504340537,278.43524743099186,282.68941408694286,4196.605618973381,0.0,284.69952895560806,284.3048837123552,282.98370349039817,287.3501802654583,4270.492934334121,0.0,287.56868511978666,287.17944286048646,285.854252592941,290.1751507618592,4313.530276796799,0.0,287.727467338278,287.1414129212114,284.8774473876857,292.0665098562515,4315.912010074168,0.0,291.71033797143866,291.3467629429448,290.07423532995097,294.22863344877595,4375.65506957158,0.0,288.5670838350786,288.11844194854365,286.86920901103247,291.5462541782709,4328.506257526179,0.0,287.2417856672528,287.10523984931945,286.41594818976534,288.99802891420796,4308.6267850087925,0.0,283.4050942170153,283.2819349157893,282.7568805115104,284.9496440023301,4251.0764132552285,0.0,280.12041402978883,279.98559417479356,279.245127761621,281.92034711773624,4201.806210446833,0.0
LBY.5_1,5.0,274.72072273068926,274.63167605135203,272.96931075780867,276.9944818987346,256589.15503046376,0.0,272.08856801053537,272.13958219617405,269.47853994522745,274.8247885990998,254130.72252184,0.0,270.76199726802605,270.72964616430136,268.6342143556847,273.76487946833663,252891.7054483363,0.0,273.05790659402226,273.1442545136797,270.93078438482723,276.074828056088,255036.0847588168,0.0,275.92527137073864,275.9045348424245,273.90737416623426,278.89215583610576,257714.20346026987,0.0,280.2391778797944,280.23972439981515,277.78312421494826,283.3753342636421,261743.392139728,0.0,281.24237277938715,281.095990096702,278.48570498240935,285.8060197007415,262680.3761759477,0.0,284.82699207325766,284.6898165218,282.48371014827364,288.79666242647176,266028.4105964226,0.0,283.3591184675463,283.3269919405413,281.13880174893853,286.9469153824197,264657.41664868826,0.0,282.19383509410517,282.1004311378332,280.19911192827567,284.75919530308363,263569.04197789426,0.0,277.7516119340075,277.7852305999195,275.58752739148383,280.9438759256701,259420.005546363,0.0,276.5899626219143,276.456648111776,274.98574985507304,278.67722515754866,258335.02508886802,0.0
LBY.6_1,6.0,273.11387203245147,273.24289620931273,265.15870659302743,275.90348624127404,991130.2416057664,0.0,270.5985462379259,270.16707733133654,265.0797044375906,274.2128920248249,982002.1242974331,0.0,268.82996081407987,268.549074734987,263.9338166615136,271.8198858132519,975583.927794296,0.0,269.4500601660635,269.2022130006966,264.4866262762159,272.69227944129057,977834.2683426443,0.0,273.3990862592381,273.28037455927546,269.1288902705649,276.42743133464944,992165.2840347751,0.0,277.06061707201803,276.76871444286905,272.8525628779766,280.17202108811216,1005452.9793543534,0.0,278.67092797645597,278.4332660720158,273.20094840073057,282.9806894839057,1011296.7976265588,0.0,282.81181299049234,282.71229006442553,278.28750847871214,285.105106633979,1026324.0693424969,0.0,280.9433251836802,280.79352393545025,276.8256335113174,284.06586917659666,1019543.3270915756,0.0,279.4517078503424,279.3253651944873,275.1907834460871,282.1994271267518,1014130.2477888924,0.0,274.9773129061944,274.5364055689955,268.66593815026783,278.72153256420216,997892.6685365792,0.0,275.505249759018,275.41420034030585,268.96911303350373,278.03129479510767,999808.5513754764,0.0
LBY.7_1,7.0,279.2036170248765,279.14522777209567,278.6987958387312,281.0298319501337,23453.10383008963,0.0,277.71346518665496,277.546733525464,276.55805743185954,280.66559144659044,23327.93107567902,0.0,276.0004693388977,275.57275083195947,274.91816420427114,280.55519422833504,23184.039424467406,0.0,278.0153023340442,277.42678750521185,276.6477039677388,283.5457634591644,23353.285396059702,0.0,280.85313187995246,280.3480683557674,279.63359417241463,286.14115283865885,23591.663077916004,0.0,285.2325317280093,284.70522458596815,283.80697102913456,289.87989175244184,23959.532665152783,0.0,287.4892139910625,286.85286064584955,285.83751406159456,292.5434883304764,24149.093975249245,0.0,289.8265750944599,289.5414781995849,288.5561610818312,293.2874390114586,24345.432307934632,0.0,288.7571564082885,288.4447308030782,287.5812397918576,291.8164136573804,24255.60113829624,0.0,285.7248393793105,285.6414207464897,284.68233048442454,288.00876437806215,24000.88650786209,0.0,282.82607485579217,282.7197628810283,281.96619562700465,285.4429080123684,23757.390287886545,0.0,281.1343110673955,281.05856467486825,280.62470711444087,282.6794617210072,23615.282129661227,0.0
LBY.8_1,8.0,278.6426973091726,278.6274191934588,275.81721385078237,280.63684720959134,18947.703417023746,1.4492753623188406,278.67982301155445,278.6587069197,276.238828674798,280.5128400493451,18950.227964785703,1.4492753623188406,277.1553546677825,277.0028791462719,273.6299055974237,280.72960521849893,18846.56411740921,1.4492753623188406,281.07136679355654,281.2149740158287,277.2760869125416,284.40110185019137,19112.85294196185,1.4492753623188406,285.21327184063665,285.25126355871447,281.004343529844,288.3415964768824,19394.50248516329,1.4492753623188406,287.68231114379523,287.6785621324693,283.8215546757466,290.7420398979553,19562.39715777808,1.4492753623188406,288.1790512299841,288.3054486329677,282.507576699815,292.9256754161325,19596.17548363892,1.4492753623188406,292.13284547698817,292.3442719451765,288.3146972575235,294.73513862016506,19865.0334924352,1.4492753623188406,289.13708094717896,289.165360143028,285.3152951708912,292.39843506019287,19661.32150440817,1.4492753623188406,288.21368918822344,288.37112615213323,285.05945791595923,290.20418078736844,19598.530864799195,1.4492753623188406,283.31704468462226,283.2979778460185,280.8424443109018,285.5415008966852,19265.559038554315,1.4492753623188406,280.25995550706904,280.23166855726186,277.71809530304085,282.11651579597753,19057.67697448069,1.4492753623188406
LBY.9_1,9.0,277.27846487564574,277.007223736894,275.6359215541359,281.43494253939565,446695.6069146653,0.12399256044637325,274.895628071984,274.72149224682283,272.68514310342357,279.5817013583321,442856.8568239663,0.12399256044637325,273.38480205877715,273.1641221033381,271.23957426422277,279.5202499030293,440422.91611669,0.12399256044637325,274.81819500998904,274.56041256772494,272.3371800927536,281.87443415634743,442732.11216109217,0.12399256044637325,278.1477396207866,277.93393609725393,275.7311018899963,284.61020706592404,448096.0085290872,0.12399256044637325,282.310025203095,282.0538979674748,279.6270331198301,289.189410558669,454801.450602186,0.12399256044637325,284.85590967324987,284.5783779557072,281.13947003480274,292.97370370413904,458902.8704836056,0.12399256044637325,287.2395227749245,287.0630880815588,284.51217727051426,293.6738495629907,462742.8711904033,0.12399256044637325,285.6826683148978,285.35852506778116,283.00449762012835,292.1759150663521,460234.7786553004,0.12399256044637325,283.50371627408265,283.27076885583097,281.3388936697852,287.6841701244041,456724.4869175472,0.12399256044637325,280.11248921071376,279.890883568422,278.12206771509324,284.3131199314649,451261.2201184599,0.12399256044637325,279.37264556278217,279.0241954287641,277.63897442068094,283.69712404613983,450069.3320016421,0.12399256044637325
LBY.10_1,10.0,279.2151096403276,279.24581785272017,277.3206514097995,281.0484041867118,15077.615920577693,1.818181818181818,279.1089008203976,279.0771486345707,277.9533614502988,280.4717187566649,15071.880644301473,1.818181818181818,276.92384351663446,276.577750968006,274.9370792124467,279.66523227084184,14953.88754989826,1.818181818181818,281.4522883900896,281.09807946931005,279.26002452309416,284.70846441106363,15198.423573064842,1.818181818181818,285.61779591665464,285.43654563004907,283.4100995244224,288.1870358365143,15423.36097949935,1.818181818181818,288.680620970262,288.5814101395146,286.51041191119634,291.0163687831161,15588.753532394148,1.818181818181818,289.5406461030919,289.32463514108804,286.05554132768395,293.03628694409906,15635.194889566963,1.818181818181818,293.0638122784128,293.01379892637374,290.99581604333815,294.944556051278,15825.445863034302,1.818181818181818,290.0464808499105,289.85753602359625,287.6311145655929,292.71834205057104,15662.509965895171,1.818181818181818,287.77339207533754,287.7129044280508,285.4314494941725,290.2584518596222,15539.763172068228,1.818181818181818,283.80853946181253,283.60572116903137,282.17483096100835,286.1109069247045,15325.661130937877,1.818181818181818,279.64360011662467,279.45908405187174,277.73385436762976,281.96788782515284,15100.754406297734,1.818181818181818
