GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NGA.1_1,1.0,291.5548112875606,291.9132503461895,286.7622069024742,295.189142314129,11079.082828927305,0.0,295.92069052562863,295.93070246655014,294.4644187019564,297.1166257540517,11244.986239973889,0.0,296.59237183521117,296.5597243381203,295.72930851030293,297.316819974976,11270.510129738024,0.0,296.6941710437166,296.6555407672913,296.0055829274487,297.2355422269729,11274.37849966123,0.0,296.7160596522818,296.70471470276436,296.07456595055044,297.1573682826184,11275.21026678671,0.0,296.12984598897236,296.13187767039005,295.5132772017061,296.5209523608852,11252.934147580947,0.0,295.6734447801709,295.6834281669295,295.08085433020364,296.0075347822712,11235.590901646494,0.0,295.3284210321312,295.3140985445242,294.69499277300383,295.70824593428983,11222.479999220985,0.0,295.98469167903613,295.97220022209234,295.37696178335585,296.378782035146,11247.418283803372,0.0,296.4559918832251,296.43966879714117,295.88592947880613,296.81918715432096,11265.327691562554,0.0,296.65255699035924,296.6555893334552,295.8344651254305,297.1791552313583,11272.79716563365,0.0,294.2137134377215,294.45382517961724,291.03358637491874,296.5147131527025,11180.121110633416,0.0
NGA.2_1,2.0,273.0820982038793,273.27287779109247,270.4249227077159,276.58599671636904,75916.82330067847,0.0,279.2187808596224,279.8653512152423,275.3396445961105,284.1529966320818,77622.82107897503,0.0,279.0857015548592,280.19523392278893,270.8467440628377,289.0311870672303,77585.82503225088,0.0,287.992175002004,288.6695059172908,281.3705155815918,293.4065505102332,80061.82465055713,0.0,293.6685828462732,293.81661526306704,291.2894316996704,295.6075442801318,81639.86603126394,0.0,294.416413426173,294.4610864674098,292.43789862420954,295.4717627907317,81847.76293247611,0.0,294.6283704915021,294.69379345996134,292.1682976453909,295.8255501512437,81906.68699663758,0.0,294.423222235207,294.43287416466615,291.8787549771074,295.6813039357048,81849.65578138754,0.0,295.01931972553774,295.11036133250457,292.0745384921648,296.4556287462569,82015.37088369949,0.0,293.8822604815887,294.0070757578949,291.01739216469434,295.61249060780926,81699.26841388165,0.0,284.39152344997296,284.51618481523116,279.9602183043629,291.2939902240995,79060.8435190925,0.0,278.7268387427853,278.8127406030226,275.4382038140112,283.02183035858417,77486.06117049433,0.0
NGA.3_1,3.0,295.1120952236473,295.21742790270275,292.2052920213265,296.6455465014261,15345.82895162966,0.0,296.9820407585769,297.0287646342532,296.1219544501234,297.5319535039777,15443.066119446,0.0,297.22775436735304,297.22482493587637,296.6811733488071,297.6450351453164,15455.843227102358,0.0,297.1835103320114,297.1598825637404,296.71903903204367,297.56284994646643,15453.542537264593,0.0,297.0860709552017,297.0582778469417,296.6951767553083,297.4069496818319,15448.475689670493,0.0,296.47220213754383,296.464736104272,296.09373800629197,296.810533900103,15416.554511152275,0.0,296.0197526387068,296.02490137225203,295.6529019735875,296.35767137420015,15393.027137212752,0.0,295.68331791879706,295.6739277723726,295.32511800003675,296.02345508107123,15375.532531777451,0.0,296.2719485525177,296.2718422760228,295.9346220772736,296.5593679908992,15406.141324730921,0.0,296.7427915664432,296.7353222279563,296.4189694745668,297.07367685693004,15430.625161455037,0.0,297.1815685766888,297.18549263084213,296.72482813948744,297.5943481890089,15453.44156598782,0.0,296.4482616720413,296.45590998649817,294.6419444984135,297.35649749710467,15415.30960694615,0.0
NGA.4_1,4.0,288.4815032247636,288.23352012744857,285.4503424989496,292.1009211258253,11250.778625765779,0.0,295.1180064701087,295.06956825846305,294.3820558420626,296.07909948678054,11509.602252334238,0.0,296.325634584003,296.2989102888848,295.9355587784896,296.84491713838554,11556.699748776118,0.0,296.57773433402474,296.5188319424692,296.164377373996,297.0561948195448,11566.531639026964,0.0,296.6475298727173,296.63523384056026,296.20106400015226,296.99142190924334,11569.253665035976,0.0,296.070188012402,296.09302207793917,295.57831529230265,296.39667161408335,11546.737332483677,0.0,295.68730376354546,295.7205621268428,295.203786538708,295.9706026041548,11531.804846778274,0.0,295.28768719476875,295.32975639507936,294.7789147021537,295.5612614750928,11516.219800595982,0.0,295.93067202434145,295.9424736714604,295.4581334122579,296.24679416797716,11541.296208949316,0.0,296.4650894356236,296.47534080280593,296.00450165711146,296.7896950049183,11562.13848798932,0.0,296.47783222556643,296.4287883159928,296.08327697471583,296.98634918291657,11562.63545679709,0.0,292.19208930055646,292.0692300163841,290.9550995977991,294.3307391163267,11395.491482721702,0.0
NGA.5_1,5.0,270.57161296920526,270.60762899728957,268.7072284101994,272.33555206152323,107416.93034877448,0.0,275.789486475079,276.0459086994645,272.32611961922873,278.26608161838607,109488.42613060637,0.0,270.8680188739184,270.93130622680115,265.3497025827673,278.1635086973414,107534.60349294561,0.0,282.6210375271961,282.80963113655554,275.6060134631946,289.4705459062072,112200.55189829684,0.0,292.087388788419,292.1603252386789,288.94739382199083,294.45972274458137,115958.69334900234,0.0,293.3642989384286,293.3237279653616,291.9322650886817,294.5866117891053,116465.62667855615,0.0,294.42665883560534,294.75280997029256,291.71074261294416,295.30944818843244,116887.38355773527,0.0,294.21737789922395,294.54860158299283,291.46311018507225,295.2648751759271,116804.29902599193,0.0,294.68757969425883,295.0295123423675,291.72398120316393,295.71977671629867,116990.96913862073,0.0,291.79544541492453,291.99936579139285,287.6717784349272,294.614622463806,115842.79182972506,0.0,279.77629744926674,280.14558386074367,275.51555299364554,283.32252341184295,111071.1900873589,0.0,275.59836979825883,275.7803394824038,273.2630676055141,277.5411818262681,109412.55280990877,0.0
NGA.6_1,6.0,295.9820810462422,296.11465120045904,294.08436717577626,296.86121243036393,23678.56648369937,1.2345679012345678,297.2662858060316,297.3078646639615,296.6695782235039,297.6640812305738,23781.302864482528,1.2345679012345678,297.3236686916037,297.3236974950032,297.0909329485125,297.5805187786613,23785.89349532829,1.2345679012345678,297.2799352619083,297.2739456655737,297.0866502868337,297.4778384502867,23782.394820952664,1.2345679012345678,297.13854104501235,297.13256183398784,296.9987544124265,297.3126231989923,23771.083283600987,1.2345679012345678,296.43895520376293,296.433646018425,296.24917839548226,296.65455216376176,23715.11641630104,1.2345679012345678,295.91424428382777,295.9080584579469,295.73305382096345,296.11155066296834,23673.139542706227,1.2345679012345678,295.5162710882581,295.4993268472308,295.38556060915107,295.74935605944387,23641.301687060648,1.2345679012345678,296.22911797127057,296.2356475130806,296.04736946784345,296.35749400778127,23698.32943770165,1.2345679012345678,296.75042960977413,296.7546017613837,296.52974202658993,296.88062377625704,23740.034368781933,1.2345679012345678,297.21557559380835,297.2172088896112,297.0156078233318,297.4036705797958,23777.246047504672,1.2345679012345678,296.7756795698096,296.8538666937965,295.685443331945,297.43017744441534,23742.054365584765,1.2345679012345678
NGA.7_1,7.0,274.9395814453185,274.72316318932576,271.66702301626657,280.92519817833664,70934.41201289216,0.0,290.66534938954584,290.7880958223535,287.1257483629195,293.7344850798373,74991.6601425028,0.0,294.145019585312,294.04818552879794,292.78712206049727,295.47672855943904,75889.41505301048,0.0,295.06799236940475,294.9621768934709,294.31205918284735,296.0066662682825,76127.54203130642,0.0,295.83704852164936,295.81058329393306,294.9443701612587,296.4598879598819,76325.95851858554,0.0,295.68001061560886,295.6901616962383,294.6278627931157,296.21714437074473,76285.4427388271,0.0,295.3775899446959,295.3994105221203,294.2129533925803,295.925209323482,76207.41820573155,0.0,295.0994291737732,295.10924035563175,293.8217428153261,295.7976163518884,76135.65272683349,0.0,295.6348786042492,295.65018991863974,294.4483547627315,296.09420641496644,76273.7986798963,0.0,296.05990298989263,296.07549057387195,294.79064683478896,296.60073591030954,76383.45497139229,0.0,294.4390065140883,294.42825048183937,292.9940978255328,295.8797810295232,75965.26368063479,0.0,283.61480256752486,283.58201732391194,279.8771537675315,287.66630977900024,73172.61906242144,0.0
NGA.8_1,8.0,270.38026412655734,270.57131648339004,267.7871903519168,275.3588167526461,153846.37028801112,0.0,274.60446211297875,274.8143122395159,271.435032382494,279.5921319594495,156249.9389422849,0.0,269.20925621290763,269.50927979236235,264.6683262403231,277.33787122853715,153180.06678514445,0.0,277.7303284409742,277.95548572536103,268.70813588965945,286.05419849306537,158028.5568829143,0.0,290.2204819154518,290.6623536492433,284.53131736119303,293.55113901396413,165135.45420989205,0.0,293.0488777099871,293.29121803378774,290.0747525184192,294.6616609969133,166744.81141698264,0.0,294.8263968175841,294.8669761904511,293.9357863007875,295.4515198349053,167756.21978920535,0.0,295.37641209568227,295.5102115412014,293.75725851802576,296.35740782737736,168069.17848244324,0.0,295.5387001579723,295.6248965876854,294.3875167148485,296.36647880365337,168161.52038988622,0.0,289.20365309087464,289.3555908171866,282.24671959921244,294.14376781068637,164556.87860870766,0.0,277.4153706807,277.533588714082,271.8945368748906,282.7267370667018,157849.3459173183,0.0,275.0266835491819,275.25094867328283,271.9331821882092,278.411748338155,156490.18293948448,0.0
NGA.9_1,9.0,288.7225895152785,290.42780837686263,276.2380714491426,296.6493283518892,49660.28539662791,1.1494252873563218,295.21528682893955,295.41188675560176,290.0429314409658,297.50327495032815,50777.029334577615,1.1494252873563218,296.3057783801546,296.39288365383516,292.9939822364219,297.64232490638045,50964.59388138661,1.1494252873563218,296.44562224550634,296.5756972563057,293.09757737134703,297.5664265246695,50988.64702622709,1.1494252873563218,296.5097809815958,296.63608672992575,293.16745233000887,297.4011249713513,50999.68232883448,1.1494252873563218,296.03209611831863,296.16171843439145,292.70865052507327,296.80600774153675,50917.5205323508,1.1494252873563218,295.5938076658974,295.7267200282978,292.1717728812478,296.36050269263717,50842.134918534335,1.1494252873563218,295.2167746799812,295.3399095015345,291.8189480215392,296.0345509665194,50777.285244956736,1.1494252873563218,295.8299571949608,295.97734260985425,292.4321350903979,296.55825030985335,50882.75263753328,1.1494252873563218,296.276059880375,296.40066797403733,292.9262713437677,297.06897574438716,50959.48229942449,1.1494252873563218,296.4308153034382,296.609885229676,291.98848600047296,297.5923157789214,50986.10023219137,1.1494252873563218,292.3326939086481,293.2231241507105,283.91434055530283,297.270013507169,50281.223352287474,1.1494252873563218
NGA.10_1,10.0,293.9452384360494,294.66364550116225,288.42341370058017,296.71824860711797,39094.71671199458,0.0,296.6870407626573,296.90182109142245,294.80119900348075,297.67942006383555,39459.376421433415,0.0,297.20305077223736,297.2506737058752,296.1194991380313,297.8166567134538,39528.005752707584,0.0,297.2648257708702,297.3109467882652,296.2446561880402,297.76319373170094,39536.22182752573,0.0,297.13172534791414,297.1571574427385,296.2014022945208,297.59012207629485,39518.519471272586,0.0,296.42599788088415,296.4640043071035,295.56955295776464,296.79136699830497,39424.65771815759,0.0,295.9531515334008,295.98322005410887,295.1410044031938,296.30161362594686,39361.76915394232,0.0,295.5355550042199,295.5476962887575,294.7368996061621,295.8840064580866,39306.22881556123,0.0,296.24794916886816,296.3063400978175,295.40556550258844,296.58693250590187,39400.977239459484,0.0,296.79309274660807,296.83337631452605,295.93150023800376,297.1497206974716,39473.481335298864,0.0,297.14289060027437,297.1463707573928,296.0836625015957,297.7131106883827,39520.0044498365,0.0,295.5217877386518,296.00391725450226,291.63283625948975,297.4721973057776,39304.39776924069,0.0
