GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
SEN.1_1,1.0,-0.000842444693359204,-0.000842444693359204,-0.0012253128622541475,-0.00045957652446426033,-0.001684889386718408,60.0,-0.0006187269287310392,-0.0006187269287310392,-0.0008921249829837033,-0.0003453288744783753,-0.0012374538574620787,60.0,-0.0005779763529610865,-0.0005779763529610865,-0.0008390255910393957,-0.00031692711488277717,-0.001155952705922173,60.0,-0.00055658277480702,-0.00055658277480702,-0.0008170192719382923,-0.0002961462776757478,-0.00111316554961404,60.0,-0.0005170665167054062,-0.0005170665167054062,-0.0007630926764352351,-0.0002710403569755772,-0.0010341330334108123,60.0,-0.00048215926101980605,-0.00048215926101980605,-0.0006681996179834049,-0.00029611890405620734,-0.0009643185220396119,60.0,-0.0007308336117760522,-0.0007308336117760522,-0.000946423066601449,-0.0005152441569506555,-0.0014616672235521044,60.0,-0.0012920223505441687,-0.0012920223505441687,-0.001508602071527126,-0.0010754426295612122,-0.0025840447010883373,60.0,-0.0033508839583712307,-0.0033508839583712307,-0.0035406871335150595,-0.003161080783227403,-0.0067017679167424606,60.0,-0.0022047586151601032,-0.0022047586151601032,-0.0023917974517221052,-0.0020177197785981003,-0.0044095172303202064,60.0,-0.0011668962228429133,-0.0011668962228429133,-0.0015038868894622882,-0.0008299055562235384,-0.002333792445685827,60.0,-0.0009110285963646713,-0.0009110285963646713,-0.0012551044749733384,-0.0005669527177560037,-0.0018220571927293427,60.0
SEN.2_1,2.0,-0.00014207463449723276,-0.00014425253487224796,-0.0002878895831565656,-4.335836223756486e-05,-0.005682985379889311,0.0,-0.00011329761349657742,-0.00011249924392959229,-0.0002293693152483973,-4.4715513914200015e-05,-0.004531904539863096,0.0,-9.93729588110727e-05,-9.69506095676637e-05,-0.00022254009368307304,-3.415101239737233e-05,-0.003974918352442908,0.0,-6.995602359646165e-05,-6.743505549414202e-05,-0.0001605791518152995,-2.1669814988094313e-05,-0.0027982409438584662,0.0,-5.391544844457798e-05,-5.572243867589214e-05,-0.00011735989179077373,-1.5783856867194926e-05,-0.002156617937783119,0.0,-9.30553540861499e-05,-8.479553260889438e-05,-0.00020443666292558948,-4.2747322307960495e-05,-0.003722214163445996,0.0,-0.001233841798575899,-0.0012270879548745876,-0.0015958285435985207,-0.0008743959500376211,-0.04935367194303597,0.0,-0.001849454312240748,-0.0018957890847771067,-0.002530180727601468,-0.0011576872408480838,-0.0739781724896299,0.0,-0.003512775444931561,-0.0035422309994107616,-0.003776042158523353,-0.003228011068541706,-0.14051101779726244,0.0,-0.0023562638852895603,-0.0023486410610249475,-0.002962995073701581,-0.0018839118990301566,-0.0942505554115824,0.0,-0.0006638265811101517,-0.0006410857031008228,-0.0010885411155924251,-0.0003824408123977597,-0.02655306324440607,0.0,-0.000269567004406291,-0.0002501150392289482,-0.0004935829673893232,-0.00014847291893257242,-0.010782680176251641,0.0
SEN.3_1,3.0,-0.0007864779943650889,-0.0003600078527669075,-0.002958494053140316,-8.580513358208209e-05,-0.043256289690079885,0.0,-0.0007541949734530082,-0.00031781357751674283,-0.002860135896337193,-9.550127844325492e-05,-0.04148072353991545,0.0,-0.0008233615559940441,-0.000330534198319365,-0.0030570949701801088,-6.601840378326535e-05,-0.04528488557967242,0.0,-0.0007730629202636847,-0.00027538828695034684,-0.0029930890110182627,-4.70063320735133e-05,-0.042518460614502665,0.0,-0.0006854709551916032,-0.00023081439830198726,-0.0026690559416217697,-3.601874426028845e-05,-0.037700902535538185,0.0,-0.0006931078016450255,-0.0003078477735600957,-0.00239313238158151,-8.703329454214663e-05,-0.0381209290904764,0.0,-0.002176993167821928,-0.002213266898648039,-0.003668001840042127,-0.0011997165491283786,-0.11973462423020605,0.0,-0.002848300230023184,-0.00279097890873878,-0.004194358325280839,-0.0019370362663676509,-0.15665651265127511,0.0,-0.0037396106834702014,-0.0037261623946856725,-0.004479495741312903,-0.003305488326438643,-0.2056785875908612,0.0,-0.003327017879123157,-0.0031431562304666105,-0.004682053566936942,-0.002391091713014405,-0.18298598335177368,0.0,-0.0015476039520033909,-0.0011779644405507715,-0.003504149757810437,-0.0006396431405772921,-0.0851182173601865,0.0,-0.000988732431227233,-0.0007057181617799314,-0.002963233184369461,-0.00025800393382271883,-0.05438028371749781,0.0
SEN.4_1,4.0,-0.00023966603846974663,-0.00024396034704852803,-0.0006290935881504497,-4.621064396936972e-05,-0.022049275539216692,0.0,-0.00019670018690924474,-0.00019206350422166447,-0.0005491513981948358,-4.551378558028644e-05,-0.01809641719565052,0.0,-0.00016959234630821841,-0.0001611221752815107,-0.0005323590920468337,-4.1324154491998966e-05,-0.015602495860356096,0.0,-0.00012335373241939663,-0.00010987711229704268,-0.0004673728412715443,-3.6951460431196695e-05,-0.011348543382584493,0.0,-9.419079802586748e-05,-7.80944910466918e-05,-0.00040933450881738137,-3.525831297044353e-05,-0.00866555341837981,0.0,-0.000260168347954258,-0.00026924420318784884,-0.000538202507376858,-5.7631950445349496e-05,-0.023935488011791725,0.0,-0.0021463530619385005,-0.0021487543635133857,-0.0026787431152507733,-0.0012276515158773356,-0.19746448169834205,0.0,-0.0027146206914533465,-0.002751625985957645,-0.003250798433796929,-0.0020082977390122807,-0.2497451036137079,0.0,-0.003535525550174585,-0.003531139651531123,-0.0038062921685945187,-0.0031106640241363717,-0.32526835061606185,0.0,-0.0027119320413457,-0.0027590718243483314,-0.003515823102901613,-0.0017638001469276793,-0.2494977478038044,0.0,-0.0010979183920137982,-0.0011632071153885495,-0.0017830470076039785,-0.0004516481957498349,-0.10100849206526943,0.0,-0.0005113243161875794,-0.000548789987066233,-0.0010013802941458137,-0.000164084131231062,-0.047041837089257306,0.0
SEN.5_1,5.0,-0.00042823651639861633,-0.0003509469795224141,-0.001145442046026772,-0.00022928929111807705,-0.01884240672153912,0.0,-0.0003691128303134759,-0.00029823030351442884,-0.0010769375511899457,-0.00017901823096264563,-0.01624096453379294,0.0,-0.0003688356327440413,-0.00030109771824578897,-0.0011131762694848672,-0.00015097235377915577,-0.016228767840737818,0.0,-0.00031562756876301365,-0.000259622712320636,-0.0010573584722381813,-9.392568706883076e-05,-0.0138876130255726,0.0,-0.00027154601660507827,-0.0002198946264949895,-0.0009809492162121338,-6.255092855502928e-05,-0.011948024730623443,0.0,-0.0003881525869796866,-0.0003443384411538009,-0.0010650118602090082,-0.00018059885060974464,-0.017078713827106202,0.0,-0.0024863492618093434,-0.0025223098274870896,-0.003065990040765273,-0.0018095605903787066,-0.1093993675196111,0.0,-0.003045571209127989,-0.003060699018432093,-0.003392933018817427,-0.0027027437878162828,-0.13400513320163152,0.0,-0.0036221722926483243,-0.0036528626681236313,-0.003743917376623353,-0.003248793544707645,-0.15937558087652626,0.0,-0.003309383635164357,-0.003421220789902311,-0.0039245303511176435,-0.0026617150925568084,-0.14561287994723168,0.0,-0.0015738382618481338,-0.0015772335222490482,-0.0025628553076256786,-0.0010082757164028002,-0.06924888352131789,0.0,-0.0007638893027270817,-0.0007142950658945598,-0.0015653979830660635,-0.0004269533843771708,-0.0336111293199916,0.0
SEN.6_1,6.0,-0.0004925485873152871,-0.0004901250736080375,-0.001059927510958778,-0.00015416571192982325,-0.06944935081145548,0.0,-0.0003659391646779654,-0.00034887977726978897,-0.0009155064259286662,-0.00010692100429075172,-0.05159742221959311,0.0,-0.0003337833810300952,-0.00031780646056090095,-0.0009126479825092132,-8.871143620993067e-05,-0.04706345672524342,0.0,-0.0002633302777885858,-0.00024755435618686373,-0.0007824030263045341,-6.62167151210266e-05,-0.0371295691681906,0.0,-0.00024398930554758407,-0.00022840126164487827,-0.0007629639872085406,-5.75224931690405e-05,-0.034402492082209364,0.0,-0.001010900014566166,-0.0009728564629868264,-0.002145607104351248,-0.0005227636268156194,-0.1425369020538294,0.0,-0.0033551507247737552,-0.0033380103771770593,-0.0037642550075786783,-0.002991098804879045,-0.4730762521930994,0.0,-0.003421021450587393,-0.003423748619134393,-0.0035407475641410454,-0.00329620759659861,-0.4823640245328224,0.0,-0.003913193480976875,-0.0038918094670606493,-0.004168900264162493,-0.003693207964139655,-0.5517602808177394,0.0,-0.004191465900493985,-0.0041730678195671415,-0.004398064922828144,-0.00398990273837897,-0.5909966919696519,0.0,-0.0028785380609500357,-0.002843759217469007,-0.003771609348256774,-0.002167005385819858,-0.40587386659395497,0.0,-0.0014823356222592918,-0.0015169973811957292,-0.002192912838015963,-0.0009205871466497091,-0.20900932273856013,0.0
SEN.7_1,7.0,-0.0005240913000335788,-0.0004943027169880904,-0.0010565869096560057,-0.00019630199194102727,-0.055029586503525775,0.0,-0.0004027364518603425,-0.0003821649552567025,-0.0008202218165515653,-0.00014999031660475271,-0.04228732744533596,0.0,-0.00037806833907479083,-0.0003603721248432543,-0.0008399424628585428,-0.00010782292282248629,-0.03969717560285303,0.0,-0.0003186420828187022,-0.0003012141515755393,-0.000745343177423659,-8.259878110849834e-05,-0.033457418695963734,0.0,-0.0002579885000358656,-0.00024454536381741016,-0.0006053685950021467,-6.958492921042306e-05,-0.02708879250376588,0.0,-0.0008981271672730412,-0.0009053017014206313,-0.0012886966634119085,-0.0004526961341970252,-0.09430335256366933,0.0,-0.0032739521619207,-0.003310188875465927,-0.0034830686271309693,-0.0028731852995137357,-0.3437649770016735,0.0,-0.003528721368460327,-0.003527869935163799,-0.0036364829043317045,-0.0034197167563278824,-0.3705157436883344,0.0,-0.003619290359203965,-0.003612113970804637,-0.003711782797897735,-0.003491289740149257,-0.3800254877164163,0.0,-0.004153334922614511,-0.004186212660620676,-0.004392904507377383,-0.0036605522488377604,-0.4361001668745236,0.0,-0.0026602146778822765,-0.0026673756210709963,-0.003399560919057684,-0.0018235771301047675,-0.27932254117763905,0.0,-0.0014550345166708786,-0.0014500554505165522,-0.002104200717635502,-0.0007858559076406494,-0.15277862425044225,0.0
SEN.8_1,8.0,-6.692649789464214e-05,-2.3274974275452772e-05,-0.0010548698907533443,-1.2223067841536125e-05,-0.013586079072612356,0.0,-7.979341803316996e-05,-4.527023873346861e-05,-0.0010086002960362852,-2.2182490055696247e-05,-0.0161980638607335,0.0,-8.463818173468634e-05,-3.515738836908689e-05,-0.0013074159720091062,-2.0592424320439905e-05,-0.017181550892141326,0.0,-8.239373066418197e-05,-3.4061838117674205e-05,-0.0013156375813270795,-1.9115256191245334e-05,-0.01672592732482894,0.0,-7.972821300301408e-05,-3.3293157118373875e-05,-0.0012877496288284506,-1.659636509260924e-05,-0.016184827239611857,0.0,-8.370337294698008e-05,-3.8275555076037775e-05,-0.0012400329802758985,-2.3861574584604567e-05,-0.016991784708236958,0.0,-0.0006710493364119305,-0.0005666342026821062,-0.001770252912734859,-6.521251044817708e-05,-0.1362230152916219,0.0,-0.001054119420557574,-0.0008963008212685221,-0.0021866256195645834,-0.0005776483117148832,-0.2139862423731875,0.0,-0.003052861765703073,-0.003139119410194925,-0.0038706798767300854,-0.0018570055825127387,-0.6197309384377238,0.0,-0.0011287832528550168,-0.0009821478379176574,-0.0025551237863043878,-0.0002070000878736028,-0.2291430003295684,0.0,-0.00025185020159122003,-0.00016965267290050318,-0.0010899521153821196,-4.547063855726775e-05,-0.05112559092301767,0.0,-0.00012508588513662137,-7.449837523145762e-05,-0.001029457377177481,-1.527488038224965e-05,-0.025392434682734145,0.0
SEN.9_1,9.0,-5.8830158888135705e-05,-3.0443758154830714e-05,-0.00027641017940617643,-1.3044840849388362e-05,-0.013236785749830532,0.0,-6.621651425774532e-05,-4.438446021300391e-05,-0.0003272076577594869,-1.9247195303940325e-05,-0.0148987157079927,0.0,-6.639951744692743e-05,-3.733716407876723e-05,-0.00036704130313105663,-2.4234950268448635e-05,-0.014939891425558672,0.0,-6.464416880529807e-05,-3.7572465204054896e-05,-0.00040065512625806605,-2.425569739278028e-05,-0.014544937981192066,0.0,-6.491765154139615e-05,-3.9111619135127056e-05,-0.0004143949257361783,-2.621143929660184e-05,-0.014606471596814134,0.0,-0.00016769028179166424,-0.00015077215806128994,-0.00044764679728104094,-2.7999947857074023e-05,-0.03773031340312445,0.0,-0.001673669663354132,-0.0017241487237940418,-0.002511703509289077,-0.0009194206817477516,-0.3765756742546797,0.0,-0.0018095231399171614,-0.0017920851775527441,-0.0028701968432635703,-0.0009142498930326188,-0.40714270648136136,0.0,-0.002774189487681807,-0.002913154681754057,-0.003668757252776787,-0.0014832513968093233,-0.6241926347284066,0.0,-0.000796160158778503,-0.0006408085672292633,-0.002171559949202621,-0.00023468062342529443,-0.17913603572516318,0.0,-0.0001617288089444266,-0.00010865313451282764,-0.0006874497227859461,-3.873322498207662e-05,-0.036388982012495984,0.0,-6.746159108821949e-05,-4.1171471167286355e-05,-0.0003487283986883962,-1.5231210318780506e-05,-0.015178857994849387,0.0
SEN.10_1,10.0,-0.00013555112883872786,-3.676688252356976e-05,-0.002647014604077029,-1.2847939985377525e-05,-0.022365936258390097,1.1976047904191618,-0.00013534548570320472,-4.1446782138079796e-05,-0.0026181159939728106,-1.7527666927327522e-05,-0.022332005141028767,1.1976047904191618,-0.00017541232385388106,-5.802996267108217e-05,-0.003464848239524747,-2.206856969909207e-05,-0.02894303343589037,1.1976047904191618,-0.00017745122092485092,-6.0556678130966346e-05,-0.003530814754275644,-2.3018836851147087e-05,-0.0292794514526004,1.1976047904191618,-0.0001795609006443375,-6.494663830419318e-05,-0.003600648035555118,-2.543935733123972e-05,-0.02962754860631569,1.1976047904191618,-0.0001883303114909893,-7.363736688678243e-05,-0.0035173835505053178,-3.5636836910555705e-05,-0.031074501396013227,1.1976047904191618,-0.0006025183930896977,-0.0003868003332649987,-0.003421945415415844,-5.777788164591167e-05,-0.09941553485980012,1.1976047904191618,-0.0007910897841586554,-0.000706850357488211,-0.0032500410190597928,-0.00028108810817108415,-0.13052981438617814,1.1976047904191618,-0.002003239322819104,-0.001931715651624079,-0.0041126183972532105,-0.0011553662649275306,-0.3305344882651521,1.1976047904191618,-0.00040727777689653153,-0.0002906482474125359,-0.003338727003219961,-0.00012480378242503976,-0.0672008331879277,1.1976047904191618,-0.00015938640870064618,-5.525646441373901e-05,-0.0027956055933917533,-3.062972746171181e-05,-0.02629875743560662,1.1976047904191618,-0.0001399359377685798,-4.355444616123849e-05,-0.0025820654263381537,-1.522727108824538e-05,-0.023089429731815662,1.1976047904191618
