GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
TZA.1_1,1.0,0.0001210607966126826,0.0001001845856377712,8.139385551792701e-06,0.0004211449972900625,0.037407786153318925,0.0,1.4871594785118927e-05,1.0221212875755717e-05,1.6254181118354617e-07,8.91397551655736e-05,0.00459532278860175,0.0,0.00015885117002529875,0.0001435421086053631,7.881145679404078e-06,0.0004221844152129802,0.04908501153781731,0.0,0.00019013793706075985,0.00017780143378013491,8.212446898680666e-06,0.0004689553062462874,0.0587526225517748,0.0,7.131902894500358e-05,6.346938951747292e-05,9.405713183929813e-07,0.0002646157072910896,0.022037579944006104,0.0,1.1935401270625231e-05,6.9295171296296005e-06,4.1987899937607844e-08,7.666657616885822e-05,0.003688038992623197,0.0,1.5266803609855102e-05,9.960802915239937e-06,7.918793332644446e-08,0.0001265318867791538,0.004717442315445226,0.0,9.689125218755864e-06,5.832605563673665e-06,2.0466129409179565e-08,6.712423918971064e-05,0.002993939692595562,0.0,7.703190514670665e-06,4.160083028965586e-06,1.9214177952408527e-08,5.866672843007732e-05,0.0023802858690332353,0.0,2.6342964991246452e-05,2.273575569839343e-05,5.427762116707347e-07,0.00010330894000973305,0.008139976182295155,0.0,3.596450414952593e-05,3.050411507833274e-05,7.838909181384739e-07,0.00015517118589360312,0.011113031782203514,0.0,9.720921681069464e-05,8.669445107643469e-05,5.7730874642097475e-06,0.00031169986771711124,0.03003764799450464,0.0
TZA.2_1,2.0,4.001053947888321e-05,4.113567388967781e-05,3.178768447515732e-05,4.8349273771974106e-05,0.00048012647374659836,7.6923076923076925,2.481650849225594e-05,2.477976683759805e-05,2.2648555042614125e-05,2.654004560325731e-05,0.00029779810190707127,7.6923076923076925,0.00013948304335595596,0.00014034975598801956,0.0001226438823522975,0.00015602971251340672,0.0016737965202714715,7.6923076923076925,0.00019735854460495395,0.0001965777641429196,0.000182067582943568,0.00022886885296492904,0.0023683025352594475,7.6923076923076925,0.00015538626365511424,0.00015401770522117467,0.00013898172638233388,0.000176460522382135,0.0018646351638613708,7.6923076923076925,4.053773739759877e-05,3.9181307951710685e-05,3.263831875566749e-05,5.120496142526294e-05,0.00048645284877118524,7.6923076923076925,2.933811901940285e-05,2.8832910313011146e-05,2.4751873582090232e-05,3.4877083281753386e-05,0.00035205742823283414,7.6923076923076925,2.5777927078913933e-05,2.58810508754866e-05,1.9838455569985865e-05,3.146743281687919e-05,0.0003093351249469672,7.6923076923076925,4.2428771074685683e-05,4.317801731664249e-05,3.7193791736875985e-05,4.60445761776643e-05,0.0005091452528962282,7.6923076923076925,4.438805917862271e-05,4.401927639630192e-05,4.1015884983456925e-05,4.738370588911896e-05,0.0005326567101434724,7.6923076923076925,5.264874532360651e-05,5.3175321303526535e-05,4.630653697850556e-05,5.77096980748919e-05,0.0006317849438832781,7.6923076923076925,7.822582420337239e-05,7.997396779638836e-05,6.760137861055955e-05,8.634847263842744e-05,0.0009387098904404686,7.6923076923076925
TZA.3_1,3.0,0.00016110336834865402,0.0001585989203177281,5.332019000711261e-06,0.0003726050828144865,0.054452938501845065,0.0,1.2161334927616687e-05,9.211243170010361e-06,3.3926055509588327e-07,5.295113966417683e-05,0.004110531205534441,0.0,0.0001481862726506499,0.00014639462247027034,5.480543206859202e-06,0.00035783929343398505,0.050086960155919666,0.0,0.00010753670259619346,9.877967169749484e-05,3.999209677120493e-06,0.00029094227132647624,0.03634740547751339,0.0,2.818084745460056e-05,2.128759133055248e-05,5.948785309399781e-07,0.00011282662066383609,0.009525126439654993,0.0,3.827461657899451e-06,1.8419712521258617e-06,1.2507301570406587e-08,2.1452664389591585e-05,0.0012936820403700144,0.0,4.5273242685273045e-06,2.386188390718896e-06,8.129746020734966e-08,3.8240810047150925e-05,0.0015302356027622286,0.0,1.713908417528431e-06,6.432666951594935e-07,7.81706348152404e-09,1.875652685502477e-05,0.0005793010451246096,0.0,3.366166441084121e-06,1.1298825133067335e-06,3.908531740740662e-08,3.816004214480679e-05,0.001137764257086433,0.0,8.309441814268779e-06,4.848966679764912e-06,2.3529361079232301e-07,5.284948757280264e-05,0.002808591333222847,0.0,1.2184616000954512e-05,8.48698358817829e-06,5.729907531918597e-07,6.50988585075072e-05,0.004118400208322625,0.0,7.650007030868367e-05,7.432137488992014e-05,2.879806186573884e-06,0.0001904674420818178,0.02585702376433508,0.0
TZA.4_1,4.0,0.00014255763801210926,0.00013323327264598502,1.2063599683713824e-05,0.00024710267868155027,0.022666664443925368,0.0,6.224434297644504e-05,6.272165449428221e-05,6.952304451256874e-06,9.859781013630802e-05,0.009896850533254764,0.0,0.00015245779722179178,0.0001493091245613161,2.4331580614933812e-05,0.00021438707972865106,0.02424078975826489,0.0,0.00022851996515705665,0.00022442116450626908,3.997623979050177e-05,0.00030538327634987387,0.03633467445997201,0.0,5.083476281873052e-05,5.270746070984288e-05,1.2466038134734727e-05,7.463691122627004e-05,0.008082727288178153,0.0,3.1815694164766574e-06,2.868173347471425e-06,6.988251573070528e-07,7.433773464677309e-06,0.0005058695372197887,0.0,1.6675609006426839e-06,1.118048149841885e-06,2.6736002465176365e-07,5.3807582823760685e-06,0.0002651421832021865,0.0,2.6817366664235785e-05,2.552019285211848e-05,8.11239122694028e-06,5.511036161256234e-05,0.0042639612996134895,0.0,9.3529517521819e-06,5.9015422708005134e-06,3.1551842393378093e-07,3.402181352332975e-05,0.0014871193285969225,0.0,3.563999102433211e-05,3.310633978245555e-05,7.960928290029689e-06,8.145316441173976e-05,0.0056667585728688045,0.0,6.962177763286559e-05,6.915157848636435e-05,1.4329332526591116e-05,9.735172535681321e-05,0.011069862643625628,0.0,0.00013658405346603139,0.0001295705333132376,2.0436385199846787e-05,0.0002175256205167146,0.02171686450109899,0.0
TZA.5_1,5.0,0.0002117296960645697,0.000193391947951425,9.676768411353672e-05,0.00040184888893687865,0.06267199003511263,0.0,8.353434841441695e-05,6.731743729364756e-05,1.1628640127571487e-05,0.0002553270855416418,0.024726167130667408,0.0,0.00021752150955784832,0.0002045657602030547,0.00011133028137724384,0.0004236923633346692,0.0643863668291231,0.0,0.00015467550772156182,0.00013892796367823897,4.964931483684106e-05,0.0004146682040890502,0.0457839502855823,0.0,4.28331266044802e-05,1.3392324076875727e-05,1.7147975193885201e-06,0.00026510033528509845,0.01267860547492614,0.0,5.51112720529425e-06,2.263470031786685e-07,3.588799347763853e-08,5.88307912819265e-05,0.001631293652767098,0.0,1.4367769739839081e-05,1.5260670215672976e-06,1.1166971425279329e-07,0.00011711139783051943,0.004252859842992368,0.0,5.994923181070867e-06,2.1658470294595862e-07,1.2904728934049186e-08,7.302372624170322e-05,0.001774497261596977,0.0,1.10400959559905e-05,1.7886475029312808e-06,1.942258195144073e-07,7.806034223143897e-05,0.0032678684029731893,0.0,2.145436012875726e-05,1.1910452467360707e-05,3.421682319043608e-06,0.00014504366820028284,0.00635049059811215,0.0,4.0091140968454133e-05,3.6339886808155154e-05,2.081289654002124e-06,0.0001903473598582661,0.011866977726662422,0.0,0.000128053197388664,0.00011353971863758748,4.2511254625107254e-05,0.0003264994845908335,0.03790374642704454,0.0
TZA.6_1,6.0,7.435138388957942e-05,7.462677540638832e-05,5.421010862427521e-20,0.0002182182019801453,0.022677172086321726,0.0,3.7656739743184704e-05,3.41983240256818e-05,5.421010862427521e-20,0.00011433764392317112,0.011485305621671335,0.0,0.0001079586734844104,0.00013231491302030866,5.421010862427521e-20,0.00021354083737107482,0.03292739541274517,0.0,0.0001542346054495151,0.00020393713614729576,5.421010862427521e-20,0.000316363691930474,0.047041554662102095,0.0,6.355113073243219e-05,7.386497475093963e-05,5.421010862427521e-20,0.00016238753196059642,0.019383094873391817,0.0,7.662304950054106e-06,5.406500782457162e-06,5.421010862427521e-20,3.379096786484012e-05,0.002337003009766502,0.0,4.9662980830298885e-06,3.7718601672641966e-06,5.421010862427521e-20,1.7584035450165274e-05,0.0015147209153241158,0.0,4.448168699914357e-05,4.21815719107575e-05,5.421010862427521e-20,0.00014434436537663522,0.013566914534738787,0.0,2.878836273835039e-05,2.0988316666733047e-05,5.421010862427521e-20,9.74276664756547e-05,0.00878045063519687,0.0,4.827252457541851e-05,4.9799744874499966e-05,5.421010862427521e-20,0.0001275122917986977,0.014723119995502644,0.0,5.136911211539019e-05,5.865729707326326e-05,5.421010862427521e-20,0.00013206635563764424,0.015667579195194008,0.0,7.612324685098956e-05,8.653328959144945e-05,5.421010862427521e-20,0.00019504707916573102,0.023217590289551816,0.0
TZA.7_1,7.0,0.00017398170268641201,0.00017998303323253162,5.421010862427521e-20,0.0002683474906743786,0.06820082745307351,0.0,0.00011866310045485801,0.0001165646657943693,5.421010862427521e-20,0.00025480710520947667,0.04651593537830434,0.0,0.00016304220787646226,0.00016761618136042726,5.421010862427521e-20,0.0002502525878395115,0.0639125454875732,0.0,0.00023096057828305122,0.0002396010838833062,5.421010862427521e-20,0.00037274342999539864,0.09053654668695607,0.0,4.150000263515755e-05,3.947068226107873e-05,5.421010862427521e-20,9.912932852220132e-05,0.01626800103298176,0.0,3.976564749350453e-07,1.7571856761664505e-07,5.421010862427521e-20,4.784880089409215e-06,0.00015588133817453776,0.0,1.8442171809626166e-06,1.4626276500837969e-06,5.421010862427521e-20,5.924018464005364e-06,0.0007229331349373463,0.0,2.8393881767622163e-06,1.0827155218491479e-06,5.421010862427521e-20,1.7346490625362938e-05,0.0011130401652907883,0.0,6.470668602715597e-07,4.139165091343651e-07,5.421010862427521e-20,4.372058376714206e-06,0.0002536502092264514,0.0,2.8501517310283088e-05,2.413410713792239e-05,5.421010862427521e-20,8.238021008452685e-05,0.011172594785630973,0.0,8.060103010743282e-05,7.75448488554438e-05,5.421010862427521e-20,0.00017262134887590012,0.03159560380211367,0.0,0.00014277285032334008,0.00014164631412816675,5.421010862427521e-20,0.000270479637137308,0.05596695732674931,0.0
TZA.8_1,8.0,0.00018176652127434341,0.00019747929378689,5.421010862427521e-20,0.0003554804503498978,0.06507241461621494,0.0,0.00010829395281985608,0.0001071182614376286,5.421010862427521e-20,0.0003240326711148832,0.03876923510950848,0.0,0.00015505277876261408,0.00016516784775602925,5.421010862427521e-20,0.00033511916123163204,0.05550889479701584,0.0,0.00022576148243761118,0.00024325906257878065,5.421010862427521e-20,0.00045178533554606973,0.0808226107126648,0.0,5.9484693919725766e-05,5.960762690384485e-05,5.421010862427521e-20,0.00015598249770782099,0.021295520423261827,0.0,3.265356157771025e-06,3.0414450579544444e-06,5.421010862427521e-20,1.4212020183533664e-05,0.0011689975044820269,0.0,2.280988105064733e-06,1.3751419242188117e-06,5.421010862427521e-20,1.0957826753687133e-05,0.0008165937416131745,0.0,1.601217343504539e-05,1.4016070022807584e-05,5.421010862427521e-20,4.4167405718850015e-05,0.005732358089746249,0.0,2.9884838554348437e-06,1.4939608095384341e-06,5.421010862427521e-20,3.549221910861786e-05,0.001069877220245674,0.0,4.853730392274732e-05,4.8119964477581375e-05,5.421010862427521e-20,0.00016874539119023568,0.01737635480434354,0.0,8.768044821303055e-05,8.941982919821342e-05,5.421010862427521e-20,0.0002548078702396238,0.031389600460264934,0.0,0.0001662440145159751,0.00017746601895173058,5.421010862427521e-20,0.00035128336431146915,0.05951535719671909,0.0
TZA.9_1,9.0,0.00010923548632295884,8.15848047766365e-05,3.1250432807998914e-05,0.00032563865643974707,0.01146972606391068,0.0,1.7162773966613454e-05,6.0030031960384105e-06,6.797245011392345e-07,0.00011543759543353059,0.001802091266494413,0.0,0.00017535037458470454,0.00015814344659885514,7.183150091262873e-05,0.0003789561534892196,0.018411789331393976,0.0,0.0001956548036704718,0.00017620632120769552,6.532931557357797e-05,0.0004490600809344244,0.02054375438539954,0.0,0.00014370554741922155,0.00014270234274660148,5.2241374753533446e-05,0.00022582385555869658,0.015089082479018268,0.0,3.908093581465199e-05,2.98557281936844e-05,7.4905814531215885e-06,0.00012081899593351142,0.004103498260538459,0.0,3.9903926872926006e-05,2.618285757427568e-05,4.454764041556864e-06,0.0001370872828000675,0.004189912321657231,0.0,3.002496621787987e-05,2.293096094103635e-05,5.287823646922211e-06,0.00010632679577489352,0.0031526214528773857,0.0,4.165606716402269e-05,3.585363866906959e-05,1.3631347154193464e-05,9.009208756348988e-05,0.004373887052222383,0.0,6.606481665711533e-05,5.7028923013176074e-05,2.4417303586781104e-05,0.0001785863980774781,0.006936805748997109,0.0,8.103252169817264e-05,6.224855121065162e-05,2.152979789566348e-05,0.00028018419540039633,0.00850841477830813,0.0,0.00011689443246187228,9.720299169810824e-05,1.8844278914653124e-05,0.00037407386388567127,0.01227391540849659,0.0
TZA.10_1,10.0,0.00019567191675501,0.0001954601199585292,8.964762682292194e-05,0.00032577137357178216,0.10272775629638026,0.19011406844106465,7.580434946237491e-05,7.121164734642129e-05,1.8275290316485184e-05,0.0001856870544435609,0.03979728346774683,0.19011406844106465,0.00021560370743888428,0.00020877431038600583,0.00013165686050207006,0.000297822161893154,0.11319194640541425,0.19011406844106465,0.00020659358847885249,0.00019363517872062808,0.00013031241953127728,0.0003213563997330824,0.10846163395139756,0.19011406844106465,5.0190413924021915e-05,4.9594270492796476e-05,1.659495981051434e-05,0.00013556016203231146,0.026349967310111508,0.19011406844106465,4.342732127328918e-06,3.873445229325537e-06,5.688626116889542e-07,2.406173843576832e-05,0.002279934366847682,0.19011406844106465,3.0194033411460945e-06,2.4067448338031305e-06,8.048515325854823e-07,2.0029267195878488e-05,0.0015851867541016994,0.19011406844106465,6.187694239850538e-06,5.415409035183072e-06,8.090419008187209e-07,2.595376663630737e-05,0.003248539475921532,0.19011406844106465,2.0943474134387936e-05,1.771969683154077e-05,7.407637701137763e-06,6.0074114517533986e-05,0.010995323920553666,0.19011406844106465,1.4998525942944852e-05,1.333629047331321e-05,5.7898591159776525e-06,4.218172277818306e-05,0.00787422612004605,0.19011406844106465,2.568106613174924e-05,2.274546039287067e-05,9.71449205027799e-06,6.645339076876124e-05,0.01348255971916835,0.19011406844106465,0.0001056238937275175,0.00010186985458651208,6.312998881486137e-05,0.00021920984519965866,0.05545254420694669,0.19011406844106465
