GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
TZA.1_1,1.0,85582.05885462428,86070.77239197111,73777.37241382888,93498.10673590236,26444856.1860789,0.0,85532.86380075358,86032.32914955339,73801.62657473657,93428.87550623076,26429654.91443285,0.0,85623.23849201214,86119.15299315477,73812.84406632827,93570.9977387158,26457580.69403176,0.0,85674.23438731564,86162.71049709662,73840.00239840755,93637.44020893748,26473338.42568053,0.0,85794.83123947303,86309.41096813597,73924.76852960107,93767.24854448039,26510602.85299716,0.0,85929.11907131811,86449.38997026268,74001.09305722557,93920.14071512037,26552097.79303731,0.0,86022.14165826903,86549.32579490807,74043.07918936055,94052.1418926286,26580841.77240513,0.0,85938.09617929398,86463.98606906885,74008.31271873169,93930.36381313368,26554871.719401844,0.0,85780.34192753874,86304.26388559955,73921.71172252217,93725.63241583336,26506125.655609474,0.0,85739.43546385273,86251.36958519429,73906.44719748879,93673.78292593386,26493485.55833049,0.0,85667.95702524202,86172.83272209519,73877.29942614041,93604.71179511248,26471398.720799785,0.0,85704.43247469961,86206.91015281943,73893.75320961126,93656.90724718539,26482669.634682186,0.0
TZA.2_1,2.0,100199.06559618225,100210.82452253882,99696.75028097816,100695.25096625873,1202388.787154187,7.6923076923076925,100268.77637405402,100279.76640415534,99764.92276669307,100768.22830600127,1203225.3164886485,7.6923076923076925,100208.75071690313,100220.71467350287,99707.67032583297,100701.4791658897,1202505.0086028376,7.6923076923076925,100386.19650078684,100398.26821486141,99882.7527944708,100877.84776197848,1204634.358009442,7.6923076923076925,100599.9421263478,100611.80433889976,100094.50395728787,101093.10997492573,1207199.3055161736,7.6923076923076925,100841.90282387742,100853.35080777039,100332.2274848136,101340.32056811094,1210102.833886529,7.6923076923076925,101015.88128781153,101027.10578323678,100502.75804858595,101519.23465110836,1212190.5754537382,7.6923076923076925,100958.15963033207,100968.96605853821,100444.35583739387,101463.47197883423,1211497.9155639848,7.6923076923076925,100765.04910051812,100775.35598280217,100252.17112183574,101269.5043838984,1209180.5892062176,7.6923076923076925,100645.55331987057,100656.180712559,100134.38580102178,101149.83204470627,1207746.6398384466,7.6923076923076925,100467.09617955537,100478.2680951615,99959.84035764492,100967.1707167767,1205605.1541546644,7.6923076923076925,100370.56858130252,100382.00755548087,99867.81596732324,100866.63184006594,1204446.8229756302,7.6923076923076925
TZA.3_1,3.0,88673.86234344359,88591.62276572543,83838.70162778397,92958.07363558149,29971765.47208393,0.0,88633.68782307267,88578.2234635153,83819.03548187144,92889.818036311,29958186.48419857,0.0,88709.58480202606,88630.51469987658,83874.94027525153,92992.13655110275,29983839.6630848,0.0,88798.09765487937,88729.11229631832,83944.19901375705,93085.64218035397,30013757.00734923,0.0,88947.46720232151,88882.80686479746,84081.81729880572,93242.25782369767,30064243.91438467,0.0,89108.79139869523,89052.11337599004,84209.30123652257,93438.71571298788,30118771.49275899,0.0,89231.43790527563,89177.81889933217,84304.49307628791,93589.93980283113,30160226.011983164,0.0,89126.8781490551,89078.47617997149,84225.93357613862,93460.57840372877,30124884.814380623,0.0,88955.20935176988,88910.1333523125,84088.26295569519,93257.84927428293,30066860.76089821,0.0,88881.03811967057,88833.09629704244,84036.81863640803,93162.11286367953,30041790.88444865,0.0,88766.01502556133,88715.18570857693,83950.32256174866,93019.46741191113,30002913.07863973,0.0,88781.56028144584,88709.4499729448,83958.88699147145,93038.60194726387,30008167.37512869,0.0
TZA.4_1,4.0,88021.04318307537,87995.10404396671,86694.98283024058,89219.14160275506,13995345.866108986,0.0,87898.84683774937,87869.68644443399,86589.78285406914,89090.92650568261,13975916.647202153,0.0,88031.86801981876,88009.02333262486,86716.91377732788,89219.01397359402,13997067.015151186,0.0,88103.30188817646,88075.17714898841,86777.65451132214,89302.34195101517,14008425.000220055,0.0,88159.15357146796,88134.99979433086,86834.3774080735,89361.14445605445,14017305.417863404,0.0,88274.80027145047,88255.58345816786,86942.96064557119,89483.97606760895,14035693.243160626,0.0,88349.39323946329,88334.2068603809,87007.54701798271,89566.26426207101,14047553.525074665,0.0,88243.47861359332,88232.77523745186,86923.20332406591,89431.39787533744,14030713.099561336,0.0,88038.06950443581,88028.2887971569,86740.78962866598,89204.76337837998,13998053.051205294,0.0,88049.7873877267,88042.60376750575,86750.81669899695,89215.48179150082,13999916.194648545,0.0,88008.98258689995,87996.56650368219,86705.98506077293,89182.71614262789,13993428.231317092,0.0,88107.26394095023,88087.00234754414,86792.82354920675,89294.82213088563,14009054.966611087,0.0
TZA.5_1,5.0,87315.68253926407,87545.89051964115,81464.31469733112,95528.32931235725,25845442.03162217,0.0,87312.44736621383,87505.80119513106,81499.1031301105,95581.62813279669,25844484.42039929,0.0,87356.07938331824,87574.95487553746,81505.92760114998,95595.02896207312,25857399.4974622,0.0,87465.26614070032,87664.80872310066,81600.90202907179,95814.58030722127,25889718.77764729,0.0,87608.28077911714,87792.36354798116,81734.30265113164,96009.61192225217,25932051.110618673,0.0,87769.09484744942,87944.56570897382,81865.32218459049,96230.54046500717,25979652.07484503,0.0,87890.67992452256,88064.07092405416,81956.43102826423,96390.21423051132,26015641.257658675,0.0,87776.80291966088,87942.01126193326,81862.57848306169,96258.34422588852,25981933.66421961,0.0,87610.58155979247,87775.99413793656,81731.77694868829,96058.17491693332,25932732.141698577,0.0,87536.43960636746,87700.47644127229,81683.35427145343,95930.59214011977,25910786.12348477,0.0,87428.75712065762,87600.57042544999,81607.68624751567,95742.49114194565,25878912.107714657,0.0,87437.79605896278,87646.94998802035,81603.50519665294,95687.35211514065,25881587.63345298,0.0
TZA.6_1,6.0,87250.50670166148,87383.49112706812,84709.9121693731,88723.93390154194,26611404.54400675,0.0,87146.51812068128,87275.88158559085,84621.19549501794,88608.56369576119,26579688.02680779,0.0,87280.72964345769,87409.03478917813,84729.28575333256,88754.4912377086,26620622.541254595,0.0,87339.04789564299,87475.76405354576,84786.9952725425,88812.30401409489,26638409.60817112,0.0,87393.6507595747,87528.30830166044,84849.77980226645,88861.82250497937,26655063.48167029,0.0,87500.4559225337,87631.95579555225,84948.34886429657,88976.43183852898,26687639.056372777,0.0,87561.07757450764,87689.9426417455,85006.20527078786,89046.71300059326,26706128.66022483,0.0,87491.40154793859,87622.61435892804,84923.04127871321,88975.36170445532,26684877.47212127,0.0,87309.99218453902,87449.17296761513,84745.10749797059,88783.46307990399,26629547.616284404,0.0,87319.17769511796,87456.1671615868,84758.44649786707,88795.64999085559,26632349.19701098,0.0,87273.27283058668,87406.81076561971,84721.18339405024,88746.33441193939,26618348.21332893,0.0,87357.9840264516,87488.29692163327,84801.66762614898,88833.45441656506,26644185.128067736,0.0
TZA.7_1,7.0,88494.59675476779,88542.97489820838,83784.60627573633,92356.58611438713,34689881.92786898,0.0,88396.99867708453,88446.23561347071,83710.16130477891,92219.5013327414,34651623.48141713,0.0,88495.74760275379,88545.95161525242,83789.69002480447,92341.40165140537,34690333.06027949,0.0,88581.8639107881,88631.0142707183,83852.07711840088,92428.73912952039,34724090.65302893,0.0,88659.26315520659,88707.68390014836,83930.04739463565,92486.56167818225,34754431.15684098,0.0,88797.88243473262,88845.88337152652,84045.14340386043,92651.92145767972,34808769.91441519,0.0,88899.16523883697,88951.91871378955,84115.84994710938,92768.35459429039,34848472.77362409,0.0,88740.54833700886,88797.54472113881,84001.55346799028,92563.31618124187,34786294.94810747,0.0,88526.09132131227,88585.15048041695,83820.74935864043,92310.52721271773,34702227.79795441,0.0,88509.23355880391,88556.27404025152,83824.20603902423,92336.70230181818,34695619.55505113,0.0,88475.51989282735,88523.6861656085,83792.02930751497,92315.69286915081,34682403.79798832,0.0,88572.25894720068,88620.62149983346,83867.67250401809,92428.25840814307,34720325.507302664,0.0
TZA.8_1,8.0,88949.77808751179,88707.83113747451,85600.5532396132,92739.22617077387,31844020.55532922,0.0,88831.38686129164,88587.35746145666,85504.9483423019,92598.29332975663,31801636.49634241,0.0,88944.40652171278,88704.0890393898,85618.11289369344,92718.79248535927,31842097.53477317,0.0,89021.89888731457,88782.69144535101,85680.81522196547,92802.64163014764,31869839.80165861,0.0,89084.83030022838,88849.13605223713,85742.75284451335,92859.68158518561,31892369.24748176,0.0,89208.51566095564,88968.8847376284,85849.96257838013,92992.3019177496,31936648.60662212,0.0,89290.70043198459,89047.7056250702,85913.49955917126,93085.74085318847,31966070.754650485,0.0,89152.10046244586,88916.50264537171,85819.33156839227,92928.23595424953,31916451.96555562,0.0,88931.97427527123,88694.2440969939,85633.30986323106,92685.44541727836,31837646.79054709,0.0,88951.36097599087,88707.21894162497,85643.80550670146,92725.38971161262,31844587.229404736,0.0,88925.67686036615,88681.5991291426,85605.85792930036,92704.55368988687,31835392.31601108,0.0,89027.01767522689,88786.03188310628,85689.63441741758,92814.39908326288,31871672.32773124,0.0
TZA.9_1,9.0,88829.59239155984,90931.93428701113,67862.31627591008,95495.1959698181,9327107.201113783,0.0,88847.41633172496,90923.2240537457,67907.89350079134,95535.77535486835,9328978.71483112,0.0,88875.80247552031,90970.3728572766,67903.91243844856,95531.78266081904,9331959.259929633,0.0,88963.80264979252,91053.73096307887,67918.92036403803,95628.82138424773,9341199.278228214,0.0,89136.46907325592,91229.52173507774,67984.15529515003,95826.04544302943,9359329.25269187,0.0,89301.79254078842,91406.30519184725,68025.40070571165,96032.89907078627,9376688.216782786,0.0,89419.83544441132,91535.1797974508,68037.16854275316,96175.50863998107,9389082.72166319,0.0,89345.08813025196,91470.35324339592,68031.8451245476,96111.81694633565,9381234.253676455,0.0,89188.05318652024,91310.22196607797,67988.23965715949,95928.73554696995,9364745.584584624,0.0,89119.36471665908,91237.08705562344,67985.347469377,95841.65970704693,9357533.295249203,0.0,89010.65606333877,91110.2716571854,67978.65353618197,95715.2722514723,9346118.886650572,0.0,88984.63113372982,91084.92476803443,67986.29786394481,95676.13957282637,9343386.269041633,0.0
TZA.10_1,10.0,96846.8581342975,96885.24009654336,91923.37144422052,100690.35546371806,50844600.52050618,0.19011406844106465,96934.44542425466,96969.1252203282,92015.20223554084,100780.75882889061,50890583.847733706,0.19011406844106465,96896.88182373617,96937.57304714117,91988.09375864828,100715.98134152734,50870862.95746151,0.19011406844106465,97106.46085026693,97157.8812656476,92184.32637669047,100923.96705611351,50980891.94639014,0.19011406844106465,97301.19536550278,97350.63677119496,92366.32423226543,101132.62571115122,51083127.56688896,0.19011406844106465,97525.75346716966,97566.20257309962,92562.90317475746,101377.3575137347,51201020.57026409,0.19011406844106465,97692.64737832443,97732.7481299546,92714.67141775553,101560.91224813533,51288639.87362033,0.19011406844106465,97595.50922604096,97633.22493541024,92592.5992129378,101498.44503961076,51237642.34367151,0.19011406844106465,97412.80979010019,97449.82534668011,92420.98958884466,101313.276709008,51141725.1398026,0.19011406844106465,97293.0929893422,97326.32071967576,92326.78239678241,101182.6920611516,51078873.81940465,0.19011406844106465,97117.9566285528,97151.64456064481,92173.77908269568,100993.69258215002,50986927.22999022,0.19011406844106465,97038.49317410584,97074.18333193996,92116.01062517527,100887.89089794867,50945208.91640557,0.19011406844106465
