GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1_1,1.0,86804.70677780583,86791.36471550023,86413.54290446093,87189.23209730106,520828.240666835,0.0,86776.84092984504,86763.76051644381,86382.10243959847,87164.52979732491,520661.0455790702,0.0,86894.50033970129,86881.11264497277,86500.91348887005,87281.18054566112,521367.0020382077,0.0,87158.13662776063,87144.70807163701,86763.08951931943,87545.96262900547,522948.8197665639,0.0,87269.30181343081,87255.73746880598,86869.41666910487,87662.52158451547,523615.81088058493,0.0,87499.95322187482,87486.45429816122,87095.36985485593,87897.7603179084,524999.7193312489,0.0,87731.75798298989,87717.90327054745,87327.1675715108,88128.74775080262,526390.5478979393,0.0,87282.81998458429,87269.38313190886,86881.69252735205,87676.05063900475,523696.9199075058,0.0,87059.33902678087,87046.04012992933,86664.30825609407,87446.54115038367,522356.0341606853,0.0,87155.24319750513,87140.91274493831,86763.76350450597,87537.92505754303,522931.459185031,0.0,86985.94229800905,86972.07220225803,86595.31604050247,87368.24603493405,521915.6537880543,0.0,86860.74908855204,86847.69831162339,86466.92542456089,87248.22775180372,521164.4945313122,0.0
ZWE.2_1,2.0,85469.32355825925,85456.02513078813,85081.94326611307,85798.96936087689,598285.2649078147,0.0,85462.18053632614,85449.77837354221,85074.99615769685,85790.51923494562,598235.263754283,0.0,85560.25216677027,85547.00478607102,85171.36202031269,85890.93708580491,598921.765167392,0.0,85792.90643029801,85778.23016394569,85400.89530068473,86126.82379310176,600550.3450120861,0.0,85927.7740144011,85914.67234364487,85533.69810487486,86262.31937456549,601494.4181008077,0.0,86119.46762439297,86104.61118997705,85719.4415448534,86460.0544152592,602836.2733707508,0.0,86303.70783556448,86286.97853162173,85901.45130943632,86645.03142335938,604125.9548489513,0.0,86005.98139344018,85994.65302474696,85615.1245982361,86335.83210193267,602041.8697540811,0.0,85793.42165056025,85782.10562252821,85408.14694188633,86117.30640591017,600553.9515539218,0.0,85824.94329285924,85811.54482035634,85436.98946994633,86151.64420808072,600774.6030500147,0.0,85676.04827537143,85662.9446572358,85290.21530852871,86002.27830716688,599732.3379276,0.0,85592.86271099075,85582.05859549227,85206.74742245779,85920.42539673622,599150.0389769353,0.0
ZWE.3_1,3.0,89536.02376822323,89635.60087398527,82268.97683589402,98117.30167409912,26592199.059162296,0.0,89527.83966212967,89662.20642515106,82271.15916263388,98109.29304666557,26589768.37965251,0.0,89627.46626082182,89743.32995054589,82349.50304619133,98209.65591746056,26619357.47946408,0.0,89905.74252457477,90003.05212055154,82554.91749283293,98570.87366256477,26702005.5297987,0.0,90052.53462550344,90175.1617362814,82662.07466693669,98752.42789962764,26745602.78377452,0.0,90292.58013758637,90414.1843430368,82806.3597485834,99079.88610731596,26816896.30086315,0.0,90550.93970867024,90628.86633634883,82989.36957741588,99476.28459535642,26893629.09347505,0.0,90129.64069623523,90283.41070814873,82771.65736523055,98801.86751804264,26768503.28678187,0.0,89884.9320909376,90038.61759887461,82608.15028874543,98462.66153729838,26695824.83100847,0.0,89996.44527852119,90091.73210892572,82638.64446081214,98736.55319368088,26728944.2477208,0.0,89794.79991318399,89900.53399405062,82501.67945394253,98453.86892272283,26669055.57421565,0.0,89625.93592617265,89789.47080202751,82397.86165056172,98124.53271706324,26618902.97007329,0.0
ZWE.4_1,4.0,91036.49819233749,90359.07280271707,85549.35023695747,96697.01718843797,20847358.08604528,0.0,91051.76217933664,90371.23863382927,85540.98445845446,96732.13215768329,20850853.53906809,0.0,91156.89873709099,90471.02437918783,85639.03905520626,96850.93814113957,20874929.81079384,0.0,91416.42984046307,90730.47382811178,85867.59684960227,97130.1255326371,20934362.433466043,0.0,91592.00419103914,90901.03059751002,86007.70769888573,97342.5138344637,20974568.959747966,0.0,91849.4846143658,91145.57514062052,86195.43633014071,97678.13967611744,21033531.97668977,0.0,92060.5421910667,91355.03509443713,86366.84826929473,97931.77767499392,21081864.16175428,0.0,91675.88223423193,90988.56469414012,86088.24798595025,97426.37858042019,20993777.03163911,0.0,91391.29685810268,90720.679206306,85872.39585188264,97058.94290007511,20928606.98050551,0.0,91454.5036670106,90785.51492475682,85900.37802619081,97161.54815209119,20943081.339745425,0.0,91268.61759692851,90600.9194201176,85753.00624547455,96943.42924698694,20900513.42969663,0.0,91187.45205486695,90507.40890257113,85680.06911756321,96872.15047494623,20881926.520564534,0.0
ZWE.5_1,5.0,88108.10092061966,86946.19990921751,84323.07377412495,95036.75331135148,23612971.046726074,0.0,88108.70479889264,86957.93946314772,84315.99259213726,95052.52556542703,23613132.88610323,0.0,88207.14139477031,87044.02123497553,84410.16615779535,95150.67625423452,23639513.893798444,0.0,88462.80455410252,87285.06954579901,84635.81899189482,95452.32863312443,23708031.62049948,0.0,88612.28025781529,87435.6747886627,84760.7957553895,95655.11575157876,23748091.1090945,0.0,88835.03617991989,87639.41665562289,84939.17771226907,95951.88899246935,23807789.69621853,0.0,89049.47029229596,87834.17890525861,85127.16175841984,96209.80852321096,23865258.03833532,0.0,88694.44145903873,87530.2623907109,84844.55149922273,95750.550415422,23770110.31102238,0.0,88456.934999447,87303.11678599361,84649.19693751464,95442.21081301066,23706458.579851795,0.0,88521.69569273446,87344.83402132617,84682.29192639097,95551.69337802328,23723814.445652835,0.0,88344.50207025405,87179.9705533926,84536.6645553634,95323.76604472595,23676326.554828085,0.0,88232.2250008429,87085.92362770853,84445.13182960276,95186.21674157363,23646236.30022589,0.0
ZWE.6_1,6.0,90294.9723613992,89634.59774269971,85646.09936589298,96613.37936920873,42980406.84402602,0.0,90292.95625969961,89630.84090792769,85638.70277624059,96639.53387162252,42979447.17961701,0.0,90411.52289442938,89747.40518582033,85738.31942713054,96770.42845190298,43035884.89774838,0.0,90668.36916673263,89997.89521285215,85971.39074132632,97056.46598647846,43158143.72336475,0.0,90832.53988962868,90161.16632641813,86107.97714722384,97259.5573023658,43236288.98746325,0.0,91085.21517046374,90400.9275056524,86301.44375913191,97596.18252447598,43356562.42114073,0.0,91287.12741295909,90595.069677299,86483.99946204633,97831.6066989586,43452672.64856852,0.0,90882.72558499908,90201.83379386438,86184.33234563818,97326.08373014496,43260177.37845957,0.0,90594.28225206252,89918.97615059976,85967.99072436929,96941.72913877432,43122878.35198176,0.0,90647.6136142516,89966.66725203213,85999.04515573611,97022.79905253182,43148264.08038376,0.0,90481.94545867234,89812.25058219268,85850.2372961542,96820.07521138046,43069406.03832804,0.0,90424.229965185,89766.61514760973,85771.0616227271,96782.84474207825,43041933.46342807,0.0
ZWE.7_1,7.0,93445.46963578828,94431.66345559448,85497.61158186286,98364.19392774574,43545588.85027733,0.0,93430.03293222137,94416.22977833156,85468.33478890287,98357.0257900126,43538395.34641516,0.0,93538.324027749,94531.62580824512,85581.74286970777,98456.07660738149,43588858.99693104,0.0,93862.51425926783,94861.2147037957,85830.6869457485,98818.61628502207,43739931.64481881,0.0,94010.70331339324,95015.70195682476,85943.11844272526,99002.90784263783,43808987.74404125,0.0,94297.19986452095,95314.07185224886,86142.8343628448,99331.9013041052,43942495.13686676,0.0,94642.16138350179,95663.91441980732,86369.67283233089,99732.45483728196,44103247.20471183,0.0,94038.69930247848,95040.04839324547,85999.27054218293,99055.40174172328,43822033.87495498,0.0,93742.33915182894,94731.07572699977,85788.72323244225,98713.98207832004,43683930.04475229,0.0,93965.7570029176,94966.95720695092,85874.35164055818,98989.24692766117,43788042.76335961,0.0,93716.71248794552,94709.23435236182,85709.13167281407,98704.85043455203,43671988.019382596,0.0,93455.83715118069,94438.3987063675,85578.07883398003,98370.71005493587,43550420.11245021,0.0
ZWE.8_1,8.0,89921.31678540868,89732.48989202769,86364.41836040109,95061.12294045973,56020980.35730961,0.0,89913.8221627524,89720.43639773382,86332.01447018223,95066.46163954443,56016311.20739475,0.0,90042.2161356779,89855.94819547787,86451.4545862107,95199.66223612252,56096300.65252733,0.0,90313.99567001057,90128.48176733461,86713.99079594872,95495.68703433537,56265619.30241658,0.0,90465.60513404515,90280.14120609064,86818.4881031709,95686.97518512016,56360071.99851014,0.0,90725.90739095684,90542.18364154108,87043.45778835246,95997.64366435351,56522240.30456612,0.0,90935.20945879967,90743.27427332873,87277.26565050414,96224.42419390494,56652635.4928322,0.0,90469.02835152377,90268.35492673764,86830.26939712091,95710.27022927713,56362204.6629993,0.0,90194.90573267039,89995.45334012742,86614.479689726,95354.77933382463,56191426.27145366,0.0,90247.08484754496,90042.94396400063,86718.49042609883,95407.4150772221,56223933.86002052,0.0,90080.93237934326,89882.94416291018,86548.70461692235,95225.46308341066,56120420.87233085,0.0,90010.10606341292,89816.72906976189,86416.06260499719,95188.96879531193,56076296.07750626,0.0
ZWE.9_1,9.0,90740.05038883717,90373.95503638193,85970.54368085763,97631.79557252867,40742282.62458789,0.0,90732.80978680836,90383.1171403933,85934.69962099064,97618.85403943119,40739031.59427695,0.0,90843.372461794,90491.9324967118,86054.06817238973,97701.53107170542,40788674.23534551,0.0,91146.66510844196,90796.37772701331,86311.23131922551,98062.71538237458,40924852.63369045,0.0,91274.44611670132,90919.30584306721,86418.08772819005,98239.51436790076,40982226.30639889,0.0,91548.28613894242,91200.82535880693,86632.27097444888,98559.02070404222,41105180.47638515,0.0,91850.396902161,91494.44565304113,86862.45426866178,98988.42304556977,41240828.209070295,0.0,91268.7521079158,90889.6945297511,86446.36857022137,98279.08829925023,40979669.69645421,0.0,91002.44421583448,90634.22315604604,86231.77615267676,97927.37550589275,40860097.45290968,0.0,91180.29895447074,90798.09562942947,86333.112895441,98236.56463611493,40939954.23055736,0.0,90961.87217870877,90583.70304915238,86165.52196172297,97940.9693038723,40841880.60824024,0.0,90758.2159637474,90402.5473784896,86027.26553070781,97597.98415308956,40750438.96772258,0.0
ZWE.10_1,10.0,89160.73402627767,88927.1893978821,85575.56801992827,93624.28573714104,36199258.01466873,0.0,89147.35604317463,88900.3964802968,85548.54913524557,93633.44129700512,36193826.553528905,0.0,89266.25940537217,89021.76271745998,85660.78100994157,93759.0105260807,36242101.318581104,0.0,89536.71263121387,89308.78296617117,85909.56925241591,94043.0438955246,36351905.32827283,0.0,89677.46550090215,89431.51604612262,86024.04418754287,94225.96261216178,36409050.99336627,0.0,89923.63299046444,89676.87421453121,86224.60563150447,94519.85894733356,36508994.99412856,0.0,90155.88754673077,89951.25142818432,86449.22897706591,94735.68432354002,36603290.34397268,0.0,89705.96149748909,89456.1735986693,86082.43481215191,94248.65367404676,36420620.36798056,0.0,89442.71698188636,89198.8798927509,85869.73650304665,93902.96237134012,36313743.094645865,0.0,89533.35399900812,89336.2175360518,85952.29730479533,94032.60254650623,36350541.723597296,0.0,89355.81608874373,89145.98236970283,85787.6614701004,93783.60612792877,36278461.33202995,0.0,89242.32147570586,88987.39180800061,85659.3065747115,93751.57913257279,36232382.51913658,0.0
