GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1_1,1.0,-2.5880400160247756,-2.598178033245036,-2.630917193934151,-2.524266460105298,-15.528240096148656,0.0,-2.2196887599243467,-2.221492887871681,-2.252431935654648,-2.1943969779803587,-13.318132559546079,0.0,-2.288462136669901,-2.286028921089983,-2.3120612843367674,-2.26819565259452,-13.730772820019407,0.0,-2.657461241923644,-2.6572655382715893,-2.6807404467570417,-2.6356531679895028,-15.944767451541864,0.0,-1.8005503764737565,-1.8055399422033345,-1.816286700094856,-1.775070884959867,-10.803302258842537,0.0,-2.0393907753164378,-2.0482420061530444,-2.0655828796722893,-1.991884059199776,-12.236344651898627,0.0,-3.2817510473287226,-3.28320462961136,-3.3101222812510045,-3.2457047042598832,-19.690506283972336,0.0,-1.5220392409693433,-1.527756125267817,-1.5499973072579614,-1.4709320294673065,-9.132235445816061,0.0,-2.0551323466199665,-2.0593365164491244,-2.0681348568357283,-2.022752811880443,-12.330794079719794,0.0,-3.500198711930292,-3.509284341764232,-3.5846487073292064,-3.3824797135674616,-21.001192271581754,0.0,-2.7483139084603856,-2.7549982242237934,-2.816646199836413,-2.6475783898044094,-16.489883450762314,0.0,-1.5504163444345682,-1.555636955062556,-1.5802885370897712,-1.508525140319373,-9.30249806660741,0.0
ZWE.2_1,2.0,-1.3510996824373025,-1.3585850908137074,-1.429433374558179,-1.261686684033439,-9.457697777061117,0.0,-1.5576132589217937,-1.552033884351955,-1.6147515821257088,-1.5206506601766074,-10.903292812452557,0.0,-1.4669480078186101,-1.474070163986991,-1.5116033386260266,-1.404631199231002,-10.268636054730267,0.0,-1.7600012165533694,-1.7846637918069204,-1.8717080101522447,-1.5981152010337505,-12.320008515873585,0.0,-1.4192634715630177,-1.4267084004546329,-1.5070647603191876,-1.3282085752004928,-9.934844300941123,0.0,-1.5358171032116066,-1.5622979831055923,-1.6404286334045748,-1.3815898344926,-10.750719722481248,0.0,-2.379249335043312,-2.400710033752388,-2.4909219696937326,-2.229452285976112,-16.654745345303184,0.0,-2.3101571321089023,-2.3111485987968634,-2.3873075234976096,-2.249415528764569,-16.171099924762313,0.0,-2.606367226647881,-2.5868205147577243,-2.6822136118700373,-2.5349152288313084,-18.24457058653516,0.0,-2.6190849027000502,-2.634953793033649,-2.6986449138923843,-2.564727637568676,-18.33359431890036,0.0,-2.139456800899308,-2.1306722018166924,-2.1892326059210516,-2.092764955215508,-14.97619760629516,0.0,-1.4023019994372572,-1.3985753895263124,-1.4342848572983709,-1.3718208447635556,-9.8161139960608,0.0
ZWE.3_1,3.0,-1.0863876033547544,-0.9949899475844994,-2.3408506963997016,-0.08571817056633374,-322.6571181963621,0.0,-0.8999260615823964,-0.8648044156193838,-1.902386926167109,0.08633342571314198,-267.27804028997167,0.0,-0.758964253583025,-0.7753175371869253,-1.66696068499284,0.12594384094766484,-225.41238331415843,0.0,-0.9050358737524412,-0.930318518731704,-2.1170983917778563,0.2454299830502921,-268.795654504475,0.0,-0.5670662953507677,-0.5571197689788865,-1.834377433688902,0.3852718058685314,-168.41868971917802,0.0,-0.5823090167547831,-0.6509175711846754,-1.4061579800061494,0.3956405345825327,-172.94577797617058,0.0,-0.932122650745536,-0.9968294187024191,-2.076536485531874,0.1280186323203762,-276.8404272714242,0.0,-1.2961572868637972,-1.3256594106851558,-2.2412534228994505,0.1946070232777376,-384.9587141985477,0.0,-1.611952679752461,-1.5868907509974763,-2.742746280446353,-0.253229963134823,-478.7499458864809,0.0,-1.710373918201444,-1.7375885806626026,-2.843180728882649,-0.3632819745983403,-507.98105370582886,0.0,-1.5097879585746743,-1.4347149244628374,-2.9234578476016053,-0.16822369896829592,-448.4070236966783,0.0,-1.0121423430584595,-0.8943456836916851,-2.5802170321474547,-0.21223125978034926,-300.60627588836263,0.0
ZWE.4_1,4.0,-1.7156671853165495,-1.5911844398260409,-2.643927297506829,-1.0617745365470244,-392.88778543748975,0.0,-1.6817396322718925,-1.6857180579843574,-2.1459631056632222,-1.1587388165793633,-385.11837579026337,0.0,-1.5545711585656503,-1.544390172246196,-2.184483117884396,-0.9952037137266888,-355.9967953115339,0.0,-1.937780365341397,-1.892460473707869,-2.9061922601512715,-1.0590352365347755,-443.75170366317985,0.0,-1.8566044860051345,-1.850206592332298,-2.7671371863627177,-1.020546463942025,-425.1624272951758,0.0,-1.5676901265949832,-1.5676502711955975,-2.4252367802831696,-0.8456823519000786,-359.0010389902512,0.0,-2.45578446009076,-2.4754079307920507,-3.522073256181516,-1.7240217072917756,-562.3746413607838,0.0,-2.4225172788741345,-2.430907855194949,-3.111711405606305,-1.8181250381695684,-554.7564568621767,0.0,-2.9344185898048467,-2.9441673886995585,-3.7969036297799903,-2.2982327399096807,-671.9818570653099,0.0,-3.3282777373879626,-3.3032477416785,-4.5358995977514125,-2.4427774576385013,-762.1756018618436,0.0,-2.8047448047034043,-2.7820021893817417,-3.7753523639337945,-2.056718411056768,-642.2865602770794,0.0,-1.5539609351013093,-1.5551250959373106,-2.0621790374988054,-1.125638787657382,-355.8570541381998,0.0
ZWE.5_1,5.0,-1.5821541829458117,-1.5361835300402755,-2.513906851391289,-0.6496772677241811,-424.0173210294776,0.0,-1.4195798625113425,-1.4276945665375238,-2.080932820890712,-0.7599247783214554,-380.4474031530398,0.0,-1.4347722551118278,-1.4164772162852692,-2.0991889004118023,-0.5937777951058881,-384.5189643699698,0.0,-1.7381607150478806,-1.7285435375019127,-2.640051549871766,-0.4544100786296496,-465.82707163283203,0.0,-1.3698836330350546,-1.3792618627873423,-2.3975534513802943,-0.1827068054232322,-367.1288136533946,0.0,-1.3470059380251378,-1.3179172421933112,-2.103992023843932,-0.11620446346657785,-360.99759139073694,0.0,-2.131752247951503,-2.103725472591178,-3.2047260009904264,-0.4768250648006706,-571.3096024510028,0.0,-2.033478078081353,-2.1501557072787483,-2.712388778331356,-0.7425275630832578,-544.9721249258026,0.0,-2.372355525949583,-2.4513697037765656,-3.1085083603605588,-1.1240197536015282,-635.7912809544882,0.0,-2.694166848329615,-2.7168443744652304,-3.6504883331768223,-1.5144602879879503,-722.0367153523367,0.0,-2.188320168299412,-2.1760711469200253,-3.1492364548788045,-1.170684829042377,-586.4698051042424,0.0,-1.2677574422187443,-1.313807595956896,-1.7174041901143744,-0.6786740904298245,-339.75899451462345,0.0
ZWE.6_1,6.0,-1.2858687878518344,-1.2794880997628926,-2.1033661822026626,-0.517919308600567,-612.0735430174732,0.0,-1.470819128562871,-1.46956604144403,-2.417546207745741,-0.647138448089833,-700.1099051959268,0.0,-1.4283199005526983,-1.4240637665389275,-2.2975226563814317,-0.6448593104808084,-679.8802726630843,0.0,-1.6446241508973165,-1.6955248201733406,-2.515633638743003,-0.7175683883583399,-782.8410958271228,0.0,-1.4682304926806968,-1.4208664429552735,-2.653888075491207,-0.6164896573911417,-698.8777145160118,0.0,-1.4592841810974635,-1.5060151587334771,-2.3975498686241257,-0.4384179182371314,-694.6192702023926,0.0,-2.3269490199876133,-2.417284375742872,-3.302232285365029,-1.0280567533995897,-1107.627733514104,0.0,-2.182194469891259,-2.210739434809394,-3.6487552763958973,-0.7868957850110494,-1038.7245676682394,0.0,-2.491443579823294,-2.5042216114548594,-3.966823389725328,-0.8951210039908998,-1185.9271439958882,0.0,-2.732418040592082,-2.6873391858388285,-4.208247337707716,-1.233195682460418,-1300.630987321831,0.0,-2.2148459331434314,-2.173728331681484,-3.4689844366749987,-1.1112439290367966,-1054.2666641762737,0.0,-1.3574488121888286,-1.3071899834497758,-2.4206387216314003,-0.5551368271391671,-646.1456346018824,0.0
ZWE.7_1,7.0,-1.9960477385168065,-2.0718973247949704,-2.856972171379552,-0.3956741837508329,-930.1582461488318,0.0,-1.6256133392879015,-1.6860432989157546,-2.433244961403597,-0.011656384472684668,-757.5358161081621,0.0,-1.2967789874278552,-1.3925473630998897,-1.9479066911272889,0.06414905456709266,-604.2990081413806,0.0,-1.2729455567333796,-1.3538039811774545,-2.2957603376521427,0.20087650818493685,-593.1926294377549,0.0,-0.8143242305270003,-0.9107197351681272,-1.5642887881251804,0.4137465207576918,-379.4750914255822,0.0,-0.6650886206270259,-0.6489164395321645,-1.8160990873420049,0.4199577289703075,-309.93129721219407,0.0,-1.6391755493980409,-1.7429947989133592,-2.7804735499078,0.0809869369687307,-763.8558060194873,0.0,-1.5202567705289278,-1.6526193754268992,-2.1790403654864887,0.1808598263545288,-708.4396550664802,0.0,-1.8980635203566536,-2.001590797912012,-2.7374657042599333,-0.2495690721009229,-884.4976004862007,0.0,-2.595428495059729,-2.751935135088727,-3.5962751770084447,-0.4854404341839639,-1209.4696786978336,0.0,-2.3937845375915465,-2.519244114370932,-3.26611283509835,-0.3755788258673296,-1115.5035945176608,0.0,-1.8087928447122918,-1.9429794890644358,-2.6152717851203984,-0.3192866340034386,-842.8974656359277,0.0
ZWE.8_1,8.0,-1.5128009853813995,-1.3826196146407101,-2.7266582185459654,-0.6388406240424932,-942.475013892612,0.0,-1.5928607813618638,-1.5466991397480536,-2.55168827351138,-0.9880660998446378,-992.3522667884413,0.0,-1.4384997864129276,-1.373914203215015,-2.3308231872997265,-0.9037409902333644,-896.1853669352539,0.0,-1.667902110729296,-1.6073537332149506,-2.806159411520264,-0.6617491661111745,-1039.1030149843514,0.0,-1.2632525021533558,-1.2530673501735043,-2.2178271003485697,-0.4984195886195655,-787.0063088415407,0.0,-1.4173155849723231,-1.3865805238141466,-2.4226712120464,-0.3642099168605761,-882.9876094377572,0.0,-2.3595125058073543,-2.290749156967008,-3.522333939657064,-0.9509329681780441,-1469.9762911179816,0.0,-1.4618898943704153,-1.4329862750897429,-2.798961060707482,-0.8155212211017141,-910.7574041927687,0.0,-1.6828153813756184,-1.5996023620888562,-2.910549369970472,-1.0609865321753194,-1048.3939825970099,0.0,-2.3964104917526505,-2.3535189445940508,-3.5738795054501007,-1.3228098404944009,-1492.9637363619013,0.0,-1.9417485815525004,-1.9275955312193471,-2.8267759787334827,-1.2879005999161528,-1209.7093663072078,0.0,-1.333901167720875,-1.2492959015049774,-1.983863601165493,-0.8212514519779226,-831.0204274901051,0.0
ZWE.9_1,9.0,-2.9069996704279983,-2.9245539684185777,-3.6646921562054064,-2.006730371706124,-1305.2428520221715,0.0,-2.5259994606283667,-2.5623981954315798,-3.1251368224880363,-1.550040591025991,-1134.1737578221366,0.0,-2.153766119042401,-2.1396827217823664,-2.60667942746586,-1.3628480790008477,-967.040987450038,0.0,-2.2744205337515684,-2.2452794735912796,-3.0369907893660923,-1.2349936856325032,-1021.214819654454,0.0,-1.6037210235751065,-1.6167047845711795,-2.113529831507169,-0.6721465183767772,-720.0707395852228,0.0,-1.4262910978895966,-1.453040602325998,-2.3652581786645315,-0.2259281077479373,-640.4047029524289,0.0,-2.8875274222976746,-2.8323626211776194,-3.77686076835769,-1.552454755540048,-1296.4998126116561,0.0,-1.8195875259051817,-1.7772855734463997,-2.6862427277924232,-1.1412321605517088,-816.9947991314267,0.0,-2.118971735467821,-2.127194401658575,-2.625704131975009,-1.4467089818091283,-951.418309225052,0.0,-3.6289889713790937,-3.667422427807502,-4.222103034546975,-2.6104862696964912,-1629.4160481492127,0.0,-3.16388878855696,-3.2523384701775737,-3.907376078680764,-2.0729598626151637,-1420.586066062075,0.0,-2.062761483563491,-1.9602292555413503,-2.9258546043958416,-1.298107014267756,-926.1799061200073,0.0
ZWE.10_1,10.0,-1.5991512640098582,-1.6991954357006571,-2.8922661038849244,-0.5383818938896977,-649.2554131880024,0.0,-1.3916138162059353,-1.3867672318165454,-2.380057983989335,-0.6952809842060884,-564.9952093796096,0.0,-1.437007431036298,-1.437219872952442,-2.111120615919591,-0.7148971994436011,-583.4250170007373,0.0,-1.656019786006164,-1.6263495895255504,-2.452171782642235,-0.7739550737707124,-672.3440331185027,0.0,-1.1356363578632729,-1.1456341035310418,-1.66176129590114,-0.5923671709821791,-461.0683612924887,0.0,-1.2857467115966674,-1.318096152969388,-1.9560319883431248,-0.6311067745326695,-522.013164908247,0.0,-2.379665870939665,-2.420999680126079,-3.0462492405951025,-1.4851820220350893,-966.144343601504,0.0,-1.4652868123494356,-1.4836589558125617,-2.2154302701621935,-0.8228620642258515,-594.9064458138707,0.0,-1.7471943657220523,-1.7870618221635324,-2.418159470581512,-0.9915080336582224,-709.3609124831532,0.0,-2.580155966897541,-2.595360732092188,-3.7309942845374886,-1.459329746015143,-1047.5433225604015,0.0,-2.0389623914480617,-1.999716841247055,-3.2976633426217674,-1.2339392362070891,-827.8187309279132,0.0,-1.1204266950449169,-1.0582394818609733,-2.2373606674483173,-0.5853393802247445,-454.8932381882362,0.0
