GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
AGO.1_1,1.0,295.16533772009615,295.29673483523163,292.5169951091573,296.85978196706134,80580.13719758624,1.7985611510791366,295.80802475235333,295.8601067411053,293.668617470527,297.43026674388415,80755.59075739245,1.7985611510791366,296.8213584061832,297.17797610899584,294.09435692947176,297.8677036307918,81032.23084488802,1.7985611510791366,296.927289549067,297.1403139643719,294.6367366841293,297.9222817754973,81061.15004689529,1.7985611510791366,295.4507350921309,295.47151118484504,293.3536714965798,296.90240814310914,80658.05068015176,1.7985611510791366,291.408472567256,291.48284235559237,288.18274363891237,292.9121601597272,79554.51301086087,1.7985611510791366,291.0500993202292,291.09954343879065,289.01459891720117,292.6417483270134,79456.67711442256,1.7985611510791366,290.8067401874954,290.8354866728813,289.2460105576771,292.17363494812105,79390.24007118624,1.7985611510791366,292.1366261570003,292.1339518081224,290.4919290118345,293.7027204953756,79753.29894086109,1.7985611510791366,294.3521701436293,294.355689620102,293.02951529507715,295.6952582069642,80358.1424492108,1.7985611510791366,295.5062651229693,295.6631889735396,293.37075386180214,296.6643684541013,80673.21037857063,1.7985611510791366,295.32728650853363,295.5010001715256,293.10548323876753,296.62385590275915,80624.34921682968,1.7985611510791366
AGO.2_1,2.0,291.3396855749055,291.18351202153997,288.3856111983266,295.218436861474,91772.00095609523,1.5625,292.2797336101916,292.23967485097734,288.8686277990621,296.24242830575764,92068.11608721036,1.5625,293.628666893183,293.8305482670768,289.01887663409894,297.43647297206087,92493.03007135264,1.5625,292.7597356008433,292.9527919546237,288.2798286711464,297.17401613768163,92219.31671426565,1.5625,288.74981355253294,288.6058194956353,281.58837459165414,295.7045118753118,90956.19126904786,1.5625,283.499727168954,282.89437460725566,274.7741745324142,292.7142142621738,89302.41405822051,1.5625,283.4574690883905,284.3103330820847,271.5091033931369,291.5610902262898,89289.10276284303,1.5625,285.3660825979672,286.20517296648467,275.9434358143788,290.8706622642161,89890.31601835963,1.5625,287.5462402981192,287.9602157915122,280.8843627194766,291.91692984866984,90577.06569390754,1.5625,290.7307637351248,290.76835344726584,286.51120211074306,293.931298465251,91580.19057656432,1.5625,291.54623814933035,291.4739943577999,287.81183776730256,295.4494527988913,91837.06501703904,1.5625,292.28897877061905,292.3976965828085,288.15512011252923,295.9047097903578,92071.028312745,1.5625
AGO.3_1,3.0,290.038653712507,290.103004394399,288.58016143833237,291.55695854638736,169092.5351143916,0.0,290.5287978106986,290.5743445905661,288.9236495216872,292.5505577688296,169378.28912363725,0.0,290.3638853694855,290.394264302843,288.9084732327762,292.2430474869449,169282.14517041005,0.0,289.5212809743352,289.41857825701754,288.13728774554835,291.8222411688941,168790.90680803743,0.0,282.47861855107413,282.40284539566727,278.91297162633646,286.64941489286906,164685.03461527618,0.0,275.72489678198053,275.66183947227415,273.65000431445344,278.60300621053426,160747.61482389466,0.0,272.0372033702679,272.2245542198151,268.73091500032245,274.95008604090964,158597.6895648662,0.0,275.3871732680638,275.51849227671016,270.316436232414,280.5083897219775,160550.72201528118,0.0,278.9464853755848,279.2178445104384,271.39158177653593,286.3739753371665,162625.8009739659,0.0,287.9349475332103,288.29434836991743,283.3132723536401,291.67413507831867,167866.0744118616,0.0,289.6567877480992,289.5914998454276,286.93830859541197,292.27542626174414,168869.90725714187,0.0,290.0095231847837,290.0784755608649,288.320568534257,291.93559586212484,169075.55201672888,0.0
AGO.4_1,4.0,296.6559865703515,296.8537814658082,295.36337606241784,297.2535760404916,16909.391234510036,0.0,296.89325836356653,297.0832720055707,295.57149513176466,297.56308252678133,16922.915726723288,0.0,297.1634663217482,297.3653035997782,295.79466929843835,297.85365097822415,16938.317580339644,0.0,297.3812171101413,297.55087099430506,296.0107857764755,298.10735656596364,16950.729375278057,0.0,296.6943830901771,296.8312583856994,295.51708395986265,297.3552026570378,16911.579836140092,0.0,293.3166122716333,293.36404637279685,292.1967131242958,294.3131878071223,16719.046899483095,0.0,292.8079170610372,292.8057751675712,291.90470657049,293.6083318161991,16690.05127247912,0.0,292.47171050539237,292.48948550851884,291.56592414260507,293.3154401299164,16670.88749880737,0.0,293.93630098876486,294.01544985884937,292.8874516716773,294.7067034227329,16754.3691563596,0.0,295.78940222376184,295.8914993132073,294.63581470073564,296.38962466740816,16859.995926754425,0.0,296.4065743718428,296.54732973795484,295.2234162750939,296.97251209108316,16895.17473919504,0.0,296.43730789071435,296.5785925933636,295.20101459318107,297.07194285318906,16896.926549770717,0.0
AGO.5_1,5.0,290.82809172220277,290.78184245484755,289.2185564216381,292.69178776302766,465324.9467555244,0.0,289.5861130158229,289.60904010743906,286.7230639890022,291.525064513794,463337.78082531656,0.0,287.9990887393258,287.92009460420684,285.34623685375266,290.4636004875584,460798.5419829214,0.0,287.4323412000656,287.5217162097073,284.7824076615085,289.437250917493,459891.745920105,0.0,278.3176502727181,278.3358395002474,276.11648114360884,280.82327092791235,445308.240436349,0.0,275.32537404902416,275.208091292618,273.2487168252344,277.62353837172816,440520.5984784385,0.0,270.6737262418933,270.5211894179323,268.12001040366107,273.7456245887298,433077.9619870293,0.0,273.451611770237,273.45894124056707,269.572516008522,277.11966903704257,437522.5788323791,0.0,271.2944352227576,271.35868597049773,268.7542488216744,273.7672750978244,434071.0963564121,0.0,279.6829843497858,279.5448584117497,274.43851199821614,284.9885583238763,447492.77495965717,0.0,286.66060002860866,286.9333263614508,282.65324532649925,289.55428638763937,458656.9600457738,0.0,289.7419423057142,289.79832203794604,288.4971199236232,291.15146228399084,463587.1076891428,0.0
AGO.6_1,6.0,293.4990441198961,293.505223386464,291.15572302421856,295.9832074371695,55764.81838278027,0.0,294.0817506800878,294.10381762410975,291.6050797590764,296.3913255840268,55875.53262921669,0.0,294.43155619676577,294.4211242270431,291.56312501596403,297.6064627561966,55941.9956773855,0.0,294.96438008668906,295.0667587035301,292.13481942978564,297.62987479198057,56043.232216470926,0.0,293.5608626331325,293.86854727188927,289.62311699071,296.0498640418055,55776.56390029519,0.0,287.583760868321,288.05379810492377,281.00907282808544,291.55608825917807,54640.914564980994,0.0,288.136014957862,288.9035765907972,281.9872228496837,291.21948686468176,54745.84284199377,0.0,289.1048499165545,289.288560157485,286.1748269315889,290.9955879530345,54929.92148414537,0.0,290.88031210498764,290.7972071541392,289.5678248723688,292.2426632550602,55267.259299947655,0.0,293.1639657333028,293.30812761460425,291.3313787596636,294.5674596781807,55701.15348932753,0.0,293.74133195852403,293.78000304610384,291.33437608789126,296.15302071644953,55810.85307211957,0.0,293.43850369402656,293.44037697779487,290.90448181368606,296.0799942485558,55753.315701865045,0.0
AGO.7_1,7.0,291.21629857193363,290.7838327879784,288.61444650231897,295.8350857657079,128426.38767022276,0.8988764044943821,292.1842576951206,291.71579232747473,289.4067417995398,296.4109222098228,128853.25764354822,0.8988764044943821,292.36468707443163,291.6982099873003,289.23996074038257,297.6642943879538,128932.82699982432,0.8988764044943821,292.3078657224963,291.7140127402011,288.5346690693978,297.4721045847351,128907.76878362086,0.8988764044943821,288.91599824401777,288.2917085420106,282.75830481090014,295.90734884363184,127411.95522561186,0.8988764044943821,282.67204675592495,281.2881308881281,275.1790784250269,292.96719404490034,124658.3726193629,0.8988764044943821,281.7594687403171,281.24467255951186,272.142615079078,292.17199329650924,124255.92571447985,0.8988764044943821,285.27617054140967,285.37143655978133,278.2244469356257,291.7664737134523,125806.79120876169,0.8988764044943821,288.56072328634457,288.66188892387026,283.791874740173,293.0879978329131,127255.27896927795,0.8988764044943821,291.6495828779495,291.52422054671484,288.7198437500722,294.85780449780015,128617.46604917574,0.8988764044943821,291.9614832577188,291.55218831710783,288.8424450941484,295.9704427018653,128755.01411665398,0.8988764044943821,291.47959177617736,290.95052198032033,288.3986079403537,296.08033361275983,128542.4999732942,0.8988764044943821
AGO.8_1,8.0,287.58896721479937,288.3447290176473,283.1317845937666,290.6099107937468,178305.15967317566,0.0,285.97512362975414,286.2700996375416,282.4249707543983,289.0916509224965,177304.57665044753,0.0,286.2821464348355,286.2236795781955,283.2435873736243,289.59499304138205,177494.93078959806,0.0,284.37314247618167,284.2165658624753,282.08126903598765,287.9020098922016,176311.34833523264,0.0,276.1997353309441,276.126774142208,275.2615528478359,279.24491664227725,171243.83590518535,0.0,273.6126266932256,273.5364053400949,273.0681763708169,275.3698132131436,169639.82854979983,0.0,268.35363960585005,268.22078769690444,267.5374810173552,272.2855885417553,166379.25655562704,0.0,270.30001674516177,269.84638612820623,269.2394620767754,276.06161202087134,167586.0103820003,0.0,270.9251838974843,269.9412089719186,268.75765186118514,279.96599449957694,167973.61401644026,0.0,278.00568121485503,277.7854974449943,274.44151141321413,284.3656356130034,172363.5223532101,0.0,282.6619441410943,282.6924052110268,279.9585102652739,285.18756900349103,175250.40536747847,0.0,289.02442611986095,289.53477661637663,286.41909008830174,290.45123304288467,179195.1441943138,0.0
AGO.9_1,9.0,289.1940622368142,289.1229915421589,288.22919840693874,290.05357868961465,76925.62055499258,0.0,289.6357036781266,289.4593380608568,288.53042673650486,290.9615058639049,77043.09717838168,0.0,289.85234941944685,289.8203412249608,288.9702447682568,290.7847935506205,77100.72494557285,0.0,288.98301836344774,288.8944749119678,287.9473804721398,290.2645407092615,76869.4828846771,0.0,282.8928803771091,282.66012312558837,281.2376640606488,285.08658873947564,75249.50618031103,0.0,276.41924309256325,276.3020394335299,275.05347565918663,278.25010297724566,73527.51866262182,0.0,272.7316785659267,272.64189278331884,270.83818782734687,275.4408225880145,72546.6264985365,0.0,276.0391001986762,275.9116368628746,273.00633619461115,280.0816184763525,73426.40065284786,0.0,280.4434006606818,280.6119205162222,275.67280843182584,285.210689315464,74597.94457574135,0.0,287.8838524119025,288.0420513613618,285.58429397552214,290.5888743974835,76577.10474156607,0.0,288.9973864274243,288.85984916423246,287.87165115228726,290.76514721588836,76873.30478969487,0.0,288.8488723063258,288.78549838973663,287.82530205518884,289.9344961920092,76833.8000334827,0.0
AGO.10_1,10.0,288.269254872696,288.6685294073158,284.7350632090331,290.71166153913015,183050.97684416192,0.0,287.8188675374317,288.32155526548286,284.16201131713206,291.60686856471744,182764.98088626913,0.0,289.67688905208166,289.96946596827183,286.0864160361727,293.7656078309272,183944.82454807183,0.0,287.90513370477777,288.4477268984603,283.82936079101336,292.508314970506,182819.75990253387,0.0,279.42598648814374,279.12269684716347,276.0429585674387,285.84146419156485,177435.5014199713,0.0,274.3397734790459,273.97812844282623,272.9373357352984,279.61099152936004,174205.75615919413,0.0,270.1276268391477,269.6603364147085,268.210874484386,280.92133796834895,171531.04304285874,0.0,273.01596137371985,272.4218756387406,269.73522276886416,284.01819294274014,173365.13547231207,0.0,276.13707358104784,275.73180789548155,270.5900560042711,286.25981819461725,175347.04172396538,0.0,283.7946502522372,283.7767880225976,280.01604766943143,289.1016929490671,180209.6029101705,0.0,285.94030391500615,285.97935641448464,282.3206610141931,290.0140940598181,181572.0929860289,0.0,289.2891412343116,289.25026832511884,287.0960520691971,292.31160697545926,183698.60468378785,0.0
