adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,BEN.1_1,27.06414795,27.12036896,25.77460289,28.09957886,5791.727539,0,28.76396561,28.86290932,27.32162094,29.65799904,6155.48877,0,32.85210037,32.91835785,31.79148483,33.27316284,7030.349609,0,34.27822495,34.36190033,32.55786896,35.29028702,7335.540039,0,31.08272552,30.90402222,29.22839928,33.43286133,6651.703125,0,28.93187332,28.88734436,27.48464584,30.90816689,6191.420898,0,26.89768982,26.76551247,25.69361115,28.38730812,5756.105469,0,25.6473217,25.57888031,24.89863968,26.53892326,5488.526855,0,26.64580917,26.49203491,25.63061714,28.25108528,5702.203125,0,26.60835648,26.40553093,25.54441261,28.52539253,5694.188477,0,28.99672127,28.98228073,27.27493286,30.27787781,6205.29834,0,26.48350334,26.45223236,25.71621895,27.44594002,5667.469727,0
2,BEN.2_1,27.2731514,27.14736557,25.9857235,28.55421066,4554.616211,0,28.98729515,28.86627388,27.4829483,30.28037834,4840.878418,0,31.66664124,31.6513176,29.32844353,33.49281693,5288.329102,0,32.12912369,32.15086365,29.40411949,34.55472946,5365.563477,0,29.47930527,29.313591,26.94835472,32.05065155,4923.043945,0,27.67543602,27.39280128,25.48377419,30.06482697,4621.797852,0,25.68873978,25.53771973,23.89365578,27.59069824,4290.019531,0,24.70642662,24.65264893,23.16029739,26.00092506,4125.973145,0,25.69987297,25.65783501,24.0413208,27.19228745,4291.878906,0,25.47196579,25.45738411,23.86400795,26.96085739,4253.818359,0,27.88215256,27.78788376,26.445261,29.67867279,4656.319336,0,26.66423225,26.43194008,25.59344101,28.1209259,4452.926758,0
3,BEN.3_1,28.39115715,28.30490112,28.00690651,29.19961166,738.170105,0,28.41128731,28.36063004,28.10960388,28.95990562,738.6934814,0,28.57138443,28.54741287,28.33494186,28.82826805,742.8560181,0,28.42655754,28.3890934,28.13772774,28.79465103,739.0905151,0,27.40176773,27.3882637,27.02546883,27.78348541,712.4459839,0,25.79470634,25.79144669,25.48992348,26.12589645,670.6623535,0,25.23918533,25.24035263,24.96875954,25.46752167,656.218811,0,25.38278389,25.37630272,25.10393906,25.61209106,659.9523926,0,25.50644684,25.49521255,25.20743561,25.74407196,663.1676025,0,25.25860405,25.24554253,24.84795761,25.78270149,656.7236938,0,27.17779922,27.15593147,26.79822731,27.60339546,706.6228027,0,27.72689629,27.73198509,27.41130257,28.04860306,720.899292,0
4,BEN.4_1,27.58869743,27.6201458,26.4923172,28.57973099,5876.392578,0,29.02835846,29.06531525,28.12550545,29.74944496,6183.040527,0,30.80435371,30.64764977,29.65964127,32.89884949,6561.327148,0,30.72740555,30.51021767,29.02731895,33.43515015,6544.9375,0,28.26914215,28.07021713,27.25523186,30.04757118,6021.327148,0,26.64436531,26.55627251,25.71793556,28.06183624,5675.25,0,25.19787025,25.08892632,24.51469231,26.2737236,5367.146484,0,24.66444778,24.66561699,24.03829002,25.35173225,5253.527344,0,25.30433464,25.334095,24.6464653,26.06349754,5389.823242,0,25.21513557,25.18813705,24.52909279,26.12215805,5370.82373,0,27.77423477,27.78413963,27.08018684,28.79556084,5915.912109,0,26.59976768,26.63344765,25.78437424,27.40102577,5665.750488,0
5,BEN.5_1,29.25263596,29.2786293,28.37683487,29.86648941,3334.800537,0,29.87901688,29.87006378,29.27187347,30.49523926,3406.208008,0,29.71365738,29.72278023,29.00441933,30.18599892,3387.356934,0,29.05092239,29.05675316,28.57750893,29.42378235,3311.805176,0,27.74801826,27.77278137,27.35437202,28.05322075,3163.27417,0,26.20264053,26.20755386,25.83816147,26.46011162,2987.101074,0,25.31909752,25.35746002,24.8541832,25.6499424,2886.377197,0,25.10712814,25.14719009,24.63884163,25.52122307,2862.212646,0,25.44702911,25.45973969,25.06940842,25.7169342,2900.961426,0,25.03032303,25.05386734,24.68536758,25.25639343,2853.456787,0,27.87947464,27.91055679,27.44410324,28.16230011,3178.26001,0,28.09827995,28.12654114,27.07582283,28.71474648,3203.203857,0
6,BEN.6_1,28.03814507,28.05916023,26.94710732,29.11789131,2551.471191,0,29.31074715,29.3061657,28.5431366,29.95360184,2667.278076,0,30.15904808,30.13352013,29.4356823,30.70978355,2744.473389,0,29.56331825,29.50250435,28.71019936,30.48649597,2690.261963,0,27.50270081,27.51410484,26.96851158,28.0181694,2502.74585,0,26.11959648,26.14872932,25.65522766,26.53627205,2376.883301,0,24.66516495,24.68233681,24.19198418,25.30319595,2244.530029,0,24.26252174,24.26319695,23.62757301,25.05446815,2207.889404,0,25.02970695,25.09500885,24.44252968,25.5519352,2277.703369,0,24.73941612,24.80724335,24.17806816,25.15020752,2251.286865,0,27.62077522,27.84227562,26.38267136,28.08930206,2513.490479,0,27.06071854,27.12697792,25.85076523,28.03267479,2462.525391,0
7,BEN.7_1,29.12759972,29.08703804,28.83706284,29.50640488,495.1691895,0,29.00267029,28.99987984,28.73978233,29.38667679,493.0454102,0,28.82000351,28.81184006,28.54817581,29.18803406,489.9400635,0,28.43772888,28.45716286,28.20077324,28.72880554,483.4413757,0,27.28369141,27.29636383,27.05773354,27.56007576,463.8227539,0,25.7023468,25.69734192,25.47300911,25.93348694,436.9398804,0,25.07707787,25.07125664,24.84663582,25.29176331,426.3103333,0,25.10767746,25.11330223,24.87103081,25.40185547,426.8305054,0,25.23070145,25.24113274,24.98898125,25.47766495,428.921936,0,24.90982246,24.89263535,24.67004776,25.17107773,423.46698,0,27.05744743,27.00579643,26.78588295,27.4626236,459.976593,0,27.93885422,27.92159843,27.61983109,28.36878014,474.9605103,0
8,BEN.8_1,28.0454006,,,,,,28.1389008,,,,,,28.5576992,,,,,,28.5820999,,,,,,27.7835007,,,,,,26.1259003,,,,,,25.3831997,,,,,,25.3875008,,,,,,25.7441006,,,,,,25.7826996,,,,,,27.6033993,,,,,,27.8405991,,,,,
9,BEN.9_1,28.60313416,28.5472908,28.35795021,28.93095589,400.4438782,6.666666667,28.73385048,28.70702362,28.56268311,29.0442543,402.2738953,6.666666667,28.7896862,28.76932907,28.6763382,28.97536469,403.055603,6.666666667,28.59188461,28.57515526,28.46963882,28.75911331,400.286377,6.666666667,27.5474205,27.53860474,27.32900429,27.91250801,385.6638794,6.666666667,25.91409111,25.91761971,25.75565529,26.14600182,362.7972717,6.666666667,25.32528687,25.32009125,25.20426178,25.4807682,354.5540161,6.666666667,25.44193649,25.42966652,25.31496048,25.58322716,356.1871033,6.666666667,25.57479858,25.55090332,25.3990097,25.88227463,358.0471802,6.666666667,25.3350811,25.29472733,25.1107254,25.74988556,354.6911316,6.666666667,27.1770649,27.15316963,26.97740364,27.58550644,380.4789124,6.666666667,27.82785416,27.81547928,27.63355446,28.04014015,389.5899658,6.666666667
10,BEN.10_1,28.27767372,28.04712677,27.90945244,29.03884125,282.7767334,16.66666667,28.31253052,28.14047241,28.00384521,28.96479797,283.1253052,16.66666667,28.55461693,28.49395752,28.32514191,28.9362278,285.5461731,16.66666667,28.41781235,28.39494133,28.21382523,28.64487648,284.1781311,16.66666667,27.43600845,27.41603851,27.25525665,27.75653076,274.3600769,16.66666667,25.87943649,25.85589218,25.70938683,26.08697128,258.7943726,16.66666667,25.35890961,25.35629654,25.23234749,25.50886726,253.5890961,16.66666667,25.41145706,25.38459778,25.2555809,25.61897087,254.114563,16.66666667,25.57863617,25.56478119,25.43693924,25.73111916,255.7863617,16.66666667,25.34085274,25.28857231,25.09682083,25.73014641,253.4085236,16.66666667,27.32627869,27.29718018,27.1558342,27.657341,273.2627869,16.66666667,27.80690384,27.77130699,27.54079247,28.14842987,278.0690308,16.66666667
