GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1,7.48E-07,0,0,4.01E-05,0.000160121,0,5.88E-07,0,0,3.28E-05,0.000125752,0,5.49E-07,0,0,2.72E-05,0.000117523,0,1.45E-06,0,0,2.57E-05,0.000310491,0,6.33E-05,2.20E-05,2.08E-06,0.000368326,0.013536621,0,2.78E-05,1.62E-05,4.16E-06,0.000207382,0.005939909,0,6.87E-05,4.60E-05,1.06E-05,0.000290299,0.014710003,0,0.000450801,0.000397395,3.61E-05,0.001100195,0.09647144,0,0.000236228,0.000114706,1.32E-05,0.001024219,0.050552693,0,0.000304807,0.000275899,8.68E-06,0.000982931,0.06522861,0,1.30E-06,0,0,6.33E-05,0.000277504,0,1.05E-06,0,0,5.27E-05,0.000223977,0
BEN.2_1,2,7.33E-05,4.86E-06,0,0.00041058,0.012242343,0,4.82E-05,3.45E-06,0,0.000266784,0.008046456,0,3.37E-05,3.47E-06,0,0.000182059,0.005635164,0,4.96E-05,7.51E-06,1.83E-06,0.000353518,0.008275094,0,0.000115443,2.94E-05,6.09E-06,0.000572026,0.019279024,0,0.00013239,4.78E-05,6.09E-06,0.000728507,0.022109186,0,0.000646104,0.000383988,2.76E-05,0.002085057,0.107899406,0,0.000780503,0.000741857,0.000114484,0.002001301,0.130343978,0,0.000974272,0.000581485,7.34E-05,0.004581933,0.162703449,0,0.001825025,0.00126666,0.000269933,0.006762728,0.304779192,0,0.000457744,2.76E-05,0,0.002334106,0.076443319,0,0.000215973,1.91E-05,0,0.000913742,0.036067561,0
BEN.3_1,3,0.000459781,0.000413049,0.000187583,0.000785807,0.011954312,0,0.000327824,0.000334407,0.000127169,0.000545286,0.008523429,0,0.000261106,0.000269488,7.83E-05,0.000407411,0.006788746,0,0.000414428,0.000431229,0.000213774,0.000572671,0.010775139,0,0.000569064,0.000507055,0.000193617,0.001369613,0.014795661,0,0.001567125,0.001635922,0.000486488,0.00315635,0.040745258,0,0.001698701,0.001638933,0.000704126,0.003607807,0.044166236,0,0.001351677,0.001287373,0.000544987,0.002078006,0.0351436,0,0.002327319,0.002156265,0.001098263,0.004250849,0.060510289,0,0.010747202,0.010809616,0.005388452,0.013167993,0.279427251,0,0.002965289,0.003052943,0.00143384,0.004639071,0.077097526,0,0.001115601,0.001081872,0.000563779,0.001794463,0.029005638,0
BEN.4_1,4,0.000182897,0.000215618,0,0.000300586,0.038957134,0,0.000128106,0.000151718,0,0.000203949,0.027286556,0,9.54E-05,0.000113279,0,0.000150046,0.020314788,0,9.57E-05,8.99E-05,2.03E-06,0.00043312,0.020381219,0,0.000463031,0.000377454,1.62E-05,0.001307587,0.098625516,0,0.000406107,0.000416639,1.60E-05,0.00137144,0.086500761,0,0.001638879,0.001647402,7.78E-05,0.004341709,0.349081228,0,0.0013322,0.001336806,0.000289555,0.00231137,0.283758625,0,0.002915653,0.002547769,0.000636083,0.006577023,0.621034151,0,0.003625914,0.003676934,0.000172424,0.011515843,0.772319732,0,0.000952998,0.00117555,1.73E-07,0.001594165,0.202988545,0,0.000451948,0.000548396,0,0.000678448,0.096264861,0
BEN.5_1,5,0.000273277,0.000287176,9.11E-05,0.000345976,0.031153569,0,0.000183188,0.000194501,6.06E-05,0.000235217,0.020883415,0,0.000210461,0.000197993,5.38E-05,0.000383593,0.023992589,0,0.000301472,0.000295853,5.57E-05,0.000630705,0.034367782,0,0.000442974,0.000404166,7.00E-05,0.000908829,0.05049907,0,0.000518456,0.000499819,0.000149922,0.001349224,0.059104017,0,0.001166691,0.001076629,0.000306696,0.002769736,0.133002726,0,0.001614712,0.001511929,0.000617156,0.003261084,0.184077142,0,0.003575635,0.003523867,0.00147899,0.006851817,0.407622379,0,0.006983397,0.006795141,0.003683641,0.01079143,0.796107266,0,0.001788256,0.001798717,0.000554738,0.002404192,0.203861167,0,0.000698756,0.000716747,0.000308552,0.000838032,0.079658157,0
BEN.6_1,6,0.000200642,0.000218459,4.95E-07,0.000348162,0.018258386,0,0.00013241,0.000142873,3.74E-07,0.000227751,0.012049294,0,0.0001025,0.000108147,3.94E-06,0.000257675,0.009327468,0,0.000234737,0.000216628,3.09E-05,0.000555455,0.021361064,0,0.000524616,0.000418854,1.97E-05,0.001399573,0.047740035,0,0.000400532,0.000418516,1.74E-05,0.000919876,0.036448408,0,0.001492805,0.001535481,0.000389071,0.002782747,0.135845294,0,0.002257852,0.002047457,0.000382785,0.004667251,0.205464567,0,0.003890038,0.004306956,0.000629792,0.006749663,0.353993461,0,0.006857165,0.006068247,0.000751765,0.01350424,0.624001975,0,0.001297961,0.001440118,2.46E-05,0.002115177,0.118114425,0,0.000532101,0.000587445,1.31E-05,0.000872671,0.048421221,0
BEN.7_1,7,0.000274109,0.000269181,0.000192909,0.000397551,0.004659853,0,0.000204374,0.000199092,0.000134319,0.000272833,0.003474358,0,0.000142959,0.000136179,9.46E-05,0.000386105,0.002430302,0,0.000416184,0.000391669,0.000170765,0.000894338,0.007075121,0,0.000467275,0.000459533,0.000239212,0.000956799,0.007943681,0,0.000648219,0.000582502,0.000447192,0.001061861,0.011019726,0,0.000848645,0.000804084,0.000488933,0.001550994,0.014426963,0,0.000896503,0.000773053,0.000392817,0.002274917,0.015240553,0,0.002517712,0.002519721,0.001516827,0.0044739,0.042801105,0,0.008290935,0.008670443,0.006133743,0.010339235,0.140945892,0,0.002027321,0.002021541,0.001494111,0.002720815,0.034464465,0,0.000770009,0.000732594,0.000589927,0.001153295,0.013090153,0
BEN.8_1,8,0.000718531,0.000718531,0.000718531,0.000718531,0.000718531,,0.000485092,0.000485092,0.000485092,0.000485092,0.000485092,,0.000341206,0.000341206,0.000341206,0.000341206,0.000341206,,0.000260074,0.000260074,0.000260074,0.000260074,0.000260074,,0.000295795,0.000295795,0.000295795,0.000295795,0.000295795,,0.001657965,0.001657965,0.001657965,0.001657965,0.001657965,,0.001631834,0.001631834,0.001631834,0.001631834,0.001631834,,0.001423033,0.001423033,0.001423033,0.001423033,0.001423033,,0.001269176,0.001269176,0.001269176,0.001269176,0.001269176,,0.010352061,0.010352061,0.010352061,0.010352061,0.010352061,,0.003538556,0.003538556,0.003538556,0.003538556,0.003538556,,0.001398578,0.001398578,0.001398578,0.001398578,0.001398578,
BEN.9_1,9,0.000434458,0.000416053,0.000295015,0.000707788,0.006082411,6.666666667,0.000311987,0.000313459,0.000212254,0.000499909,0.004367824,6.666666667,0.000205977,0.00020701,0.000118133,0.000339525,0.002883673,6.666666667,0.000384336,0.000349379,0.000152749,0.000700341,0.005380704,6.666666667,0.00075142,0.000751188,0.000440009,0.001276083,0.010519878,6.666666667,0.001127654,0.001078605,0.000448791,0.0025366,0.015787153,6.666666667,0.001401898,0.001111015,0.000663177,0.003348881,0.019626565,6.666666667,0.001025018,0.000860833,0.000425968,0.002084997,0.014350255,6.666666667,0.002513672,0.002160422,0.001166853,0.004361757,0.035191409,6.666666667,0.009431858,0.009290439,0.006257988,0.011554095,0.132046018,6.666666667,0.002933626,0.002890254,0.002538572,0.00347421,0.041070758,6.666666667,0.00116798,0.00112687,0.000926482,0.001537128,0.016351718,6.666666667
BEN.10_1,10,0.000627526,0.000624407,0.000438017,0.000860883,0.006275255,16.66666667,0.00041988,0.000397194,0.000302183,0.00062796,0.004198799,16.66666667,0.000301639,0.000267788,0.00022645,0.000456534,0.003016393,16.66666667,0.000346276,0.000313514,0.000167217,0.000535609,0.003462765,16.66666667,0.000374031,0.000251557,0.000144966,0.000708147,0.003740312,16.66666667,0.001575221,0.00118058,0.000555694,0.003766883,0.015752214,16.66666667,0.002415068,0.002329322,0.001006596,0.003900214,0.024150677,16.66666667,0.002087762,0.002168736,0.001050185,0.002681044,0.02087762,16.66666667,0.002736689,0.003005975,0.001229765,0.004018207,0.027366886,16.66666667,0.01186545,0.012186337,0.009389382,0.013669329,0.118654501,16.66666667,0.003983086,0.004198137,0.0029587,0.004477283,0.03983086,16.66666667,0.001485327,0.001551344,0.00118857,0.001584541,0.014853269,16.66666667
BEN.11_1,11,0.000377514,0.000339255,0.000178803,0.000695112,0.009437859,0,0.000238322,0.000227676,0.00010711,0.000430179,0.005958059,0,0.000180517,0.000180008,8.04E-05,0.000298429,0.004512925,0,0.00033791,0.000269754,0.000163634,0.000627621,0.008447751,0,0.00036242,0.000282581,0.000138253,0.00084471,0.009060488,0,0.001119814,0.001120208,0.000277675,0.001835308,0.027995354,0,0.00169484,0.001374716,0.000776717,0.003726732,0.042370998,0,0.001702297,0.001564489,0.00054356,0.00298029,0.04255743,0,0.002801593,0.002964405,0.001137956,0.004254377,0.070039832,0,0.008341872,0.007686429,0.005947364,0.013293142,0.208546796,0,0.003026998,0.002406347,0.001941412,0.004495266,0.075674941,0,0.001060803,0.000818968,0.000660699,0.001710504,0.02652007,0
BEN.12_1,12,0.000264866,0.00026285,0.000104865,0.000431205,0.011389253,0,0.000174101,0.000167639,6.90E-05,0.000265739,0.007486322,0,0.000152359,0.000132975,5.81E-05,0.000363589,0.006551457,0,0.000367468,0.000335172,0.000144801,0.000755177,0.015801127,0,0.000331752,0.000224073,8.37E-05,0.001044592,0.014265335,0,0.000608075,0.000572839,0.000242425,0.001247517,0.026147239,0,0.001029144,0.001044345,0.000397019,0.001569565,0.044253201,0,0.001082546,0.0010359,0.000276787,0.002264533,0.046549471,0,0.002246253,0.001786689,0.000632205,0.004656106,0.096588884,0,0.00608541,0.006176756,0.003135531,0.009119732,0.261672616,0,0.002072141,0.002100616,0.00103857,0.003929735,0.089102073,0,0.000771011,0.000795308,0.000516497,0.001367433,0.033153477,0
