adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,BEN.1_1,-1.656107826,-1.67733787,-1.924066795,-1.244896163,-354.4070747,0,-1.537964833,-1.574142643,-1.976833965,-0.983530026,-329.1244743,0,-0.354033948,-0.318973354,-1.202370934,0.407951704,-75.76326495,0,0.93162183,1.060434906,-0.080420149,1.522565908,199.3670716,0,1.951615058,2.013338908,1.384628666,2.177075166,417.6456224,0,1.867366921,1.919871954,1.383306232,2.117325836,399.6165212,0,1.547432406,1.588798,1.102429372,1.824058461,331.1505348,0,1.499303609,1.523171054,1.168050938,1.694514519,320.8509723,0,1.30928163,1.344686877,0.935530301,1.580305916,280.1862688,0,1.293057924,1.32824971,0.8853409,1.559101597,276.7143958,0,0.343166109,0.384131628,-0.317453737,0.729411922,73.4375473,0,-1.417951086,-1.421680545,-1.669775685,-1.018719373,-303.4415323,0
2,BEN.2_1,-1.18340025,-1.1372831,-1.770950736,-0.823939772,-197.6278418,0,-1.038166128,-0.929052776,-1.663841062,-0.731988089,-173.3737434,0,0.244223625,0.258981236,-0.356795417,0.771411586,40.78534535,0,1.37333766,1.208025673,0.965502539,2.331944989,229.3473891,0,1.744689464,1.66638423,1.200530888,2.656294049,291.3631405,0,1.682098033,1.590315282,1.135900936,2.570714423,280.9103715,0,1.401997037,1.320126601,0.877421706,2.192634354,234.1335051,0,1.48586191,1.385518814,0.992675212,2.239923425,248.1389389,0,0.998531543,0.974904637,0.61509763,1.559448702,166.7547677,0,0.97982063,0.948407386,0.630605331,1.481746508,163.6300452,0,0.307347402,0.344529531,-0.063040727,0.735170869,51.32701608,0,-0.982590091,-0.993496921,-1.607863931,-0.535374142,-164.0925452,0
3,BEN.3_1,1.613095491,1.328607296,1.06596803,3.114650903,41.94048278,0,1.729845876,1.45270373,1.16529531,3.260311284,44.97599277,0,1.987984392,1.683820623,1.357994654,3.62638348,51.6875942,0,1.941461196,1.66336405,1.326315149,3.499273174,50.47799109,0,1.489657967,1.273902279,0.962855862,2.794315633,38.73110715,0,1.511978029,1.297677336,1.023639279,2.813422052,39.31142875,0,1.686477327,1.443162608,1.210078421,3.042918446,43.84841049,0,1.939923092,1.662952085,1.39434599,3.460200004,50.43800039,0,1.413152373,1.177650115,0.958886469,2.664199809,36.7419617,0,1.020484566,0.829685181,0.63558976,2.067229592,26.53259871,0,1.119021855,0.888199748,0.675878548,2.324994087,29.09456823,0,1.083062305,0.838332998,0.608496623,2.388580328,28.15961994,0
4,BEN.4_1,-0.835506124,-0.894982173,-1.556740524,-0.016903891,-177.9628045,0,-0.460220296,-0.566867892,-1.161181406,0.428551451,-98.02692311,0,0.671816614,0.616381458,0.13694027,1.249199174,143.0969387,0,1.321365556,1.308081025,1.140795939,1.539180534,281.4508633,0,1.364078075,1.351660151,1.141772543,1.707663223,290.5486299,0,1.307609597,1.295692119,1.083972275,1.653431486,278.5208441,0,1.049510653,1.054467893,0.837783772,1.2805083,223.545769,0,1.163732267,1.170678465,0.971968496,1.385584886,247.8749729,0,0.846969682,0.8456191,0.659458143,1.094738112,180.4045424,0,0.815593961,0.804539581,0.637882699,1.173819061,173.7215137,0,0.33714515,0.294034582,0.046834204,0.753960067,71.81191688,0,-0.880147454,-0.933196643,-1.4375127,-0.326628614,-187.4714078,0
5,BEN.5_1,0.528233422,0.573720998,0.013307026,0.91393006,60.21861014,0,0.855839687,0.869451255,0.468059477,1.156053881,97.56572427,0,1.316375907,1.33764129,1.037311698,1.438724878,150.0668534,0,1.419451349,1.433778818,1.242209578,1.51517528,161.8174538,0,1.249914178,1.256554069,1.149230581,1.329093222,142.4902163,0,1.165738531,1.164384101,1.059662676,1.277864788,132.8941926,0,1.088418231,1.0945731,0.851663101,1.241985896,124.0796783,0,1.245537225,1.258494346,1.034914135,1.391951619,141.9912437,0,0.892237286,0.903693113,0.695167133,0.990801758,101.7150506,0,0.676692228,0.670092257,0.615699719,0.773762243,77.14291396,0,0.813255094,0.824106961,0.665838281,0.96944449,92.71108068,0,0.210261664,0.24229581,-0.284615311,0.595868379,23.96982971,0
6,BEN.6_1,-0.691593298,-0.851004473,-1.124866955,0.213523337,-62.93499013,0,-0.262738917,-0.413869774,-0.816383026,0.630370277,-23.90924144,0,0.709591953,0.628512729,0.361098454,1.236853056,64.57286769,0,1.192367565,1.188228081,0.998324486,1.409022624,108.5054484,0,1.176439842,1.160535918,1.00884501,1.390082461,107.0560256,0,1.106531431,1.088935868,0.936170582,1.347859677,100.6943602,0,0.85293513,0.845536422,0.686489651,1.010803902,77.61709678,0,0.992444206,0.983611986,0.819551615,1.176156863,90.31242273,0,0.650252043,0.640104164,0.479998805,0.855288074,59.17293591,0,0.632445119,0.638253175,0.491491156,0.753346273,57.55250579,0,0.328793082,0.276316184,-0.034994908,0.736272688,29.92017045,0,-0.757748808,-0.865000344,-1.207051464,-0.104414505,-68.95514155,0
7,BEN.7_1,1.143372902,1.161511534,0.99757949,1.255001765,19.43733933,0,1.305084896,1.298006738,1.253531088,1.380099024,22.18644324,0,1.505993515,1.48661367,1.465122781,1.598449849,25.60188976,0,1.517231341,1.50827898,1.454223263,1.605561114,25.79293279,0,1.211654533,1.225740436,1.105433226,1.314060908,20.59812706,0,1.216242953,1.226129474,1.146322544,1.281695964,20.6761302,0,1.311336505,1.295226767,1.275967003,1.392730294,22.29272059,0,1.529386857,1.519951207,1.476584454,1.613094584,25.99957657,0,1.038671379,1.021900661,1.006135583,1.109311625,17.65741344,0,0.744814638,0.738816173,0.703671058,0.801772307,12.66184885,0,0.856867586,0.86210599,0.760937644,0.95360319,14.56674896,0,0.749047306,0.748978172,0.697295183,0.795947383,12.73380421,0
8,BEN.8_1,3.114650903,3.114650903,3.114650903,3.114650903,3.114650903,,3.260311284,3.260311284,3.260311284,3.260311284,3.260311284,,3.62638348,3.62638348,3.62638348,3.62638348,3.62638348,,3.499273174,3.499273174,3.499273174,3.499273174,3.499273174,,2.794315633,2.794315633,2.794315633,2.794315633,2.794315633,,2.813422052,2.813422052,2.813422052,2.813422052,2.813422052,,3.042918446,3.042918446,3.042918446,3.042918446,3.042918446,,3.460200004,3.460200004,3.460200004,3.460200004,3.460200004,,2.664199809,2.664199809,2.664199809,2.664199809,2.664199809,,2.067229592,2.067229592,2.067229592,2.067229592,2.067229592,,2.324994087,2.324994087,2.324994087,2.324994087,2.324994087,,2.388580328,2.388580328,2.388580328,2.388580328,2.388580328,
9,BEN.9_1,1.301075009,1.199723343,1.062449841,1.967147365,18.21505013,6.666666667,1.427163453,1.326564278,1.168680563,2.134615694,19.98028834,6.666666667,1.608101786,1.489553714,1.348663204,2.326303246,22.51342501,6.666666667,1.575327046,1.463932376,1.31824217,2.271233822,22.05457865,6.666666667,1.169461817,1.078119462,0.950742516,1.756276712,16.37246544,6.666666667,1.236846617,1.14281954,1.021121037,1.836269715,17.31585264,6.666666667,1.419527115,1.304898526,1.207206572,2.034833968,19.87337961,6.666666667,1.65329212,1.549774099,1.400561014,2.33378163,23.14608968,6.666666667,1.151279437,1.032068215,0.949496421,1.768833105,16.11791212,6.666666667,0.805018448,0.714059383,0.630451592,1.329917735,11.27025827,6.666666667,0.829715759,0.734685561,0.653492801,1.351972859,11.61602063,6.666666667,0.802188486,0.715842343,0.596114208,1.377509071,11.23063881,6.666666667
10,BEN.10_1,1.677258225,1.43206357,1.092797903,2.806542648,16.77258225,16.66666667,1.774166933,1.510489852,1.194768755,2.927939592,17.74166933,16.66666667,2.091960912,1.807393978,1.48307315,3.316254765,20.91960912,16.66666667,2.030667423,1.744227368,1.492295428,3.179458564,20.30667423,16.66666667,1.561612694,1.305335136,1.128872233,2.523574032,15.61612694,16.66666667,1.591973501,1.327987089,1.150768697,2.57419483,15.91973501,16.66666667,1.758295581,1.507056963,1.263055996,2.79100819,17.58295581,16.66666667,2.014225687,1.746341022,1.441916732,3.164066474,20.14225687,16.66666667,1.486493818,1.270146539,1.028105755,2.422987534,14.86493818,16.66666667,1.072998043,0.868835906,0.734242339,1.8499625,10.72998043,16.66666667,1.209553989,1.015292176,0.746043972,2.114032034,12.09553989,16.66666667,1.152768453,0.964763861,0.610583687,2.131475993,11.52768453,16.66666667
11,BEN.11_1,1.064708903,1.072842318,0.880325853,1.375875759,26.61772257,0,1.225206861,1.206772889,1.112158752,1.452276885,30.63017152,0,1.513781867,1.489789009,1.419317497,1.767911253,37.84454668,0,1.551623223,1.521057171,1.427034198,1.712089846,38.79058057,0,1.22505418,1.256341808,1.06207846,1.349768821,30.62635451,0,1.183256955,1.172313276,1.092252171,1.299269093,29.58142388,0,1.290943749,1.27802687,1.205169921,1.476637167,32.27359372,0,1.45441251,1.433114779,1.364649635,1.713740945,36.36031276,0,1.037808846,1.020074815,0.977570546,1.226679177,25.94522115,0,0.729057916,0.715878465,0.689185415,0.819166519,18.2264479,0,0.860175845,0.892323017,0.704376387,0.974996399,21.50439612,0,0.645238121,0.631210817,0.553482741,0.923360747,16.13095302,0
12,BEN.12_1,1.140666738,1.165147419,0.83850309,1.381078752,49.04866974,0,1.346602605,1.373983536,1.125603084,1.559370216,57.90391202,0,1.601197287,1.62068738,1.394770508,1.802626069,68.85148334,0,1.64852632,1.664588723,1.440720277,1.855032997,70.88663178,0,1.347997842,1.347831142,1.231396242,1.49372587,57.96390719,0,1.301142513,1.297448225,1.164239113,1.438318526,55.94912806,0,1.362060337,1.390517991,1.154219268,1.531867308,58.56859448,0,1.56319454,1.58832693,1.340577654,1.750726876,67.21736521,0,1.072267532,1.090976178,0.891438376,1.212561113,46.10750389,0,0.778960279,0.792373954,0.654226264,0.884353747,33.49529199,0,0.95571763,0.950878603,0.82046148,1.050259652,41.09585809,0,0.741028077,0.756456408,0.552326035,0.861561387,31.86420731,0
