adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,BFA.1_1,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000155068,0,2.43E-06,5.58E-07,5.58E-07,3.05E-05,0.000674884,0,0.000138827,9.55E-05,2.62E-05,0.000521821,0.038593889,0,0.000650257,0.000604989,0.000175655,0.001638458,0.18077155,0,0.001305168,0.001186243,0.00055225,0.00229469,0.362836625,0,0.001845561,0.001834614,0.001379766,0.002460298,0.513065925,0,0.005483442,0.005088162,0.003187078,0.008888749,1.524396921,0,0.007958487,0.007703238,0.005854359,0.011179899,2.212459283,0,0.003587191,0.00367585,0.002285675,0.004997168,0.997239216,0,0.002863041,0.002936016,0.001193274,0.004677884,0.795925536,0,1.11E-05,4.62E-06,5.58E-07,6.33E-05,0.003095949,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000155068,0
2,BFA.2_1,1.03E-05,6.01E-06,5.58E-07,0.000111743,0.001549489,0,1.16E-05,9.09E-06,2.64E-06,4.48E-05,0.001738366,0,0.000628678,0.000530866,0.000302576,0.001658905,0.094301628,0,0.001116546,0.001090742,0.000572049,0.001930264,0.167481834,0,0.003248954,0.003250821,0.002819033,0.004029896,0.487343068,0,0.002195161,0.002144199,0.001476396,0.003218093,0.3292741,0,0.006633746,0.006544717,0.005293992,0.008282469,0.995061963,0,0.006731541,0.006589974,0.005463441,0.008685173,1.009731167,0,0.00580106,0.00557454,0.004338663,0.009227794,0.870159052,0,0.005372149,0.005349982,0.004294559,0.006785288,0.805822378,0,0.000125004,0.000118303,6.46E-05,0.000258236,0.018750612,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,8.37E-05,0
3,BFA.3_1,2.97E-06,2.43E-06,5.58E-07,1.11E-05,0.000356831,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,6.69E-05,0,0.000137733,0.000129407,6.67E-05,0.000284597,0.016527949,0,0.000282246,0.000246232,0.00013621,0.000666537,0.033869549,0,0.001581621,0.001615012,0.000706558,0.002070687,0.189794562,0,0.001693882,0.001675342,0.00142801,0.002067219,0.203265841,0,0.004189934,0.004420637,0.002371299,0.005437373,0.502792079,0,0.00599496,0.005992078,0.004627027,0.007603179,0.719395221,0,0.003532717,0.003646697,0.002192067,0.004216526,0.423925993,0,0.003089075,0.002910142,0.00212405,0.00454044,0.370688969,0,2.14E-05,1.79E-05,5.58E-07,8.11E-05,0.002572333,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,6.69E-05,0
4,BFA.4_1,5.58E-07,5.58E-07,5.58E-07,5.58E-07,8.76E-05,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,8.76E-05,0,9.23E-05,9.27E-05,3.36E-06,0.000219981,0.014489708,0,0.00015297,0.000153064,4.48E-05,0.000256755,0.024016214,0,0.000510448,0.000486087,0.000300182,0.000773496,0.08014028,0,0.001319667,0.001280799,0.00071817,0.002107858,0.207187729,0,0.00217412,0.002101334,0.00112384,0.003729566,0.34133678,0,0.005918005,0.005831364,0.00459753,0.008803283,0.929126788,0,0.001652007,0.001547235,0.001119682,0.002439674,0.25936503,0,0.001308246,0.00112994,0.000604406,0.00261074,0.205394547,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,8.76E-05,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,8.76E-05,0
5,BFA.5_1,6.33E-07,5.58E-07,5.58E-07,2.64E-06,0.000111332,0,5.67E-07,5.58E-07,5.58E-07,1.17E-06,9.98E-05,0,0.000339109,0.000356283,0.000109467,0.00056032,0.059683146,0,0.000542438,0.000564177,0.000116047,0.001423527,0.095469022,0,0.001588437,0.001571074,0.001073029,0.002518034,0.279564952,0,0.001824842,0.001848714,0.001167899,0.002440237,0.321172259,0,0.00605791,0.006216932,0.004424267,0.007141949,1.066192133,0,0.005982558,0.005875988,0.004946854,0.008057856,1.052930273,0,0.004080013,0.004074562,0.0031112,0.004687629,0.718082203,0,0.004168763,0.00424863,0.002672502,0.005516515,0.733702333,0,1.93E-05,1.82E-05,5.58E-07,9.08E-05,0.003393808,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,9.82E-05,0
6,BFA.6_1,1.56E-06,5.58E-07,5.58E-07,7.60E-06,0.000144901,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,5.19E-05,0,0.000154693,0.000155515,5.03E-05,0.000364745,0.014386495,0,0.000374467,0.000334782,0.000117395,0.000704045,0.034825462,0,0.001499098,0.001511861,0.00112127,0.001898229,0.139416119,0,0.001828304,0.001847074,0.001497646,0.002104498,0.170032245,0,0.005490232,0.005459454,0.004734378,0.006219872,0.51059157,0,0.005954368,0.00592106,0.004946564,0.006788255,0.553756178,0,0.00344236,0.003497537,0.002561868,0.004105333,0.320139451,0,0.003962549,0.004014302,0.002472367,0.005023896,0.368517055,0,3.00E-05,1.81E-05,1.13E-06,0.000108887,0.002793806,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,5.19E-05,0
7,BFA.7_1,5.58E-07,5.58E-07,5.58E-07,5.58E-07,1.12E-05,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,1.12E-05,0,0.000175231,0.00017359,0.000119763,0.000236993,0.003504616,0,0.000185106,0.00017952,0.000134816,0.000254049,0.003702129,0,0.001194011,0.001209948,0.000930983,0.001412924,0.02388023,0,0.002045483,0.002030136,0.001698962,0.002456336,0.040909666,0,0.00476499,0.004771997,0.004191477,0.005341624,0.095299795,0,0.006224583,0.006288672,0.005382506,0.00703827,0.124491664,0,0.002860456,0.00282774,0.002500169,0.003248168,0.057209119,0,0.003101907,0.003127881,0.002773936,0.003423336,0.062038148,0,1.06E-06,5.58E-07,5.58E-07,3.88E-06,2.13E-05,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,1.12E-05,0
8,BFA.8_1,1.15E-06,5.58E-07,5.58E-07,1.07E-05,0.000434806,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000211406,0,4.48E-05,4.33E-05,5.58E-07,0.000151567,0.016983907,0,0.000246986,0.000227727,4.57E-05,0.000691072,0.093607716,0,0.001308285,0.001161947,0.000412844,0.002764394,0.495840172,0,0.001754723,0.001731666,0.000947185,0.002760539,0.66503989,0,0.002922107,0.002871723,0.001097454,0.004513437,1.107478664,0,0.006406402,0.006397272,0.00467778,0.008010907,2.428026205,0,0.00259514,0.002565478,0.001517737,0.003805061,0.983557925,0,0.002646192,0.002512829,0.000943877,0.005754855,1.002906685,0,6.03E-06,2.59E-06,5.58E-07,5.59E-05,0.002283705,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000211406,0
9,BFA.9_1,7.50E-07,5.58E-07,5.58E-07,7.51E-06,0.000154599,0,6.07E-06,4.89E-06,5.58E-07,2.45E-05,0.001251033,0,0.00023096,0.000226043,5.42E-05,0.000477292,0.047577726,0,0.000990986,0.000948562,0.000502023,0.001701393,0.204143118,0,0.002515516,0.002451752,0.001277388,0.003837313,0.518196249,0,0.002230693,0.002330528,0.001237018,0.003344099,0.459522761,0,0.007429775,0.007336563,0.00572464,0.009283258,1.530533712,0,0.007884062,0.007935117,0.00595124,0.010341378,1.624116839,0,0.005089267,0.004801206,0.003779875,0.009179033,1.048389054,0,0.004194973,0.004201096,0.002896841,0.005693619,0.864164462,0,6.43E-05,5.34E-05,1.42E-05,0.000269121,0.013237023,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000114907,0
10,BFA.10_1,5.58E-07,5.58E-07,5.58E-07,5.58E-07,7.20E-05,0,7.58E-07,5.58E-07,5.58E-07,2.64E-06,9.77E-05,0,0.000137179,0.000117105,4.06E-05,0.000320061,0.017696125,0,0.000179768,0.000172888,9.35E-05,0.000360808,0.023190129,0,0.00071365,0.000705053,0.000330922,0.001194602,0.092060855,0,0.001337668,0.001352713,0.000536462,0.002176781,0.172559171,0,0.003198315,0.003249183,0.001765098,0.004752682,0.412582598,0,0.006201245,0.006146875,0.005076416,0.007589464,0.799960627,0,0.002365467,0.00235717,0.001396567,0.003680674,0.305145269,0,0.001294612,0.001179926,0.000316156,0.00288288,0.167004897,0,6.84E-07,5.58E-07,5.58E-07,6.91E-06,8.82E-05,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,7.20E-05,0
