GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BFA.1_1,1.0,1.784309783209992e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-08,4.960381197323778e-06,0.0,5.8218397792869296e-08,2.940621931287607e-08,1.7823344745912004e-08,7.971350160445603e-07,1.6184714586417663e-05,0.0,2.4587544668598124e-06,1.8978569650087445e-06,7.868443321150023e-07,6.2586169259600026e-06,0.0006835337417870277,0.0,6.959564428228167e-06,7.0810264477764755e-06,3.1991944271598783e-06,1.0684370783742817e-05,0.0019347589110474304,0.0,1.602394098273387e-05,1.6244663231632614e-05,6.774831080564132e-06,2.7428005577880608e-05,0.004454655593200017,0.0,2.244297376816816e-05,2.2399842016382973e-05,1.2958268866414662e-05,3.23948302878551e-05,0.006239146707550747,0.0,6.534109968748395e-05,6.199937104646219e-05,3.323953987958142e-05,0.0001103021239499302,0.018164825713120537,0.0,0.00011745464270001997,0.00011675589565166101,9.15439508683337e-05,0.0001432736024044998,0.032652390670605554,0.0,9.67485854426566e-05,9.84370155540362e-05,5.267227097683921e-05,0.00013628175551539775,0.02689610675305853,0.0,5.210468153879858e-05,4.966571646169426e-05,2.264305138775605e-05,8.902690725579139e-05,0.014485101467786003,0.0,1.2108145052642505e-06,7.291595812790759e-07,4.410932896936832e-08,5.658751773023567e-06,0.0003366064324634616,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,4.087464484489774e-06,0.0
BFA.2_1,2.0,2.008098107016324e-07,1.2398077238137494e-07,1.4703109656438035e-08,1.3555287897093023e-06,3.0121471605244872e-05,0.0,3.485418438797701e-07,2.75398139333657e-07,5.415759474435333e-08,1.3438214261381394e-06,5.228127658196551e-05,0.0,1.4957546939551835e-05,1.2492129898089293e-05,7.0224790373936215e-06,4.16754059960424e-05,0.002243632040932775,0.0,1.8420102949854597e-05,1.6156223006454e-05,1.0231173424248778e-05,3.977343085792992e-05,0.0027630154424781892,0.0,4.9290916266525764e-05,4.70763879129375e-05,3.2904685244825565e-05,7.969785637923725e-05,0.007393637439978864,0.0,4.375239013504451e-05,4.17594032522808e-05,2.4189743832818343e-05,7.766566131928346e-05,0.006562858520256678,0.0,0.00013139319324728148,0.00012638136917428558,0.00010333541718217544,0.00019865014303716886,0.019708978987092226,0.0,0.00015941618386388536,0.00015492296451555916,0.0001305942856778033,0.0002483591582686648,0.0239124275795828,0.0,0.0001489659257716939,0.00014364793123364331,0.00012340123595290474,0.00022992592777028837,0.022344888865754087,0.0,0.00014752890680328382,0.00014009409933531808,0.00010227613606011364,0.00027378506020870865,0.02212933602049257,0.0,1.3824968191813531e-05,1.2669150445948492e-05,7.765481767270584e-06,2.661571804938201e-05,0.0020737452287720296,0.0,1.543859840667289e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.8211468115522963e-08,2.315789761000933e-06,0.0
BFA.3_1,3.0,5.489155878980165e-08,3.794289468014579e-08,1.4703109656438035e-08,2.1550085915314455e-07,6.586987054776198e-06,0.0,2.9047867031773483e-08,2.940621931287607e-08,2.096097391837528e-08,3.332934410599099e-08,3.485744043812819e-06,0.0,2.5492602460400103e-06,2.361361867465759e-06,1.314629089779804e-06,5.073172104596276e-06,0.00030591122952480126,0.0,4.49802152427387e-06,4.167268796502778e-06,2.0811778215374144e-06,8.301785534570121e-06,0.0005397625829128644,0.0,1.6202856760331797e-05,1.6169427306222392e-05,1.198769883271468e-05,2.13518148918796e-05,0.001944342811239816,0.0,2.0559626221989216e-05,2.0401560871595553e-05,1.6889734150784213e-05,2.460435632206319e-05,0.002467155146638706,0.0,6.723805125253354e-05,7.074911938233241e-05,3.485551539596535e-05,8.785724288623009e-05,0.008068566150304025,0.0,0.00011145200998624229,0.00011314376176583201,9.129794015914692e-05,0.00012515505173751591,0.013374241198349077,0.0,8.679453496282004e-05,8.957083159996215e-05,5.967705156043425e-05,0.00010305115584912656,0.010415344195538408,0.0,6.241678941581438e-05,6.161734617222736e-05,3.692686481587852e-05,9.983056387535732e-05,0.007490014729897725,0.0,1.055618109972412e-06,9.161302797872044e-07,1.1171118025646999e-07,2.697966895215393e-06,0.00012667417319668943,0.0,1.4583377941709178e-08,1.4703109656438035e-08,7.389711927072865e-09,1.4703109656438035e-08,1.7500053530051015e-06,0.0
BFA.4_1,4.0,1.904703293646634e-08,1.753144994330791e-08,1.4703109656438035e-08,2.940621931287607e-08,2.9903841710252154e-06,0.0,2.8751475878029764e-08,2.940621931287607e-08,1.7701964257608336e-08,2.940621931287607e-08,4.513981712850673e-06,0.0,1.626118333844925e-06,1.7542139681064538e-06,6.406892015821686e-08,3.587800931382332e-06,0.00025530057841365315,0.0,2.6418482975356188e-06,2.5654012727594934e-06,1.1329635001468066e-06,4.115829661575028e-06,0.000414770182713092,0.0,6.947368779406962e-06,6.403190388545808e-06,3.5454088555214127e-06,1.1614856741783182e-05,0.0010907368983668932,0.0,1.3644452834138395e-05,1.330127452625057e-05,7.77206521756599e-06,2.044849828466465e-05,0.002142179094959728,0.0,2.974819547059872e-05,2.968775292776609e-05,1.4423672773716586e-05,4.768887643222718e-05,0.004670466688883997,0.0,8.613215480980509e-05,8.726833497337138e-05,5.855287559699181e-05,0.00011105732157757375,0.0135227483051394,0.0,4.156725688533829e-05,3.9025321104920383e-05,2.1161902063741903e-05,6.909786067436673e-05,0.006526059330998112,0.0,2.3526771135827344e-05,2.1912911702134343e-05,8.578300683441382e-06,4.1916903363861495e-05,0.003693703068324893,0.0,1.4334551883643785e-07,6.394337914391392e-08,1.4703109656438035e-08,9.948215169448918e-07,2.2505246457320747e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.3083882160607715e-06,0.0
BFA.5_1,5.0,1.716637850108875e-08,1.4703109656438035e-08,1.4703109656438035e-08,4.627870308813945e-08,3.0212826161916207e-06,0.0,2.9093807991481615e-08,2.940621931287607e-08,1.9221091031720044e-08,3.3709624790321016e-08,5.120510206500764e-06,0.0,5.69868498042855e-06,5.77237747849198e-06,1.9705232613887945e-06,1.0893491373201646e-05,0.0010029685565554247,0.0,6.97609333828489e-06,7.009109138387703e-06,2.630972908470655e-06,1.1207716195357947e-05,0.0012277924275381404,0.0,1.8894987896578282e-05,1.8805546998200096e-05,1.2371502293619687e-05,2.7082720142162475e-05,0.003325517869797777,0.0,2.361861890507891e-05,2.203852766858092e-05,1.7281370667523845e-05,3.501974687926297e-05,0.004156876927293889,0.0,8.150869125978087e-05,8.263226377549372e-05,3.868721276042694e-05,0.0001268930148658303,0.014345529661721434,0.0,0.00012623747148247713,0.00012560141185155991,9.140674955595405e-05,0.0001702288901528137,0.022217794980915976,0.0,0.00011747494108340967,0.00011873076197415366,7.732098139542329e-05,0.0001527262301384389,0.020675589630680103,0.0,8.060371870765546e-05,7.952678018980542e-05,4.205815099521361e-05,0.00012819756170056936,0.01418625449254736,0.0,1.7949586397971626e-06,1.444908368413496e-06,2.5544921000619697e-07,6.1401049687124234e-06,0.00031591272060430063,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.587747299533094e-06,0.0
BFA.6_1,6.0,3.155665032587501e-08,2.0399862083788757e-08,1.4703109656438035e-08,1.5444075246608946e-07,2.9347684803063763e-06,0.0,2.9477950765688484e-08,2.940621931287607e-08,2.940621931287607e-08,3.6077244424431115e-08,2.741449421209029e-06,0.0,3.099777007889442e-06,2.999992015652935e-06,1.1067676004080392e-06,6.079720145487801e-06,0.0002882792617337181,0.0,4.765227053694067e-06,4.6491630370799565e-06,2.0444713219087403e-06,8.350201914965884e-06,0.00044316611599354815,0.0,1.6778702399056854e-05,1.6760399988385314e-05,1.2779403548277915e-05,2.221003839657948e-05,0.0015604193231122873,0.0,2.1065880101155005e-05,2.088899298020357e-05,1.672123092085269e-05,2.984577108854293e-05,0.001959126849407416,0.0,8.300200619016923e-05,8.193371774826537e-05,5.594046809945789e-05,0.00011434378238980966,0.007719186575685737,0.0,0.00012067983698010756,0.00011949339255239622,0.00010112010989005976,0.00014842471844631245,0.011223224839150005,0.0,0.0001022131843255577,0.00010100375184813697,7.144236773473368e-05,0.00014474094185008298,0.009505826142276866,0.0,7.972358513935741e-05,7.955617328551312e-05,4.674430317329198e-05,0.00011467222737409858,0.007414293417960237,0.0,1.8539259375502518e-06,1.1762522173486782e-06,1.461726088720032e-07,5.5342459251612996e-06,0.00017241511219217342,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.3673891980487372e-06,0.0
BFA.7_1,7.0,2.1687449273277745e-08,2.1315415238667146e-08,1.4703109656438035e-08,2.794937197525506e-08,4.3374898546555493e-07,0.0,2.940621931287607e-08,2.940621931287607e-08,2.940621931287607e-08,2.940621931287607e-08,5.881243862575214e-07,0.0,2.55497880272242e-06,2.6257354022605698e-06,1.7238526270692158e-06,3.1313893012308832e-06,5.10995760544484e-05,0.0,3.0527073667019873e-06,2.928464133527573e-06,2.1666891740795e-06,4.149114322175774e-06,6.105414733403975e-05,0.0,1.4314041246097846e-05,1.431314141648327e-05,1.1696929079581967e-05,1.5900688939379676e-05,0.0002862808249219569,0.0,2.023656693748979e-05,2.0280483836726017e-05,1.782383986141883e-05,2.220909017139301e-05,0.00040473133874979576,0.0,5.531546323955853e-05,5.4776745844683756e-05,4.4820571799472084e-05,6.451274690733098e-05,0.0011063092647911703,0.0,9.890934335455556e-05,9.88155549643354e-05,8.98089768937715e-05,0.0001047885204097356,0.001978186867091111,0.0,8.256771585822038e-05,8.353488175340491e-05,7.261096255187601e-05,9.143861156864692e-05,0.0016513543171644074,0.0,5.09169935609871e-05,5.081636130363767e-05,4.425803793471776e-05,5.588752986561914e-05,0.001018339871219742,0.0,2.87228712948688e-07,2.7635388384793844e-07,1.0485335610725473e-07,5.963995775955126e-07,5.744574258973761e-06,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-07,0.0
BFA.8_1,8.0,2.7617521831518866e-08,1.5997873889319206e-08,1.4703109656438035e-08,2.428831262543792e-07,1.046704077414565e-05,0.0,2.9350178929386806e-08,2.940621931287607e-08,2.283845724216559e-08,2.940621931287607e-08,1.11237178142376e-05,0.0,7.517184720138922e-07,7.192048266449808e-07,1.8954871351033808e-08,2.2326957386193588e-06,0.00028490130089326517,0.0,3.0469626465809088e-06,2.7863138681634285e-06,7.28049268599487e-07,6.741507760257373e-06,0.0011547988430541645,0.0,1.4546392548355786e-05,1.4411117936872672e-05,4.707820683762362e-06,2.7455220040961184e-05,0.005513082775826844,0.0,2.2337654539432755e-05,2.1466170221458234e-05,9.356688919474935e-06,5.3126952052213296e-05,0.008465971070445014,0.0,4.542516055658048e-05,4.7607296436671705e-05,1.4984714920662107e-05,7.836411863420077e-05,0.017216135850944,0.0,0.00010601013175001613,0.00010597189261934902,6.597350331551047e-05,0.00014311697277796304,0.04017783993325611,0.0,6.729995564043599e-05,6.439293208869089e-05,2.95993410847942e-05,0.00011727046228915525,0.02550668318772524,0.0,4.8816443692176676e-05,4.2457811361882726e-05,1.710226358329621e-05,0.00010308146872133919,0.01850143215933496,0.0,6.256310296220277e-07,4.943689885509897e-07,2.940621931287607e-08,3.60279297186568e-06,0.00023711416022674847,0.0,1.466500511529227e-08,1.4703109656438035e-08,8.135347585727556e-09,1.4703109656438035e-08,5.5580369386957714e-06,0.0
BFA.9_1,9.0,2.3166287204977287e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4734495295251556e-07,4.772255164225321e-06,0.0,1.7464739367598485e-07,1.2499712068617046e-07,2.940621931287607e-08,8.57922242715636e-07,3.597736309725288e-05,0.0,4.341955968439881e-06,4.1087737350256105e-06,1.2959974098949807e-06,1.0430351851934863e-05,0.0008944429294986152,0.0,1.0527293255813375e-05,1.0136155725575495e-05,7.465415008157878e-06,1.64828677971608e-05,0.0021686224106975556,0.0,2.981565107188564e-05,2.810900247942745e-05,1.7866327872143638e-05,5.569787630245956e-05,0.0061420241208084425,0.0,3.0511571111602064e-05,2.836462301139889e-05,1.986110202840661e-05,5.948210920815264e-05,0.006285383648990025,0.0,0.00011045937414605982,0.00010910937815640749,8.645458234775193e-05,0.00014352914941524286,0.022754631074088327,0.0,0.00014617103045937532,0.00014440678339871523,0.00012698849326822815,0.00018364051199364805,0.030111232274631312,0.0,0.00013424366061197458,0.00012825496743722151,0.00011256069239304937,0.00017965856323725956,0.027654194086066758,0.0,9.564095019112168e-05,9.323209536089471e-05,6.49793388549812e-05,0.00013078821297730277,0.019702035739371064,0.0,5.6781121314826275e-06,5.220670396646603e-06,1.1586670785115734e-06,1.2353305974354054e-05,0.0011696910990854213,0.0,1.5683442842847186e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-08,3.23078922562652e-06,0.0
BFA.10_1,10.0,2.208852774168445e-08,2.2681632935086902e-08,1.4703109656438035e-08,2.940621931287607e-08,2.849420078677296e-06,0.0,3.23764322444848e-08,2.940621931287607e-08,1.7033592864714986e-08,9.307823705352814e-08,4.1765597595385395e-06,0.0,2.7083598340467803e-06,2.579028307363633e-06,7.127304058418241e-07,5.382369178756552e-06,0.00034937841859203464,0.0,3.534355295431075e-06,3.238612795307333e-06,1.7710232843127854e-06,8.368983700118333e-06,0.00045593183311060857,0.0,1.041967623482962e-05,1.0086502520796616e-05,4.070115626095875e-06,1.880531309231391e-05,0.0013441382342930213,0.0,1.722122952755874e-05,1.7797411627913337e-05,7.648346282710695e-06,2.532937741240113e-05,0.0022215386090550775,0.0,3.724115445186592e-05,3.811545857275637e-05,1.9287601890961066e-05,5.5458751115616844e-05,0.0048041089242907035,0.0,9.239908796257656e-05,9.634246648997808e-05,6.207120014093736e-05,0.00011832350991978456,0.011919482347172376,0.0,5.6579946991658425e-05,5.811584426635008e-05,2.544477506208667e-05,9.403256923743045e-05,0.007298813161923935,0.0,2.540017980732865e-05,2.387559034231636e-05,5.728503418277202e-06,5.314436653376533e-05,0.003276623195145397,0.0,3.615378873330376e-07,3.076510443133417e-07,1.572533445543716e-08,1.077759165539438e-06,4.663838746596185e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.8967011456805059e-06,0.0
