adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,BFA.1_1,-2.087671188,-2.111620796,-2.396786547,-1.784523964,-580.3725903,0,-1.930422254,-1.924043221,-2.186042486,-1.709875499,-536.6573866,0,-1.171021522,-1.215033262,-1.59773188,-0.770848351,-325.543983,0,0.04140191,-0.075889221,-0.846743882,1.335822829,11.50973092,0,1.828400775,1.842974089,1.353784787,2.087460194,508.2954154,0,2.28521932,2.313488092,2.047712635,2.46582728,635.290971,0,1.635540626,1.665301942,1.276056811,1.914730761,454.6802941,0,1.598662564,1.599303709,1.322406094,1.768532611,444.4281929,0,1.023126184,1.056457309,0.756073079,1.183473485,284.4290792,0,1.087318467,1.106472895,0.734592264,1.234888445,302.2745338,0,-0.763582575,-0.742981694,-1.411203814,0.209361958,-212.2759558,0,-1.713169115,-1.713346313,-2.150777853,-1.328838108,-476.2610141,0
2,BFA.2_1,-1.615087601,-1.628559998,-2.006621298,-1.167599646,-242.2631401,0,-1.090503921,-1.094325869,-1.551199072,-0.594978141,-163.5755882,0,0.063666762,0.088189093,-0.543629555,0.488273244,9.550014254,0,1.646733946,1.717714762,1.108219937,1.949173363,247.0100919,0,1.777505829,1.761842624,1.533122968,2.005097889,266.6258744,0,2.03091286,2.039775316,1.692249572,2.3534007,304.636929,0,1.35992249,1.343825148,0.976358094,1.625848535,203.9883735,0,1.444391877,1.42484164,0.976066797,1.759915995,216.6587815,0,0.713713865,0.730152068,0.382741098,0.934158096,107.0570798,0,0.728397754,0.730048,0.41216001,0.949033788,109.2596631,0,-0.027816506,0.083303533,-0.544883066,0.330050269,-4.172475845,0,-1.35222899,-1.326282162,-1.781888948,-0.8838142,-202.8343485,0
3,BFA.3_1,-1.954627483,-1.944581565,-2.262004405,-1.757663118,-234.5552979,0,-1.791360719,-1.778855097,-2.073273768,-1.586358269,-214.9632863,0,-0.548161564,-0.545378584,-1.212937677,0.161238643,-65.77938765,0,1.255071685,1.278481371,0.361799195,1.983069761,150.6086022,0,2.109013555,2.082206337,1.900418888,2.557853856,253.0816265,0,2.222290444,2.225095453,2.099563134,2.48004553,266.6748532,0,1.835431294,1.823455687,1.728127005,2.067854289,220.2517553,0,1.75351546,1.754122963,1.629923943,1.996477465,210.4218552,0,1.33978483,1.326447915,1.259278804,1.555032628,160.7741797,0,1.359300683,1.340900917,1.225763268,1.548966122,163.1160819,0,0.097908186,0.102607434,-0.489468932,0.524650308,11.74898233,0,-1.506643092,-1.477599882,-1.8918632,-1.260553662,-180.7971711,0
4,BFA.4_1,-1.920489133,-1.919259519,-2.158104138,-1.740971251,-301.5167938,0,-1.892452344,-1.900988074,-2.162448334,-1.693277804,-297.115018,0,-1.614834347,-1.652579527,-2.05000244,-1.215150013,-253.5289924,0,-0.419132966,-0.481108365,-1.009255363,0.30507185,-65.80387566,0,1.630876265,1.599547367,1.350776455,1.97286082,256.0475736,0,2.363976896,2.394437766,2.005057318,2.784350414,371.1443726,0,1.982279187,2.004632769,1.673296546,2.362701787,311.2178323,0,1.777952421,1.799524459,1.519887884,2.103063181,279.1385302,0,1.341503485,1.33600237,1.052574268,1.624464027,210.6160471,0,1.318796958,1.308798934,1.136602485,1.5323288,207.0511224,0,-0.961322855,-0.999106823,-1.41894535,-0.500584036,-150.9276883,0,-1.390981706,-1.396732132,-1.52291544,-1.159530592,-218.3841278,0
5,BFA.5_1,-1.931177879,-1.957724291,-2.186785753,-1.666977885,-339.8873067,0,-1.790830024,-1.789567473,-2.000798382,-1.581630003,-315.1860843,0,-0.884851216,-0.925670783,-1.198105871,-0.545769319,-155.733814,0,0.803199008,0.840127478,-0.071707452,1.499979469,141.3630255,0,1.873926348,1.920580186,1.510969315,2.128219626,329.8110372,0,2.191845903,2.229291619,1.942171567,2.393125195,385.7648789,0,1.614717508,1.629038656,1.48484927,1.749169666,284.1902814,0,1.622095321,1.63553437,1.45195426,1.776023732,285.4887766,0,1.064625373,1.077575483,0.937988399,1.227317268,187.3740657,0,1.102368384,1.105911345,0.970531837,1.237203701,194.0168357,0,-0.065081021,0.052390579,-0.735934824,0.338402249,-11.45425978,0,-1.437321562,-1.418600017,-1.793943366,-1.299427486,-252.9685949,0
6,BFA.6_1,-2.083790726,-2.091100987,-2.216061851,-1.821856722,-193.7925375,0,-1.924419452,-1.93165338,-2.029280042,-1.712891229,-178.971009,0,-0.77490692,-0.793331811,-1.038703639,-0.158080927,-72.06634357,0,1.100604314,1.123303691,0.556600731,1.790570304,102.3562012,0,2.006394352,2.023556991,1.749194713,2.221354396,186.5946747,0,2.322276987,2.344540383,2.113079542,2.434396822,215.9717598,0,1.750717354,1.757859382,1.581687044,1.899690257,162.8167139,0,1.699723985,1.699006635,1.578904671,1.824183632,158.0743306,0,1.263532298,1.278628087,1.073553775,1.410546671,117.5085037,0,1.283166439,1.297595577,1.096865352,1.388771415,119.3344788,0,0.114577065,0.208460941,-0.349970699,0.370997155,10.65566706,0,-1.522681514,-1.519864366,-1.663539596,-1.411037946,-141.6093808,0
7,BFA.7_1,-1.797934764,-1.787244917,-1.872392493,-1.76287118,-35.95869529,0,-1.687486719,-1.675070387,-1.756787455,-1.660569479,-33.74973437,0,-1.041845025,-1.034408587,-1.136513641,-0.982559888,-20.83690051,0,0.457915195,0.459566667,0.210413375,0.663032266,9.158303901,0,1.72842477,1.708841664,1.608979648,1.918161124,34.5684954,0,2.091563913,2.079199014,2.038286528,2.211885567,41.83127827,0,1.58252817,1.5630725,1.542350723,1.707483725,31.6505634,0,1.563502399,1.554910891,1.510321939,1.648233729,31.27004797,0,1.078084905,1.069628814,0.996825671,1.225196131,21.5616981,0,1.144747968,1.127395243,1.094868824,1.25971661,22.89495936,0,-0.449266137,-0.453236682,-0.573541602,-0.291422944,-8.985322734,0,-1.499125667,-1.50171743,-1.520284222,-1.479252408,-29.98251335,0
8,BFA.8_1,-1.990895071,-1.986039519,-2.33245345,-1.469004244,-754.5492319,0,-1.949029833,-1.948716943,-2.244408826,-1.455677733,-738.6823065,0,-1.075454111,-1.255470882,-1.824157712,0.377442188,-407.5971082,0,0.67496395,0.594942637,-0.546478527,2.232022954,255.8113369,0,2.231992607,2.270958474,1.712653428,2.681911711,845.9251982,0,2.303819902,2.34245087,1.879353665,2.709449906,873.1477429,0,2.036383137,2.069421649,1.594331975,2.315717499,771.7892088,0,1.908899536,1.935948037,1.553419834,2.191675735,723.4729242,0,1.532195567,1.535023668,1.180593336,1.782155995,580.7021201,0,1.500032764,1.522462746,1.255961743,1.709664775,568.5124176,0,-0.308659558,-0.427502167,-1.011676837,0.684391695,-116.9819725,0,-1.646257184,-1.673968671,-2.029454472,-1.047439855,-623.9314727,0
9,BFA.9_1,-1.924140931,-1.925123699,-2.254937851,-1.545101287,-396.3730318,0,-1.586395934,-1.561972779,-2.025217552,-1.171899781,-326.7975625,0,-0.630647077,-0.612356565,-1.182923667,-0.129538098,-129.9132979,0,1.030628232,1.088379704,0.145979381,1.710655035,212.3094158,0,1.921832123,1.976752953,1.639193511,2.084285081,395.8974173,0,2.246541683,2.277842019,1.985239003,2.453573527,462.7875867,0,1.437209828,1.463851307,1.180812748,1.643930935,296.0652245,0,1.509217757,1.537468847,1.188751587,1.768117893,310.8988579,0,0.852329677,0.869871091,0.553214401,1.044605015,175.5799135,0,0.849170768,0.853315259,0.569808765,1.07570289,174.9291782,0,-0.30901306,-0.269977534,-0.907998792,0.19593452,-63.65669031,0,-1.500721601,-1.554898636,-1.988024196,-0.873548594,-309.1486498,0
10,BFA.10_1,-1.916635141,-1.878659232,-2.278700686,-1.716442488,-247.2459332,0,-1.877212916,-1.828469669,-2.279189189,-1.639504407,-242.1604662,0,-1.557124446,-1.533996586,-2.037280811,-1.139833838,-200.8690535,0,-0.68082919,-0.681410768,-1.339916084,0.049740754,-87.82696546,0,1.467786878,1.470876103,1.240596956,1.656994964,189.3445073,0,2.297565833,2.26834045,1.918893106,2.977629234,296.3859925,0,1.902597436,1.872364549,1.538051632,2.537391387,245.4350693,0,1.715943748,1.681401471,1.442980715,2.255610615,221.3567436,0,1.18394195,1.148455576,0.974514392,1.558632345,152.7285116,0,1.13843993,1.139841238,0.956331054,1.323138392,146.858751,0,-1.114156415,-1.116302146,-1.607208411,-0.621779522,-143.7261775,0,-1.387349168,-1.38276018,-1.584952655,-1.288065144,-178.9680427,0
11,BFA.11_1,-1.805453838,-1.80409083,-1.998137785,-1.707599059,-129.9926763,0,-1.71144035,-1.719687832,-1.836360695,-1.613909322,-123.2237052,0,-1.134901562,-1.139180127,-1.343532071,-0.894489331,-81.71291246,0,0.328764002,0.33614157,-0.160976212,0.893860535,23.67100813,0,1.742769536,1.76541006,1.39774549,2.081974588,125.4794066,0,2.091854303,2.09558734,1.915470787,2.324908365,150.6135099,0,1.655284782,1.664851364,1.514634836,1.803741127,119.1805043,0,1.571844177,1.58417315,1.443358419,1.708715553,113.1727807,0,1.154146624,1.18198726,0.945207389,1.305183449,83.0985569,0,1.1766948,1.173747282,1.040223295,1.359491879,84.72202558,0,-0.469555871,-0.514318214,-0.661584685,-0.027683798,-33.80802272,0,-1.445361137,-1.455347427,-1.523755164,-1.341718615,-104.0660019,0
12,BFA.12_1,-2.053348646,-2.066611591,-2.327165985,-1.737275062,-601.6311534,0,-2.096764712,-2.129737853,-2.438265293,-1.725750284,-614.3520607,0,-1.98786942,-2.046601939,-2.346577786,-1.431918586,-582.44574,0,-1.014450396,-1.106738972,-1.753311057,0.013839357,-297.2339659,0,1.464447167,1.427554437,0.718769948,2.117300248,429.0830198,0,2.752567773,2.837467053,2.194986466,3.007969942,806.5023575,0,2.414507328,2.454905395,2.016821331,2.681447187,707.450647,0,2.119631026,2.180887941,1.717007018,2.393403629,621.0518905,0,1.672064535,1.682538391,1.25371971,1.988992423,489.9149088,0,1.461522479,1.442268636,1.172473231,1.768054083,428.2260864,0,-1.342050207,-1.43927511,-2.111235979,-0.588111039,-393.2207106,0,-1.268516687,-1.281450205,-1.525185521,-1.051133065,-371.6753893,0
13,BFA.13_1,-1.662111164,-1.672740988,-2.132247743,-1.050523662,-222.7228959,0,-1.269517573,-1.253047494,-1.846633537,-0.736792247,-170.1153548,0,-0.030109958,0.037681719,-0.770900642,0.620311556,-4.034734417,0,1.719307987,1.734214232,1.385853784,1.965964629,230.3872702,0,1.974500875,1.984333702,1.637615183,2.096579981,264.5831172,0,2.189984799,2.186853201,1.825983355,2.356022824,293.4579631,0,1.567694123,1.568339241,1.346709701,1.64629345,210.0710125,0,1.702347749,1.71344935,1.454586037,1.791772937,228.1145984,0,0.943331129,0.940941369,0.771517911,1.079701398,126.4063712,0,0.922385775,0.930423614,0.743249254,1.057756083,123.5996938,0,0.351713144,0.342969811,0.144010603,0.654428459,47.1295613,0,-1.218648658,-1.222541456,-1.537319029,-0.76630453,-163.2989202,0
