adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,BWA.1_1,-0.003469135,-0.003511435,-0.006778518,-0.001585454,-4.242752602,0,-0.00322439,-0.003142591,-0.00656751,-0.001829686,-3.94342877,0,-0.001331703,-0.001031269,-0.006990215,-0.00023452,-1.628673251,0,-0.001101465,-0.000853236,-0.005708956,-0.000327674,-1.347092296,0,-0.000431279,-0.000129805,-0.00514183,-2.69E-05,-0.527454454,0,-0.000273304,-7.05E-05,-0.003305186,-1.71E-05,-0.334250573,0,-0.000247302,-5.91E-05,-0.002928934,-1.27E-05,-0.302450752,0,-0.000260182,-6.33E-05,-0.002886309,-1.46E-05,-0.318202881,0,-0.000377534,-8.99E-05,-0.004754819,-2.35E-05,-0.461724433,0,-0.000514357,-0.000255297,-0.005063248,-4.69E-05,-0.629058059,0,-0.001924911,-0.001713887,-0.00640803,-0.001016846,-2.354166309,0,-0.002552617,-0.002328596,-0.007046619,-0.001572406,-3.121850137,0
2,BWA.2_1,-0.004093225,-0.004134179,-0.0046625,-0.003382585,-0.744966953,0,-0.003836467,-0.003782431,-0.004589633,-0.003012325,-0.698236955,0,-0.002130993,-0.002138609,-0.003099056,-0.000840808,-0.387840792,0,-0.001941894,-0.002007332,-0.002410468,-0.000911468,-0.353424703,0,-0.000765008,-0.000769356,-0.001150108,-0.00018991,-0.139231445,0,-0.000371132,-0.000372762,-0.000601367,-0.000124596,-0.067545959,0,-0.00031388,-0.000318613,-0.000551742,-0.000122899,-0.057126148,0,-0.000291301,-0.000293089,-0.000503859,-0.000136312,-0.05301685,0,-0.000306617,-0.000307887,-0.000636107,-0.000155745,-0.055804213,0,-0.000406168,-0.000396995,-0.000736728,-0.000260054,-0.073922624,0,-0.002193612,-0.002200602,-0.002861793,-0.001526866,-0.399237469,0,-0.00240192,-0.002414265,-0.002850422,-0.002022654,-0.437149452,0
3,BWA.3_1,-0.002096233,-0.002096233,-0.002096233,-0.002096233,-0.002096233,,-0.003603437,-0.003603437,-0.003603437,-0.003603437,-0.003603437,,-0.001585858,-0.001585858,-0.001585858,-0.001585858,-0.001585858,,-0.000645112,-0.000645112,-0.000645112,-0.000645112,-0.000645112,,-0.000137909,-0.000137909,-0.000137909,-0.000137909,-0.000137909,,-8.39E-05,-8.39E-05,-8.39E-05,-8.39E-05,-8.39E-05,,-5.87E-05,-5.87E-05,-5.87E-05,-5.87E-05,-5.87E-05,,-5.53E-05,-5.53E-05,-5.53E-05,-5.53E-05,-5.53E-05,,-7.39E-05,-7.39E-05,-7.39E-05,-7.39E-05,-7.39E-05,,-0.000359552,-0.000359552,-0.000359552,-0.000359552,-0.000359552,,-0.001848295,-0.001848295,-0.001848295,-0.001848295,-0.001848295,,-0.002368637,-0.002368637,-0.002368637,-0.002368637,-0.002368637,
4,BWA.4_1,-0.002933039,-0.002933039,-0.003059761,-0.002806318,-0.005866079,0,-0.001797412,-0.001797412,-0.001875434,-0.00171939,-0.003594824,0,-0.00053089,-0.00053089,-0.00054713,-0.00051465,-0.00106178,0,-0.000844505,-0.000844505,-0.000854355,-0.000834655,-0.001689009,0,-9.86E-05,-9.86E-05,-0.0001092,-8.80E-05,-0.00019722,0,-4.91E-05,-4.91E-05,-5.25E-05,-4.57E-05,-9.82E-05,0,-4.29E-05,-4.29E-05,-4.52E-05,-4.05E-05,-8.58E-05,0,-5.07E-05,-5.07E-05,-5.31E-05,-4.84E-05,-0.000101489,0,-0.000111339,-0.000111339,-0.000111422,-0.000111257,-0.000222679,0,-0.00011653,-0.00011653,-0.000123895,-0.000109166,-0.000233061,0,-0.002394882,-0.002394882,-0.00243303,-0.002356734,-0.004789763,0,-0.003309809,-0.003309809,-0.003336683,-0.003282936,-0.006619619,0
5,BWA.5_1,-0.002781278,-0.002953271,-0.004128525,-0.001019271,-2.628308087,0,-0.002768242,-0.002750954,-0.003689725,-0.00200808,-2.615988532,0,-0.000676936,-0.000636925,-0.00142781,-0.000241041,-0.63970423,0,-0.001021482,-0.001026266,-0.001473729,-0.000538537,-0.96530002,0,-0.00011838,-0.000119389,-0.000256632,-2.50E-05,-0.111869043,0,-6.55E-05,-6.38E-05,-0.0001708,-1.26E-05,-0.061888012,0,-6.28E-05,-6.06E-05,-0.000162178,-1.27E-05,-0.059300683,0,-7.60E-05,-7.42E-05,-0.000196464,-1.74E-05,-0.071792972,0,-9.20E-05,-8.84E-05,-0.000244381,-2.28E-05,-0.08697955,0,-0.000141751,-0.000136473,-0.000326147,-4.41E-05,-0.133954468,0,-0.000995106,-0.001069207,-0.00165442,-0.000261561,-0.940375463,0,-0.002443769,-0.002416544,-0.003390882,-0.001382803,-2.309362111,0
6,BWA.6_1,-0.002661569,-0.002661569,-0.002661569,-0.002661569,-0.002661569,,-0.002292085,-0.002292085,-0.002292085,-0.002292085,-0.002292085,,-0.000465751,-0.000465751,-0.000465751,-0.000465751,-0.000465751,,-0.001813878,-0.001813878,-0.001813878,-0.001813878,-0.001813878,,-0.000256416,-0.000256416,-0.000256416,-0.000256416,-0.000256416,,-5.42E-05,-5.42E-05,-5.42E-05,-5.42E-05,-5.42E-05,,-3.52E-05,-3.52E-05,-3.52E-05,-3.52E-05,-3.52E-05,,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,,-5.29E-05,-5.29E-05,-5.29E-05,-5.29E-05,-5.29E-05,,-9.92E-05,-9.92E-05,-9.92E-05,-9.92E-05,-9.92E-05,,-0.001664299,-0.001664299,-0.001664299,-0.001664299,-0.001664299,,-0.003029364,-0.003029364,-0.003029364,-0.003029364,-0.003029364,
7,BWA.7_1,-0.000845536,-0.000744112,-0.00262451,-0.000228507,-0.733925155,0,-0.001792839,-0.001894297,-0.002737452,-0.000729431,-1.556184657,0,-0.000371937,-0.000391231,-0.000701702,-0.000100224,-0.322841415,0,-0.000912548,-0.000942344,-0.00225284,-0.000123376,-0.792091843,0,-0.00018269,-0.000103997,-0.000996077,-3.32E-05,-0.158574961,0,-6.01E-05,-5.23E-05,-0.000208395,-1.46E-05,-0.052128915,0,-4.96E-05,-4.84E-05,-0.000171662,-9.30E-06,-0.043078968,0,-6.52E-05,-6.61E-05,-0.000244749,-1.20E-05,-0.056601045,0,-8.20E-05,-8.44E-05,-0.000302841,-1.54E-05,-0.07119862,0,-0.000130463,-0.000130416,-0.000381054,-2.77E-05,-0.113242244,0,-0.000398703,-0.000393109,-0.001373525,-5.07E-05,-0.346073831,0,-0.00221242,-0.002292368,-0.003210875,-0.000620987,-1.92038093,0
8,BWA.8_1,-0.003175036,-0.003134215,-0.003797698,-0.002958779,-0.203202332,0,-0.001922332,-0.001913065,-0.002272301,-0.001608141,-0.123029218,0,-0.000253142,-0.00023961,-0.000498885,-0.000173457,-0.016201109,0,-0.000782066,-0.000770146,-0.001077267,-0.000582858,-0.050052213,0,-8.68E-05,-8.34E-05,-0.000182755,-4.44E-05,-0.005558134,0,-3.13E-05,-2.76E-05,-0.000100842,-1.42E-05,-0.00200102,0,-2.04E-05,-1.79E-05,-8.56E-05,-8.60E-06,-0.001307991,0,-2.36E-05,-2.04E-05,-9.88E-05,-1.28E-05,-0.001507709,0,-5.23E-05,-4.74E-05,-0.000166422,-2.07E-05,-0.003345253,0,-0.000138359,-0.000138032,-0.000238416,-7.88E-05,-0.008854956,0,-0.002207523,-0.002277559,-0.00252608,-0.001570992,-0.141281486,0,-0.00312873,-0.003169113,-0.003377362,-0.002737861,-0.200238707,0
9,BWA.9_1,-0.002982762,-0.003143354,-0.003617472,-0.001856546,-0.95448378,0,-0.002096721,-0.002082898,-0.002609994,-0.001361427,-0.670950603,0,-0.000377066,-0.000374435,-0.000743923,-0.000173996,-0.120661192,0,-0.0014046,-0.001446689,-0.001769036,-0.000818376,-0.449472018,0,-0.000129848,-0.000117207,-0.000328758,-3.09E-05,-0.04155146,0,-2.86E-05,-2.54E-05,-0.000114659,-1.24E-05,-0.009157161,0,-2.01E-05,-1.59E-05,-9.36E-05,-8.52E-06,-0.00644645,0,-2.58E-05,-2.01E-05,-0.000119895,-1.26E-05,-0.00826182,0,-3.71E-05,-2.76E-05,-0.000151667,-1.86E-05,-0.011885446,0,-7.66E-05,-6.74E-05,-0.000216886,-4.33E-05,-0.024498195,0,-0.001420763,-0.001327603,-0.002401944,-0.00060994,-0.454644102,0,-0.00271239,-0.002638429,-0.003481657,-0.002090662,-0.867964934,0
10,BWA.10_1,-0.002676471,-0.002676471,-0.002676471,-0.002676471,-0.002676471,,-0.002135596,-0.002135596,-0.002135596,-0.002135596,-0.002135596,,-0.000740162,-0.000740162,-0.000740162,-0.000740162,-0.000740162,,-0.001160767,-0.001160767,-0.001160767,-0.001160767,-0.001160767,,-0.0001752,-0.0001752,-0.0001752,-0.0001752,-0.0001752,,-2.78E-05,-2.78E-05,-2.78E-05,-2.78E-05,-2.78E-05,,-1.78E-05,-1.78E-05,-1.78E-05,-1.78E-05,-1.78E-05,,-2.41E-05,-2.41E-05,-2.41E-05,-2.41E-05,-2.41E-05,,-4.41E-05,-4.41E-05,-4.41E-05,-4.41E-05,-4.41E-05,,-0.000183892,-0.000183892,-0.000183892,-0.000183892,-0.000183892,,-0.002435718,-0.002435718,-0.002435718,-0.002435718,-0.002435718,,-0.003414466,-0.003414466,-0.003414466,-0.003414466,-0.003414466,
