adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,BWA.1_1,0.002817243,0.002728494,0.001391981,0.005403456,3.445487882,0,0.003850004,0.00373564,0.001752321,0.007215656,4.708554819,0,8.90E-05,8.58E-05,2.69E-06,0.000287346,0.108787282,0,0.000624086,0.000593656,0.000237685,0.001716784,0.763256615,0,4.69E-06,2.64E-06,5.58E-07,3.32E-05,0.005729962,0,4.55E-06,6.38E-07,5.58E-07,2.56E-05,0.005558543,0,1.49E-06,5.58E-07,5.58E-07,1.42E-05,0.001819594,0,4.99E-06,5.58E-07,5.58E-07,5.93E-05,0.00610175,0,2.17E-05,1.31E-05,5.58E-07,0.000140599,0.026548715,0,0.000173885,0.000172937,5.77E-06,0.000428787,0.212661792,0,0.001666559,0.001588734,0.000630935,0.002989409,2.038201497,0,0.002383804,0.002362081,0.001072875,0.004584171,2.915392776,0
2,BWA.2_1,0.004881089,0.004966958,0.002987496,0.006121606,0.888358165,0,0.005682839,0.005379664,0.002860812,0.01024543,1.034276772,0,9.97E-05,9.96E-05,3.67E-05,0.000166167,0.018144075,0,0.001758192,0.001688232,0.000669389,0.002880474,0.319990943,0,1.23E-06,5.58E-07,5.58E-07,4.73E-06,0.000223498,0,6.11E-07,5.58E-07,5.58E-07,2.64E-06,0.000111278,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.00010152,0,8.15E-07,5.58E-07,5.58E-07,6.78E-06,0.000148365,0,7.68E-06,6.68E-06,5.58E-07,2.46E-05,0.00139696,0,0.000158868,0.000155858,8.36E-05,0.000239444,0.028913922,0,0.002517282,0.002561712,0.001518286,0.003129707,0.458145252,0,0.002188444,0.002147505,0.001888165,0.002631898,0.398296827,0
3,BWA.3_1,0.001829028,0.001829028,0.001829028,0.001829028,0.001829028,,0.00608287,0.00608287,0.00608287,0.00608287,0.00608287,,0.000150694,0.000150694,0.000150694,0.000150694,0.000150694,,0.000328564,0.000328564,0.000328564,0.000328564,0.000328564,,5.58E-07,5.58E-07,5.58E-07,5.58E-07,5.58E-07,,2.11E-05,2.11E-05,2.11E-05,2.11E-05,2.11E-05,,2.64E-06,2.64E-06,2.64E-06,2.64E-06,2.64E-06,,7.30E-06,7.30E-06,7.30E-06,7.30E-06,7.30E-06,,2.76E-05,2.76E-05,2.76E-05,2.76E-05,2.76E-05,,0.00037565,0.00037565,0.00037565,0.00037565,0.00037565,,0.00191172,0.00191172,0.00191172,0.00191172,0.00191172,,0.002623716,0.002623716,0.002623716,0.002623716,0.002623716,
4,BWA.4_1,0.001374514,0.001374514,0.001262818,0.00148621,0.002749028,0,0.001764252,0.001764252,0.001689044,0.00183946,0.003528505,0,0.000305085,0.000305085,0.00027727,0.0003329,0.00061017,0,0.000804546,0.000804546,0.000793933,0.000815159,0.001609092,0,2.29E-05,2.29E-05,1.89E-05,2.68E-05,4.58E-05,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,1.12E-06,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,1.12E-06,0,3.96E-06,3.96E-06,3.19E-06,4.73E-06,7.92E-06,0,5.24E-05,5.24E-05,4.83E-05,5.66E-05,0.000104895,0,6.09E-05,6.09E-05,5.71E-05,6.47E-05,0.00012177,0,0.002518891,0.002518891,0.002467393,0.002570389,0.005037782,0,0.004418574,0.004418574,0.004398569,0.004438579,0.008837148,0
5,BWA.5_1,0.001501656,0.001559369,0.000180385,0.002868289,1.419065046,0,0.002831539,0.002862502,0.001967883,0.003839363,2.675804038,0,0.000143058,0.000122233,3.34E-05,0.000428152,0.135189454,0,0.000905109,0.000890399,0.000447196,0.001525429,0.855328022,0,2.31E-06,5.58E-07,5.58E-07,3.45E-05,0.002187586,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000527121,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000527121,0,5.66E-07,5.58E-07,5.58E-07,2.16E-06,0.000535044,0,2.58E-06,5.58E-07,5.58E-07,2.95E-05,0.002442207,0,5.67E-05,5.16E-05,4.73E-06,0.000149804,0.053577498,0,0.000965378,0.001046004,0.000207055,0.001672792,0.912281738,0,0.002760748,0.002645366,0.001283798,0.004681613,2.608906712,0
6,BWA.6_1,0.001660456,0.001660456,0.001660456,0.001660456,0.001660456,,0.002398666,0.002398666,0.002398666,0.002398666,0.002398666,,0.000246896,0.000246896,0.000246896,0.000246896,0.000246896,,0.0020589,0.0020589,0.0020589,0.0020589,0.0020589,,2.86E-05,2.86E-05,2.86E-05,2.86E-05,2.86E-05,,5.58E-07,5.58E-07,5.58E-07,5.58E-07,5.58E-07,,5.58E-07,5.58E-07,5.58E-07,5.58E-07,5.58E-07,,3.09E-06,3.09E-06,3.09E-06,3.09E-06,3.09E-06,,6.71E-06,6.71E-06,6.71E-06,6.71E-06,6.71E-06,,6.71E-05,6.71E-05,6.71E-05,6.71E-05,6.71E-05,,0.001652151,0.001652151,0.001652151,0.001652151,0.001652151,,0.003990967,0.003990967,0.003990967,0.003990967,0.003990967,
7,BWA.7_1,0.000379031,0.000283487,0.000128763,0.001434585,0.328999129,0,0.00202598,0.002196053,0.000654871,0.003457468,1.758550615,0,0.000172049,0.000159547,2.94E-05,0.000500019,0.149338678,0,0.001035202,0.000959836,0.00011443,0.00370444,0.898555458,0,1.56E-05,1.09E-05,5.58E-07,7.07E-05,0.013506922,0,6.08E-07,5.58E-07,5.58E-07,2.64E-06,0.000527469,0,5.62E-07,5.58E-07,5.58E-07,2.00E-06,0.000487417,0,1.85E-06,5.58E-07,5.58E-07,2.43E-05,0.001606316,0,6.54E-06,4.73E-06,5.58E-07,2.80E-05,0.005674609,0,5.09E-05,4.04E-05,5.59E-06,0.000190628,0.044163331,0,0.000348483,0.000324123,2.15E-05,0.001390315,0.302483211,0,0.003258588,0.00349318,0.000765234,0.004799289,2.828454502,0
8,BWA.8_1,0.001668298,0.001626214,0.001472442,0.00244418,0.106771059,0,0.001823208,0.001810744,0.001499879,0.002296822,0.116685285,0,0.000115354,0.000101099,5.30E-05,0.000239201,0.007382661,0,0.000785664,0.000771748,0.00059249,0.001084748,0.050282487,0,5.25E-05,5.09E-05,9.91E-06,9.13E-05,0.00335884,0,6.19E-07,5.58E-07,5.58E-07,2.64E-06,3.96E-05,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,3.57E-05,0,2.10E-06,2.64E-06,5.58E-07,4.48E-06,0.000134587,0,2.88E-05,2.80E-05,6.23E-06,5.22E-05,0.001845789,0,0.000117625,0.000123781,5.24E-05,0.000215995,0.007528025,0,0.002380636,0.002415065,0.001670167,0.002775821,0.152360728,0,0.003726134,0.003798543,0.002997835,0.004236846,0.238472599,0
9,BWA.9_1,0.001831285,0.001862539,0.000834961,0.002674831,0.586011242,0,0.002073303,0.002091055,0.001295041,0.00268321,0.663456908,0,0.000190932,0.000167985,5.51E-05,0.00041648,0.061098119,0,0.001497401,0.001544763,0.000810706,0.001945061,0.479168463,0,1.28E-05,9.13E-06,2.64E-06,5.87E-05,0.004100859,0,1.27E-06,5.58E-07,5.58E-07,6.82E-06,0.000405731,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,0.000178496,0,1.77E-06,6.52E-07,5.58E-07,6.82E-06,0.000565983,0,1.12E-05,8.90E-06,1.92E-06,6.32E-05,0.003588017,0,6.50E-05,6.07E-05,2.79E-05,0.000163388,0.020802751,0,0.001457485,0.00133077,0.000611165,0.002622227,0.466395355,0,0.003294319,0.002982238,0.0022701,0.005202531,1.054181944,0
10,BWA.10_1,0.001748041,0.001748041,0.001748041,0.001748041,0.001748041,,0.002445598,0.002445598,0.002445598,0.002445598,0.002445598,,0.000443806,0.000443806,0.000443806,0.000443806,0.000443806,,0.001289872,0.001289872,0.001289872,0.001289872,0.001289872,,2.03E-05,2.03E-05,2.03E-05,2.03E-05,2.03E-05,,5.58E-07,5.58E-07,5.58E-07,5.58E-07,5.58E-07,,5.58E-07,5.58E-07,5.58E-07,5.58E-07,5.58E-07,,6.72E-06,6.72E-06,6.72E-06,6.72E-06,6.72E-06,,2.52E-05,2.52E-05,2.52E-05,2.52E-05,2.52E-05,,0.000192805,0.000192805,0.000192805,0.000192805,0.000192805,,0.002564776,0.002564776,0.002564776,0.002564776,0.002564776,,0.005385696,0.005385696,0.005385696,0.005385696,0.005385696,
11,BWA.11_1,0.002142224,0.002056179,0.001823764,0.003041995,0.096400065,0,0.00576177,0.005835609,0.004928521,0.00667656,0.259279635,0,0.000150855,0.000144993,0.000116491,0.000199718,0.006788478,0,0.000645561,0.000546462,0.000318813,0.001278179,0.029050251,0,1.15E-06,5.58E-07,5.58E-07,3.33E-06,5.19E-05,0,1.57E-05,1.68E-05,5.24E-06,2.14E-05,0.000704355,0,2.67E-06,2.64E-06,5.58E-07,1.16E-05,0.000120163,0,1.17E-05,5.14E-06,9.67E-07,5.13E-05,0.000528145,0,4.18E-05,4.25E-05,2.59E-05,6.93E-05,0.001882874,0,0.000276466,0.000281208,0.000197097,0.00037565,0.012440952,0,0.002164887,0.002021194,0.001862191,0.00302486,0.097419907,0,0.002882549,0.002834011,0.002475139,0.00334759,0.129714715,0
