GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BWA.1_1,1,4.08E-05,3.81E-05,0,0.00012182,0.049889535,0,4.96E-05,4.67E-05,0,0.000109006,0.06067444,0,1.75E-06,1.76E-06,0,4.85E-06,0.00214017,0,1.21E-05,1.16E-05,0,3.33E-05,0.014761797,0,1.39E-07,5.88E-08,0,1.91E-06,0.000169784,0,4.71E-07,3.21E-07,0,3.72E-06,0.000576075,0,2.71E-07,9.52E-08,0,4.84E-06,0.000332122,0,2.45E-07,1.25E-07,0,1.68E-06,0.000300174,0,4.33E-07,2.97E-07,0,2.47E-06,0.000529905,0,2.63E-06,2.76E-06,0,5.82E-06,0.003214982,0,2.19E-05,2.24E-05,0,5.21E-05,0.026756054,0,2.60E-05,2.74E-05,0,4.41E-05,0.031829518,0
BWA.2_1,2,0.00010604,0.000106359,7.76E-05,0.000133453,0.019299344,0,8.29E-05,8.64E-05,5.44E-05,0.000115248,0.015094187,0,2.21E-06,2.18E-06,8.11E-07,3.90E-06,0.000401419,0,3.05E-05,3.03E-05,1.81E-05,4.40E-05,0.005549606,0,4.91E-08,4.41E-08,2.40E-08,1.03E-07,8.94E-06,0,4.44E-08,4.41E-08,2.47E-08,7.05E-08,8.08E-06,0,3.87E-08,3.91E-08,2.30E-08,5.81E-08,7.05E-06,0,3.82E-08,3.43E-08,1.47E-08,1.22E-07,6.95E-06,0,1.79E-07,1.54E-07,2.94E-08,5.35E-07,3.25E-05,0,2.69E-06,2.70E-06,1.61E-06,3.61E-06,0.000488784,0,3.25E-05,3.24E-05,2.21E-05,4.43E-05,0.005910564,0,3.80E-05,3.86E-05,2.77E-05,4.52E-05,0.006919724,0
BWA.3_1,3,3.72E-05,3.72E-05,3.72E-05,3.72E-05,3.72E-05,,6.59E-05,6.59E-05,6.59E-05,6.59E-05,6.59E-05,,3.00E-06,3.00E-06,3.00E-06,3.00E-06,3.00E-06,,9.42E-06,9.42E-06,9.42E-06,9.42E-06,9.42E-06,,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,,7.57E-07,7.57E-07,7.57E-07,7.57E-07,7.57E-07,,1.49E-07,1.49E-07,1.49E-07,1.49E-07,1.49E-07,,2.47E-07,2.47E-07,2.47E-07,2.47E-07,2.47E-07,,5.45E-07,5.45E-07,5.45E-07,5.45E-07,5.45E-07,,3.84E-06,3.84E-06,3.84E-06,3.84E-06,3.84E-06,,2.20E-05,2.20E-05,2.20E-05,2.20E-05,2.20E-05,,2.61E-05,2.61E-05,2.61E-05,2.61E-05,2.61E-05,
BWA.4_1,4,3.04E-05,3.04E-05,2.82E-05,3.27E-05,6.09E-05,0,3.08E-05,3.08E-05,2.86E-05,3.30E-05,6.15E-05,0,5.65E-06,5.65E-06,5.59E-06,5.71E-06,1.13E-05,0,2.14E-05,2.14E-05,2.08E-05,2.21E-05,4.29E-05,0,1.76E-06,1.76E-06,1.48E-06,2.05E-06,3.53E-06,0,1.84E-07,1.84E-07,1.81E-07,1.87E-07,3.68E-07,0,5.88E-08,5.88E-08,5.88E-08,5.88E-08,1.18E-07,0,1.53E-07,1.53E-07,1.40E-07,1.66E-07,3.06E-07,0,7.00E-07,7.00E-07,6.83E-07,7.17E-07,1.40E-06,0,1.25E-06,1.25E-06,1.16E-06,1.33E-06,2.49E-06,0,2.59E-05,2.59E-05,2.56E-05,2.62E-05,5.18E-05,0,4.67E-05,4.67E-05,4.65E-05,4.69E-05,9.34E-05,0
BWA.5_1,5,1.90E-05,1.89E-05,1.08E-06,4.03E-05,0.017996147,0,3.61E-05,3.74E-05,1.24E-05,5.98E-05,0.034136981,0,2.54E-06,2.04E-06,3.02E-07,8.33E-06,0.002405109,0,1.56E-05,1.62E-05,3.20E-06,2.92E-05,0.014780487,0,5.90E-08,4.10E-08,0,6.05E-07,5.58E-05,0,9.14E-08,4.83E-08,0,5.35E-07,8.64E-05,0,3.99E-08,4.41E-08,0,1.29E-07,3.78E-05,0,3.17E-08,2.94E-08,0,2.47E-07,3.00E-05,0,4.86E-08,1.95E-08,0,4.40E-07,4.60E-05,0,8.67E-07,8.40E-07,1.56E-08,2.35E-06,0.00082013,0,9.24E-06,9.09E-06,8.31E-07,2.11E-05,0.008743785,0,3.02E-05,3.26E-05,8.45E-06,5.12E-05,0.028610067,0
BWA.6_1,6,2.15E-05,2.15E-05,2.15E-05,2.15E-05,2.15E-05,,2.83E-05,2.83E-05,2.83E-05,2.83E-05,2.83E-05,,5.08E-06,5.08E-06,5.08E-06,5.08E-06,5.08E-06,,2.51E-05,2.51E-05,2.51E-05,2.51E-05,2.51E-05,,6.42E-07,6.42E-07,6.42E-07,6.42E-07,6.42E-07,,2.85E-07,2.85E-07,2.85E-07,2.85E-07,2.85E-07,,7.63E-08,7.63E-08,7.63E-08,7.63E-08,7.63E-08,,8.05E-08,8.05E-08,8.05E-08,8.05E-08,8.05E-08,,1.43E-07,1.43E-07,1.43E-07,1.43E-07,1.43E-07,,1.08E-06,1.08E-06,1.08E-06,1.08E-06,1.08E-06,,1.59E-05,1.59E-05,1.59E-05,1.59E-05,1.59E-05,,4.31E-05,4.31E-05,4.31E-05,4.31E-05,4.31E-05,
BWA.7_1,7,3.70E-06,1.82E-06,3.82E-07,2.18E-05,0.003206788,0,1.58E-05,1.38E-05,3.55E-06,4.32E-05,0.013655538,0,1.60E-06,9.10E-07,1.20E-07,8.82E-06,0.001385632,0,1.03E-05,8.48E-06,1.11E-06,4.52E-05,0.008924749,0,1.64E-07,8.65E-08,2.88E-09,1.96E-06,0.00014246,0,2.61E-08,1.47E-08,0,3.27E-07,2.27E-05,0,5.85E-08,2.62E-08,0,3.68E-07,5.07E-05,0,1.68E-08,1.31E-08,0,1.89E-07,1.46E-05,0,4.79E-08,2.65E-08,0,4.50E-07,4.15E-05,0,3.97E-07,2.01E-07,1.02E-08,1.82E-06,0.000344404,0,3.01E-06,1.69E-06,1.53E-07,1.76E-05,0.002611846,0,1.85E-05,1.55E-05,3.47E-06,5.38E-05,0.01606659,0
BWA.8_1,8,3.39E-05,3.34E-05,2.97E-05,4.04E-05,0.002166505,0,4.12E-05,4.06E-05,3.48E-05,4.75E-05,0.002634279,0,2.98E-06,2.79E-06,9.51E-07,5.18E-06,0.000190586,0,1.80E-05,1.80E-05,1.28E-05,2.48E-05,0.001151893,0,2.82E-06,2.99E-06,3.49E-07,4.47E-06,0.000180339,0,2.27E-07,1.65E-07,1.05E-07,7.50E-07,1.45E-05,0,7.22E-08,7.08E-08,4.88E-08,1.17E-07,4.62E-06,0,1.22E-07,9.40E-08,4.41E-08,3.13E-07,7.82E-06,0,4.98E-07,4.92E-07,1.38E-07,7.95E-07,3.19E-05,0,2.68E-06,2.93E-06,1.19E-06,3.85E-06,0.000171528,0,2.86E-05,2.77E-05,2.43E-05,3.84E-05,0.001828504,0,4.34E-05,4.20E-05,3.43E-05,5.34E-05,0.002775297,0
BWA.9_1,9,2.71E-05,2.73E-05,7.66E-06,4.12E-05,0.008709264,0,3.35E-05,3.36E-05,1.20E-05,5.18E-05,0.010744675,0,4.00E-06,3.44E-06,4.86E-07,9.89E-06,0.001285405,0,2.54E-05,2.57E-05,8.95E-06,3.88E-05,0.008151227,0,4.35E-07,2.43E-07,1.47E-08,3.01E-06,0.000139499,0,2.98E-07,2.62E-07,1.47E-08,8.46E-07,9.58E-05,0,6.80E-08,5.88E-08,3.88E-08,1.80E-07,2.18E-05,0,1.52E-07,1.33E-07,0,4.23E-07,4.88E-05,0,1.95E-07,1.61E-07,2.67E-09,7.91E-07,6.25E-05,0,1.34E-06,1.24E-06,1.45E-07,3.39E-06,0.000431156,0,1.89E-05,1.76E-05,4.31E-06,3.17E-05,0.00607739,0,4.15E-05,4.21E-05,1.57E-05,5.36E-05,0.013337451,0
BWA.10_1,10,3.33E-05,3.33E-05,3.33E-05,3.33E-05,3.33E-05,,3.21E-05,3.21E-05,3.21E-05,3.21E-05,3.21E-05,,1.13E-05,1.13E-05,1.13E-05,1.13E-05,1.13E-05,,4.01E-05,4.01E-05,4.01E-05,4.01E-05,4.01E-05,,7.16E-07,7.16E-07,7.16E-07,7.16E-07,7.16E-07,,2.87E-07,2.87E-07,2.87E-07,2.87E-07,2.87E-07,,8.35E-08,8.35E-08,8.35E-08,8.35E-08,8.35E-08,,2.21E-07,2.21E-07,2.21E-07,2.21E-07,2.21E-07,,5.05E-07,5.05E-07,5.05E-07,5.05E-07,5.05E-07,,2.19E-06,2.19E-06,2.19E-06,2.19E-06,2.19E-06,,2.63E-05,2.63E-05,2.63E-05,2.63E-05,2.63E-05,,6.05E-05,6.05E-05,6.05E-05,6.05E-05,6.05E-05,
BWA.11_1,11,4.66E-05,4.41E-05,3.50E-05,6.33E-05,0.002096483,0,6.98E-05,6.81E-05,6.33E-05,8.39E-05,0.003139361,0,2.67E-06,2.67E-06,1.94E-06,3.83E-06,0.000120129,0,1.40E-05,1.32E-05,9.42E-06,2.30E-05,0.000631049,0,5.67E-08,4.98E-08,2.94E-08,1.19E-07,2.55E-06,0,8.39E-07,7.57E-07,3.47E-07,1.74E-06,3.78E-05,0,1.52E-07,1.51E-07,3.76E-08,3.23E-07,6.85E-06,0,4.63E-07,4.08E-07,2.10E-07,1.04E-06,2.09E-05,0,8.81E-07,8.97E-07,4.87E-07,1.40E-06,3.96E-05,0,4.39E-06,4.36E-06,3.35E-06,5.55E-06,0.000197436,0,2.99E-05,2.93E-05,2.20E-05,3.90E-05,0.001344436,0,2.99E-05,2.95E-05,2.61E-05,3.72E-05,0.0013477,0
BWA.12_1,12,5.66E-05,5.49E-05,7.50E-06,0.000106388,0.052440241,0,6.08E-05,6.11E-05,1.22E-05,9.87E-05,0.056372745,0,3.07E-06,2.70E-06,4.17E-07,1.06E-05,0.002844621,0,1.84E-05,1.81E-05,4.40E-06,3.55E-05,0.017035535,0,3.38E-08,2.94E-08,0,1.81E-07,3.14E-05,0,6.24E-08,3.77E-08,0,1.23E-06,5.79E-05,0,6.80E-08,4.41E-08,0,2.32E-06,6.30E-05,0,3.34E-08,2.94E-08,0,1.30E-07,3.09E-05,0,1.83E-07,1.76E-07,0,5.55E-07,0.000170019,0,3.42E-06,3.20E-06,1.01E-07,8.53E-06,0.003174041,0,1.76E-05,1.72E-05,2.18E-06,3.36E-05,0.016303461,0,3.75E-05,3.74E-05,1.32E-05,5.73E-05,0.034716153,0
BWA.13_1,13,3.56E-05,3.56E-05,3.56E-05,3.56E-05,3.56E-05,0,5.92E-05,5.92E-05,5.92E-05,5.92E-05,5.92E-05,0,2.47E-06,2.47E-06,2.47E-06,2.47E-06,2.47E-06,0,1.11E-05,1.11E-05,1.11E-05,1.11E-05,1.11E-05,0,1.58E-07,1.58E-07,1.58E-07,1.58E-07,1.58E-07,0,5.28E-07,5.28E-07,5.28E-07,5.28E-07,5.28E-07,0,3.11E-07,3.11E-07,3.11E-07,3.11E-07,3.11E-07,0,7.29E-07,7.29E-07,7.29E-07,7.29E-07,7.29E-07,0,9.82E-07,9.82E-07,9.82E-07,9.82E-07,9.82E-07,0,4.72E-06,4.72E-06,4.72E-06,4.72E-06,4.72E-06,0,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,0,2.41E-05,2.41E-05,2.41E-05,2.41E-05,2.41E-05,0
BWA.14_1,14,3.41E-05,3.37E-05,2.58E-05,4.21E-05,0.000545823,0,3.16E-05,3.11E-05,2.57E-05,3.78E-05,0.000505808,0,9.11E-06,9.12E-06,4.94E-06,1.29E-05,0.000145768,0,3.29E-05,3.27E-05,2.16E-05,4.27E-05,0.000527044,0,1.21E-06,1.08E-06,5.34E-07,2.37E-06,1.94E-05,0,2.12E-07,1.99E-07,1.50E-07,3.78E-07,3.38E-06,0,6.92E-08,7.08E-08,5.13E-08,9.89E-08,1.11E-06,0,1.69E-07,1.60E-07,1.08E-07,2.60E-07,2.70E-06,0,6.04E-07,5.92E-07,3.09E-07,8.11E-07,9.67E-06,0,1.68E-06,1.61E-06,9.64E-07,2.62E-06,2.69E-05,0,2.63E-05,2.60E-05,2.43E-05,2.88E-05,0.000420072,0,5.48E-05,5.52E-05,4.62E-05,6.05E-05,0.000876624,0
BWA.15_1,15,1.83E-05,1.82E-05,2.49E-06,3.79E-05,0.004288276,0,2.84E-05,3.09E-05,9.21E-06,3.84E-05,0.00663688,0,7.48E-06,7.51E-06,8.06E-07,1.46E-05,0.001749275,0,3.13E-05,3.04E-05,9.36E-06,5.08E-05,0.007335336,0,9.35E-07,8.62E-07,2.30E-08,2.62E-06,0.000218723,0,2.20E-07,1.88E-07,0,7.27E-07,5.14E-05,0,4.77E-08,4.41E-08,0,1.57E-07,1.12E-05,0,6.15E-08,4.34E-08,0,3.67E-07,1.44E-05,0,2.40E-07,1.89E-07,2.22E-10,8.42E-07,5.63E-05,0,1.14E-06,1.19E-06,1.60E-07,3.19E-06,0.000267908,0,1.67E-05,1.84E-05,1.35E-06,2.97E-05,0.003913897,0,4.51E-05,4.93E-05,1.22E-05,6.12E-05,0.010550315,0
BWA.16_1,16,3.78E-05,3.78E-05,3.78E-05,3.78E-05,3.78E-05,,5.93E-05,5.93E-05,5.93E-05,5.93E-05,5.93E-05,,1.86E-06,1.86E-06,1.86E-06,1.86E-06,1.86E-06,,8.69E-06,8.69E-06,8.69E-06,8.69E-06,8.69E-06,,2.94E-08,2.94E-08,2.94E-08,2.94E-08,2.94E-08,,6.01E-07,6.01E-07,6.01E-07,6.01E-07,6.01E-07,,6.02E-07,6.02E-07,6.02E-07,6.02E-07,6.02E-07,,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,,1.97E-07,1.97E-07,1.97E-07,1.97E-07,1.97E-07,,2.13E-06,2.13E-06,2.13E-06,2.13E-06,2.13E-06,,2.06E-05,2.06E-05,2.06E-05,2.06E-05,2.06E-05,,2.13E-05,2.13E-05,2.13E-05,2.13E-05,2.13E-05,
