adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,BWA.1_1,-0.870080601,-0.806224616,-2.005574255,-0.033816136,-1064.108575,0,-0.785969232,-0.749468617,-1.762617083,-0.025081199,-961.2403708,0,-0.724166424,-0.817948235,-2.246160047,0.795591091,-885.6555365,0,-0.646957669,-0.597698308,-1.847206527,0.257960218,-791.2292296,0,-0.204092586,-0.177212884,-1.654645227,1.126501498,-249.6052333,0,0.090630638,0.053622796,-1.131457236,1.242738291,110.8412704,0,0.365106579,0.360617206,-0.750574373,1.383693205,446.5253466,0,-0.464717276,-0.383653784,-2.009175909,1.200899328,-568.349229,0,-0.155302593,-0.165684113,-1.547810459,1.533090092,-189.9350712,0,-0.620596052,-0.615326545,-2.051872035,0.934492577,-758.9889714,0,-1.165116001,-1.070665141,-2.289712246,-0.281568535,-1424.936869,0,-0.875988404,-0.808201815,-2.010645435,0.05745611,-1071.333818,0
2,BWA.2_1,-0.815554527,-0.823835887,-0.904113419,-0.704433294,-148.4309239,0,-0.694313564,-0.689282633,-0.823436673,-0.540430327,-126.3650686,0,-0.072772993,-0.088744795,-0.187163539,0.096582014,-13.24468469,0,-0.552794883,-0.554048735,-0.750776936,-0.268191688,-100.6086686,0,0.005934522,0.006285253,-0.31521715,0.40405576,1.08008296,0,0.347927043,0.316296353,0.153962808,0.678135092,63.32272174,0,0.423703932,0.413240971,0.086984204,0.843059162,77.1141157,0,-0.426426704,-0.422911093,-0.795423454,-0.087356445,-77.60966014,0,0.204913345,0.2365363,-0.194424466,0.520811456,37.29422884,0,-0.333349431,-0.365292205,-0.63017696,0.059547739,-60.66959643,0,-1.083505766,-1.091221936,-1.197351991,-0.844866799,-197.1980493,0,-0.920733395,-0.916889985,-1.131259023,-0.742093753,-167.5734779,0
3,BWA.3_1,-0.046832822,,,,,,-0.178048052,,,,,,0.145229327,,,,,,0.042059312,,,,,,0.376418525,,,,,,0.328880231,,,,,,0.344818613,,,,,,0.002291813,,,,,,0.147810868,,,,,,-0.096635075,,,,,,-0.487561734,,,,,,-0.077655704,,,,,
4,BWA.4_1,-1.862681779,-1.862681779,-1.870114068,-1.855249491,-3.725363559,0,-0.86659963,-0.86659963,-0.873100713,-0.860098547,-1.73319926,0,-1.157559968,-1.157559968,-1.185268305,-1.129851631,-2.315119936,0,-1.320753064,-1.320753064,-1.327207223,-1.314298906,-2.641506129,0,-0.946902543,-0.946902543,-0.965069028,-0.928736059,-1.893805087,0,-0.453410162,-0.453410162,-0.479798749,-0.427021575,-0.906820325,0,0.059111807,0.059111807,0.035365288,0.082858326,0.118223614,0,-1.27328044,-1.27328044,-1.289402422,-1.257158459,-2.546560881,0,-0.924527712,-0.924527712,-0.940037651,-0.909017773,-1.849055424,0,-1.091287978,-1.091287978,-1.135583645,-1.04699231,-2.182575956,0,-1.795294704,-1.795294704,-1.828715008,-1.7618744,-3.590589409,0,-1.172935987,-1.172935987,-1.176574467,-1.169297508,-2.345871975,0
5,BWA.5_1,-1.791914211,-1.748326542,-2.543998306,-1.080513079,-1693.358929,0,-1.013823845,-1.039359908,-1.431949655,-0.460877547,-958.0635337,0,-1.079721428,-1.056354315,-1.684954839,-0.496705378,-1020.336749,0,-1.466812899,-1.398686846,-2.4603946,-0.693860526,-1386.13819,0,-0.959429412,-0.785160735,-2.96987421,-0.052707042,-906.6607939,0,-0.80415674,-0.649412954,-2.585537795,0.091341636,-759.928119,0,0.118619771,0.301808035,-1.685229066,0.951042576,112.0956832,0,-0.843934927,-0.867953271,-1.36162548,-0.133458833,-797.5185057,0,-0.556407337,-0.527921843,-1.547496374,0.336158768,-525.8049338,0,-0.056144695,-0.023347976,-0.937013879,0.671119933,-53.05673644,0,-1.139191033,-1.206169429,-1.641671497,0.011683755,-1076.535526,0,-0.656420553,-0.674446416,-1.31928754,-0.058674469,-620.3174229,0
6,BWA.6_1,-2.624719086,,,,,,-1.204343935,,,,,,-1.052015357,,,,,,-2.109349286,,,,,,-1.578426422,,,,,,-1.128815333,,,,,,-0.248212504,,,,,,-1.390132995,,,,,,-0.992306798,,,,,,-0.526152021,,,,,,-1.811944479,,,,,,-1.575811362,,,,,
7,BWA.7_1,-0.829627657,-1.089476918,-2.700206739,1.816795487,-720.1168065,0,-0.811850234,-0.966370735,-1.27696412,0.889435449,-704.6860032,0,-0.21681539,-0.39709763,-1.014426156,1.649792914,-188.1957583,0,-1.955172695,-1.99532577,-2.752625186,-0.493082012,-1697.089899,0,-2.684867512,-2.846632121,-3.269229891,-0.703977527,-2330.465,0,-2.135786125,-2.189160384,-2.695848259,-0.868538818,-1853.862356,0,-1.176188957,-1.185276292,-1.941872499,0.081767275,-1020.932015,0,-0.586877553,-0.693301311,-1.389063529,0.524419122,-509.4097159,0,-1.264576265,-1.275650795,-1.642358988,-0.580507172,-1097.652198,0,0.687381366,0.708649432,-0.295172052,1.564596198,596.6470259,0,-0.005191851,-0.10386509,-1.614620473,2.230199558,-4.506526736,0,-0.349375807,-0.299370769,-1.400609085,0.877649369,-303.2582008,0
8,BWA.8_1,-1.907036109,-1.897934919,-2.05525642,-1.691146355,-122.050311,0,-1.216880608,-1.216604763,-1.619756471,-0.854204707,-77.88035894,0,-1.773921092,-1.764732958,-2.260957158,-1.250555987,-113.5309499,0,-1.649260457,-1.6782129,-1.904251324,-1.309930985,-105.5526692,0,-1.318832976,-1.337133832,-1.608553059,-0.884706777,-84.40531049,0,-0.671597367,-0.703740951,-0.901914456,-0.320998022,-42.98223146,0,-0.159209268,-0.193666592,-0.339710251,0.141825772,-10.18939315,0,-1.632058016,-1.637895367,-1.938014344,-1.331128275,-104.4517131,0,-1.254511891,-1.243445796,-1.606089975,-0.967181177,-80.28876102,0,-1.526887661,-1.491635452,-2.061825872,-1.135109107,-97.72081033,0,-2.065415024,-2.062149033,-2.36072551,-1.652684347,-132.1865616,0,-1.483487555,-1.454092637,-1.909047165,-1.17418222,-94.94320355,0
9,BWA.9_1,-2.051252179,-2.01872507,-2.69928336,-1.581945538,-656.4006971,0,-1.015777827,-1.019760184,-1.193828533,-0.838869636,-325.0489045,0,-1.014168145,-0.968668737,-1.581991411,-0.71680346,-324.5338064,0,-1.546481198,-1.507702917,-2.144672616,-1.15570434,-494.8739833,0,-1.157474707,-1.136142499,-1.841985891,-0.67533203,-370.3919064,0,-0.708365366,-0.637968694,-1.45297095,-0.322051292,-226.6769172,0,0.06686031,0.066395025,-0.503245511,0.515165462,21.39529929,0,-1.114957149,-1.136528355,-1.558571611,-0.746495742,-356.7862876,0,-0.7671396,-0.76596132,-1.115761802,-0.476199499,-245.4846719,0,-0.432942101,-0.415008704,-1.188857319,0.105568892,-138.5414724,0,-1.497805273,-1.485055392,-1.924527026,-1.205722135,-479.2976873,0,-1.08569606,-1.07953527,-1.530090953,-0.803202477,-347.422739,0
10,BWA.10_1,-2.090823747,,,,,,-0.909184893,,,,,,-1.087212633,,,,,,-1.472707355,,,,,,-1.042864856,,,,,,-0.560637723,,,,,,0.111813888,,,,,,-1.163029352,,,,,,-0.76147658,,,,,,-0.851942399,,,,,,-1.740648128,,,,,,-1.39735254,,,,,
