adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,CIV.1_1,0.003094631,0.003113976,0.002751648,0.003527674,0.049514095,0,0.003913189,0.00398443,0.003185872,0.0044394,0.062611028,0,0.003610611,0.003612835,0.002644726,0.004423159,0.057769783,0,0.005991624,0.006077626,0.005064318,0.006621589,0.095865976,0,0.008837526,0.008869903,0.007584596,0.0100888,0.141400421,0,0.007022262,0.006971312,0.006625779,0.007506456,0.1123562,0,0.00324173,0.003201642,0.002877937,0.003836082,0.051867682,0,0.002414994,0.002318165,0.001727906,0.003415655,0.038639911,0,0.008218308,0.008310292,0.006010587,0.009874668,0.131492921,0,0.008744914,0.008794288,0.00754825,0.009641265,0.139918625,0,0.00505695,0.005209682,0.00427692,0.005862878,0.080911206,0,0.003673329,0.00366355,0.003234873,0.004035116,0.058773259,0
2,CIV.2_1,0.001998997,0.00185714,0.000590342,0.004120653,0.439779347,1.785714286,0.003772941,0.003641511,0.002385076,0.005753154,0.830047081,1.785714286,0.003413784,0.003346074,0.002020376,0.005766303,0.751032563,1.785714286,0.003934133,0.003896262,0.002631333,0.005240504,0.865509309,1.785714286,0.010307889,0.009496318,0.004667488,0.022899671,2.267735515,1.785714286,0.008735125,0.008687218,0.006437167,0.011368265,1.921727437,1.785714286,0.006672769,0.006078088,0.003191002,0.016116232,1.468009277,1.785714286,0.004332253,0.004475484,0.00213496,0.005501512,0.953095699,1.785714286,0.006910296,0.006807279,0.004007966,0.009502777,1.52026504,1.785714286,0.007900204,0.007755105,0.005044143,0.010970166,1.73804483,1.785714286,0.003996588,0.004108273,0.002368156,0.005509358,0.879249413,1.785714286,0.002898673,0.002971562,0.000871332,0.006014896,0.637708135,1.785714286
3,CIV.3_1,0.002005418,0.001397026,0.000352137,0.004469771,0.222601356,4.310344828,0.003231272,0.002637673,0.001606427,0.005408439,0.358671224,4.310344828,0.003730017,0.003486325,0.00211066,0.005689782,0.414031913,4.310344828,0.005250972,0.005342836,0.003592046,0.00670386,0.582857925,4.310344828,0.006892673,0.007219585,0.003994498,0.010737241,0.76508669,4.310344828,0.006011664,0.006594982,0.002794208,0.012558404,0.667294737,4.310344828,0.004162409,0.004122682,0.003234086,0.005142488,0.462027437,4.310344828,0.00281139,0.002760323,0.002023011,0.003582158,0.312064292,4.310344828,0.007370327,0.007502677,0.005426725,0.010440193,0.818106253,4.310344828,0.009659686,0.009951397,0.00622166,0.011717992,1.072225102,4.310344828,0.004136667,0.004192911,0.002413596,0.006600983,0.459170065,4.310344828,0.001938851,0.001708978,0.000257403,0.004586515,0.215212486,4.310344828
4,CIV.4_1,5.85E-06,2.61E-06,5.58E-07,3.83E-05,0.001028813,0,9.65E-05,3.17E-05,4.30E-06,0.000920435,0.016985089,0,0.001155766,0.000984854,0.000284157,0.002838734,0.203414787,0,0.002160204,0.00212602,0.000593581,0.003810234,0.380195933,0,0.005204995,0.005294612,0.003735063,0.007490152,0.916079146,0,0.004791251,0.0049241,0.003219855,0.006278428,0.843260104,0,0.007790172,0.007812306,0.006169033,0.009482105,1.371070208,0,0.009110808,0.009123277,0.007316367,0.010529734,1.603502139,0,0.007501246,0.007482118,0.005631148,0.010538495,1.320219214,0,0.006222278,0.006203573,0.005088886,0.008072306,1.095120922,0,0.000684541,0.000629995,0.000242839,0.001335684,0.120479213,0,4.75E-06,5.58E-07,5.58E-07,6.50E-05,0.000835755,0
5,CIV.5_1,0.001702535,0.001624049,0.001240858,0.003800476,0.216221947,0,0.00333734,0.003339005,0.002373007,0.005095241,0.423842139,0,0.002967328,0.002907388,0.002422639,0.005378986,0.376850674,0,0.003531082,0.003559162,0.002787108,0.005473026,0.448447466,0,0.006838365,0.006083455,0.004185529,0.017035245,0.868472386,0,0.008164163,0.008023878,0.004869697,0.011295695,1.036848704,0,0.004014493,0.003795338,0.003129595,0.006019976,0.509840548,0,0.003809239,0.003938855,0.001958224,0.004881381,0.483773327,0,0.00802681,0.007849879,0.004766653,0.010873261,1.019404887,0,0.006928583,0.007158373,0.005311224,0.00934288,0.879930046,0,0.003333586,0.003307202,0.002228543,0.004883153,0.423365414,0,0.001803809,0.001585976,0.000556319,0.004861529,0.229083712,0
6,CIV.6_1,0.000887979,0.000905062,0.000382541,0.001512243,0.190915515,0,0.00236056,0.002438764,0.001027536,0.005075184,0.507520375,0,0.002249874,0.002217421,0.001669892,0.002879591,0.48372282,0,0.004723444,0.004759765,0.00300333,0.006370329,1.015540494,0,0.003804915,0.003825575,0.002404789,0.005293573,0.818056813,0,0.003531916,0.003289273,0.002225188,0.005977523,0.759361884,0,0.003398994,0.003326491,0.002730664,0.004769504,0.730783605,0,0.003389466,0.003318206,0.002227148,0.004948941,0.728735126,0,0.005990795,0.005737125,0.004729944,0.008443048,1.288021004,0,0.005801759,0.005801471,0.004538646,0.008091449,1.247378212,0,0.002535329,0.002533465,0.001601907,0.003832194,0.545095638,0,0.000537742,0.000546621,0.00012768,0.001192265,0.115614572,0
7,CIV.7_1,0.001955447,0.001860486,0.000994771,0.003676331,0.301138915,3.144654088,0.003341679,0.003267907,0.001886892,0.005050236,0.514618497,3.144654088,0.003525512,0.003420365,0.002100132,0.005828078,0.542928816,3.144654088,0.004193121,0.004117989,0.002829402,0.006434149,0.645740677,3.144654088,0.006966866,0.006448357,0.004059665,0.016225251,1.072897325,3.144654088,0.006453255,0.006187508,0.003644684,0.0107847,0.993801295,3.144654088,0.00381996,0.003799263,0.00304084,0.00470052,0.588273849,3.144654088,0.003117748,0.003163759,0.001752226,0.004018733,0.48013326,3.144654088,0.007509092,0.007048934,0.004444831,0.010946095,1.156400101,3.144654088,0.007480354,0.007374918,0.005130941,0.010738811,1.15197457,3.144654088,0.004312491,0.004457554,0.002409076,0.005902557,0.664123564,3.144654088,0.002389885,0.002158664,0.000643033,0.004884983,0.368042356,3.144654088
8,CIV.8_1,0.000794488,0.000745091,9.97E-05,0.001800301,0.19703304,0,0.003194277,0.00241998,0.001406374,0.012092327,0.792180783,0,0.003113312,0.002944529,0.002113719,0.005027652,0.772101381,0,0.004995056,0.004832871,0.003583493,0.00805574,1.23877387,0,0.005677044,0.00563265,0.00359839,0.008129249,1.407906818,0,0.006273966,0.00630833,0.003584797,0.008935134,1.555943464,0,0.006214528,0.005354052,0.003792839,0.011322625,1.541203007,0,0.006802481,0.006215421,0.004650048,0.011248296,1.687015331,0,0.008192437,0.00777092,0.00605991,0.010990276,2.031724434,0,0.007795033,0.007414328,0.005306012,0.012213948,1.933168096,0,0.003379648,0.003289483,0.001936464,0.005576446,0.838152774,0,0.000920912,0.000865775,9.16E-05,0.001950299,0.228386071,0
9,CIV.9_1,0.000852484,0.000824034,0.000324051,0.00155938,0.164529385,0,0.003534478,0.003391825,0.001426318,0.006694169,0.68215425,0,0.002150235,0.002113641,0.001529497,0.002856398,0.41499536,0,0.004294072,0.004193883,0.003223156,0.005798061,0.828755862,0,0.0038983,0.0039741,0.002564488,0.00566973,0.752371834,0,0.00436714,0.004201086,0.002609134,0.008981657,0.842857967,0,0.003681261,0.003655976,0.003093462,0.004705431,0.710483461,0,0.005382987,0.00532912,0.003589416,0.006799096,1.038916462,0,0.007801162,0.007637782,0.005842489,0.010603935,1.505624276,0,0.006678413,0.006809248,0.005225561,0.007855577,1.28893379,0,0.002730223,0.00269144,0.002136983,0.003516649,0.526933107,0,0.000755711,0.000685113,0.000376349,0.001263881,0.145852258,0
10,CIV.10_1,0.000136004,5.47E-05,5.58E-07,0.000488275,0.044337335,0,0.000193231,0.00011463,7.25E-07,0.001376209,0.06299345,0,0.001333343,0.001296699,0.000195688,0.003002344,0.434669921,0,0.002037235,0.00195506,0.000400582,0.004294806,0.664138674,0,0.003761076,0.00375042,0.002781949,0.005215701,1.226110776,0,0.00291334,0.002748258,0.001627357,0.005188432,0.949748786,0,0.006617361,0.006600286,0.004534907,0.008665707,2.157259849,0,0.006951217,0.00660631,0.004283355,0.011243106,2.266096622,0,0.006069752,0.006017438,0.00461838,0.012147577,1.978739075,0,0.006050097,0.006028924,0.004483201,0.009832112,1.972331723,0,0.000474376,0.000373663,0.000110138,0.001426425,0.154646694,0,1.84E-06,5.58E-07,5.58E-07,2.22E-05,0.000600387,0
