GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
CMR.1_1,1.0,277.9136690225476,277.7651624154505,274.2459791640776,286.15191363461173,146738.4172439051,0.0,278.0408181987056,277.9360787547722,274.67273528436084,285.5257965151394,146805.55200891654,0.0,286.910165168216,287.14509640127426,279.0332234014051,292.61577010991004,151488.56720881804,0.0,291.7076239396066,291.76695409871104,286.7467279353027,294.38221266802054,154021.62544011232,0.0,293.30337598811474,293.41409503194274,289.29437967859366,295.3124880851175,154864.18252172458,0.0,292.81468729589517,292.90411378195387,289.220219366586,295.23519873407747,154606.15489223265,0.0,292.26826612904824,292.35729839478887,288.6373279152771,294.6090571589447,154317.64451613743,0.0,292.09263786933684,292.16669935241663,288.5156117615093,294.33801507881236,154224.91279500982,0.0,292.4309839564652,292.4834025882367,288.6923983469736,294.8525946431002,154403.55952901358,0.0,292.1794909014178,292.214647548045,288.57324586939546,294.6971650981256,154270.77119594862,0.0,288.92532674711344,288.83605111442034,284.12246495373574,293.40235775526617,152552.5725224759,0.0,281.1514394665014,280.8515191600708,277.4643977952045,288.4409224335589,148447.96003831268,0.0
CMR.2_1,2.0,290.67632577372564,291.86599056682564,279.7759061390174,296.82613058128936,161325.3608044177,0.0,290.4581494485024,291.66750484566035,279.6507497998766,297.07850012927275,161204.27294391886,0.0,293.8513652059852,294.0881152742194,289.9507001758905,297.0314758000972,163087.50768932176,0.0,294.884280723285,294.8865676230257,293.0895412730689,297.4858624030861,163660.77580142315,0.0,294.8246908901998,294.7594334246928,293.66413984041174,297.0761589065208,163627.70344406093,0.0,293.97777528097487,293.9224652473663,293.0314191247338,296.0949777341885,163157.6652809411,0.0,293.566122435102,293.52956673837275,292.5245696087887,295.79650999984204,162929.1979514816,0.0,293.2042315615345,293.16596509161263,292.361975997662,295.377928427433,162728.34851665163,0.0,293.9242374326882,293.8816830233904,292.79378996780986,296.00808751892123,163127.95177514193,0.0,293.8794733233304,293.88115395208087,292.4674866741994,296.12151914679765,163103.10769444838,0.0,294.20025901179883,294.32533875833735,291.24509942546,296.7418522573656,163281.14375154837,0.0,291.6254788912302,292.6407318041924,282.3187924872303,296.7849141886522,161852.14078463276,0.0
CMR.3_1,3.0,291.23930935493087,292.66948806186247,279.85833864467924,295.63701958369836,255708.1136136293,0.0,290.92022471370063,292.4854916416112,280.1007597925784,295.4287224503035,255427.95729862922,0.0,294.50041021740964,294.7186461454212,291.20884030768354,296.46234304872485,258571.36017088572,0.0,295.15198367118745,295.1530959924413,293.1338643529334,296.7425765388901,259143.4416633025,0.0,295.1203969787601,295.1163304964625,293.51452783567817,296.60005946999013,259115.70854735145,0.0,294.18946754802795,294.182853279504,292.8228252962156,295.5065345166139,258298.3525071685,0.0,293.7768118028561,293.698952035182,292.29658817053274,295.55921380540246,257936.0407629077,0.0,293.54116827438526,293.3895376378441,292.0383043545018,295.5162157128739,257729.14574491023,0.0,294.1380145977096,294.08883002005723,292.4571400278839,295.9709426684128,258253.17681678906,0.0,294.08420815271086,294.071910923009,292.2740361791471,295.61283472615736,258205.93475808017,0.0,294.43765185916607,294.59226861815836,290.4669716771905,296.2089839632087,258516.25833234785,0.0,292.1423249570064,293.1419762402885,282.10560149903637,295.8687776623665,256500.9613122516,0.0
CMR.4_1,4.0,272.27408965493686,272.10518270811485,269.81775328929643,282.76882721213946,75692.19692407244,0.0,271.55370958096483,271.2810578665709,269.2696650239282,283.04174141210393,75491.93126350822,0.0,272.64198555066855,272.08596811970574,270.5214757828835,287.2407637986072,75794.47198308585,0.0,278.87869966361063,278.7914138082822,274.8061556593391,291.0316304826532,77528.27850648374,0.0,291.78879018621404,291.9832853200751,288.8038900711097,295.81324826895883,81117.28367176751,0.0,295.4376991204044,295.6863605153428,293.8942539400175,296.9092314614158,82131.68035547242,0.0,295.1647710750192,295.2478429911385,293.4820884851051,296.4805263320115,82055.80635885532,0.0,295.5142897130721,295.6952127156771,293.1826615341189,296.5740514691712,82152.97254023403,0.0,295.8493941385397,296.08306421418683,293.620097930363,296.8971553063998,82246.13157051403,0.0,295.15342175710015,295.47065188460664,292.80332048768247,296.3662454925636,82052.65124847383,0.0,285.40956050779204,285.35545274103777,278.8922863872412,289.3726834862158,79343.85782116617,0.0,276.0487843569672,275.9584640872526,272.9813496634419,283.78695347659146,76741.56205123688,0.0
CMR.5_1,5.0,295.709246369479,296.1966995667737,289.85864382462364,297.45806793431166,47313.479419116644,1.8404907975460123,295.929873191027,296.39368129539764,290.5925389072064,297.732292611754,47348.779710564326,1.8404907975460123,296.261518954194,296.60714438126763,292.0317134477189,297.9686328623042,47401.84303267104,1.8404907975460123,296.7331089745897,297.08690730124306,292.45193055760416,298.3779655604725,47477.297435934335,1.8404907975460123,296.37487012351005,296.6809354631592,292.2689356504953,297.94503352398783,47419.97921976161,1.8404907975460123,295.60239727589385,295.89368638034136,291.52992903322274,297.2918041600556,47296.383564143005,1.8404907975460123,295.12969993303057,295.4238545059459,290.954193713935,296.78850168849215,47220.751989284894,1.8404907975460123,294.83499911968363,295.16630612353873,290.694586991402,296.5637962644127,47173.59985914938,1.8404907975460123,295.40525622992635,295.73910308421415,291.34708148664816,297.0464168139892,47264.84099678823,1.8404907975460123,295.3607541657028,295.6773331373478,291.08232542683146,297.06200763303895,47257.72066651244,1.8404907975460123,296.03963663780826,296.4431189781845,291.59877883757764,297.61793893697995,47366.34186204932,1.8404907975460123,295.7412131858165,296.308692243981,289.7653703562733,297.4605455841354,47318.59410973064,1.8404907975460123
CMR.6_1,6.0,282.371645709816,282.2821149050056,277.7411795695449,290.1057430381508,39814.40204508405,0.0,283.1012185508065,283.155567304423,278.8572786123915,290.62174708641317,39917.27181566373,0.0,290.36278178665384,290.40175088303965,285.96116112290457,294.97086503442245,40941.1522319182,0.0,291.9186419869416,291.909410863416,287.95214209090994,295.65040091029067,41160.52852015877,0.0,292.44366310868685,292.5425620647442,288.57333165152875,296.1846354557705,41234.55649832485,0.0,291.89491528726546,291.9463897182615,288.35311860107294,295.623387308184,41157.183055504436,0.0,291.32596307969123,291.3243895528028,287.8352422912305,295.0422349795707,41076.96079423647,0.0,291.00921783280637,291.0017003751488,287.40227612209253,294.7654957640101,41032.299714425695,0.0,291.5803157013052,291.63020809946664,287.9556023766028,295.34929412531943,41112.824513884036,0.0,291.3911015157318,291.41174182801035,287.8744427345908,295.13243487054933,41086.14531371818,0.0,290.5004906262168,290.6075305136115,286.2031897157676,294.80701599716326,40960.569178296566,0.0,283.171155887354,283.2969197432848,278.99626987756267,289.5348687937223,39927.132980116905,0.0
CMR.7_1,7.0,275.6981629503639,275.70114429634253,271.4428200982408,282.825760225759,146395.72452664323,0.0,275.5665183795917,275.6772955043991,271.106669295601,282.53861597558983,146325.8212595632,0.0,278.78330892361646,278.850276779825,271.69571649903423,286.39970279560464,148033.93703844034,0.0,287.80073821439424,288.2805410559808,279.68591934894096,291.99881416937166,152822.19199184337,0.0,293.81405765520645,293.90224994437636,290.75192533719866,295.8139950729665,156015.26461491466,0.0,295.02723551861783,295.33140912218533,290.45427613237916,296.95156382163987,156659.46206038605,0.0,294.5487959503141,294.83239944026843,289.9601866239449,296.43984380308603,156405.4106496168,0.0,294.4939525808552,294.7457141247619,289.8430137674152,296.2891294538152,156376.2888204341,0.0,294.9354034138393,295.2299669661935,290.1382367723168,296.83480048403214,156610.69921274867,0.0,294.5929246326121,294.81895299506067,289.8874074521553,296.4671664422795,156428.84297991698,0.0,289.03430002386995,289.2456066270433,283.1713806998098,293.43028700231497,153477.21331267495,0.0,280.4781805888454,280.6935053725507,274.8707556744322,285.26317355242753,148933.9138926769,0.0
CMR.8_1,8.0,286.709770417449,286.5167478262032,281.5977115574028,293.11727592869886,31538.074745919395,0.0,287.02750991512994,286.8905084878964,281.95103474669946,293.29875535910685,31573.026090664298,0.0,291.136574115685,290.9990019298072,287.24654625633184,294.3679856660316,32025.02315272536,0.0,292.4451529527896,292.58439064888665,288.35939185577604,294.85517459308,32168.966824806845,0.0,292.53642974078116,292.67229880551645,288.37128470743403,294.7039134698709,32179.007271485927,0.0,292.0856561836512,292.27130956360105,288.24792959375685,294.07921684386463,32129.42218020164,0.0,291.67601902605134,291.8799469395085,287.83513136472,293.6278796446765,32084.36209286564,0.0,291.35160159118414,291.50771454178397,287.5150498067836,293.4037327384931,32048.67617503025,0.0,291.8419197876388,292.0059289445793,287.9184697708123,293.8882577156349,32102.61117664027,0.0,291.6999570616786,291.9234794197956,287.87171142596105,293.6873316866705,32086.995276784648,0.0,291.20561181284677,291.3664817312675,286.32761698480203,294.149297322273,32032.617299413163,0.0,287.5728372704154,287.23495068139334,281.7416403273505,292.9003366384945,31633.012099745687,0.0
CMR.9_1,9.0,293.4941745129758,293.8316920607782,285.3702126875749,297.9980171052772,58698.834902595176,0.4975124378109453,294.0739134763544,294.4336881832793,286.05032277514164,298.3316398567786,58814.78269527088,0.4975124378109453,295.80286210938687,296.030747524194,290.17353563117575,298.3052321652297,59160.572421877376,0.4975124378109453,296.22093901164317,296.45672731541197,290.9218378197343,298.57723642439595,59244.18780232863,0.4975124378109453,295.9707237056638,296.1157403366944,290.9018743058586,298.17824732366216,59194.14474113275,0.4975124378109453,295.20158233369585,295.3905565656978,289.82285361343173,297.4543532330418,59040.31646673918,0.4975124378109453,294.66823182357416,294.8208517269445,289.2417702958444,296.94932108292136,58933.64636471483,0.4975124378109453,294.4588820196074,294.6264253526261,289.0958363829114,296.7073947702431,58891.776403921474,0.4975124378109453,294.9564597210907,295.14184039715275,289.66191746931787,297.18787489128584,58991.29194421814,0.4975124378109453,294.8842256446928,295.05011910726364,289.54482287840125,297.2725822513517,58976.84512893856,0.4975124378109453,295.39380927238926,295.6409744916256,289.2908798958208,297.82749383471327,59078.76185447785,0.4975124378109453,293.37991140875624,293.76283851260257,284.90842328173284,298.0221689924018,58675.98228175125,0.4975124378109453
CMR.10_1,10.0,294.36317754012487,293.87412407213117,292.9400269175592,297.1637165485361,115096.00241818881,0.0,294.65840086226274,294.223612635494,292.92635247613583,297.4777041936668,115211.43473714475,0.0,295.1211834967949,294.79978245294535,294.25246262803813,297.37322289774994,115392.38274724685,0.0,295.49758992375087,295.13402047539364,294.6654283728927,297.75072931087544,115539.55766018662,0.0,295.26218799864495,294.93577826144355,294.4225962888522,297.346714563596,115447.51550747018,0.0,294.1357557100366,293.74751733281886,293.3272624740874,296.428943431423,115007.08048262431,0.0,293.74316872190144,293.35482003862694,292.99462000712487,296.07843868945554,114853.57897026345,0.0,293.4196478737049,293.05364319093826,292.6033781699638,295.744321199877,114727.08231861859,0.0,294.1705455277562,293.82552645303747,293.4602725677638,296.3148235278332,115020.68330135266,0.0,294.20094990646334,293.84114103909224,293.395727609657,296.3987784197052,115032.57141342715,0.0,294.7160786983155,294.3582070319719,293.87957804869603,296.97904125752615,115233.98677104135,0.0,294.47607043195893,294.08408809753274,293.4148509537921,297.0843452092427,115140.14353889595,0.0
