adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,CMR.1_1,0.152695773,4.44E-16,4.44E-16,1.973642026,80.62336826,0,0.15285798,4.44E-16,4.44E-16,1.976498103,80.7090133,0,0.153178439,4.44E-16,4.44E-16,1.981816245,80.87821563,0,0.153819335,4.44E-16,4.44E-16,1.99729142,81.21660873,0,0.154817129,4.44E-16,4.44E-16,2.014690943,81.74344435,0,0.155343639,4.44E-16,4.44E-16,2.017008659,82.02144144,0,0.155254213,4.44E-16,4.44E-16,2.009010844,81.97422448,0,0.154861491,4.44E-16,4.44E-16,2.005917447,81.76686727,0,0.155216618,4.44E-16,4.44E-16,2.014867165,81.95437453,0,0.155101927,4.44E-16,4.44E-16,2.013985747,81.8938175,0,0.154246782,4.44E-16,4.44E-16,2.001939129,81.442301,0,0.153092504,4.44E-16,4.44E-16,1.981686157,80.83284199,0
2,CMR.2_1,0.138121285,4.44E-16,4.44E-16,3.894598057,76.65731336,0,0.137759393,4.44E-16,4.44E-16,3.880084956,76.45646307,0,0.138669982,4.44E-16,4.44E-16,3.896004119,76.96184,0,0.140008171,4.44E-16,4.44E-16,3.941141089,77.704535,0,0.139648869,4.44E-16,4.44E-16,3.938611099,77.5051224,0,0.137987144,4.44E-16,4.44E-16,3.901093136,76.58286516,0,0.136746042,4.44E-16,4.44E-16,3.869106602,75.89405321,0,0.136298934,4.44E-16,4.44E-16,3.855511641,75.64590836,0,0.137390078,4.44E-16,4.44E-16,3.886502653,76.25149326,0,0.138879646,4.44E-16,4.44E-16,3.922081294,77.07820363,0,0.139552493,4.44E-16,4.44E-16,3.935714161,77.45163364,0,0.13903108,4.44E-16,4.44E-16,3.924161979,77.16224922,0
3,CMR.3_1,0.003642989,4.44E-16,4.44E-16,1.650489499,3.19854467,0,0.003641258,4.44E-16,4.44E-16,1.650489499,3.197024091,0,0.003652899,4.44E-16,4.44E-16,1.651452229,3.207245616,0,0.003675413,4.44E-16,4.44E-16,1.656191822,3.227012442,0,0.003672911,4.44E-16,4.44E-16,1.655969654,3.224816068,0,0.003625959,4.44E-16,4.44E-16,1.65123006,3.183592202,0,0.003599596,4.44E-16,4.44E-16,1.650489499,3.160445723,0,0.003594016,4.44E-16,4.44E-16,1.650489499,3.15554608,0,0.003625671,4.44E-16,4.44E-16,1.651452229,3.183338738,0,0.003668774,4.44E-16,4.44E-16,1.656191822,3.221183556,0,0.003670795,4.44E-16,4.44E-16,1.655969654,3.222957583,0,0.003649339,4.44E-16,4.44E-16,1.65123006,3.204120016,0
4,CMR.4_1,1.291016705,1.317467024,4.44E-16,1.826039784,358.902644,0,1.249881127,1.290334917,4.44E-16,1.811740216,347.4669534,0,1.228594269,1.251665759,4.44E-16,1.807984254,341.5492067,0,1.236939154,1.268327071,4.44E-16,1.804909682,343.8690847,0,1.275724408,1.312725679,4.44E-16,1.804856245,354.6513853,0,1.407363419,1.463301599,4.44E-16,1.816202569,391.2470305,0,1.654145353,1.726353657,4.44E-16,2.001790187,459.8524082,0,1.904257849,1.973459312,4.44E-16,2.21565978,529.383682,0,1.875411316,1.935951841,4.44E-16,2.240025536,521.3643459,0,1.671078278,1.708591036,4.44E-16,2.204827408,464.5597612,0,1.497130345,1.515481624,4.44E-16,2.04857083,416.2022359,0,1.363965315,1.389024692,4.44E-16,1.852962811,379.1823575,0
5,CMR.5_1,1.634237675,1.807925053,4.44E-16,3.833042339,261.4780281,1.840490798,1.62205662,1.78417093,4.44E-16,3.825324118,259.5290593,1.840490798,1.637325671,1.825326449,4.44E-16,3.831084175,261.9721074,1.840490798,1.670203652,1.870254426,4.44E-16,3.859926696,267.2325843,1.840490798,1.677199372,1.880869244,4.44E-16,3.85683234,268.3518995,1.840490798,1.639363742,1.831040639,4.44E-16,3.836024737,262.2981987,1.840490798,1.59577269,1.757628352,4.44E-16,3.811705558,255.3236304,1.840490798,1.579198111,1.732482966,4.44E-16,3.802628308,252.6716978,1.840490798,1.609914618,1.765376937,4.44E-16,3.824597292,257.5863389,1.840490798,1.654001316,1.836352327,4.44E-16,3.84980168,264.6402106,1.840490798,1.668549536,1.864143464,4.44E-16,3.857579064,266.9679258,1.840490798,1.655540383,1.847030759,4.44E-16,3.849879515,264.8864613,1.840490798
6,CMR.6_1,0.731252064,0.219471021,4.44E-16,2.684064545,103.106541,0,0.727376236,0.219447154,4.44E-16,2.567301621,102.5600493,0,0.731761009,0.220143718,4.44E-16,2.523106646,103.1783023,0,0.746886085,0.220502525,4.44E-16,2.656444287,105.3109381,0,0.756358343,0.221215105,4.44E-16,2.753599533,106.6465263,0,0.748287347,0.221220061,4.44E-16,2.554518404,105.5085159,0,0.730349134,0.220509106,4.44E-16,2.385226346,102.9792278,0,0.722990242,0.220363363,4.44E-16,2.321134572,101.9416241,0,0.737233048,0.220546374,4.44E-16,2.474026708,103.9498598,0,0.74838509,0.221196788,4.44E-16,2.588570474,105.5222977,0,0.753106082,0.221168441,4.44E-16,2.783555587,106.1879576,0,0.743835063,0.220287756,4.44E-16,2.817400059,104.8807439,0
7,CMR.7_1,0.730716058,0.497315441,4.44E-16,1.976297663,388.0102266,0,0.721492882,0.49637134,4.44E-16,1.976121661,383.1127203,0,0.72234542,0.49678069,4.44E-16,1.976410574,383.5654182,0,0.742184219,0.499902464,4.44E-16,1.978445563,394.0998201,0,0.7886659,0.504538741,4.44E-16,1.983843311,418.7815928,0,0.864431726,0.509953946,4.44E-16,2.156706324,459.0132463,0,0.933905233,0.518463674,4.44E-16,2.421054243,495.9036787,0,0.968181067,0.524135709,4.44E-16,2.527113282,514.1041467,0,0.98619522,0.524199322,4.44E-16,2.562197439,523.6696619,0,0.933579626,0.518463674,4.44E-16,2.437016228,495.7307816,0,0.838090851,0.507628364,4.44E-16,2.051387671,445.026242,0,0.761451766,0.500615466,4.44E-16,1.978364424,404.3308878,0
8,CMR.8_1,0.533934524,4.44E-16,4.44E-16,2.203721748,58.73279761,0,0.525660639,4.44E-16,4.44E-16,2.112883465,57.82267029,0,0.529099744,4.44E-16,4.44E-16,2.131296998,58.20097185,0,0.54419831,4.44E-16,4.44E-16,2.298309031,59.86181412,0,0.558277035,4.44E-16,4.44E-16,2.406811854,61.41047387,0,0.551080457,4.44E-16,4.44E-16,2.328815696,60.61885029,0,0.531759354,4.44E-16,4.44E-16,2.171812989,58.49352897,0,0.519953694,4.44E-16,4.44E-16,2.071831732,57.19490638,0,0.532851385,4.44E-16,4.44E-16,2.18254705,58.61365235,0,0.551147987,4.44E-16,4.44E-16,2.368269971,60.62627861,0,0.561659804,4.44E-16,4.44E-16,2.465155002,61.78257844,0,0.549953486,4.44E-16,4.44E-16,2.338879513,60.49488346,0
9,CMR.9_1,2.093694376,2.006364159,4.44E-16,4.314167157,418.7388753,0.497512438,2.050959983,1.965505981,4.44E-16,4.156307178,410.1919966,0.497512438,2.055478343,1.958291497,4.44E-16,4.146723664,411.0956687,0.497512438,2.123130888,2.031886746,4.44E-16,4.253788294,424.6261776,0.497512438,2.14266811,2.062357082,4.44E-16,4.274328707,428.5336219,0.497512438,2.059645779,1.962097828,4.44E-16,4.109006535,411.9291558,0.497512438,1.912464603,1.814480893,4.44E-16,3.84504871,382.4929205,0.497512438,1.853263625,1.762323483,4.44E-16,3.722368772,370.6527251,0.497512438,1.932777118,1.823321992,4.44E-16,3.863132431,386.5554235,0.497512438,2.0521602,1.955190092,4.44E-16,4.141069741,410.4320401,0.497512438,2.127602279,2.037069143,4.44E-16,4.286651669,425.5204559,0.497512438,2.141819571,2.062379734,4.44E-16,4.34912466,428.3639142,0.497512438
10,CMR.10_1,0.594220093,4.44E-16,4.44E-16,3.935294808,232.3400564,0,0.600483104,4.44E-16,4.44E-16,3.991627554,234.7888937,0,0.615782989,4.44E-16,4.44E-16,4.109220837,240.7711488,0,0.623483871,4.44E-16,4.44E-16,4.15847903,243.7821936,0,0.6130562,4.44E-16,4.44E-16,4.081132749,239.7049742,0,0.596347302,4.44E-16,4.44E-16,3.927787772,233.1717949,0,0.583818511,4.44E-16,4.44E-16,3.836646422,228.2730376,0,0.577668768,4.44E-16,4.44E-16,3.787126027,225.8684881,0,0.584539595,4.44E-16,4.44E-16,3.847970209,228.5549818,0,0.599250548,4.44E-16,4.44E-16,3.966403972,234.3069642,0,0.608283307,4.44E-16,4.44E-16,4.033869931,237.8387731,0,0.602781975,4.44E-16,4.44E-16,3.994061136,235.6877523,0
