adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,CMR.1_1,-0.444279826,-0.434266338,-1.087439632,0.418847194,-234.579748,0,-0.357281863,-0.353060852,-0.964592893,0.448046481,-188.6448239,0,0.016408137,0.015596082,-0.456827794,0.959463204,8.663496097,0,0.276015377,0.266867495,-0.327232895,1.196995241,145.7361191,0,0.1890185,0.198859848,-0.318222716,0.993663015,99.80176785,0,0.348722349,0.309292312,-0.237648532,1.045949954,184.1254004,0,0.391579262,0.375477735,-0.152760131,1.018856087,206.7538505,0,0.559895862,0.531805639,-0.038614793,1.313515043,295.6250152,0,0.164857868,0.140411833,-0.139760668,0.640365995,87.04495433,0,0.044252933,0.038596299,-0.183744299,0.396622986,23.36554849,0,-0.523683028,-0.469178791,-1.268561899,0.185103064,-276.5046387,0,-0.635099485,-0.645374933,-1.238263359,0.291645546,-335.3325282,0
2,CMR.2_1,0.79043987,0.96247672,-0.819193308,1.926899546,438.6941278,0,0.745458253,0.865139813,-0.670872994,1.902158878,413.7293304,0,0.942251914,1.023003628,-0.381704138,1.83350945,522.9498124,0,0.7743621,0.816076765,-0.307826009,1.524411987,429.7709653,0,0.577870673,0.628818736,-0.28681023,1.181636084,320.7182233,0,0.989363286,1.071341931,-0.22425289,1.764428554,549.0966236,0,1.037756746,1.119516064,-0.126596637,1.815164029,575.9549938,0,1.297372922,1.384822131,-0.041929728,2.158950774,720.041972,0,0.979350261,1.102367476,-0.150150807,1.805644436,543.5393947,0,0.590803486,0.654490374,-0.174249307,1.336046347,327.8959349,0,0.29591294,0.334275443,-0.334526989,0.809241414,164.231682,0,0.392127852,0.531896952,-1.08670488,1.260752741,217.6309577,0
3,CMR.3_1,0.619835485,0.712229641,-0.615998018,1.023205383,544.2155561,0,0.582466815,0.638651721,-0.555773401,1.010375861,511.4058635,0,0.650155092,0.674536216,0.208794461,0.926975033,570.8361705,0,0.603308548,0.615095388,0.34425267,0.806361465,529.7049052,0,0.524449392,0.537471851,0.204436568,0.73014969,460.4665663,0,0.800943318,0.783474253,0.421470081,1.139198348,703.2282331,0,0.834182243,0.843908832,0.465329661,1.168413709,732.4120093,0,0.964543518,0.951282534,0.464050873,1.402150291,846.8692085,0,0.844016905,0.857273129,0.308264893,1.144491385,741.0468426,0,0.569294576,0.580586092,0.14512147,0.777625608,499.8406373,0,0.065485511,0.06811138,-0.636219304,0.314802913,57.49627843,0,0.190784764,0.25992627,-0.967465666,0.588154249,167.5090232,0
4,CMR.4_1,-0.2426948,-0.150584768,-2.091192491,0.834080042,-67.4691543,0,-0.248026725,-0.100231794,-2.258942143,0.787801983,-68.9514295,0,-1.146183069,-0.916258766,-3.678981463,0.015749743,-318.6388932,0,-0.112320563,0.294752118,-2.825316507,0.769751729,-31.22511663,0,1.311286294,1.303109328,0.796998077,1.741866157,364.5375898,0,1.373830083,1.369142268,0.877511207,1.949877268,381.9247632,0,1.38836599,1.330437489,0.827668468,2.913429984,385.9657453,0,1.22926296,1.212259311,0.57097043,2.624227059,341.7351028,0,0.651288651,0.621817014,0.292101135,1.471656682,181.0582451,0,0.078614234,0.065305098,-0.28772014,0.358938843,21.85475699,0,-0.759189137,-0.50036082,-3.418571857,0.231647893,-211.05458,0,-0.427740889,-0.270152384,-2.791563313,0.725659549,-118.9119672,0
5,CMR.5_1,0.661986262,0.627888544,-0.170563394,1.8170531,105.9178019,1.840490798,0.653298926,0.608110259,-0.096582759,1.859104867,104.5278281,1.840490798,0.495775991,0.45444176,-0.175616475,1.439865228,79.32415859,1.840490798,0.395213138,0.347498989,-0.167854012,1.240900529,63.23410209,1.840490798,0.220789742,0.186348513,-0.271395576,0.859833479,35.3263587,1.840490798,0.575560481,0.517263255,-0.131854005,1.818787193,92.08967689,1.840490798,0.618316686,0.559871349,-0.137741897,1.870376475,98.93066983,1.840490798,0.813415733,0.781151065,-0.123298013,2.172975794,130.1465173,1.840490798,0.610624663,0.534002178,-0.068739983,1.824422997,97.69994608,1.840490798,0.338190448,0.271789756,-0.102799596,1.223559594,54.11047162,1.840490798,0.181580209,0.182121495,-0.225270117,0.847694825,29.05283341,1.840490798,0.387403089,0.373690071,-0.274008391,1.456361648,61.98449431,1.840490798
6,CMR.6_1,0.08671223,0.088927988,-0.303477613,0.645509841,12.22642437,0,0.07875371,0.082051998,-0.333652054,0.611448464,11.10427304,0,-0.006753195,-0.000185049,-0.478838726,0.503039652,-0.952200512,0,-0.052220387,-0.101005854,-0.397724154,0.500378337,-7.363074611,0,-0.147910672,-0.221312726,-0.466123222,0.329449673,-20.85540478,0,0.085534208,0.038272803,-0.353619313,0.511160429,12.06032335,0,0.15286431,0.125759097,-0.294276513,0.598043712,21.55386769,0,0.357313746,0.326784865,-0.22672405,0.928693148,50.3812382,0,0.106665942,0.061852959,-0.23365591,0.523593325,15.03989779,0,0.038757914,0.011320726,-0.181160292,0.3211004,5.464865884,0,-0.205478431,-0.203302849,-0.50716111,0.236279882,-28.97245875,0,-0.024536267,-0.03417459,-0.441454987,0.56496446,-3.459613666,0
7,CMR.7_1,-0.312803323,-0.348189805,-1.281546696,0.631677193,-166.0985644,0,-0.142326671,-0.168308248,-0.957648754,0.608484956,-75.57546221,0,-0.072820481,-0.010334058,-1.09595463,0.757934179,-38.66767522,0,0.7067385,0.629271524,0.109850815,1.860875345,375.2781437,0,0.758235897,0.613287452,-0.022230864,2.016431393,402.6232611,0,0.865997242,0.66033916,0.136309997,2.170154733,459.8445353,0,0.905248986,0.700867378,0.1470217,2.106060021,480.6872118,0,0.966387863,0.781706969,0.212265432,2.278888199,513.1519555,0,0.492437109,0.376150932,0.045138966,1.283170168,261.4841051,0,0.205008222,0.193187263,-0.040948222,0.583094892,108.8593659,0,-0.500846538,-0.487007293,-1.251450855,0.116063515,-265.9495118,0,-0.585824889,-0.565575939,-1.699442632,0.422162808,-311.0730162,0
8,CMR.8_1,0.082651474,0.096639502,-0.513797392,0.879276109,9.091662191,0,0.128921602,0.146418357,-0.496730329,0.933314097,14.18137619,0,0.035549822,0.049442285,-0.642412056,1.212203111,3.910480443,0,0.016659781,-0.002675257,-0.486626262,0.939013845,1.832575856,0,-0.084385616,-0.143971385,-0.449478397,0.616099042,-9.282417774,0,0.248964244,0.298942806,-0.340429588,1.080746351,27.38606685,0,0.344117254,0.399247319,-0.204899655,1.082136158,37.85289796,0,0.627417474,0.684719484,-0.092087859,1.393975658,69.01592212,0,0.296570729,0.374874811,-0.280121937,1.007698436,32.62278022,0,0.13527643,0.19039227,-0.272279045,0.64668493,14.88040729,0,-0.190979928,-0.196517353,-0.589694928,0.305916799,-21.00779209,0,-0.099017335,-0.099069784,-0.529333732,0.480549247,-10.8919068,0
9,CMR.9_1,0.396932936,0.346808001,-0.303612104,1.68681827,79.38658713,0.497512438,0.310263659,0.284812096,-0.319825306,1.696022388,62.05273186,0.497512438,0.150416925,0.152303606,-0.339800059,1.00848505,30.08338498,0.497512438,0.16107574,0.160735506,-0.23960203,0.824909431,32.2151481,0.497512438,0.073652475,0.062259783,-0.237499612,0.701353594,14.73049509,0.497512438,0.322463844,0.285326677,-0.114975836,1.453211254,64.49276883,0.497512438,0.37953443,0.345080988,-0.055697667,1.609347917,75.90688609,0.497512438,0.494371375,0.448694661,-0.001225982,1.961401919,98.87427497,0.497512438,0.39364342,0.343226734,-0.048825262,1.982534928,78.72868407,0.497512438,0.247042312,0.207909892,-0.100196442,1.608113919,49.40846243,0.497512438,0.063990954,0.054414893,-0.371529374,1.021298335,12.79819081,0.497512438,0.191820201,0.16619784,-0.507888531,1.382054684,38.36404028,0.497512438
10,CMR.10_1,1.062318203,1.133184061,0.413730466,1.544980865,415.3664173,0,1.023891627,1.032713257,0.42146944,1.628409869,400.3416262,0,0.866039368,0.9279472,0.22685264,1.17620118,338.621393,0,0.674806406,0.720318114,0.145320003,0.980526431,263.8493046,0,0.594505261,0.643648666,0.180236538,0.846054814,232.4515571,0,0.97880977,1.014605132,0.628921596,1.867811757,382.7146202,0,1.064073574,1.067007475,0.666693056,1.969007501,416.0527674,0,1.275874052,1.302606274,0.89143099,2.242808755,498.8667544,0,1.153281677,1.169516996,0.703624611,2.053704748,450.9331356,0,0.804244478,0.871282959,0.374461222,1.432210025,314.4595911,0,0.323876235,0.346122055,0.031817542,0.607383668,126.635608,0,0.679310759,0.687349708,0.261522618,1.229817813,265.6105066,0
