GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
EGY.1_1,1.0,0.0001328466789952941,0.00010400422006852112,2.1261236807026887e-05,0.0007368148917399929,0.003852553690863529,3.333333333333333,0.0009379608058824306,0.0009575455738076973,0.0005831195872975761,0.001263994479416647,0.02720086337059049,3.333333333333333,0.0006329405722234339,0.0006091163537110809,0.0003626233172176103,0.001233054123348557,0.018355276594479584,3.333333333333333,0.00023862870303631957,0.0002277230059613562,0.00016800769914311365,0.00031759834517140214,0.0069202323880532685,3.333333333333333,1.500661402295359e-05,1.4476209826261316e-05,7.625334722204323e-06,2.631408151859429e-05,0.0004351918066656541,3.333333333333333,4.305625109260435e-05,4.354956755196785e-05,2.418473373830769e-05,6.386622199340487e-05,0.0012486312816855265,3.333333333333333,3.7060598686985113e-06,2.9017099640383742e-06,2.644568887558152e-06,6.421543206265351e-06,0.00010747573619225684,3.333333333333333,5.38067967177986e-06,4.987342525298357e-06,2.9689812452230665e-06,6.81810659168558e-06,0.00015603971048161594,3.333333333333333,6.803785090148197e-06,6.391315118820712e-06,3.5515156198366286e-06,1.7447214072059688e-05,0.00019730976761429768,3.333333333333333,0.0010764307551445337,0.0010650161076836539,0.0009207363646188988,0.0014727348776739045,0.03121649189919147,3.333333333333333,1.5099148216540775e-05,1.2437933757276168e-05,1.3841816294251699e-06,5.9676481813275904e-05,0.00043787529827968253,3.333333333333333,0.0006109510755736457,0.0005626031090533504,0.00036292099457153817,0.0014778075250034034,0.017717581191635728,3.333333333333333
EGY.2_1,2.0,2.420348210499701e-05,1.9860242096879835e-05,5.578000354805601e-07,8.26046310927265e-05,0.02142008166292236,0.7847533632286996,0.00014804707903854294,6.783844149980283e-05,5.093563356007002e-06,0.000995877466184403,0.1310216649491105,0.7847533632286996,1.6956506820483305e-05,5.578000354805601e-07,5.5780003548056e-07,0.000235988849714677,0.015006508536127722,0.7847533632286996,2.0681980256296684e-05,5.519779252101732e-06,5.5780003548056e-07,0.00015621745716916578,0.01830355252682256,0.7847533632286996,3.1784597207488065e-05,1.1776756351469456e-05,5.5780003548056e-07,0.0002609495746731503,0.02812936852862694,0.7847533632286996,3.370955097691031e-05,2.1948223305214472e-05,5.5780003548056e-07,0.00016884287924566374,0.029832952614565623,0.7847533632286996,1.2566696192095972e-06,5.578000354805601e-07,5.5780003548056e-07,2.9112746660172694e-05,0.0011121526130004936,0.7847533632286996,1.8926342482620515e-05,4.290490533089635e-06,5.5780003548056e-07,0.00023573473985295053,0.016749813097119152,0.7847533632286996,5.829488220667427e-07,5.578000354805601e-07,5.5780003548056e-07,4.125322457479074e-06,0.0005159097075290673,0.7847533632286996,4.0499028226875054e-05,3.180692609950597e-05,5.578000354805601e-07,0.00017318083287378377,0.03584163998078442,0.7847533632286996,8.938159453933598e-05,2.093264035249564e-05,5.5780003548056e-07,0.0005987118515925067,0.07910271116731234,0.7847533632286996,3.524331778360096e-06,5.578000354805601e-07,5.5780003548056e-07,0.00010139123224113816,0.0031190336238486843,0.7847533632286996
EGY.3_1,3.0,9.424041375738354e-05,1.2687863787465934e-05,4.731337739621867e-06,0.0010747483245614558,0.00904707972070882,1.0309278350515465,0.0002876057069214243,0.00021049990624238865,7.71345550627937e-05,0.000844218846189543,0.02761014786445673,1.0309278350515465,0.0003765248843681079,0.0002398259933044088,0.00011987979536702343,0.0012831438056669672,0.03614638889933836,1.0309278350515465,9.490538264765906e-05,9.330418939210664e-05,5.8683526683936854e-05,0.00017901035366154353,0.009110916734175271,1.0309278350515465,4.83752963157741e-06,4.2667287100475485e-06,2.644568887558152e-06,2.6200717145947312e-05,0.00046440284463143135,1.0309278350515465,2.051020796585723e-05,1.5098147715622628e-05,6.433580262846556e-06,5.121675780387973e-05,0.0019689799647222947,1.0309278350515465,4.143661941343759e-06,2.644568887558152e-06,2.644568887558152e-06,1.2326426746060905e-05,0.0003977915463690008,1.0309278350515465,6.3766042896022725e-06,6.3346064362328e-06,2.320096162796968e-06,1.2616455122663212e-05,0.0006121540118018183,1.0309278350515465,6.278231783279445e-06,5.621666011562808e-06,2.644568887558152e-06,1.5351328573464338e-05,0.0006027102511948268,1.0309278350515465,0.0008201666680430681,0.0007811649253333852,0.00015316808652484016,0.0021993720692862558,0.07873600013213454,1.0309278350515465,1.0259634982289932e-05,4.8684606498579494e-06,1.1477497443448096e-06,6.237853693109998e-05,0.0009849249582998337,1.0309278350515465,0.0003258697971785622,0.00024634330752713494,0.00012575040561803568,0.00111647734862752,0.03128350052914197,1.0309278350515465
EGY.4_1,4.0,2.627075120623091e-06,2.644568887558152e-06,1.1687055158263303e-06,3.934459215076643e-06,0.00013398083115177763,0.0,0.0002514779950200682,0.000232434862882294,4.3449777865255014e-05,0.0005282207426663317,0.012825377746023476,0.0,0.00010066379431881444,9.871037596356923e-05,8.77308220513295e-05,0.00012281298334104862,0.005133853510259537,0.0,6.098018801791873e-05,6.1011431813459836e-05,3.560350507881025e-05,8.731966852430732e-05,0.0031099895889138557,0.0,2.0239743114146113e-06,1.2191621967839826e-06,5.578000354805601e-07,7.749907472625656e-06,0.00010322268988214517,0.0,6.741118376864442e-06,6.303340721009424e-06,1.3089597170687121e-06,1.3937006036272048e-05,0.00034379703722008657,0.0,1.812087483187236e-06,2.644568887558152e-06,5.578000354805601e-07,2.644568887558152e-06,9.241646164254902e-05,0.0,1.0753410400465662e-06,5.578000354805601e-07,5.578000354805601e-07,2.644568887558152e-06,5.484239304237487e-05,0.0,1.3323359524380705e-06,5.578000354805601e-07,5.578000354805601e-07,3.1136609949729094e-06,6.794913357434159e-05,0.0,0.00011103629146524834,8.033262435568773e-05,9.888851745174253e-06,0.0003518879107063011,0.005662850864727665,0.0,6.082569152143115e-07,5.578000354805601e-07,5.578000354805601e-07,1.4722392533091787e-06,3.1021102675929885e-05,0.0,0.00011500484995862742,0.00010541392431783355,4.610573787147941e-05,0.0002107866423709632,0.005865247347889998,0.0
EGY.5_1,5.0,7.470878957358233e-05,7.500163102081494e-05,2.590429374291795e-05,0.00012461137136113832,0.001344758212324482,0.0,0.0005419847580005912,0.0005186868919434579,0.00042014319427555565,0.0007477958142992268,0.009755725644010643,0.0,0.000507641128199905,0.0004958353574331687,0.00034555381211382385,0.0007114168031465397,0.00913754030759829,0.0,0.0001456913184866915,0.0001480304751611589,0.00011606413634858941,0.00016482649517463716,0.002622443732760448,0.0,8.037233282998189e-06,8.481040600474851e-06,4.704818760788991e-06,1.0796296237783388e-05,0.0001446701990939674,0.0,2.6544151764823834e-05,2.426487828910225e-05,1.9306776520710398e-05,4.044955179825421e-05,0.000477794731766829,0.0,3.996965079511098e-06,4.627122775043294e-06,2.644568887558152e-06,4.731337739621867e-06,7.194537143119977e-05,0.0,4.816183403032496e-06,4.731337739621867e-06,2.644568887558152e-06,6.81810659168558e-06,8.669130125458492e-05,0.0,4.531880398185865e-06,4.731337739621867e-06,2.644568887558152e-06,6.844625570518454e-06,8.157384716734557e-05,0.0,0.0011925078257388716,0.0011868825828619028,0.0010412851987851423,0.0013072385645417845,0.02146514086329969,0.0,1.601967784191875e-06,7.076903395190411e-07,5.578000354805601e-07,4.522548651587066e-06,2.8835420115453748e-05,0.0,0.0005016431685755022,0.0004983168972406862,0.00036485578518032855,0.0006464891002877425,0.00902957703435904,0.0
EGY.6_1,6.0,0.00018901479847951478,8.917911295589905e-05,7.912119047617989e-06,0.001133869473210121,0.004158325566549325,8.333333333333332,0.0003378832110264963,0.0002778047207677664,8.844641631118847e-05,0.0008513606338239949,0.007433430642582919,8.333333333333332,0.0004573917712067218,0.00036502836356768663,0.00013865349557138872,0.001220476844836966,0.01006261896654788,8.333333333333332,0.00010337995059989417,0.00010419985702531807,6.742307892563901e-05,0.0001415435671854162,0.0022743589131976718,8.333333333333332,3.2825154493041542e-06,2.644568887558152e-06,2.644568887558152e-06,1.0076854428670523e-05,7.221533988469141e-05,8.333333333333332,1.7920560438066785e-05,1.815360814687136e-05,9.137613898904833e-06,4.030132365984147e-05,0.00039425232963746933,8.333333333333332,2.644568887558152e-06,2.644568887558152e-06,2.6445688875581515e-06,2.644568887558152e-06,5.818051552627935e-05,8.333333333333332,6.1600888895985824e-06,6.586426849145417e-06,7.709451098947236e-07,1.0932076160979134e-05,0.0001355219555711688,8.333333333333332,1.0149621477629984e-05,9.560301143999508e-06,1.6518124914202453e-06,1.9338719704081728e-05,0.00022329167250785962,8.333333333333332,0.0010632310943321387,0.0010114332972052168,0.00043996467406670647,0.0021874896396105272,0.02339108407530705,8.333333333333332,2.7005337017871953e-05,1.891487246529228e-05,6.894187176817965e-06,6.648005505162344e-05,0.000594117414393183,8.333333333333332,0.0003844032445643377,0.0003385367016107445,0.0001152242275270498,0.0011420650459178026,0.008456871380415426,8.333333333333332
EGY.7_1,7.0,8.881932339619979e-06,6.710299980524824e-06,2.644568887558152e-06,3.2450701444802195e-05,0.00041745081996213913,0.0,0.000947101720314173,0.0008840697647215967,0.0007313490788047739,0.0012250979935066295,0.04451378085476613,0.0,0.0003023001757443543,0.0002816818499036397,0.0001864451703588635,0.0004746336769284153,0.01420810825998465,0.0,0.00016733986618537868,0.00016306107864332418,0.00011308646268274148,0.0002614175530104697,0.0078649737107128,0.0,1.597952656592474e-05,1.0991644295826886e-05,4.551056150062112e-06,6.367542319202248e-05,0.0007510377485984628,0.0,1.3500888464345115e-05,1.0991644295826886e-05,4.566534818670306e-06,2.8915335254508447e-05,0.0006345417578242202,0.0,3.664036298978442e-06,3.4911896829289637e-06,2.644568887558152e-06,4.731337739621867e-06,0.0001722097060519867,0.0,5.095641413692873e-06,4.731337739621867e-06,2.644568887558152e-06,1.2681792686691024e-05,0.00023949514644356503,0.0,9.381730562933501e-06,9.115702171336315e-06,4.731337739621867e-06,1.7246026193306754e-05,0.0004409413364578745,0.0,0.0005775544388590666,0.0005702952567694045,0.00033360488706320386,0.0010583539343128367,0.02714505862637613,0.0,2.256748731540844e-05,1.9859077266634786e-05,9.01268205491076e-06,4.369677369173566e-05,0.0010606719038241963,0.0,0.00017887773121094767,0.00016225368203031976,0.00011122645223279888,0.000316249548828391,0.008407253366914542,0.0
EGY.8_1,8.0,9.065232957600546e-06,8.023219567915025e-06,5.578000354805601e-07,3.7500498760360103e-05,0.0027920917509409683,0.0,0.00013467041506719942,3.375751622996139e-05,8.306148097972752e-06,0.0006830106132945733,0.041478487840697416,0.0,5.8008345845031444e-05,1.7467521835073607e-05,2.644568887558152e-06,0.00024053657655911256,0.017866570520269683,0.0,0.00010716897449834862,9.763259697752757e-05,2.14557282135623e-05,0.0002532427313665957,0.033008044145491376,0.0,5.404394947851066e-06,2.644568887558152e-06,5.578000354805601e-07,6.700325540644021e-05,0.0016645536439381288,0.0,3.422956226613413e-06,2.644568887558152e-06,5.578000354805601e-07,1.5165181999954315e-05,0.0010542705177969314,0.0,1.050305948713522e-06,5.578000354805601e-07,5.578000354805601e-07,4.731337739621867e-06,0.0003234942322037647,0.0,1.3330407079918806e-06,5.578000354805601e-07,5.578000354805601e-07,6.1902773622227854e-06,0.00041057653806149917,0.0,1.68922572711993e-06,5.578000354805601e-07,5.578000354805601e-07,1.2439644401349764e-05,0.0005202815239529385,0.0,0.00010255567349371396,1.690493981189321e-05,5.578000354805601e-07,0.0006889700867497063,0.0315871474360639,0.0,1.7523444148701177e-06,5.578000354805601e-07,5.578000354805601e-07,1.6586727673447794e-05,0.0005397220797799963,0.0,8.200674754046859e-05,6.720929970295271e-05,4.6398597428135016e-06,0.00036237477140949737,0.02525807824246433,0.0
EGY.9_1,9.0,1.1864422734505965e-05,7.935617799579367e-06,4.731337739621867e-06,3.3854659907662814e-05,0.0002135596092211073,0.0,0.00037464431831224233,0.0004125051378815581,0.00015169168658734895,0.0005101279153259943,0.006743597729620362,0.0,0.00024505198166722525,0.00023322022514562623,0.00017031438198783294,0.0003379394296777022,0.004410935670010055,0.0,0.00011685336318764238,0.00011340838742392758,8.215328987212499e-05,0.00016028011856118672,0.002103360537377563,0.0,8.696859156389124e-06,8.899914694692406e-06,4.731337739621867e-06,1.1019396892288827e-05,0.00015654346481500426,0.0,1.4532259674610615e-05,1.421242363815353e-05,1.1151614097704707e-05,1.9908165184121488e-05,0.0002615806741429912,0.0,3.536549186808628e-06,2.9087005158003467e-06,2.644568887558152e-06,4.731337739621867e-06,6.36578853625553e-05,0.0,3.659420789501004e-06,2.954381256345795e-06,2.644568887558152e-06,5.712332680224914e-06,6.586957421101805e-05,0.0,6.299743459695228e-06,6.810289815058623e-06,4.731337739621867e-06,8.680095211627873e-06,0.00011339538227451408,0.0,0.0008382092830190081,0.0008516677186860657,0.0004965765049747294,0.0011746930284117314,0.015087767094342144,0.0,1.6110963093512345e-06,1.6677948614166098e-06,5.578000354805601e-07,2.644568887558152e-06,2.8999733568322224e-05,0.0,0.0003348943163664704,0.0003392405457173582,0.0002579026965026797,0.0003837867481313942,0.006028097694596467,0.0
EGY.10_1,10.0,2.245532689002576e-06,1.4390030284895453e-06,5.578000354805601e-07,1.084414889212106e-05,0.0006062938260306956,0.0,0.00011714585648763115,7.540626725814306e-05,1.1652591226916125e-05,0.0006976847396430918,0.03162938125166041,0.0,1.985114159177356e-05,1.2995793036737733e-05,2.644568887558152e-06,7.804454350630402e-05,0.0053598082297788615,0.0,3.912713682864919e-05,3.2069475474998736e-05,3.617333483743615e-06,0.00015185637434073364,0.01056432694373528,0.0,4.052274130420903e-06,3.2332379209114694e-06,5.578000354805601e-07,1.981034076515456e-05,0.0010941140152136435,0.0,1.917577789143102e-06,5.578000354805601e-07,5.578000354805601e-07,2.023897026538051e-05,0.0005177460030686375,0.0,6.703889841194226e-07,5.578000354805601e-07,5.578000354805601e-07,4.112772360121147e-06,0.00018100502571224405,0.0,5.578000354805601e-07,5.578000354805601e-07,5.578000354805601e-07,5.578000354805601e-07,0.00015060600957975123,0.0,5.578000354805601e-07,5.578000354805601e-07,5.578000354805601e-07,5.578000354805601e-07,0.00015060600957975123,0.0,1.169374629509325e-05,8.904875443749294e-06,2.644568887558152e-06,3.414987621922829e-05,0.003157311499675177,0.0,5.601780592327215e-07,5.578000354805601e-07,5.578000354805601e-07,1.199866448564183e-06,0.00015124807599283484,0.0,1.92415852350839e-05,1.2831847935200385e-05,5.578000354805601e-07,9.169649978776873e-05,0.005195228013472652,0.0
