adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,GHA.1_1,2.475382841,2.54049658,1.48231583,3.974620605,495.0765683,0,2.468585797,2.5119873,1.560506863,3.77859226,493.7171594,0,2.702174375,2.749744076,1.770047305,4.045875331,540.4348749,0,3.138362772,3.200148478,2.140206286,4.463561938,627.6725544,0,3.091037768,3.056019361,2.21429684,4.230999839,618.2075536,0,2.640061436,2.658012853,1.919856628,3.581702225,528.0122872,0,2.150246926,2.094193399,1.627116565,3.187174064,430.0493852,0,1.893751608,1.783691803,1.386203315,3.024952887,378.7503215,0,2.335637515,2.325794098,1.784571659,3.308897361,467.127503,0,3.177741545,3.167018563,2.389137788,4.385041832,635.5483091,0,3.376740401,3.425547555,2.445075994,4.642703111,675.3480801,0,2.970111847,3.063050738,1.921765979,4.311910923,594.0223694,0
2,GHA.2_1,2.454179656,1.935792628,0.03626224,5.961541751,804.9709271,0,2.470401278,1.985583434,0.036178028,5.963806148,810.2916191,0,2.720896096,2.293517681,0.038826,5.967641351,892.4539194,0,3.084985976,2.709191982,0.041902045,5.977790534,1011.8754,0,3.153808715,2.871431879,0.045277507,5.986953734,1034.449258,0,2.936219332,2.654917945,0.045476338,5.991291818,963.0799408,0,2.691638001,2.404521839,0.043710244,5.987704787,882.8572642,0,2.544504091,2.296075802,0.042355849,5.988741336,834.5973419,0,2.831228519,2.545643342,0.045066979,5.992763534,928.6429541,0,3.276975105,2.987936346,0.048676361,5.994461269,1074.847834,0,3.179119295,2.824911266,0.046114939,5.984476952,1042.751129,0,2.757245028,2.309646953,0.039976885,5.967709546,904.3763691,0
3,GHA.3_1,3.534379705,3.35449637,1.756848627,5.850464384,261.5440981,3.896103896,3.368856246,3.190477466,1.610357298,5.788706304,249.2953622,3.896103896,3.55535066,3.387316486,1.845702373,5.839348399,263.0959489,3.896103896,3.962685966,3.793147979,2.153085624,5.96468916,293.2387615,3.896103896,3.944445512,3.819300676,2.21601828,5.963825153,291.8889679,3.896103896,3.541579272,3.4145668,2.037413606,5.825080117,262.0768662,3.896103896,3.108797335,2.900190974,1.841031891,5.693455489,230.0510028,3.896103896,2.826075724,2.549729794,1.640767401,5.593813402,209.1296036,3.896103896,3.215195016,2.977529504,1.88175121,5.696635067,237.9244312,3.896103896,3.932706148,3.815933367,2.330539911,5.918050366,291.0202549,3.896103896,4.20924801,4.111447662,2.351209568,6.021607755,311.4843527,3.896103896,4.009742296,3.910213006,2.156919899,5.964805687,296.7209299,3.896103896
4,GHA.4_1,2.54414994,2.639886597,0.006748138,5.220214733,379.078341,0,2.508755486,2.596619146,0.006727545,5.216050721,373.8045673,0,2.700718895,2.815491546,0.0068438,5.295556027,402.4071153,0,3.047435963,3.251324463,0.007090366,5.408809954,454.0679585,0,3.130610796,3.304792211,0.007291553,5.492659596,466.4610086,0,2.801631065,2.790734099,0.007294802,5.48186211,417.4430287,0,2.405252923,2.367135757,0.007158565,5.432251039,358.3826855,0,2.200912366,2.149476156,0.007062292,5.396087098,327.9359425,0,2.612972542,2.612527319,0.007314273,5.498461459,389.3329087,0,3.276462508,3.414631256,0.007512629,5.581658552,488.1929136,0,3.367522469,3.626843242,0.007363141,5.555280443,501.7608479,0,3.01616959,3.250562663,0.007003151,5.335525844,449.409269,0
5,GHA.5_1,2.041768941,2.017322751,1.203716565,5.107683761,57.16953034,6.666666667,2.030772075,1.973091356,1.234318898,5.094902319,56.86161809,6.666666667,2.122609296,2.066533235,1.352855101,5.182202149,59.43306028,6.666666667,2.270066006,2.153886938,1.563351916,5.326890836,63.56184817,6.666666667,2.328845884,2.194077373,1.658203344,5.38095045,65.20768475,6.666666667,2.303383067,2.204813609,1.673384888,5.382564083,64.49472588,6.666666667,2.223051046,2.082934074,1.568044282,5.284496657,62.2454293,6.666666667,2.106980694,1.988413953,1.36997008,5.16236526,58.99545944,6.666666667,2.203736222,2.132291813,1.458503939,5.276868862,61.7046142,6.666666667,2.390814103,2.218264203,1.720461196,5.468313913,66.94279488,6.666666667,2.434217202,2.263351275,1.759153977,5.520008706,68.15808167,6.666666667,2.261010642,2.119867594,1.488703147,5.333952743,63.30829797,6.666666667
6,GHA.6_1,2.021201623,1.912250198,0,5.956032686,1117.724497,0,2.046529359,1.975762827,0,5.958906745,1131.730735,0,2.0952391,2.037220594,0,5.963326047,1158.667222,0,2.183217323,2.235600065,0,5.974595791,1207.319179,0,2.250233216,2.323502867,0,5.984325022,1244.378968,0,2.264140501,2.358992642,0,5.993247157,1252.069697,0,2.232225293,2.324882543,0,5.987486662,1234.420587,0,2.249437027,2.345885618,0,5.98736376,1243.938676,0,2.30854444,2.449725071,0,5.999148874,1276.625076,0,2.340612335,2.474917673,0,6.00770814,1294.358621,0,2.237046484,2.341352614,0,5.981963361,1237.086706,0,2.078348531,2.042749606,0,5.961787162,1149.326737,0
7,GHA.7_1,0.754158289,0.113837028,0,4.414566333,51.28276365,0,0.753756896,0.113835005,0,4.414262961,51.25546894,0,0.754168191,0.113839052,0,4.417038048,51.28343699,0,0.75669272,0.113922763,0,4.434074119,51.45510496,0,0.760900383,0.114336663,0,4.456292313,51.74122603,0,0.769936628,0.1146317,0,4.480723759,52.3556907,0,0.780607871,0.114922666,0,4.494145139,53.08133521,0,0.795140285,0.115201493,0,4.514458427,54.06953935,0,0.805302737,0.115410771,0,4.543470289,54.76058613,0,0.793782272,0.115110347,0,4.522105436,53.97719446,0,0.774460568,0.114408869,0,4.464256631,52.66331863,0,0.759586799,0.113913305,0,4.426769324,51.65190235,0
8,GHA.8_1,0.50410182,0,0,5.421061541,77.63168022,0,0.50434868,0,0,5.421675314,77.66969678,0,0.504833106,0,0,5.421859446,77.74429833,0,0.506025873,0,0,5.422718727,77.92798452,0,0.507120923,0,0,5.423639386,78.09662208,0,0.508458823,0,0,5.424498668,78.30265878,0,0.509109487,0,0,5.424560045,78.402861,0,0.510302173,0,0,5.424866932,78.58653457,0,0.511396224,0,0,5.426094477,78.75501856,0,0.510058335,0,0,5.42535795,78.54898366,0,0.507247177,0,0,5.423578009,78.11606533,0,0.504743966,0,0,5.421798068,77.73057082,0
9,GHA.9_1,2.232894434,1.973078269,0,5.676984405,370.6604761,2.352941176,2.247611892,2.021203688,0,5.683115213,373.103574,2.352941176,2.461141423,2.289123297,0,5.709606289,408.5494763,2.352941176,2.745015312,2.640492638,0,5.745657603,455.6725418,2.352941176,2.864963502,2.806424401,0,5.790588819,475.5839413,2.352941176,2.751628329,2.60556176,0,5.811098538,456.7703025,2.352941176,2.52513687,2.294549707,0,5.75258388,419.1727203,2.352941176,2.424878603,2.25091758,0,5.755322247,402.5298481,2.352941176,2.695934575,2.5720611,0,5.785435337,447.5251395,2.352941176,3.050072196,3.098370145,0,5.852578423,506.3119845,2.352941176,3.014273106,3.031638858,0,5.797043752,500.3693355,2.352941176,2.594724943,2.452963097,0,5.720399932,430.7243405,2.352941176
10,GHA.10_1,3.893893429,3.784600653,2.82705789,5.969253622,778.7786858,1.960784314,3.679975927,3.533154875,2.495668523,5.93261778,735.9951855,1.960784314,3.87744418,3.788463843,2.790454473,6.037881166,775.488836,1.960784314,4.385849029,4.376967879,3.282453812,6.243551021,877.1698057,1.960784314,4.24794686,4.252268577,2.986203773,6.157468713,849.589372,1.960784314,3.62583942,3.5832024,2.231603745,5.921272668,725.1678841,1.960784314,3.118421667,3.006663771,1.860094289,5.844670085,623.6843335,1.960784314,2.779664522,2.56094429,1.453771329,5.768844347,555.9329044,1.960784314,3.199319428,3.013664879,1.899837514,5.85937092,639.8638856,1.960784314,4.012773286,4.005872683,2.820678076,6.040609824,802.5546573,1.960784314,4.442297052,4.540928123,3.143520358,6.222398574,888.4594104,1.960784314,4.297559853,4.334202425,3.08685352,6.14788208,859.5119706,1.960784314
