adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,GHA.1_1,0.000730047,0.000763276,0.000137649,0.001346375,0.146009316,0,0.00182087,0.001849694,0.000913136,0.002602459,0.364173956,0,0.003444484,0.003596808,0.0020586,0.004610065,0.688896845,0,0.004365135,0.00444151,0.003067713,0.005238642,0.87302707,0,0.0045005,0.004390903,0.002796743,0.006413406,0.900099953,0,0.004651651,0.004569323,0.003539765,0.007888348,0.930330147,0,0.004091411,0.003958841,0.00296786,0.006894447,0.818282226,0,0.002590049,0.002495375,0.001932225,0.004457426,0.518009881,0,0.008286141,0.007941018,0.00574181,0.011566778,1.6572283,0,0.009017646,0.008574026,0.006415814,0.012786483,1.803529134,0,0.003137616,0.003275569,0.001374455,0.004755268,0.627523246,0,0.000613794,0.000696174,3.83E-05,0.001424036,0.122758899,0
2,GHA.2_1,0.000537735,0.000545837,4.34E-05,0.001344889,0.176377242,0,0.000881092,0.000743571,2.95E-05,0.002433624,0.28899821,0,0.002239176,0.002082712,0.001038847,0.00453758,0.734449578,0,0.003870036,0.003991611,0.001925847,0.006989377,1.269371793,0,0.003895324,0.00390053,0.001732149,0.006244811,1.277666416,0,0.004409723,0.003720415,0.001638732,0.011426343,1.446389259,0,0.005165765,0.004721356,0.00283367,0.013528717,1.694370805,0,0.003171352,0.002904681,0.001838373,0.006649639,1.040203592,0,0.007630739,0.007704139,0.004871819,0.011775889,2.502882246,0,0.009470586,0.00966032,0.00655193,0.015761202,3.106352164,0,0.001972444,0.001602296,0.000279612,0.00428272,0.646961614,0,0.000190485,6.02E-05,5.58E-07,0.000824112,0.062478967,0
3,GHA.3_1,0.001693725,0.00168675,0.000728203,0.002770809,0.125335654,3.896103896,0.003029022,0.003023688,0.001679053,0.004728227,0.224147614,3.896103896,0.003240975,0.003258306,0.001555643,0.004890802,0.239832151,3.896103896,0.004471329,0.004647392,0.001826001,0.005784122,0.330878366,3.896103896,0.007194753,0.00741575,0.00505079,0.009008929,0.532411711,3.896103896,0.007082546,0.007240852,0.004493539,0.009142043,0.52410838,3.896103896,0.004957795,0.005043265,0.002563363,0.006786609,0.366876838,3.896103896,0.002834652,0.002841603,0.001312567,0.004066529,0.209764284,3.896103896,0.007275966,0.00733971,0.00359024,0.009755523,0.538421452,3.896103896,0.008884201,0.008953645,0.006633459,0.011622346,0.657430875,3.896103896,0.003821706,0.003979075,0.002104901,0.00498157,0.282806248,3.896103896,0.00169459,0.001661797,0.001096522,0.00251059,0.125399654,3.896103896
4,GHA.4_1,0.000704924,0.000518027,0.000116218,0.001664186,0.105033703,0,0.002148428,0.002029129,0.00057413,0.003963982,0.320115832,0,0.002828911,0.002985407,0.000938611,0.004219164,0.421507669,0,0.003421252,0.003432512,0.001695369,0.005780862,0.509766491,0,0.004770937,0.004602662,0.002994895,0.007859824,0.710869608,0,0.005893031,0.005831298,0.003578449,0.007981677,0.878061664,0,0.005948501,0.005880922,0.003536519,0.008815204,0.886326608,0,0.003252186,0.003155727,0.001797369,0.006047914,0.4845757,0,0.009455982,0.009034365,0.005519929,0.016120076,1.408941344,0,0.009073153,0.009090675,0.006568311,0.012318511,1.351899836,0,0.003124058,0.002901635,0.001415157,0.00535582,0.465484626,0,0.000768767,0.000694167,0.000165535,0.001724518,0.114546329,0
5,GHA.5_1,0.00070909,0.00069417,0.000317368,0.001133379,0.019854506,6.666666667,0.002228892,0.002193613,0.001409424,0.003056858,0.062408981,6.666666667,0.00148027,0.001409998,0.000751868,0.002202523,0.041447565,6.666666667,0.002276178,0.002219586,0.001594009,0.003434568,0.06373299,6.666666667,0.004691033,0.00471321,0.003587619,0.005635181,0.131348936,6.666666667,0.004976778,0.004813318,0.004332794,0.006494224,0.139349776,6.666666667,0.003187919,0.002900581,0.001753489,0.005953394,0.089261725,6.666666667,0.001424334,0.001202507,0.000626382,0.003210044,0.039881349,6.666666667,0.004434461,0.003859359,0.00232967,0.008825559,0.124164902,6.666666667,0.00750567,0.007497027,0.006047739,0.009185515,0.210158763,6.666666667,0.002175065,0.002126697,0.001590641,0.00302722,0.060901832,6.666666667,0.001051872,0.001051878,0.000644613,0.001517107,0.029452427,6.666666667
6,GHA.6_1,0.000143896,9.10E-05,1.06E-06,0.000579579,0.079574318,0,0.000110307,7.57E-05,5.58E-07,0.000716971,0.060999966,0,0.001121186,0.001132134,0.000269427,0.002843023,0.620015729,0,0.001938248,0.001905397,0.000610594,0.004067187,1.07185126,0,0.002080594,0.002011722,0.001088836,0.003980134,1.150568504,0,0.002298468,0.002145642,0.001415508,0.00517181,1.271052945,0,0.006694328,0.006547219,0.004284953,0.009351427,3.701963342,0,0.005887353,0.005908438,0.002377621,0.009312691,3.2557063,0,0.006671143,0.006729373,0.003685985,0.010278498,3.689141846,0,0.008571625,0.008767021,0.005168613,0.014883494,4.740108842,0,0.000697252,0.00053339,0.000166154,0.003019509,0.385580264,0,2.75E-06,5.58E-07,5.58E-07,5.06E-05,0.001521809,0
7,GHA.7_1,6.95E-06,6.46E-06,6.24E-07,1.46E-05,0.000472865,0,1.23E-06,5.58E-07,5.58E-07,5.09E-06,8.36E-05,0,0.000342177,0.000291069,0.000146503,0.000737116,0.023268026,0,0.000632473,0.000610729,0.000354972,0.000994725,0.043008156,0,0.001321811,0.001298498,0.000992075,0.001822417,0.089883158,0,0.001851866,0.001794943,0.001427693,0.002452022,0.125926896,0,0.005718382,0.005636373,0.004678334,0.006860584,0.388850006,0,0.006649782,0.006570512,0.006053466,0.007924293,0.452185177,0,0.004016396,0.004004984,0.003059282,0.005393873,0.273114904,0,0.004546022,0.004518574,0.003771188,0.005623409,0.309129513,0,0.000124794,0.000114734,3.55E-05,0.000277851,0.008485986,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,3.79E-05,0
8,GHA.8_1,9.59E-06,8.50E-06,5.58E-07,4.49E-05,0.00147659,0,1.61E-05,1.04E-05,5.58E-07,9.64E-05,0.002475222,0,0.000521811,0.000470405,0.0002398,0.001097772,0.080358847,0,0.001312434,0.001334278,0.000483097,0.002357248,0.2021149,0,0.002124102,0.002121374,0.001269275,0.00305867,0.327111738,0,0.001831123,0.001870796,0.001185671,0.002991492,0.28199296,0,0.006274647,0.006198496,0.005332804,0.008063249,0.966295589,0,0.007114235,0.007178855,0.005269115,0.008402391,1.095592181,0,0.004489904,0.004385091,0.0037014,0.006966583,0.691445251,0,0.00574548,0.005550037,0.004765747,0.00815056,0.884803948,0,0.00025277,0.000202517,1.97E-05,0.000743071,0.038926583,0,5.58E-07,5.58E-07,5.58E-07,5.58E-07,8.59E-05,0
9,GHA.9_1,0.000608597,0.000593605,0.000240141,0.001062117,0.10102705,2.352941176,0.001321837,0.001155312,0.000108741,0.003076122,0.219424882,2.352941176,0.002874668,0.00243357,0.001029303,0.006461492,0.477194838,2.352941176,0.003597569,0.003266138,0.002041326,0.007735237,0.597196389,2.352941176,0.004200745,0.004325053,0.001923669,0.007944178,0.697323678,2.352941176,0.006667805,0.006475406,0.003849872,0.010775419,1.106855614,2.352941176,0.00840123,0.008916295,0.002784048,0.012829856,1.39460412,2.352941176,0.00460395,0.004967446,0.000569536,0.007281457,0.764255636,2.352941176,0.010027558,0.010234011,0.002458618,0.016276038,1.664574576,2.352941176,0.012630597,0.012356262,0.008116305,0.0172674,2.09667905,2.352941176,0.002549088,0.002321632,0.001179903,0.004458464,0.423148563,2.352941176,0.00057832,0.000360071,6.83E-06,0.001656579,0.096001142,2.352941176
10,GHA.10_1,0.002099074,0.001958862,0.000784527,0.003857295,0.419814731,1.960784314,0.003336617,0.003096713,0.001875239,0.006315308,0.667323473,1.960784314,0.004219184,0.004252947,0.002156929,0.006146953,0.843836864,1.960784314,0.004910409,0.004932603,0.003174571,0.006585952,0.982081893,1.960784314,0.007572932,0.007665185,0.004079614,0.011964004,1.514586333,1.960784314,0.007335884,0.006866348,0.002855281,0.014137319,1.467176785,1.960784314,0.004175683,0.00411328,0.002527181,0.005971119,0.835136641,1.960784314,0.002943756,0.002939979,0.001757914,0.004264742,0.588751142,1.960784314,0.007545092,0.00769004,0.003904671,0.009021514,1.509018325,1.960784314,0.009410668,0.009267643,0.006422516,0.012414258,1.88213352,1.960784314,0.004343439,0.004458118,0.002348383,0.006747977,0.868687836,1.960784314,0.002034665,0.001798769,0.000526586,0.004504093,0.406933085,1.960784314
