adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,GHA.1_1,0.798687357,0.903585405,-0.032288887,1.152617474,159.7374714,0,1.192718137,1.236624546,0.653214204,1.472420973,238.5436273,0,1.314102213,1.355581318,0.86012595,1.567286977,262.8204426,0,1.387219146,1.404661642,1.033279841,1.650638301,277.4438291,0,1.237482991,1.233274324,0.826029699,1.543186206,247.4965981,0,1.409279612,1.438603646,0.906326079,1.690405907,281.8559225,0,1.323537869,1.378559068,0.824816548,1.540633011,264.7075738,0,1.531651616,1.593318969,1.050190686,1.765225177,306.3303233,0,0.96409844,1.02038809,0.537493828,1.135130195,192.8196879,0,0.909624605,0.961752509,0.466143058,1.095465884,181.924921,0,0.894097349,0.894088253,0.577481112,1.121137737,178.8194697,0,0.748305212,0.805580369,0.158359493,0.997764578,149.6610424,0
2,GHA.2_1,0.127887493,0.103539481,-1.169354884,1.242398392,41.94709781,0,0.741817315,0.757703717,-0.441442543,2.567864121,243.3160792,0,1.230237769,1.183821258,0.683619594,2.714705945,403.5179883,0,1.483946899,1.454205052,1.075275851,2.991469451,486.7345828,0,1.43886176,1.379285775,0.975880473,2.947867171,471.9466572,0,1.47471087,1.491599838,0.955142664,2.682509201,483.7051654,0,1.316686055,1.323232074,0.868036731,2.395072638,431.8730261,0,1.465084088,1.458706162,1.060228931,2.72360496,480.5475807,0,0.897586005,0.888943757,0.595645011,1.821195628,294.4082097,0,0.867391772,0.868589917,0.533909141,1.697159696,284.5045013,0,0.892240642,0.88796495,0.377952242,2.39576144,292.6549306,0,0.302688689,0.335197662,-1.076478997,1.752177121,99.28189003,0
3,GHA.3_1,1.117084034,0.967428346,0.781139775,2.219402159,82.66421849,3.896103896,1.291402653,1.144161404,0.92087721,2.481700684,95.56379636,3.896103896,1.276242321,1.126410577,0.882651803,2.44311321,94.44193176,3.896103896,1.266738473,1.137649661,0.878147305,2.316794433,93.738647,3.896103896,0.884741185,0.787804835,0.587785553,1.724046566,65.47084769,3.896103896,1.348262547,1.193442894,1.005302466,2.414675236,99.77142851,3.896103896,1.455508851,1.256887358,1.095785902,2.586284648,107.7076549,3.896103896,1.64385149,1.506981094,1.265997471,2.676615466,121.6450103,3.896103896,1.102366011,0.976756463,0.81317047,1.990208235,81.5750848,3.896103896,0.856572234,0.784137007,0.57760561,1.668299555,63.38634532,3.896103896,0.752102929,0.626190297,0.483385024,1.650274634,55.65561676,3.896103896,0.793509971,0.640637197,0.525844165,1.753591549,58.71973782,3.896103896
4,GHA.4_1,1.020982085,0.969214819,0.49021326,1.795084942,152.1263306,0,1.245384239,1.141809124,0.831509518,2.220031275,185.5622516,0,1.306238302,1.196017563,0.8771651,2.282591314,194.629507,0,1.430581119,1.304815463,0.950377253,2.591626541,213.1565867,0,1.165592868,1.083219785,0.597244512,2.176005433,173.6733373,0,1.336983293,1.255910609,0.901981766,2.330274677,199.2105106,0,1.267508079,1.216705349,0.81129571,2.046295051,188.8587037,0,1.556945994,1.477682922,1.045795052,2.551161898,231.9849531,0,0.916433741,0.891880092,0.504947873,1.531683334,136.5486274,0,0.739797161,0.726553926,0.416374107,1.239289795,110.229777,0,0.873392105,0.74874441,0.441830926,1.917465077,130.1354236,0,0.787756244,0.699979244,0.42069738,1.699415633,117.3756804,0
5,GHA.5_1,2.180456539,2.067864866,1.094172135,3.759037431,61.0527831,6.666666667,2.329964878,2.241884722,1.227867629,4.006278663,65.23901657,6.666666667,2.386249404,2.271041056,1.296736138,4.034057438,66.81498332,6.666666667,2.332042186,2.210847695,1.37322439,3.810602923,65.29718121,6.666666667,1.823702695,1.694227877,1.019713323,3.117102141,51.06367547,6.666666667,2.174370531,2.090257174,1.326650771,3.574040906,60.88237488,6.666666667,2.251008424,2.216665192,1.357192814,3.49648355,63.02823586,6.666666667,2.564476138,2.521912909,1.620130634,3.826829831,71.80533185,6.666666667,1.888598552,1.847585261,0.997084664,3.176009685,52.88075944,6.666666667,1.524566193,1.462542356,0.710047008,2.83917332,42.6878534,6.666666667,1.506170202,1.410559535,0.723971861,2.780351066,42.17276566,6.666666667,1.608873944,1.520350611,0.678663994,3.020558205,45.04847042,6.666666667
6,GHA.6_1,-1.136660652,-1.140759114,-1.892993342,0.074274515,-628.5733403,0,-0.614646982,-0.679026021,-1.576454607,0.749158368,-339.8997813,0,0.952896848,0.963621656,0.220378562,1.623436862,526.9519568,0,1.879099713,1.961229371,1.185641243,2.419520639,1039.142142,0,1.983519297,2.08504473,1.211573691,2.485004833,1096.886171,0,1.951664558,2.07894653,1.277819665,2.438948495,1079.2705,0,1.503677677,1.558132715,0.945028428,1.981011929,831.5337551,0,1.517771541,1.586020925,0.927636635,1.950985575,839.3276621,0,1.053799358,1.118634949,0.559692878,1.407219022,582.7510452,0,0.954353265,1.006206644,0.522317612,1.258664128,527.7573553,0,0.635653211,0.618256859,0.242382097,1.186584233,351.5162258,0,-1.031928043,-1.096128519,-1.700404803,0.092505321,-570.6562078,0
7,GHA.7_1,-1.863032076,-1.841777424,-2.15997928,-1.47043326,-126.6861812,0,-1.633038719,-1.60084112,-1.933293989,-1.298411908,-111.0466329,0,0.075591183,0.109446395,-0.405454494,0.349549089,5.140200463,0,1.800501568,1.829541501,1.462039845,1.978304314,122.4341066,0,2.154040079,2.203926422,1.864356475,2.336026521,146.4747254,0,2.18433359,2.196430866,1.942202583,2.361013929,148.5346841,0,1.723371965,1.75415131,1.473733655,1.882003153,117.1892936,0,1.674673257,1.715253777,1.423015394,1.833491553,113.8777815,0,1.25167741,1.279927005,1.036848552,1.390304684,85.11406388,0,1.227150448,1.26210138,1.020227545,1.350701734,83.44623044,0,0.528506759,0.554903112,0.256446611,0.726531416,35.93845959,0,-1.34820109,-1.334108298,-1.63289293,-1.066299405,-91.67767413,0
8,GHA.8_1,-1.549015724,-1.564567004,-2.105179255,-1.052007419,-238.5484214,0,-1.277582692,-1.270658328,-1.879692651,-0.833977889,-196.7477346,0,0.094973493,0.123587986,-0.492238824,0.648063691,14.62591788,0,1.65912054,1.645635301,1.347475802,1.934264644,255.5045632,0,1.922275538,1.946089364,1.60511281,2.050937899,296.0304328,0,2.123727536,2.152440125,1.706893301,2.266755891,327.0540406,0,1.543616323,1.554949091,1.253539312,1.618064923,237.7169137,0,1.621535061,1.63778537,1.296135417,1.769091567,249.7163994,0,1.017429724,1.01531775,0.871254821,1.124626292,156.6841775,0,0.977441653,0.976526905,0.830747683,1.071550867,150.5260146,0,0.490838974,0.502389917,0.26899932,0.670326249,75.58920201,0,-1.149936743,-1.111353278,-1.58769762,-0.844199538,-177.0902584,0
9,GHA.9_1,0.919673707,0.928274117,-0.490618422,3.597677453,152.6658354,2.352941176,1.35269262,1.342028998,0.170751068,3.881168477,224.5469749,2.352941176,1.561796137,1.451632075,0.768082976,3.898466246,259.2581587,2.352941176,1.719619996,1.627560959,1.029778775,3.686956791,285.4569194,2.352941176,1.521159248,1.486985275,0.925985603,3.053095906,252.5124352,2.352941176,1.531787136,1.488597638,0.883072647,3.492129799,254.2766646,2.352941176,1.430043449,1.32383165,0.789202455,3.369223611,237.3872126,2.352941176,1.689245947,1.589396256,0.996310139,3.66251469,280.4148271,2.352941176,1.084611108,0.980937514,0.514705912,3.095097698,180.0454439,2.352941176,0.861373293,0.759750662,0.383156733,2.758490148,142.9879667,2.352941176,1.103011975,1.027802761,0.49622589,2.662747975,183.0999879,2.352941176,0.801851525,0.84885222,-0.471105792,2.87839174,133.1073532,2.352941176
10,GHA.10_1,1.000810453,0.991365927,0.609400216,2.028189309,200.1620907,1.960784314,1.205900361,1.201399803,0.766423427,2.125030099,241.1800722,1.960784314,1.21253532,1.206105023,0.710599111,2.040068826,242.507064,1.960784314,1.174082213,1.143965235,0.671509187,1.987590753,234.8164427,1.960784314,0.887250381,0.852826373,0.382502594,1.556540559,177.4500761,1.960784314,1.301156653,1.242951412,0.866012764,2.65278637,260.2313306,1.960784314,1.376563266,1.337127974,0.981257317,2.65055445,275.3126531,1.960784314,1.505868485,1.469053727,1.11696776,2.465145391,301.173697,1.960784314,1.045431709,1.013250195,0.70798147,2.048454667,209.0863417,1.960784314,0.916144079,0.897908939,0.562155611,1.899361193,183.2288158,1.960784314,0.679935364,0.657729477,0.316881264,1.414849925,135.9870727,1.960784314,0.736620314,0.711032422,0.446986031,1.613504251,147.3240627,1.960784314
