adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,KEN.1_1,1.575889034,1.501253036,1.040051499,2.634208072,133.9505679,0,1.548590516,1.477084983,1.005193973,2.609854204,131.6301939,0,1.541899655,1.471973186,1.022691012,2.595026681,131.0614707,0,1.615749139,1.55658572,1.175573014,2.644437344,137.3386768,0,1.709225376,1.636651593,1.27780698,2.722687202,145.284157,0,1.702541239,1.636383008,1.267776676,2.697033845,144.7160053,0,1.685864861,1.627981738,1.250432177,2.676041553,143.2985132,0,1.688779015,1.623281173,1.261021382,2.717858651,143.5462163,0,1.673105696,1.608255757,1.218703723,2.75044003,142.2139841,0,1.608399107,1.5364575,1.12593817,2.674941964,136.7139241,0,1.584354934,1.527805389,1.071966086,2.641702954,134.6701694,0,1.583206906,1.529583055,1.062473189,2.636910339,134.572587,0
2,KEN.2_1,2.700686583,2.789312217,1.712449095,3.433438143,48.61235849,0,2.66405693,2.741641134,1.68249862,3.382165922,47.95302473,0,2.707157988,2.750360449,1.748325386,3.431428715,48.72884379,0,2.786640154,2.822303259,1.809698723,3.512487255,50.15952276,0,2.841112515,2.87335279,1.824459662,3.583165154,51.14002527,0,2.790073981,2.826792053,1.801847335,3.515314998,50.22133165,0,2.732097082,2.793123257,1.759734585,3.453671174,49.17774747,0,2.724269232,2.797122122,1.740965814,3.451141434,49.03684617,0,2.73641618,2.820163839,1.75034265,3.469387999,49.25549123,0,2.687840648,2.774099517,1.699621105,3.398033483,48.38113166,0,2.685386885,2.767618209,1.701893863,3.398501019,48.33696393,0,2.690497191,2.7722477,1.715501455,3.400641122,48.42894944,0
3,KEN.3_1,2.229173982,2.279624955,1.222176777,2.803654261,69.10439343,0,2.191771899,2.246764342,1.221455349,2.790578176,67.94492888,0,2.170018498,2.238986868,1.221860708,2.785846375,67.27057343,0,2.208403097,2.282013119,1.222818448,2.800725608,68.460496,0,2.308496218,2.3800292,1.223441585,2.91904085,71.56338277,0,2.349140056,2.43779467,1.223565494,2.95843606,72.82334174,0,2.332116837,2.421435279,1.22315369,2.957177308,72.29562194,0,2.309866661,2.397049029,1.222834135,2.855693289,71.60586648,0,2.297150288,2.367699118,1.222866141,2.858017301,71.21165891,0,2.266658387,2.314999214,1.222996029,2.843885569,70.26641,0,2.255481907,2.284099661,1.223072245,2.825747122,69.91993913,0,2.239534219,2.281794044,1.222688265,2.807248053,69.42556079,0
4,KEN.4_1,2.438119583,2.6313013,1.133867351,2.926220491,36.57179374,0,2.396923271,2.577335837,1.073449982,2.918825973,35.95384907,0,2.413140228,2.592487207,1.095129922,2.922390233,36.19710342,0,2.475445858,2.672306362,1.183998142,2.939476462,37.13168787,0,2.522402417,2.734995475,1.242918098,2.95217388,37.83603626,0,2.517344576,2.732779203,1.225144454,2.951734364,37.76016864,0,2.473572305,2.676764869,1.150664421,2.940311715,37.10358457,0,2.448304734,2.650255947,1.109843634,2.9341623,36.72457101,0,2.452161573,2.651067806,1.108216011,2.935232013,36.78242359,0,2.472357247,2.675014291,1.130481895,2.940331334,37.08535871,0,2.485607229,2.698331833,1.164076036,2.940156037,37.28410844,0,2.469199059,2.671983079,1.16505261,2.934100904,37.03798589,0
5,KEN.5_1,2.232103032,2.255792667,1.407762727,2.758116238,58.03467884,0,2.185559438,2.205723527,1.356502491,2.721603474,56.82454538,0,2.156778934,2.175098271,1.326206314,2.696752643,56.07625229,0,2.213848654,2.224323674,1.409934757,2.747823748,57.56006499,0,2.322290741,2.338187919,1.563966246,2.843076881,60.37955927,0,2.305112401,2.307444296,1.644697493,2.822663987,59.93292243,0,2.294790958,2.297633725,1.699785576,2.804625934,59.66456492,0,2.333204742,2.331546575,1.702934632,2.838310472,60.66332329,0,2.34683592,2.37191291,1.59901208,2.841674359,61.01773391,0,2.261100573,2.269303812,1.455357822,2.777605639,58.78861491,0,2.233184337,2.252456025,1.405702899,2.764389062,58.06279277,0,2.237343972,2.263640707,1.403445894,2.764187997,58.17094326,0
6,KEN.6_1,1.632661854,1.941170427,0.238635602,2.652247584,37.55122264,0,1.621569154,1.895790061,0.235740264,2.649597762,37.29609054,0,1.611458457,1.875981859,0.234980127,2.640399261,37.06354451,0,1.614856588,1.915872762,0.237062357,2.638893466,37.14170153,0,1.627350438,1.941326077,0.238425746,2.646952868,37.42906006,0,1.61756729,1.936044294,0.2366638,2.641089551,37.20404768,0,1.596400861,1.854400319,0.233081943,2.632475427,36.7172198,0,1.592178487,1.830924089,0.231943559,2.63288946,36.62010521,0,1.597910799,1.833256687,0.231933066,2.637565191,36.75194837,0,1.595848393,1.843149709,0.232683048,2.634461705,36.70451303,0,1.61498064,1.928925943,0.237219749,2.639449029,37.14455472,0,1.637789759,1.947420529,0.240975328,2.652093203,37.66916446,0
7,KEN.7_1,1.468273931,1.529205152,0.809574355,2.841926076,531.515163,0,1.339292572,1.393874541,0.741845761,2.695725726,484.823911,0,1.301499146,1.368247553,0.72624743,2.627746174,471.1426908,0,1.386850109,1.457610043,0.742460497,2.733390753,502.0397394,0,1.43876055,1.49914334,0.782093031,2.865037497,520.8313191,0,1.375190797,1.397250215,0.738821297,2.929436654,497.8190686,0,1.322504843,1.312621767,0.705861352,2.97736201,478.7467533,0,1.285269362,1.290260249,0.674295844,2.934354361,465.2675092,0,1.267519089,1.288535506,0.675430468,2.823106627,458.8419103,0,1.326910119,1.376499952,0.718663996,2.777158802,480.3414631,0,1.50048257,1.576516867,0.825913765,2.87219133,543.1746903,0,1.601477503,1.675203718,0.919347936,2.955694988,579.7348561,0
8,KEN.8_1,1.589728085,1.853862581,4.44E-16,2.935150795,57.23021108,0,1.561822247,1.81811981,4.44E-16,2.912474913,56.2256009,0,1.572130578,1.836941132,4.44E-16,2.920063024,56.59670082,0,1.614645804,1.898386731,4.44E-16,2.957799303,58.12724895,0,1.646302648,1.92349156,4.44E-16,3.016323384,59.26689534,0,1.630953261,1.915441038,4.44E-16,2.990549465,58.71431738,0,1.591475103,1.889447547,4.44E-16,2.930667286,57.29310372,0,1.569224229,1.84995129,4.44E-16,2.914745873,56.49207224,0,1.567489592,1.844187327,4.44E-16,2.913889498,56.4296253,0,1.578669487,1.861981621,4.44E-16,2.923194086,56.83210155,0,1.596853453,1.877958357,4.44E-16,2.942743468,57.48672432,0,1.605850813,1.87998779,4.44E-16,2.951815266,57.81062927,0
9,KEN.9_1,1.192846899,1.023456,0.616057109,1.950770888,251.6906957,0,1.111761323,0.928809171,0.588012588,1.915861937,234.5816392,0,1.099966964,0.933847559,0.588586391,1.911992147,232.0930293,0,1.197652734,1.05236667,0.618833364,1.932723628,252.7047269,0,1.280821826,1.141664981,0.65008402,1.969547769,270.2534052,0,1.176351104,1.033025858,0.617726234,1.921098731,248.210083,0,1.092739919,0.924804394,0.587704019,1.901480792,230.5681229,0,1.066323568,0.908331633,0.584001743,1.893965579,224.9942728,0,1.063820085,0.900682095,0.584001743,1.892908879,224.466038,0,1.087674138,0.925884005,0.586122137,1.902199807,229.4992431,0,1.185666572,1.010889715,0.604108855,1.941523277,250.1756468,0,1.269249915,1.099318832,0.63972956,2.047949787,267.811732,0
10,KEN.10_1,1.593636774,1.57738093,0.836761715,2.30521588,283.6673458,0,1.581493792,1.569344653,0.824770956,2.294760483,281.505895,0,1.569001925,1.558795213,0.820345789,2.284630286,279.2823426,0,1.627121551,1.644199725,0.843047938,2.303850159,289.6276361,0,1.674070255,1.680379659,0.856692694,2.344449411,297.9845053,0,1.583714574,1.60374373,0.811327778,2.329110408,281.9011943,0,1.442768828,1.45806505,0.74659825,2.28282924,256.8128514,0,1.383926053,1.373141641,0.725623663,2.258238376,246.3388374,0,1.370005455,1.343844703,0.715142628,2.252174973,243.860971,0,1.366201767,1.339928537,0.716637146,2.242177874,243.1839145,0,1.421182521,1.393955745,0.742185549,2.259260134,252.9704888,0,1.526357027,1.504787072,0.79194217,2.293916797,271.6915507,0
